Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
Alphabet Inc (GOOGL US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
date,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,1031.500977,1.0,1256.516,1.0,1384.495,1.0,1578.456,1.0,1919.093,1.0,2253.755,1.0,2455.991,1.0,2689.673,1.0,3205.498,1.0,3663.971,1.0,3871.985,1.0,4231.351,1.0,4826.679,1.0,5186.043,1.0,5367.212,1.0,5541.391,1.0,5700.904,1.0,5508.99,1.0,5522.897,1.0,5944.851,1.0,6673.825,1.0,6775,1.0,6820,1.0,7286,1.0,8440,1.0,8575,1.0,9026,1.0,9720,1.0,10584,1.0,10645,1.0,11807,1.0,13304,1.0,14419,1.0,12951,1.0,13107,1.0,13754,1.0,—,,15420,1.0,15955,1.0
  Internet Media,,1031.500977,1.0,1256.516,1.0,1384.495,1.0,1578.456,1.0,1919.093,1.0,2253.755,1.0,2455.991,1.0,2689.673,1.0,3205.498,1.0,3663.971,1.0,3871.985,1.0,4231.351,1.0,4826.679,1.0,5186.043,1.0,5367.212,1.0,5541.391,1.0,5700.904,1.0,5508.99,1.0,5522.897,1.0,5944.851,1.0,6673.825,1.0,6775,1.0,6820,1.0,7286,1.0,8440,1.0,8575,1.0,9026,1.0,9720,1.0,10584,1.0,10645,1.0,10964,0.928601676971288,11526,0.866355983162958,14419,1.0,12951,1.0,13107,1.0,13754,1.0,—,,15420,1.0,15955,1.0
  Motorola,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Unallocated items,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,
  Motorola Mobile,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,843,0.0713983230287118,1778,0.133644016837041,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,1031.501,1.0,1256.516,1.0,1384.495,1.0,1578.456,1.0,1919.093,1.0,2253.8,1.0,2456,1.0,2689.7,1.0,3205.498,1.0,3664,1.0,3872,1.0,4231.4,1.0,4826.679,1.0,5186,1.0,5367.2,1.0,5541.4,1.0,5700.9,1.0,5509,1.0,5523,1.0,5945,1.0,6674,1.0,6775,1.0,6820,1.0,7286,1.0,8440,1.0,8575,1.0,9026,1.0,9720,1.0,10584,1.0,10645,1.0,11807,1.0,13304,1.0,14419,1.0,12951,1.0,13107,1.0,13754,1.0,15707,1.0,15420,1.0,15955,1.0
  Advertising,,1020.38,0.989218624121547,1241.112,0.987740705251664,1367.414,0.987662649558142,1559.691,0.988111800392282,1896.786,0.98837627983636,2225.7,0.987532167894223,2429,0.989006514657981,2663,0.990073242369037,3174.909,0.990457332994748,3627.5,0.990038209606987,3838.4,0.991322314049587,4189.5,0.990097839958406,4757.375,0.985641473153694,5086.5,0.980813729271115,5185.4,0.96612758980474,5352,0.965820911682968,5504.6,0.965566840323458,5331,0.96768923579597,5337,0.966322650733297,5757,0.968376787216148,6465,0.968684447108181,6475,0.955719557195572,6562,0.96217008797654,7032,0.965138622014823,8167,0.967654028436019,8306,0.968629737609329,8716,0.965654775094172,9335,0.960390946502058,10174,0.961262282690854,10225,0.960544856740254,10525,0.89142034386381,10860,0.816295850871918,13086,0.907552534849851,11902,0.919002393637557,12061,0.920195315480278,12524,0.910571470117784,14073,0.895969949703954,13997,0.907717250324254,14498,0.908680664368537
