Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Alphabet Inc (GOOGL US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,16523,1.0,18103,1.0,17258,1.0,17727,1.0,18675,1.0,21329,1.0,20257,1.0,21500,1.0,22451,1.0,26064,1.0,24750,1.0,26010,1.0,27772,1.0,32323,1.0,31146,1.0,32657,1.0,33740,1.0,39276,1.0,36339,1.0,38944,1.0,40499,1.0,46075,1.0,41159,1.0,38297,1.0,46173,1.0,56898,1.0,55314,1.0,61880,1.0,65118,1.0,75325,1.0,68011,1.0,69685,1.0,69092,1.0,76048,1.0,69787,1.0,74604,1.0,76693,1.0,86310,1.0,80539,1.0,84742,1.0
  Google Services,,—,,17997,0.994144616914324,17178,0.995364468652219,17653,0.995825576803746,18534,0.992449799196787,21179,0.992967321487177,19923,0.983511872439157,21237,0.987767441860465,22254,0.99122533517438,25615,0.982773173726212,24401,0.98589898989899,25910,0.996155324875048,27846,1.00266455422728,32390,1.00207282739845,31235,1.00285750979259,32615,0.998713905135193,33514,0.99330171902786,38998,0.992921886139118,36032,0.991551776328463,38674,0.993066967953985,40225,0.993234400849404,43198,0.93755832881172,38198,0.92805947666367,34991,0.913674700368175,42573,0.922032356572023,52873,0.929259376427994,51178,0.925226886502513,57067,0.922220426632191,59884,0.919622838539267,69400,0.921340856289413,61472,0.903853788357766,62841,0.901786611178876,61377,0.88833728941122,67838,0.892041868293709,61961,0.887858770258071,66285,0.88849123371401,67986,0.886469430065325,76311,0.88415015641293,70398,0.874085846608475,73928,0.872389134077553
    Google Advertising,,—,,16309,0.90090040324808,15508,0.898597751767296,16023,0.903875444237604,16781,0.898580990629183,19078,0.894462937784237,17851,0.881226242780274,19065,0.886744186046512,19821,0.882855997505679,22212,0.852209944751381,21194,0.856323232323232,22669,0.871549404075356,24256,0.873397666714677,27425,0.84846703585682,26881,0.863064277916907,28190,0.863214624735891,28874,0.855779490219324,32518,0.82793563499338,30587,0.841712760395168,32494,0.834377567789647,33796,0.834489740487419,37934,0.823309820944113,33763,0.820306615806992,29867,0.77987831945061,37095,0.803391592489117,46199,0.811961756124996,44684,0.807824420580685,50444,0.81519069166128,53130,0.815903436837741,61239,0.81299701294391,54661,0.8037082236697,56288,0.807749156920428,54482,0.788542812481908,59042,0.776378077003998,54548,0.781635548167997,58143,0.779354994370275,59647,0.777737212001095,65517,0.759089329162322,61659,0.765579408733657,64616,0.762502655117887
      Google Search & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,23320,0.593746817394847,22547,0.620462863590082,23642,0.607076828266228,24741,0.610903972937603,27185,0.590016277807922,24502,0.595301149201876,21319,0.556675457607645,26338,0.570419942390575,31903,0.560705121445394,31879,0.576327873594388,35845,0.579266321913381,37926,0.582419607481802,43301,0.574855625622303,39618,0.582523415329873,40689,0.583898973954223,39539,0.572265964221618,42604,0.560225120976226,40359,0.578316878501727,42628,0.571390273979947,44026,0.574054998500515,48020,0.556366585563666,46156,0.573088814114901,48509,0.572431615963749
      YouTube Ads,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3605,0.0917863326204298,3025,0.0832438977407193,3603,0.0925174609695974,3804,0.0939282451418554,4717,0.102376559956593,4038,0.0981073398284701,3812,0.0995378228059639,5037,0.109089727762978,6885,0.12100601075609,6005,0.108562027696424,7002,0.113154492566257,7205,0.110645290088762,8633,0.114610023232658,6869,0.100998367911073,7340,0.105331132955442,7071,0.102341805129393,7963,0.104710183042289,6693,0.0959061143192858,7665,0.102742480295963,7952,0.103686125200475,9200,0.106592515351639,8090,0.100448230050038,8663,0.102227938920488
      Google Network,,—,,3880,0.214329116720985,3576,0.207208251245799,3621,0.204264680995092,3694,0.197804551539491,4142,0.19419569600075,3692,0.182257984894111,3743,0.174093023255814,3732,0.166228675782816,4431,0.170004604051565,4008,0.161939393939394,4247,0.163283352556709,4342,0.156344519660089,4990,0.154379234600749,4644,0.149104218840301,4825,0.147747802921273,4900,0.145228215767635,5593,0.142402484978104,5015,0.138005999064366,5249,0.134783278553821,5251,0.129657522407961,6032,0.130916983179598,5223,0.126898126776647,4736,0.123665039037,5720,0.123881922335564,7411,0.130250623923512,6800,0.122934519289872,7597,0.122769877181642,7999,0.122838539267177,9305,0.123531364088948,8174,0.120186440428754,8259,0.118519050010763,7872,0.113935043130898,8475,0.111442772985483,7496,0.107412555346984,7850,0.105222240094365,7669,0.0999960883001056,8297,0.0961302282470166,7413,0.0920423645687183,7444,0.0878431002336504
