Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Alphabet Inc (GOOGL US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,1465.934,1.0,3189.223,1.0,6138.56,1.0,10604.917,1.0,16593.986,1.0,21795.55,1.0,23650.563,1.0,29321,1.0,37905,1.0,46039,1.0,55519,1.0,66001,1.0,74989,1.0,90272,1.0,110855,1.0,136819,1.0,161857,1.0,182527,1.0,257637,1.0,282836,1.0,307394,1.0
  Google Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,55507,0.999783857778418,65674,0.995045529613188,74544,0.994065796316793,89445,0.990838798298476,110547,0.997221595778269,136362,0.996659820638946,151825,0.938019362770841,168635,0.923890712059038,237529,0.921952204070068,253528,0.896378113111485,272543,0.886624332290155
    Google Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,51072,0.919901295052144,59624,0.903380251814367,67390,0.898665137553508,78844,0.873404820985466,95577,0.862180325650625,116461,0.851204876515689,134811,0.832901882525933,146924,0.804943926104083,209497,0.813147956232994,224473,0.793650737529876,237855,0.773778928671347
      Google Search & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,69811,0.629750575075549,85296,0.62342218551517,98115,0.606183235819273,104062,0.570118393443162,148951,0.578142890966748,162450,0.574361113861036,175033,0.569409292308893
      YouTube Ads,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8150,0.0735194623607415,11155,0.0815310739005548,15149,0.0935949634553958,19772,0.108323700055334,28845,0.111959850487314,29243,0.103392071730614,31510,0.102506880420568
      Google Network,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13650,0.245861777049298,14539,0.220284541143316,15033,0.200469402178986,15598,0.172788904643743,17616,0.158910288214334,20010,0.146251617099964,21547,0.133123683251265,23090,0.126501832605587,31701,0.123045214778933,32780,0.115897551938226,31312,0.101862755941886
      Google Properties,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,37422,0.674039518002846,45085,0.68309571067105,52357,0.698195735374522,63246,0.700615916341723,77961,0.703270037436291,96451,0.704953259415725,—,,—,,—,,—,,—,
"    Google Subscriptions, Platforms & Devices",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4435,0.0798825627262739,6050,0.0916652777988212,7154,0.0954006587632853,10601,0.11743397731301,10914,0.0984529340128997,14063,0.102785431847916,17014,0.105117480244908,21711,0.118946785954955,28032,0.108804247837073,29055,0.102727375581609,34688,0.112845403618808
  Google Cloud,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4056,0.0365883361147445,5838,0.0426695122753419,8918,0.0550980186213757,13059,0.0715455795580928,19206,0.0745467460030974,26280,0.0929160361481565,33088,0.107640357326428
  Other Bets,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12,0.000216142221581801,327,0.00495447038681232,445,0.00593420368320687,288,0.00319035802906771,477,0.00430291822651211,595,0.00434881120312237,659,0.00407149520873364,657,0.00359946747604464,753,0.00292271684579466,1068,0.00377603982519906,1527,0.0049675660552906
  Hedging Gains (Losses),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,539,0.00597084367245658,-169,-0.00152451400478102,-138,-0.00100863184206872,455,0.00281112339904978,176,0.000964240906824744,149,0.000578333081040379,1960,0.00692981091515932,236,0.000767744328126118
  Internet Media,,1465.934,1.0,3189.223,1.0,6138.56,1.0,10604.917,1.0,16593.986,1.0,21795.55,1.0,23650.563,1.0,29321,1.0,37905,1.0,46039,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Unallocated items,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Motorola Mobile,,—,,—,,—,,—,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,1465.934,1.0,3189.223,1.0,6138.56,1.0,10604.917,1.0,16593.986,1.0,21795.6,1.0,23651,1.0,29321,1.0,37905,1.0,46039,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,45.271,0.0308820178807504,45.935,0.0144031947593505,73.558,0.0119829406245113,112.289,0.0105883902721728,181.343,0.0109282362899426,667.1,0.030607095010002,762,0.0322185108452074,1085,0.0370041949456021,1374,0.0362485160269094,2353,0.0511088425030952,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Google Advertising,,1420.663,0.96911798211925,3143.288,0.98559680524065,6065.002,0.988017059375489,10492.628,0.989411609727827,16412.643,0.989071763710057,21128.5,0.969392904989998,22889,0.967781489154792,28236,0.962995805054398,36531,0.963751483973091,43686,0.948891157496905,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Google Properties,,792.063,0.540312865381388,1589.032,0.498250514310225,3377.06,0.550138794766199,6332.797,0.597156677416712,10624.705,0.640274434364353,14413.8,0.661316963056764,15723,0.664792186376897,19444,0.663142457624228,26145,0.689750692520776,31221,0.678142444449271,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Google Network,,628.6,0.428805116737861,1554.256,0.487346290930424,2687.942,0.437878264609289,4159.831,0.392254932311116,5787.938,0.348797329345704,6714.7,0.308075941933234,7166,0.302989302777895,8792,0.29985334743017,10386,0.274000791452315,12465,0.270748713047634,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
