NFLX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31,1994-03-31,1994-06-30,1994-09-30,1994-12-30,1995-03-31,1995-06-30,1995-09-29,1995-12-29,1996-03-29,1996-06-28,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-29,2000-12-29,2001-03-30,2001-06-29,2001-09-28,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.671,91.799,97.538,103.61,110.332,116.325,124.407,135.191,146.202,153.444,167.814,174.461,165.822,170.972,181.886,212.256,227.765,341.702,368.741,400.43,387.983,377.952,386.181,385.142,295.495,313.464,250.828,297.271,286.489,254.969,155.462,320.242,266.33,279.085,256.813,350.387,342.721,376.407,365.772,797.811,804.526,813.343,798.355,748.078,1025.872,1080.11,1134.987,1200.405,1668.243,1714.365,1666.819,1608.496,2957.708,2796.758,2609.642,2310.715,2072.471,1834.228,1343.256,1733.782,1341.229,2164.902,1746.469,2822.795,2593.666,3906.357,3067.534,3794.483,3348.557,5004.247,4435.018,5018.437,5151.884,7153.248,8392.391,8205.55,8403.705,7777.53,7526.681,6027.804,6008.946,5819.449,6113.733,6058.452,7827.504,8576.989,7867.446,7137.886,7045.739,6655.912,9223.927
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.671,49.759,54.321,59.814,66.028,71.229,79.17,89.894,100.188,153.444,167.814,174.461,165.822,170.972,181.886,212.256,227.765,341.702,368.741,400.43,218.458,184.182,179.804,177.439,168.989,144.289,111.524,139.881,115.131,87.471,55.717,134.224,79.861,107.327,113.108,194.499,150.419,175.207,159.199,508.053,395.992,402.251,370.298,290.291,418.051,370.678,439.056,604.965,1157.45,1214.244,1183.217,1113.608,2454.777,2293.872,2115.437,1809.33,1605.244,1390.925,969.158,1467.576,1077.824,1918.777,1746.469,2822.795,2593.666,3906.357,3067.534,3794.483,3348.557,5004.247,4435.018,5018.437,5151.884,7153.248,8392.391,8205.55,8403.705,7777.53,7526.681,6027.804,6008.946,5819.449,6113.733,5147.176,6714.594,7662.788,7353.245,7116.913,7024.766,6624.939,7457.025
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42.04,43.217,43.796,44.304,45.096,45.237,45.297,46.014,0,0,0,,,,0,0,,0,0,169.525,193.77,206.377,207.703,126.506,169.175,139.304,157.39,171.358,167.498,99.745,186.018,186.469,171.758,143.705,155.888,192.302,201.2,206.573,289.758,408.534,411.092,428.057,457.787,607.821,709.432,695.931,595.44,510.793,500.121,483.602,494.888,502.931,502.886,494.205,501.385,467.227,443.303,374.098,266.206,263.405,246.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911.276,1112.91,914.201,514.201,20.973,20.973,30.973,1766.902
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,0,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
