Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Netflix Inc (NFLX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
date,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Revenue,,1484.7,1.0,1573.129,1.0,1644.694,1.0,1738.355,1.0,1823.333,1.0,1957.736,1.0,2105.204,1.0,2290.188,1.0,2477.541,1.0,2636.635,1.0,2785.464,1.0,2984.859,1.0,3285.755,1.0,3700.856,1.0,3907.27,1.0,3999.374,1.0,4186.841,1.0,4520.992,1.0,4923.116,1.0,5244.905,1.0,5467.434,1.0,5767.691,1.0,6148.286,1.0,6435.637,1.0,6699.09,1.0,7163.282,1.0,7341.777,1.0,7483.467,1.0,7709.318,1.0,7867.767,1.0,7970.141,1.0,7925.589,1.0,7852.053,1.0,8161.503,1.0,8187.301,1.0,8541.668,1.0,8832.825,1.0,9370.44,1.0,9559.31,1.0,9824.703,1.0
  Streaming,,1305.2,0.879100154913451,1399.929,0.889900955357126,1480.676,0.900274458349091,1580.831,0.909383296277228,1672.338,0.917187370600982,1812.989,0.92606408627108,1966.472,0.934100448222595,2157.813,0.942199068373426,2351.128,0.948976424608109,2516.241,0.954338010380656,2670.727,0.958808658090717,2874.645,0.963075642769055,3180.603,0.96799761394261,3602.105,0.973316713754872,3814.366,0.976222784706457,3910.597,0.977802276056203,4101.684,0.979660799156213,4440.304,0.982152589520176,4846.916,0.984521997856642,5173.028,0.986295843299354,5398.982,0.987480050056389,5703.363,0.988846836628384,6086.715,0.989985664297334,6376.803,0.990858092213716,6644.442,0.991842474127083,7113.707,0.993079289632881,7295.485,0.99369471450849,7439.235,0.99408937060857,7667.069,0.994519748698912,7827.957,0.994940114520422,7933.051,0.995346380948593,7890.361,0.995555156847018,7818.483,0.995724684996395,8130.001,0.996140171730624,8158.326,0.996460982685259,8519.306,0.997382010164759,8832.825,1.0,9370.44,1.0,9559.31,1.0,9824.703,1.0
    International,,387.8,0.261197548326261,415.397,0.264057810897898,454.763,0.276503106352914,516.87,0.297332823272577,566.405,0.310642652768309,651.748,0.332909033700152,758.201,0.36015559537223,853.48,0.372668095370336,947.666,0.382502650813851,1046.199,0.396793261107434,1165.228,0.418324559211679,1327.435,0.444722849555038,1550.329,0.471833414238128,1782.086,0.481533461447838,1921.144,0.491684475349797,1973.283,0.493397966781801,2105.592,0.50290708436265,—,,—,,2760.43,0.526306958848635,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,917.4,0.617902606587189,984.532,0.625843144459227,1025.913,0.623771351996177,1063.961,0.612050473004651,1105.933,0.606544717832672,1161.241,0.593155052570929,1208.271,0.573944852850365,1304.333,0.56953097300309,1403.462,0.566473773794258,1470.042,0.557544749273221,1505.499,0.540484098879038,1547.21,0.518352793214018,1630.274,0.496164199704482,1820.019,0.491783252307034,1893.222,0.484538309356661,1937.314,0.484404309274401,1996.092,0.476753714793564,—,,—,,2412.598,0.459988884450719,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  DVD,,179.5,0.120899845086549,173.2,0.110099044642874,164.018,0.0997255416509089,157.524,0.0906167037227724,150.995,0.0828126293990182,144.747,0.0739359137289195,138.732,0.0658995517774049,132.375,0.0578009316265739,126.413,0.0510235753918906,120.394,0.0456619896193444,114.737,0.0411913419092833,110.214,0.0369243572309446,105.152,0.0320023860573902,98.751,0.0266832862451282,92.904,0.0237772152935425,88.777,0.0221977239437972,85.157,0.0203392008437865,80.688,0.0178474104798239,76.2,0.015478002143358,71.877,0.0137041567006457,68.452,0.0125199499436116,64.328,0.0111531633716161,61.571,0.0100143357026658,58.834,0.00914190778628441,54.648,0.00815752587291707,49.575,0.00692071036711943,46.292,0.00630528549150975,44.232,0.00591062939143047,42.249,0.00548025130108785,39.81,0.00505988547957762,37.09,0.004653619051407,35.228,0.00444484315298207,33.57,0.00427531500360479,31.502,0.00385982826937636,28.975,0.00353901731474145,22.362,0.00261798983524061,0,,0,,0,,0,
Cost of Revenue,,1014.332,1.0,1046.401,1.0,1121.752,1.0,1173.958,1.0,1249.365,1.0,1369.54,1.0,1473.098,1.0,1532.844,1.0,1654.419,1.0,1657.024,1.0,1902.308,1.0,1992.98,1.0,2214.334,1.0,2196.075,1.0,2402.431,1.0,2531.128,1.0,2733.4,1.0,2870.614,1.0,3005.657,1.0,3097.919,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  DVD,,90.928,0.0896432331820351,88.594,0.0846654389665147,86.095,0.0767504760410501,77.793,0.0662655733850785,71.426,0.0571698422798782,73.095,0.0533719351022971,67.83,0.0460458163679538,63.671,0.0415378212003309,58.146,0.0351458729620489,60.219,0.0363416582982504,52.734,0.0277210630455215,47.087,0.023626428764965,42.485,0.0191863558072088,42.393,0.0193039855196202,39.924,0.0166181671814924,37.101,0.0146578916593708,33.679,0.0123212848467111,33.958,0.0118295249727062,30.347,0.0100966277921932,27.793,0.00897150635636374,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Streaming,,923.404,0.910356766817965,957.807,0.915334561033485,1035.657,0.92324952395895,1096.165,0.933734426614921,1177.939,0.942830157720122,1296.445,0.946628064897703,1405.268,0.953954183632046,1469.173,0.958462178799669,1596.273,0.964854127037951,1596.805,0.96365834170175,1849.574,0.972278936954478,1945.893,0.976373571235035,2171.849,0.980813644192791,2153.682,0.98069601448038,2362.507,0.983381832818508,2494.027,0.985342108340629,2699.721,0.987678715153289,2836.656,0.988170475027294,2975.31,0.989903372207807,3070.126,0.991028493643636,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,350.211,0.345262695054479,375.278,0.358636889681871,422.966,0.377058387237108,451.251,0.38438427950574,530.88,0.424919859288519,629.899,0.459934722607591,698.162,0.473941312797927,748.515,0.48831779359152,834.794,0.504584388839828,847.317,0.511348658800355,1017.612,0.534935457349704,1081.485,0.542647191642666,1255.749,0.567100085172336,1258.809,0.57320856528124,1392.512,0.57962622027438,1455.554,0.575061395551707,1606.275,0.587647252506036,1697.121,0.591204878120151,1778.89,0.59184730659553,1860.021,0.600409823497645,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,573.193,0.565094071763486,582.529,0.556697671351614,612.691,0.546191136721842,644.914,0.549350147109181,647.059,0.517910298431603,666.546,0.486693342290112,707.106,0.48001287083412,720.658,0.470144385208149,761.479,0.460269738198123,749.488,0.452309682901394,831.962,0.437343479604775,864.408,0.433726379592369,916.1,0.413713559020455,894.873,0.407487449199139,969.995,0.403755612544127,1038.473,0.410280712788923,1093.446,0.400031462647252,1139.535,0.396965596907143,1196.42,0.398056065612277,1210.105,0.390618670145991,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue Growth Amount,,—,,177.215,1.0,206.904,1.0,219.564,1.0,235.033,1.0,323.139,1.0,351.346,1.0,358.886,1.0,405.054,1.0,287.484,1.0,429.21,1.0,460.136,1.0,452.935,1.0,539.051,1.0,320.057,1.0,419.366,1.0,626.046,1.0,570.035,1.0,603.226,1.0,566.791,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
