Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Toyota Motor Corp (7203 JP) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,03/31/2004,,03/31/2005,,03/31/2006,,03/31/2007,,03/31/2008,,03/31/2009,,03/31/2010,,03/31/2011,,03/31/2012,,03/31/2013,,03/31/2014,,03/31/2015,,03/31/2016,,03/31/2017,,03/31/2018,,03/31/2019,,03/31/2020,,03/31/2021,,03/31/2022,,03/31/2023,
Revenue,,17294.76,1.0,18551.526,1.0,21036.909,1.0,23948.091,1.0,26289.24,1.0,20529.57,1.0,18950.973,1.0,18993.688,1.0,18583.653,1.0,22064.192,1.0,25691.911,1.0,27234.521,1.0,28403.118,1.0,27597.193,1.0,29379.51,1.0,30225.681,1.0,29866.547,1.0,27214.593,1.0,31379.507,1.0,37154.298,1.0
  Goods & Products,,—,,—,,—,,—,,—,,19173.72,0.93395623970692,17724.729,0.935293876467451,17820.52,0.938233796406469,17511.916,0.942329045855516,20914.15,0.947877447766952,24312.644,0.946315126188939,25612.836,0.940454799994463,26549.111,0.934725229814558,25813.496,0.935366723709908,27420.276,0.933312910936908,28105.338,0.929849620261658,27693.693,0.927247900468708,25077.398,0.921468786984983,29073.428,0.926510030893729,34367.619,0.924997129538015
    Automotive,,15963.1,0.923002111622249,17098.415,0.921671618819929,19325.616,0.918652830603583,21914.168,0.915069514309095,24160.254,0.919016829699147,18550.501,0.903599101198905,17187.308,0.90693538532296,17322.753,0.912026827017481,16964.378,0.912865624428093,20378.762,0.923612430493716,23733.855,0.92378706278408,25006.224,0.918181156922128,25923.813,0.912710111615211,25032.229,0.907057069173666,26347.229,0.896789258908675,27034.492,0.894421270442178,26770.379,0.89633324535307,24597.846,0.903847652617844,28531.993,0.909255617049688,33776.87,0.909097246299742
      Vehicles,,13830.174,0.79967423658958,14803.255,0.79795349449959,—,,18751.807,0.783018863591257,20723.588,0.78829163566539,—,,14309.595,0.755084976375619,14507.479,0.763805270466694,14164.94,0.762225812115626,17446.473,0.790714339324096,20353.34,0.792208100051413,21557.684,0.791557303321031,22267.136,0.783968013652586,21540.563,0.780534563786976,22631.201,0.770305597336375,23066.19,0.763132185508078,22647.701,0.75829659853213,20509.606,0.753625306834462,23739.442,0.756526926952676,28394.256,0.764225339421028
      Parts,,998.647,0.0577427498271153,1091.673,0.058845455624513,—,,1551.969,0.064805541285107,1785.684,0.0679245196894243,—,,1543.941,0.0814702759589178,1553.497,0.0817901715559401,1532.219,0.0824498283518316,1577.69,0.0715045445579879,1843.478,0.0717532456032562,1921.764,0.0705635322170711,2042.623,0.0719154495643753,1955.781,0.0708688380010242,2044.104,0.0695758370374455,2093.437,0.0692602095549146,2170.448,0.0726715411728045,2049.187,0.0752973597657698,2407.143,0.076710669801154,2866.196,0.0771430535438996
      Parts For Production,,236.467,0.0136727540596111,236.592,0.0127532365801067,—,,334.619,0.0139726794924907,342.244,0.0130184060094548,—,,355.273,0.0187469529928622,335.366,0.0176567078494708,338,0.01818802794047,356.756,0.0161690036054799,431.76,0.016805289415801,402.864,0.0147924026275329,493.499,0.0173748177928916,468.214,0.0169660008537825,498.802,0.016977886969524,625.483,0.0206937603821069,1197.089,0.0400812655041776,1287.053,0.0472927520907625,1504.215,0.0479362215601411,1710.422,0.0460356430365068
