Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Toyota Motor Corp (7203 JP) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,
date,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,
Revenue,,6215.13,1.0,5975.275,1.0,4802.843,1.0,3536.322,1.0,3836.077,1.0,4541.566,1.0,5292.89,1.0,5280.44,1.0,4871.825,1.0,4806.667,1.0,4673.113,1.0,4642.083,1.0,3441.05,1.0,4574.872,1.0,4865.205,1.0,5702.526,1.0,5501.573,1.0,5406.781,1.0,5318.752,1.0,5837.086,1.0
  Goods & Products,,—,,—,,—,,3244.906,0.917593477064588,—,,—,,—,,4977.892,0.942704017089485,4567.522,0.937538191540131,4516.137,0.93955686965625,4379.795,0.937232846712673,4357.066,0.938601485583089,3162.347,0.919006407927813,4310.813,0.942280570909962,4601.657,0.945830031828052,5437.099,0.953454486660824,5233.688,0.95130756240079,5142.201,0.951065153184492,5024.823,0.944737224070609,5513.438,0.944553155461475
    Automotive,,5715.741,0.919649468313615,5436.077,0.909761810125894,4308.267,0.897024324967525,3090.416,0.873906844455906,3410.071,0.888947484630783,4105.872,0.904065249739847,4858.896,0.918004341673453,4812.469,0.911376514078372,4465.173,0.916529842512816,4393.296,0.914000491400798,4252.211,0.909931131560482,4212.073,0.907367016057231,3055.743,0.888026329172781,4176.146,0.912844337502776,4464.15,0.917566680129614,5268.339,0.923860583888614,5110.683,0.928949411377437,4998.955,0.924571385450974,4879.235,0.917364637418703,5389.889,0.923386943416629
      Parts For Production,,—,,—,,—,,—,,77.088,0.0200955298863917,—,,110.126,0.0208064025513472,—,,87.97,0.0180568883324011,81.508,0.0169572803774424,95.146,0.0203603037204536,70.742,0.0152392794355465,—,,—,,—,,—,,—,,—,,—,,—,
      Others,,—,,—,,—,,—,,208.914,0.0544603249621945,—,,262.084,0.0495162378209258,—,,223.483,0.0458725426303285,237.251,0.0493587344411419,206.771,0.044246950587328,258.906,0.0557736688465071,—,,—,,—,,—,,—,,—,,—,,—,
      Parts,,—,,—,,—,,—,,376.851,0.0982386432806224,—,,393.884,0.0744175677182031,—,,401.617,0.082436663878526,389.93,0.0811227405601428,403.383,0.0863199755708882,358.567,0.0772426947126969,—,,—,,—,,—,,—,,—,,—,,—,
      Vehicles,,—,,—,,—,,—,,2747.218,0.716152986501574,—,,4092.802,0.773264133582977,—,,3752.103,0.77016374767156,3684.607,0.766561736022071,3546.911,0.759003901681812,3523.858,0.759111373062481,—,,—,,—,,—,,—,,—,,—,,—,
