Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Tesla Inc (TSLA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,0.073,1.0,14.742,1.0,111.943,1.0,116.744,1.0,204.242,1.0,413.256,1.0,2013.496,1.0,3198.356,1.0,4046.025,1.0,7000.132,1.0,11758.751,1.0,21461.268,1.0,24578,1.0,31536,1.0,53823,1.0,81462,1.0,96773,1.0
"  Automotive, Services & Other",,—,,—,,—,,—,,—,,—,,—,,—,,—,,6818.738,0.974087060072582,10642.485,0.905069339422189,19906.024,0.92753252044567,23047,0.937708519814468,29542,0.936770674784373,51034,0.948182003975995,77553,0.952014436178832,90738,0.937637564196625
    Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,3740.973,0.924604519250375,6350.766,0.907235177850932,9641.3,0.819925517599616,18514.983,0.862716173154354,20821,0.847139718447392,27236,0.863647894469812,47232,0.877543057800569,71462,0.877243377280204,82419,0.851673503973216
      Automotive Sales,,—,,—,,—,,—,,—,,—,,—,,—,,3431.587,0.848137863705736,5589.007,0.798414515611991,8534.752,0.725821305341018,17631.522,0.821550804919821,19952,0.811782895272195,26184,0.830289193302892,44125,0.81981680694127,67210,0.825047261299747,78509,0.811269672325959
      Automotive Leasing,,—,,—,,—,,—,,—,,—,,—,,—,,309.386,0.0764666555446395,761.759,0.108820662238941,1106.548,0.0941042122585979,883.461,0.041165368234533,869,0.0353568231751973,1052,0.0333587011669203,1642,0.0305074038979618,2476,0.0303945397854214,2120,0.0219069368522212
      Automotive Regulatory Credits,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1465,0.0272188469613362,1776,0.0218015761950357,1790,0.0184968947950358
    Service & Other,,—,,—,,—,,—,,—,,—,,—,,—,,290.575,0.0718174010294054,467.972,0.0668518822216495,1001.185,0.0851438218225728,1391.041,0.0648163472913157,2226,0.0905688013670762,2306,0.0731227803145611,3802,0.0706389461754269,6091,0.0747710588986276,8319,0.0859640602234094
  Energy Generation & Storage,,—,,—,,—,,—,,—,,—,,—,,—,,14.477,0.00357807972021923,181.394,0.0259129399274185,1116.266,0.0949306605778114,1555.244,0.0724674795543302,1531,0.0622914801855318,1994,0.0632293252156266,2789,0.0518179960240046,3909,0.0479855638211681,6035,0.0623624358033749
    Energy Generation & Storage Sales,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1056.543,0.0492302225572133,1000,0.0406867930669705,1477,0.0468353627600203,2279,0.0423424929862698,3376,0.041442635830203,5515,0.0569890361981131
    Energy Generation & Storage Leasing,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,498.701,0.0232372569971169,531,0.0216046871185613,517,0.0163939624556063,510,0.0094755030377348,533,0.00654292799096511,520,0.0053733996052618
  Automobiles,,0.073,1.0,14.742,1.0,111.943,1.0,116.744,1.0,204.242,1.0,413.256,1.0,2013.496,1.0,3198.356,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,0.073,1.0,14.742,1.0,111.943,1.0,116.744,1.0,204.242,1.0,413.256,1.0,2013.496,1.0,3198.356,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Development Services,,0,,0,,0,,19.666,0.168454053313232,55.674,0.272588400035252,27.557,0.0666826373966742,15.71,0.00780234974392797,5.633,0.00176121732540092,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Automotive,,0.073,1.0,14.742,1.0,111.943,1.0,97.078,0.831545946686768,148.568,0.727411599964748,385.699,0.933317362603326,1997.786,0.992197650256072,3192.723,0.998238782674599,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Vehicle Options and Related,,—,,—,,0.388,0.00346604968600091,75.459,0.646362982251765,101.708,0.497977888974844,354.344,0.85744429602958,1952.684,0.969797804415802,3079.415,0.962811832078731,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Powertrain Components & Related,,—,,—,,111.555,0.996533950313999,21.619,0.185182964435003,46.86,0.229433710989904,31.355,0.0758730665737461,45.102,0.0223998458402699,113.308,0.0354269505958686,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue,,—,,—,,102.408,1.0,86.013,1.0,142.647,1.0,383.189,1.0,1557.234,1.0,2316.685,1.0,3122.522,1.0,5400.875,1.0,9536.264,1.0,17419.247,1.0,20509,1.0,24906,1.0,40217,1.0,60609,1.0,79113,1.0
"  Automotive, Services & Other",,—,,—,,—,,—,,—,,—,,—,,—,,—,,5222.543,0.966980905871734,8661.726,0.908293436507211,16054.351,0.921644374179894,19168,0.934614071870886,22930,0.920661687946679,37299,0.927443618370341,56988,0.940256397564718,74219,0.938139117464892
    Automotive,,—,,—,,102.408,1.0,79.982,0.929882692151186,115.482,0.809564869923658,371.658,0.96990780006733,1543.878,0.991423254308601,2145.749,0.926215260167006,2823.302,0.904173613508568,4750.081,0.879502117712408,7432.704,0.779414663855782,14173.997,0.813697457760373,16398,0.799551416451314,20259,0.813418453384727,33393,0.830320511226596,51108,0.843241102806514,66389,0.839166761467774
      Automotive Sales,,—,,—,,—,,—,,—,,—,,—,,—,,2639.926,0.845446725435401,4268.087,0.790258430346935,6724.48,0.705148263512839,13685.572,0.785658071212837,15939,0.777170998098396,19696,0.790813458604352,32415,0.806002436780466,49599,0.818343810325199,65121,0.823139054264154
      Automotive Leasing,,—,,—,,—,,—,,—,,—,,—,,—,,183.376,0.0587268880731665,481.994,0.0892436873654732,708.224,0.0742664003429435,488.425,0.0280393865475356,459,0.0223804183529182,563,0.0226049947803742,978,0.0243180744461297,1509,0.0248972924813147,1268,0.0160277072036201
    Service & Other,,—,,—,,—,,—,,—,,—,,—,,—,,286.933,0.0918914262253396,472.462,0.087478788159326,1229.022,0.128878772651428,1880.354,0.107946916419521,2770,0.135062655419572,2671,0.107243234561953,3906,0.0971231071437452,5880,0.0970152947582042,7830,0.0989723559971181
  Energy Generation & Storage,,—,,—,,—,,—,,—,,—,,—,,—,,12.287,0.0039349602660926,178.332,0.0330190941282663,874.538,0.0917065634927892,1364.896,0.0783556258201058,1341,0.065385928129114,1976,0.0793383120533205,2918,0.0725563816296591,3621,0.0597436024352819,4894,0.061860882535108
  Development Services,,—,,—,,0,,6.031,0.0701173078488135,27.165,0.190435130076342,11.531,0.0300921999326703,13.356,0.00857674569139898,170.936,0.0737847398329941,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue Growth Amount,,—,,—,,—,,—,,—,,—,,—,,—,,805.837,1.0,2278.353,1.0,4135.389,1.0,7882.983,1.0,3090,1.0,4397,1.0,15311,1.0,20392,1.0,18504,1.0
"  Automotive, Services & Other",,—,,—,,—,,—,,—,,—,,—,,—,,—,,2112.308,0.927120599836812,—,,7392.625,0.937795375177138,3114,1.00776699029126,3762,0.855583352285649,14369,0.938475605773627,19689,0.96552569635151,17231,0.931204063986165
    Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,677.553,0.840806515461564,1926.779,0.845689408094356,2682.623,0.64869907038975,6741.293,0.855170307991277,2224,0.719741100323625,3861,0.878098703661587,13134,0.857814643067076,17715,0.868723028638682,15281,0.825821444012105
      Automotive Sales,,—,,—,,—,,—,,—,,—,,—,,—,,581.582,0.721711710929133,1628.161,0.714621922063877,2456.393,0.593993213214041,6961.092,0.88305302700767,2253,0.729126213592233,3757,0.854446213327269,12719,0.830709947096858,17184,0.842683405256964,15522,0.838845654993515
      Automotive Leasing,,—,,—,,—,,—,,—,,—,,—,,—,,95.971,0.11909480453243,298.618,0.131067486030479,226.23,0.0547058571757095,-219.799,-0.0278827190163927,-29,-0.00938511326860841,104,0.0236524903343189,415,0.0271046959702175,531,0.0260396233817183,-241,-0.0130242109814094
    Service & Other,,—,,—,,—,,—,,—,,—,,—,,—,,120.002,0.148915971840459,185.529,0.0814311917424561,756.56,0.182947722693077,651.332,0.082625067185861,890,0.288025889967638,-99,-0.0225153513759381,1235,0.0806609627065508,1974,0.0968026677128286,1950,0.10538261997406
  Energy Generation & Storage,,—,,—,,—,,—,,—,,—,,—,,—,,8.282,0.0102775126979774,166.045,0.0728794001631881,696.206,0.168353206917173,490.358,0.0622046248228621,-24,-0.00776699029126214,635,0.144416647714351,942,0.0615243942263732,703,0.0344743036484896,1273,0.0687959360138349
Gross Profit,,0.064,1.0,-1.141,,9.535,1.0,30.731,1.0,61.595,1.0,30.067,1.0,456.262,1.0,881.671,1.0,923.503,1.0,1599.257,1.0,2222.487,1.0,4042.021,1.0,4069,1.0,6630,1.0,13606,1.0,20853,1.0,17660,1.0
"  Automotive, Services & Other",,—,,—,,—,,—,,—,,—,,—,,—,,—,,1596.195,0.998085360889463,1980.759,0.891235359306938,3851.673,0.95290771621424,3879,0.95330548046203,6612,0.997285067873303,13735,1.00948111127444,20565,0.986189037548554,16519,0.935390713476784
    Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,921.313,0.997628594601208,1600.685,1.00089291464724,2208.596,0.99374979471196,4340.986,1.07396423719718,4423,1.08699926271811,6977,1.05233785822021,13839,1.01712479788329,20354,0.976070589363641,16030,0.907701019252548
    Service & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-4.49,-0.00280755375777627,-227.837,-0.102514435405022,-489.313,-0.121056520982944,-544,-0.133693782256083,-365,-0.055052790346908,-104,-0.00764368660884904,211,0.0101184481849134,489,0.0276896942242356
  Energy Generation & Storage,,—,,—,,—,,—,,—,,—,,—,,—,,2.19,0.00237140539879134,3.062,0.00191463911053696,241.728,0.108764640693061,190.348,0.0470922837857597,190,0.04669451953797,18,0.00271493212669683,-129,-0.00948111127443775,288,0.0138109624514458,1141,0.0646092865232163
  Automobiles,,0.064,1.0,-1.141,1.0,9.535,1.0,30.731,1.0,61.595,1.0,30.067,1.0,456.262,1.0,881.671,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
Gross Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Energy Generation & Storage,,—,,—,,—,,—,,—,,—,,—,,—,,15.1,,1.7,,22,,12,,12,,1,,-4.6,,7.4,,18.9,
"  Automotive, Services & Other",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,17,,22,,26.9,,26.5,,18.2,
    Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,16,,23.4,,19,,23,,21,,26,,29.3,,28.5,,19.4,
    Service & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-0.009595,,19,,19,,17,,22,,26.9,,—,,—,
Operating Income,,-79.933,,-78.504,,-51.897,,-146.838,,-251.488,,-394.283,,-61.283,,-186.689,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Automobiles,,-79.933,1.0,-78.504,1.0,-51.897,1.0,-146.838,1.0,-251.488,1.0,-394.283,1.0,-61.283,1.0,-186.689,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
Interest Expense,,0,,3.747,1.0,2.531,1.0,0.992,1.0,0.043,1.0,0.254,1.0,32.934,1.0,100.886,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Automobiles,,0,,3.747,1.0,2.531,1.0,0.992,1.0,0.043,1.0,0.254,1.0,32.934,1.0,100.886,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,
