Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Costco Wholesale Corp (COST US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,,Q4 2024,
date,,11/23/2014,,02/15/2015,,05/10/2015,,08/30/2015,,11/22/2015,,02/14/2016,,05/08/2016,,08/28/2016,,11/20/2016,,02/12/2017,,05/07/2017,,09/03/2017,,11/26/2017,,02/18/2018,,05/13/2018,,09/02/2018,,11/25/2018,,02/17/2019,,05/12/2019,,09/01/2019,,11/24/2019,,02/16/2020,,05/10/2020,,08/30/2020,,11/22/2020,,02/14/2021,,05/09/2021,,08/29/2021,,11/21/2021,,02/13/2022,,05/08/2022,,08/28/2022,,11/20/2022,,02/12/2023,,05/07/2023,,09/03/2023,,11/26/2023,,02/18/2024,,05/12/2024,,09/01/2024,
Revenue,,26866,1.0,27454,1.0,26101,1.0,35778,1.0,27220,1.0,28170,1.0,26769,1.0,36560,1.0,28099,1.0,29766,1.0,28860,1.0,42300,1.0,31809,1.0,32995,1.0,32361,1.0,44411,1.0,35069,1.0,35396,1.0,34740,1.0,47498,1.0,37040,1.0,39072,1.0,37266,1.0,53383,1.0,43208,1.0,44769,1.0,45277,1.0,62675,1.0,50363,1.0,51904,1.0,52596,1.0,72091,1.0,54437,1.0,55266,1.0,53648,1.0,78939,1.0,57799,1.0,58442,1.0,58515,1.0,79697,1.0
  Warehouse Clubs,,26284,0.978336931437505,26872,0.978800903329205,25517,0.977625378337995,34993,0.978059142489798,26627,0.978214548126378,27567,0.978594249201278,26151,0.976913594082708,35728,0.977242888402626,27469,0.977579273283747,29130,0.978633340052409,28216,0.977685377685378,41357,0.977706855791962,31117,0.9782451507435,32279,0.97829974238521,31624,0.977225672877847,43414,0.977550606831641,34311,0.978385468647523,34628,0.978302633065883,33964,0.977662636729994,46448,0.977893806054992,36236,0.97829373650108,38256,0.979115479115479,36451,0.978130199109108,52277,0.979281793829496,42347,0.980073134604703,43888,0.980321204404834,44376,0.980100271661108,61441,0.98031112883925,49417,0.981216369159899,50937,0.981369451294698,51612,0.981291352954597,70764,0.981592709214743,53437,0.981630141264214,54239,0.981417146165816,52604,0.980539815090963,77430,0.980883973701212,56717,0.981279952940362,57331,0.980989699188939,57392,0.980808339741946,78185,0.981028144095763
    Foods & Sundries,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13641,0.38897601870598,13966,0.394564357554526,13524,0.389291882556131,18541,0.390353278032759,14532,0.392332613390929,14984,0.383497133497133,16897,0.453415982396823,22246,0.416724425378866,18019,0.417029253841881,17624,0.393665259442918,17551,0.387636106632507,24083,0.384252094136418,19563,0.388439926136251,19489,0.375481658446362,19594,0.37253783557685,26983,0.374290826871593,21448,0.393996730165145,21926,0.396735786921435,21298,0.396995228153892,31503,0.399080302512066,23024,0.398345992145193,23675,0.405102494781151,23065,0.394172434418525,31699,0.397743955230435
    Non - Foods,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12124,0.255252852751695,—,,—,,—,,14692,0.275218702583219,12384,0.286613590075912,13723,0.306529071455695,12899,0.28489078339996,16960,0.270602313522138,14162,0.281198498898001,15105,0.291018033292232,13810,0.262567495627044,18023,0.250003467839259,14032,0.257765857780554,14741,0.266728187312272,13087,0.24394199224575,19005,0.240755520085129,14766,0.255471547950657,15017,0.256955614113138,14518,0.248107322908656,19672,0.246834887135024
    Warehouse Ancillary and Other Business,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6414,0.182896575322935,5978,0.168889140015821,6793,0.195538284398388,9386,0.197608320350331,6988,0.18866090712743,6915,0.176980958230958,5270,0.141415767723931,7377,0.138190060506154,6081,0.140737826328458,6287,0.140431995353928,7630,0.168518232215032,11628,0.185528520143598,9253,0.183726148164327,9384,0.180795314426634,11395,0.216651456384516,16442,0.228072852367147,11240,0.206477212190238,10196,0.184489559584555,11025,0.205506263048017,16232,0.205627129809093,11599,0.200678212425821,10643,0.182112179596865,11921,0.203725540459711,15806,0.198326160332258
    Fresh Foods,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4293,0.122415808834013,4690,0.132500847553396,4568,0.131491076568797,6397,0.134679354920207,4576,0.12354211663067,5079,0.129990786240786,5587,0.149922181076585,7962,0.149148605361257,5863,0.135692464358452,6254,0.139694878152293,6296,0.13905514941361,8770,0.139928201037096,6439,0.127851795961321,6959,0.13407444512947,6813,0.129534565366188,9316,0.129225562136744,6717,0.123390341128277,7376,0.133463612347555,7194,0.134096331643305,10690,0.135421021294924,7328,0.126784200418692,7996,0.136819410697786,7888,0.134803041955054,11008,0.138123141398045
