PG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,1384,1776,2322,2656,2178,2520,3110,2406,2800,1600,2518,3623,6212,5892,8133,7826,5556,3541,4781,2879,2768,4436,5947,10686,11603,13348,15137,11850,10287,16181,10288,7214,8246,9482
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,1384,1776,2322,2373,2028,2074,2350,1549,2294,1415,2306,3427,5912,5469,6389,6693,5354,3313,4781,2879,2768,4436,5947,8558,6836,7102,5569,2569,4239,16181,10288,7214,8246,9482
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,283,150,446,760,857,506,185,212,196,300,423,1744,1133,202,228,0,0,0,0,0,2128,4767,6246,9568,9281,6048,0,0,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,3024,3341,3111,3115,3562,2841,2738,2781,2940,2910,2931,3090,3038,4062,4185,5725,6629,6761,5836,5335,6275,6068,6508,6386,4568,4373,4594,4686,4951,4178,4725,5143,5471,6118
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,2841,2738,2781,2940,2910,2931,3090,3038,4062,4185,5725,6629,6761,5836,5335,6275,6068,6508,6386,4568,4373,4594,4686,4951,4178,4725,5143,5471,6118
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,0,0,0,,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,3190,3311,2903,2877,3453,3130,3087,3284,3338,3490,3384,3456,3640,4400,5006,6291,6819,8416,6880,6384,7379,6721,6909,6759,4979,4716,4624,4738,5017,5498,5983,6924,7073,7016
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,1254,1131,1225,0,1254,1096,1031,1095,1191,1424,1537,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,210,228,343,375,394,373,323,291,340,350,623,444,765,672,604,717,685,722,684,525,563,529,588,612,674,719,856,956,929
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,1666,1728,1716,1787,1842,1915,2102,2254,2869,3232,4131,4785,5389,4651,4088,4509,4296,4483,4333,3188,2965,2787,2815,3116,3410,3619,3900,4254,4470
    + Other Inventory,BS_OTHER_INV,,,,,,0,0,0,1176,0,0,0,0,0,0,0,1590,2262,1557,1692,2153,1740,1704,1742,1266,1188,1308,1335,1289,1414,1645,2168,1863,1617
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,837,938,1639,1340,1649,2316,1851,2106,2280,2069,2056,1997,2330,2761,3005,4487,5027,5797,4408,4184,5548,4685,4626,7786,8496,11345,2139,2046,2218,2130,2095,2372,1858,2093
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,3199,3194,4408,3684,3678,3845,2708,2653,2139,2046,2218,2130,2095,2372,1858,2093
Total Current Assets,BS_CUR_ASSET_REPORT,8435,9366,9975,9988,10842,10807,10786,10577,11358,10069,10889,12166,15220,17115,20329,24329,24031,24515,21905,18782,21970,21910,23990,31617,29646,33782,26494,23320,22473,27987,23091,21653,22648,24709
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,8273,9696,9485,10024,11026,11118,11376,12180,12626,13692,13095,13349,13104,14108,14332,18770,19540,20640,19462,19244,21293,20377,21666,22304,19655,19385,19893,20600,21271,21542,22494,21955,22690,23027
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,13034,15184,14877,15896,17739,18112,18625,20152,21400,23221,22821,23070,23542,25304,26325,31881,34721,38086,36651,37012,41507,40233,43012,44427,40063,39866,40148,41847,43393,44621,47506,47457,49426,50938
    - Accumulated Depreciation,BS_ACCUM_DEPR,4761,5488,5392,5872,6713,6994,7249,7972,8774,9529,9726,9721,10438,11196,11993,13111,15181,17446,17189,17768,20214,19856,21346,22123,20408,20481,20255,21247,22122,23079,25012,25502,26736,27911
  + LT Investments & Receivables,BS_LT_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,47,30,30,28,132,141,169,67,192,140,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,33,47,30,30,28,132,141,169,67,192,140,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,3760,4963,5475,5523,6257,5805,5382,8209,8129,10433,10403,15261,15382,25825,26866,92596,94443,98837,93466,90146,95091,89924,93560,90315,80164,73941,73887,74249,71182,71104,73530,73460,75491,74634
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,4281,3949,7011,6822,8786,8300,13430,13507,23900,28510,89027,90178,94000,89118,85648,90182,84761,86760,84547,69632,68877,68886,69077,64488,63693,64566,63379,64442,62350
    + Goodwill,BS_GOODWILL,,,,,4474,4175,3915,7023,7062,9080,7210,10966,11132,19610,19816,55306,56552,59767,56512,54012,57562,53773,55188,53704,44622,44350,44699,45175,40273,39901,40924,39700,40659,40303
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,106,34,-12,-240,-294,1090,2464,2375,4290,8694,33721,33626,34233,32606,31636,32620,30988,31572,30843,25010,24527,24187,23902,24215,23792,23642,23679,23783,22047
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,0,,,,,,,,,,,411,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,3760,4963,5475,5523,6257,1524,1433,0,1307,1647,2103,1831,1875,1925,-1644,3569,4265,4837,3804,4442,4741,5035,6686,5699,10256,4884,4805,4752,6675,7399,8876,9316,10182,11389
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,12033,14659,14960,15547,17283,16923,16758,20389,20755,24125,23498,28610,28486,39933,41198,111366,113983,119477,112928,109390,116384,110334,115273,112649,99849,93354,93912,94990,92622,92713,96216,95555,98181,97661
Total Assets,BS_TOT_ASSET,20468,24025,24935,25535,28125,27730,27544,30966,32113,34194,34387,40776,43706,57048,61527,135695,138014,143992,134833,128172,138354,132244,139263,144266,129495,127136,120406,118310,115095,120700,119307,117208,120829,122370
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,1773,1872,-656,2211,2645,3046,3415,3780,3763,3542,2922,4352,5186,6481,6923,8684,10340,12075,13436,12736,11797,10756,11312,11643,7036,10508,15326,9750,3897,13027,14306,14742,14653,14879
Cash from Operating Activities,CF_CASH_FROM_OPER,2069,3070,3338,3649,3568,4158,5882,4885,5544,4675,5804,7742,8700,9362,8679,11375,13435,15008,14919,16131,13231,13284,14873,13958,14608,15435,12753,14867,15242,17403,18371,16723,16848,19845
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-1797,-1620,-1186,-1736,-1836,-1777,-1609,-2004,-2394,-2599,-1698,-1452,-1339,-1794,-1664,-1785,-2664,-2118,-2151,1,-3081,-1071,-3424,-3271,762,-2882,-2813,-3448,-2953,-3043,-2745,-3046,-3016,-2976
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,182,291,725,105,310,402,520,555,434,419,788,227,143,230,517,882,281,928,1087,3068,225,2893,584,577,4498,432,571,269,394,30,42,110,46,346
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-1979,-1911,-1911,-1841,-2146,-2179,-2129,-2559,-2828,-3018,-2486,-1679,-1482,-2024,-2181,-2667,-2945,-3046,-3238,-3067,-3306,-3964,-4008,-3848,-3736,-3314,-3384,-3717,-3347,-3073,-2787,-3156,-3062,-3322
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,-368,-425,-474,-134,-1145,-24,-137,-186,-16,-109,-3945,-58,-34,-1381,-765,-21
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,-368,-425,-474,-134,-1145,-24,-137,-186,-16,-109,-3945,-58,-34,-1381,-765,-21
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-386,-1240,-444,-272,-527,-689,-459,-3206,219,-2746,-145,-5383,-168,-7597,-672,1055,181,-431,166,-173,73,112,-1726,-805,-3515,-2507,-2860,46,3408,6146,-55,3,281,-507
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-2183,-2860,-1630,-2008,-2363,-2466,-2068,-5210,-2175,-5345,-1843,-6835,-1507,-9391,-2336,-730,-2483,-2549,-2353,-597,-3482,-1093,-6295,-4100,-2890,-5575,-5689,-3511,-3490,3045,-2834,-4424,-3500,-3504
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-753,-788,-850,-949,-1062,-1202,-1329,-1462,-1626,-1796,-1943,-2095,-2246,-2539,-2731,-3703,-4209,-4655,-5044,-5458,-5767,-6139,-6519,-6911,-7287,-7436,-7236,-7310,-7498,-7789,-8263,-8770,-8999,-9312
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,681,1019,-215,-664,-490,-38,-660,2853,1341,3030,38,2623,-1882,5686,3111,8636,-4190,-2009,-81,-6514,1481,-1976,1985,3543,-3954,1285,1399,-1238,-817,4849,-3903,1892,2937,-2442
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,163,-49,22,22,-48,-343,-1518,-1771,-2321,-1430,-1109,-331,-967,-3515,-4505,-15511,-4079,-8180,-5689,-5342,-5737,-2295,-2537,-3911,-1778,-1332,-2731,-5827,-1679,-5427,-9365,-7998,-6084,-3101
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,1000,0,77,36,66,89,134,158,212,336,141,237,269,555,521,1319,1499,1867,681,662,1302,1729,3449,2094,2826,2672,2473,1177,3324,1978,1644,2005,1269,1905
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-837,-49,-55,-14,-114,-432,-1652,-1929,-2533,-1766,-1250,-568,-1236,-4070,-5026,-16830,-5578,-10047,-6370,-6004,-7039,-4024,-5986,-6005,-4604,-4004,-5204,-7004,-5003,-7405,-11009,-10003,-7353,-5006
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,0,0,-119,1,50,-63,-31,-96,-18,-13,-56,17,387,-46,-61,237,187,344,0,0,0,0,0,0,0,-1730,0,0,0,0,0,0,0,0
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,91,182,-1162,-1590,-1550,-1646,-3538,-476,-2624,-209,-3070,214,-4708,-414,-4186,-10341,-12291,-14500,-10814,-17314,-10023,-10410,-7071,-7279,-13019,-9213,-8568,-14375,-9994,-8367,-21531,-14876,-12146,-14855
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,-284,-122,163,-113,4,39,-411,-381,-29,19,-88,-139,101,-497,-170,-251
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-23,392,546,51,-345,46,276,-801,745,-879,891,1121,2485,-443,2157,304,-1339,-2041,1468,-1902,-111,1668,1511,2618,-1712,266,-1533,-3000,1670,11942,-5893,-3074,1032,1235
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,1339,1380,2056,1957,1712,1701,941,1703,1634,2644,2869,4116,3499,3248,4175,2992,4348,3780,3320,4558,3730,3714,2830,3064,3550,3822,3818,4278,4363
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,358,150,3269,137,2967,138,5471,61,7476,572,-171,492,381,368,425,474,134,1145,24,137,186,16,109,3945,58,34,1381,765,21
Free Cash Flow,CF_FREE_CASH_FLOW,90,1159,1427,1808,1422,1979,3753,2326,2716,1657,3318,6063,7218,7338,6498,8708,10490,11962,11681,13064,9925,9320,10865,10110,10872,12121,9369,11150,11895,14330,15584,13567,13786,16523
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,350.6383,1489.9255,1852.467,2126.5003,1744.69,2294.7558,4050.3243,2688.9012,3134.9705,2118.9444,3820.6144,6474.1321,7604.3673,7773.9945,7076.4773,9490.8402,11406.6118,11963.1636,12687.2749,13754.412,10570.4215,9881.6499,11380.2444,10669.3695,11343.0917,12555.2608,9726.5628,11524.4309,12227.6238,14714.7982,15993.0096,13927.8851,14393.0903,17261.2842
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,1870,2366,1818,1120,1111,2213,3482,5592,4342,4947,3987,8722,5300,13069,9947,18046,6375,10665,12453,9352,11355,9942,13132,13951,10771.9344,14866.318,11008.0932,8957.6544,11170,18915,11425,15708.1045,16732.1936,14107.8525
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,0.0326,0.4277,0.5243,0.6617,0.5182,0.7209,1.3795,0.8657,1.0225,0.6309,1.2759,2.3366,2.7834,2.8441,2.5831,2.8462,3.3184,3.8828,3.9567,4.5036,3.5396,3.3875,3.9611,3.7172,4.0093,4.4911,3.6061,4.4083,4.684,5.7594,6.318,5.5218,5.7108,7.001
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,331.87,27.4335,25.5686,21.5358,29.91,28.7837,19.5047,46.0964,44.651,86.8301,30.7391,16.9327,15.4378,17.5593,21.3234,20.3358,19.3679,18.9092,15.6241,13.4626,18.1744,19.693,17.139,21.901,22.7197,17.6817,23.3161,20.8423,19.6243,21.6863,22.0228,29.6245,26.539,20.9314
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.1669,1.64,,1.6504,1.349,1.3651,1.7224,1.2923,1.4733,1.3199,1.9863,1.779,1.6776,1.4445,1.2536,1.3099,1.2993,1.1084,1.1104,1.2666,1.1216,1.235,1.3148,1.1988,2.0762,1.4689,0.8321,1.5248,3.9112,1.3359,1.2841,1.1344,1.1498,1.3338
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,27026,29362,30433,30296,33482,35284,35764,37154,38125,39951,39244,40238,43377,51407,56741,68222,76476,81748,76694,77567,82559,82006,80116,74401,70749,65299,65058,66832,67684,70950,76118,80187,82006,84039
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,76694,77567,82559,82006,80116,74401,70749,65299,65058,66832,67684,70950,76118,80187,82006,84039
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,16081,17324,17683,17355,19561,20762,20316,21064,21206,21514,22102,20989,22141,25076,27872,33125,36686,39536,38690,37042,40768,41411,39991,39030,37056,32909,32535,34432,34768,35250,37108,42157,42760,40848
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,38690,37042,40768,41411,39991,39030,37056,32909,32535,34432,34768,35250,37108,42157,42760,40848
Gross Profit,GROSS_PROFIT,10945,12038,12750,12941,13921,14522,15448,16090,16919,18437,17142,19249,21236,26331,28869,35097,39790,42212,38004,40525,41791,40595,40125,35371,33693,32390,32523,32400,32916,35700,39010,38030,39246,43191
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,8243,9171,9589,9361,9677,9707,9960,10035,10666,12483,12406,12571,13383,16504,18400,21848,24340,25575,22630,24793,25973,27560,26308,21461,22644,18949,18568,19037,27429,19994,21024,20217,21112,24646
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,9707,9960,10035,10666,12483,12406,12571,13383,16504,18400,21848,24340,25575,20766,22862,23991,23997,24060,19551,18625,17070,16694,17129,17184,18194,19124,18217,19112,21305
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,5917,6773,7937,8583,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
