Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Procter & Gamble Co/The (PG US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,
date,,09/30/2000,,12/31/2000,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,,09/30/2004,
Revenue,,9969,1.0,10182,1.0,9511,1.0,9582,1.0,9766,1.0,10403,1.0,9900,1.0,10169,1.0,10796,1.0,11005,1.0,10656,1.0,10920,1.0,12195,1.0,13221,1.0,13029,1.0,12962,1.0,13744,1.0
  P&G Family Health,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4694,0.33772213828333
    Baby & Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,2426,0.222303674516632,2526,0.22812246003793,2473,0.230174981384959,2508,0.227627518605918,2607,0.210632625030298,2673,0.199313995973455,2707,0.203963230861965,2731,0.208139623504306,2850,0.205050723073602
    Health Care,,—,,1150,0.113166699468609,1097,0.115182696346073,1116,0.115146512587701,1176,0.120208524992334,1341,0.128374497415279,1215,0.122257999597505,1247,0.122410915873172,1410,0.129203702006781,1567,0.141515397814504,1428,0.132911392405063,1391,0.126247957887094,1728,0.139613799789933,1908,0.142271269853106,1719,0.129520795660036,—,,1844,0.132671415209727
  P&G Beauty,,1865,0.186090600678507,1858,0.182838024011021,1780,0.186896262074759,1754,0.180973999174577,1772,0.181130532556475,2060,0.197204671644649,2109,0.212215737572952,2138,0.209875331304604,3123,0.286172454870338,2997,0.270658358168518,3026,0.281645569620253,3075,0.279088763840987,3753,0.303223721418761,4492,0.334948922526284,4465,0.336422543701025,4412,0.33625485862358,4655,0.334916181020217
  P&G Household Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4550,0.327361680696453
    Fabric & Home Care,,3075,0.306824985032928,2929,0.288230663255265,2773,0.291159176816464,2883,0.297461824184895,2883,0.294694878871512,2967,0.284032165422171,2837,0.285469913463474,2931,0.287719642681849,3132,0.286997159351232,3102,0.280140883229477,3061,0.284903201787044,3265,0.296333272826284,3393,0.274137513129191,3407,0.254045186786966,3581,0.269816154309825,3487,0.265757183141529,3810,0.274120440319447
    Snacks & Coffee,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,740,0.0532412403770055
  Corporate,,-53,,20,,-13,,-110,,-17,,-43,,-38,,-18,,-117,,-68,,-88,,-98,,-182,,-190,,-243,,-159,,-155,
  Health Care,,990,0.098782678108162,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1636,0.124685618474202,—,
  Snacks & Beverages,,1053,0.105068848533227,1178,0.115922062586105,938,0.0984880302393952,970,0.10008254230293,955,0.0976183174895226,1053,0.100804135554279,879,0.0884483799557255,914,0.0897221949543536,822,0.0753230092550169,881,0.079562900749571,756,0.0703648548026806,779,0.0707024868397168,896,0.0723923406318171,931,0.0694206248601894,800,0.0602772754671489,855,0.0651627162563829,—,
"  Baby , Feminine & Family Care",,3039,0.303232887647176,3047,0.299842550679,2936,0.30827383452331,2969,0.306335121749897,2997,0.306347746090156,3025,0.289584529963622,2898,0.291607969410344,2957,0.290271915186021,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Family Health,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,34,
    Baby & Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13,
  P&G Beauty,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,34,
  P&G Household Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,32,
    Fabric & Home Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,27,
    Snacks & Coffee,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5,
Pretax Income,,1703,1.0,1781,1.0,1325,1.0,-193,,1627,1.0,1914,1.0,1548,1.0,1294,1.0,2138,1.0,2179,1.0,1856,1.0,1357,1.0,2542,1.0,2622,1.0,2206,1.0,1980,1.0,2790,1.0
  P&G Household Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,997,0.350932770151355
    Fabric & Home Care,,736,0.393162393162393,590,0.305383022774327,510,0.333115610711953,591,0.433920704845815,665,0.326620825147348,660,0.312796208530806,716,0.379237288135593,687,0.39988358556461,809,0.335684647302904,768,0.309178743961353,752,0.360671462829736,751,0.386714727085479,832,0.298743267504488,843,0.278954334877565,830,0.330809087285771,782,0.345864661654135,877,0.308694121788103
    Snacks & Coffee,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,120,0.0422386483632524
  P&G Beauty,,384,0.205128205128205,412,0.213250517598344,356,0.232527759634226,252,0.185022026431718,458,0.224950884086444,441,0.209004739336493,402,0.212923728813559,363,0.211292200232829,804,0.333609958506224,731,0.294283413848631,685,0.328537170263789,679,0.349639546858908,913,0.327827648114901,1047,0.346459298477829,910,0.362694300518135,792,0.350287483414418,983,0.346004927842309
  P&G Family Health,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,861,0.303062302006336
    Baby & Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,400,0.16597510373444,443,0.178341384863124,334,0.160191846522782,271,0.139546858908342,472,0.169479353680431,444,0.14692256783587,357,0.142287764049422,350,0.154798761609907,501,0.176346356916579
    Health Care,,—,,252,0.130434782608696,144,0.0940561724363161,71,0.052129221732746,210,0.103143418467584,264,0.125118483412322,188,0.0995762711864407,133,0.0774155995343423,275,0.114107883817427,374,0.150563607085346,227,0.108872901678657,158,0.0813594232749743,406,0.145780969479354,500,0.165453342157512,320,0.127540852929454,—,,360,0.126715945089757
  Corporate,,-169,,-151,,-206,,-1555,,-409,,-196,,-340,,-424,,-272,,-305,,-229,,-585,,-243,,-400,,-303,,-281,,-51,
  Health Care,,117,0.0625,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,222,0.0981866430782839,—,
  Snacks & Beverages,,122,0.0651709401709402,195,0.100931677018634,118,0.0770738079686479,112,0.0822320117474303,154,0.0756385068762279,192,0.0909952606635071,132,0.0699152542372881,126,0.0733410942956927,122,0.0506224066390041,168,0.0676328502415459,87,0.041726618705036,83,0.0427394438722966,162,0.0581687612208258,188,0.0622104566512244,92,0.036667995217218,115,0.0508624502432552,—,
"  Baby , Feminine & Family Care",,513,0.274038461538462,483,0.25,403,0.263226649248857,336,0.246696035242291,549,0.269646365422397,553,0.262085308056872,450,0.238347457627119,409,0.238067520372526,—,,—,,—,,—,,—,,—,,—,,—,,—,
Net Income,,1155,1.0,1194,1.0,893,1.0,-320,,1104,1.0,1299,1.0,1039,1.0,910,1.0,1464,1.0,1494,1.0,1273,1.0,955,1.0,1761,1.0,1818,1.0,1528,1.0,1374,1.0,1942,1.0
  P&G Beauty,,267,0.2136,286,0.227164416203336,243,0.246700507614213,176,0.198870056497175,326,0.240235814296242,334,0.237891737891738,269,0.222866611433306,248,0.222421524663677,548,0.337646333949476,507,0.305421686746988,463,0.340691685062546,466,0.35984555984556,616,0.331539289558665,681,0.342727730246603,593,0.363803680981595,532,0.361658735554045,674,0.356425171866737
  P&G Household Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,663,0.350608143839238
    Fabric & Home Care,,498,0.3984,390,0.309769658459095,348,0.353299492385787,405,0.457627118644068,450,0.331613854089904,437,0.311253561253561,472,0.391052195526098,472,0.423318385650224,547,0.337030191004313,514,0.309638554216867,499,0.367181751287712,499,0.385328185328185,562,0.302475780409042,570,0.286864620030196,548,0.336196319018405,523,0.355540448674371,585,0.309360126916975
    Snacks & Coffee,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,78,0.0412480169222634
  P&G Family Health,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,554,0.292966684294024
    Baby & Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,241,0.14849044978435,276,0.166265060240964,200,0.147167034584253,165,0.127413127413127,295,0.158772874058127,281,0.141419224962255,219,0.134355828220859,201,0.136641740312712,309,0.163405605499736
    Health Care,,—,,164,0.130262112787927,91,0.0923857868020304,54,0.0610169491525424,140,0.103168754605748,172,0.122507122507123,124,0.102734051367026,85,0.0762331838565022,196,0.120764017252002,253,0.152409638554217,147,0.108167770419426,110,0.0849420849420849,276,0.148546824542519,333,0.16758933064922,215,0.131901840490798,—,,245,0.129561078794289
  Corporate,,-95,,-65,,-92,,-1205,,-253,,-105,,-168,,-205,,-159,,-166,,-86,,-340,,-97,,-169,,-102,,-97,,51,
  Health Care,,81,0.0648,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,138,0.0938137321549966,—,
  Snacks & Beverages,,75,0.06,124,0.0984908657664813,67,0.0680203045685279,67,0.0757062146892655,99,0.0729550478997789,126,0.0897435897435897,79,0.0654515327257664,80,0.0717488789237668,91,0.0560690080098583,110,0.0662650602409639,50,0.0367917586460633,55,0.0424710424710425,109,0.0586652314316469,122,0.0613990941117262,55,0.0337423312883436,77,0.0523453433038749,—,
"  Baby , Feminine & Family Care",,329,0.2632,295,0.234312946783161,236,0.239593908629442,183,0.206779661016949,342,0.252026529108327,335,0.238603988603989,263,0.217895608947804,230,0.20627802690583,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Beauty,,2,,5,,6,,-1,,0,,2,,18,,22,,32,,10,,10,,10,,20,,50,,48,,21,,24,
  Fabric & Home Care,,3.08,,4,,5,,0,,-3,,1,,2,,2,,9,,5,,8,,11,,8,,10,,17,,9,,12,
  Baby & Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,6,,7,,9,,9,,7,,6,,9,,7,,9,
  Health Care,,—,,31,,2,,16,,21,,17,,11,,12,,20,,17,,18,,12,,23,,22,,20,,—,,7,
  Snacks & Coffee,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,
  Health Care,,24,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12,,—,
  Snacks & Beverages,,11,,11,,4,,-14,,0,,-11,,6,,-6,,3,,1,,1,,-6,,9,,6,,6,,-11,,—,
"  Baby , Feminine & Family Care",,3.04,,3.05,,3,,2,,2,,-1,,-1,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Foreign Currency Growth,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Beauty,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,
  Baby & Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,
  Fabric & Home Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,
  Snacks & Coffee,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2,
  Health Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2,
Acquisition/Divestiture & Other Growth,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
