Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Procter & Gamble Co/The (PG US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,,Q4 2024,,Q1 2025,
date,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Revenue,,18495,1.0,16930,1.0,16553,1.0,16527,1.0,16915,1.0,15755,1.0,16102,1.0,16518,1.0,16856,1.0,15605,1.0,16079,1.0,16653,1.0,17395,1.0,16281,1.0,16503,1.0,16690,1.0,17438,1.0,16462,1.0,17094,1.0,17798,1.0,18240,1.0,17214,1.0,17698,1.0,19318,1.0,19745,1.0,18109,1.0,18946,1.0,20338,1.0,20953,1.0,19381,1.0,19515,1.0,20612,1.0,20773,1.0,20068,1.0,20553,1.0,21871,1.0,21441,1.0,—,,20532,1.0,21737,1.0
  Fabric & Home Care,,5773,0.314057229898814,5248,0.312213695044322,5321,0.323602748890105,5251,0.31979293544458,5347,0.31819804808379,5028,0.321298485526232,5104,0.318920269932517,5302,0.323056300268097,5270,0.315229094389281,4957,0.320447346305514,5188,0.325184906606494,5383,0.325355092172862,5434,0.314686124623581,5262,0.326062709133722,5362,0.3272705078125,5488,0.331121032943164,5557,0.32104685423768,5382,0.32939592386315,5653,0.332960301566733,5832,0.329435688866294,5787,0.318930834940755,5826,0.340741607205521,6290,0.357203702652053,6644,0.345591677503251,6498,0.330804866873695,6275,0.348824281505364,6597,0.350512725147442,7009,0.346980198019802,6972,0.335176193452238,6699,0.349525200876552,6876,0.356713010998132,7082,0.347855985068029,7032,0.341392368191087,7016,0.352651419954763,7241,0.355142478787582,7646,0.351912367100842,7415,0.347860761869019,—,,7265,0.357371243051798,7710,0.357374617595254
"  Baby , Feminine & Family Care",,5217,0.283810249156784,4890,0.290915580938783,4818,0.293012224046707,4658,0.2836784409257,4710,0.280290407045941,4506,0.287941721515752,4631,0.289365158710322,4595,0.279978064830612,4645,0.277844239741596,4471,0.289029672247721,4541,0.284630813589069,4545,0.274705349048051,4613,0.267141533472319,4458,0.276242409220473,4464,0.2724609375,4390,0.264872692168457,4558,0.263331214974869,4357,0.266662586449599,4501,0.265107786547296,4567,0.257978873637237,4582,0.252521355745384,4597,0.268861855187741,4618,0.262252257368391,4723,0.245669700910273,4858,0.247314564984982,4604,0.255934182000111,4665,0.247861431379842,4864,0.240792079207921,5116,0.24594971395606,4935,0.257487216946676,4821,0.250103755965968,4934,0.24234982071811,5065,0.245897659966987,5062,0.254435787886404,5156,0.25288145568689,5186,0.238689188567221,5146,0.24141489960593,—,,5009,0.246396773082788,5102,0.23648836562529
  Beauty,,3297,0.179360243716679,2961,0.176155630912011,2907,0.176792556102901,3041,0.185200974421437,2963,0.176327064984527,2719,0.173749121349607,2754,0.172081979505124,2996,0.182549354131124,2942,0.175977987797583,2675,0.172926498157606,2816,0.176507458944465,3138,0.189664551223935,3233,0.187224924716238,2934,0.181806915355063,3101,0.18927001953125,3289,0.19844334499819,3357,0.193945346351609,3061,0.187343166656466,3190,0.187890210861114,3552,0.200643958651076,3598,0.198291540369248,3033,0.177389168323781,3176,0.180362314725424,3786,0.196931079323797,3806,0.193758590846612,3316,0.184334871310245,3510,0.186493810105733,3964,0.196237623762376,3926,0.188740925917023,3389,0.176823541688407,3461,0.179549699107699,3961,0.194557689473943,3807,0.18482376929799,3494,0.175622015581804,3746,0.18372651920153,4097,0.188567220509044,3849,0.180568586976919,—,,3724,0.183186580746716,3892,0.18040233614536
  Health Care,,2088,0.113589380916114,1909,0.113570111249926,1705,0.10369154047315,1796,0.109378806333739,1978,0.117710069031183,1773,0.113297974311458,1803,0.112659335166208,1861,0.11339263953205,2072,0.123938270128006,1841,0.119012217984356,1739,0.109000877522878,1902,0.114959202175884,2212,0.128098216353949,1934,0.119841368199281,1809,0.11041259765625,1845,0.111318933268976,2220,0.128256976139581,2115,0.12944488646796,2038,0.120037695841677,2221,0.125458961757894,2530,0.139432350509782,2262,0.132296174991227,2015,0.114430120960872,2471,0.12853055916775,2746,0.139795346942931,2356,0.130968925454444,2383,0.1266138887413,2676,0.132475247524752,2976,0.143070044709389,2662,0.138891787540436,2510,0.130213737289894,2757,0.135419224912815,3051,0.148121176813283,2828,0.142146267906509,2590,0.127029280494384,3074,0.141482947484696,3172,0.14880840683055,—,,2674,0.131536229032417,3147,0.145870028738296
  Grooming,,2007,0.109182896311609,1801,0.107144981854959,1692,0.102900930487137,1674,0.101948842874543,1806,0.107474410854558,1623,0.103712697296952,1712,0.106973256685829,1658,0.101023641238118,1789,0.107010407943534,1525,0.0985842653048032,1670,0.104675943337094,1577,0.0953158053792687,1776,0.102849200833912,1550,0.0960465980914611,1648,0.1005859375,1562,0.094243996621214,1617,0.0934196082962621,1424,0.0871534365628251,1596,0.0940040051831782,1531,0.0864825170874993,1648,0.0908239184348305,1380,0.08071119429173,1510,0.0857516042932591,1601,0.0832769830949285,1735,0.0883266303517793,1438,0.0799377397298349,1666,0.0885181446256841,1687,0.0835148514851485,1811,0.0870631219652901,1481,0.0772722529479286,1608,0.0834197966383067,1625,0.0798172798271035,1643,0.0797650257306535,1495,0.0751445086705202,1656,0.081220265829614,1724,0.0793482763381967,1734,0.081347344717583,—,,1657,0.0815091740862807,1723,0.0798646518958005
  Corporate,,113,,121,,110,,107,,111,,106,,98,,106,,138,,136,,125,,108,,127,,143,,119,,116,,129,,123,,116,,95,,95,,116,,89,,93,,102,,120,,125,,138,,152,,215,,239,,253,,175,,173,,164,,144,,125,,—,,203,,163,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Fabric & Home Care,,29,,29,,—,,32,,32,,32,,—,,32,,31,,32,,—,,33,,31,,33,,—,,33,,32,,33,,—,,33,,32,,34,,—,,34,,33,,35,,—,,35,,33,,35,,—,,35,,34,,35,,—,,35,,35,,36,,—,,36,
"  Baby , Feminine & Family Care",,26,,27,,—,,28,,28,,29,,—,,28,,28,,29,,—,,27,,27,,28,,—,,27,,26,,26,,—,,26,,25,,27,,—,,25,,25,,26,,—,,24,,25,,26,,—,,24,,25,,25,,—,,24,,24,,24,,—,,24,
  Beauty,,25,,23,,—,,19,,17,,17,,—,,18,,18,,17,,—,,19,,19,,18,,—,,20,,20,,19,,—,,20,,20,,18,,—,,20,,19,,18,,—,,20,,19,,17,,—,,19,,18,,18,,—,,19,,18,,18,,—,,18,
  Health Care,,10,,11,,—,,11,,12,,11,,—,,12,,12,,12,,—,,11,,13,,12,,—,,11,,13,,13,,—,,12,,14,,13,,—,,13,,14,,13,,—,,13,,14,,14,,—,,14,,15,,14,,—,,14,,15,,14,,—,,15,
  Grooming,,10,,10,,—,,10,,11,,11,,—,,10,,11,,10,,—,,10,,10,,9,,—,,9,,9,,9,,—,,9,,9,,8,,—,,8,,9,,8,,—,,8,,9,,8,,—,,8,,8,,8,,—,,8,,8,,8,,—,,8,
% of Revenue - Supplementary,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Fabric Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,22,,21,,22,,—,,23,,22,,22,,—,,23,,22,,23,,—,,22,,22,,23,,—,,23,,22,,23,,—,,23,,23,,23,,—,,23,,23,,23,,—,,23,
  Home Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10,,10,,11,,—,,10,,9,,11,,—,,10,,10,,11,,—,,12,,11,,12,,—,,11,,11,,12,,—,,12,,11,,12,,—,,12,,12,,13,,—,,13,
  Skin and Personal Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9,,9,,9,,—,,9,,10,,10,,—,,10,,10,,9,,—,,10,,10,,9,,—,,10,,10,,9,,—,,10,,10,,9,,—,,10,,9,,9,,—,,9,
  Hair Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11,,10,,10,,—,,10,,10,,9,,—,,10,,10,,9,,—,,10,,9,,9,,—,,10,,9,,8,,—,,9,,8,,9,,—,,9,,9,,9,,—,,9,
  Baby Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13,,13,,13,,—,,12,,12,,12,,—,,11,,11,,11,,—,,10,,10,,11,,—,,10,,11,,11,,—,,10,,10,,10,,—,,9,,9,,9,,—,,9,
  Shave Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,,8,,8,,—,,8,,7,,8,,—,,7,,7,,7,,—,,6,,7,,7,,—,,7,,7,,7,,—,,8,,8,,8,,—,,8,,8,,—,,—,,8,
  Oral Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,,9,,8,,—,,8,,9,,8,,—,,7,,9,,8,,—,,8,,9,,8,,—,,8,,8,,8,,—,,8,,8,,8,,—,,8,,9,,8,,—,,8,
  Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,,8,,8,,—,,9,,9,,8,,—,,9,,8,,9,,—,,9,,9,,9,,—,,8,,8,,9,,—,,8,,8,,9,,—,,8,,9,,9,,—,,8,
  Personal Health Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4,,5,,—,,5,,5,,5,,—,,5,,5,,5,,—,,5,,6,,6,,—,,6,,7,,6,,—,,6,,6,,6,,—,,7,
  Feminine Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,6,,—,,6,,6,,6,,—,,6,,6,,7,,—,,6,,6,,6,,—,,6,,6,,6,,—,,6,,7,,6,,—,,7,,6,,6,,—,,6,
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5,,2,,1,,—,,2,,2,,1,,—,,2,,2,,1,,—,,2,,2,,1,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,
