Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Chevron Corp (CVX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,12/31/2000,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,32219,1.0,27248,1.0,29120,1.0,23750,1.0,21498,1.0,19156,1.0,25252,1.0,25681,1.0,25158,1.0,28767,1.0,27229,1.0,28227,1.0,28307,1.0,31206,1.0,34658,1.0
"  Downstream- Refining, Marketing and Transportation",,26801,0.831838356249418,20943,0.660287533892427,22810,0.69610595703125,20643,0.722591711005321,16080,0.747976555958694,12987,0.677959908122781,22174,0.764172726332839,23056,0.790617927439819,18048,0.717386119723348,26379,0.773328251883557,25225,0.767300380228137,26415,0.788013484084604,26527,0.795531563952616,28992,0.767085593332452,32650,0.788171394085697
    International,,12265,0.380675998634346,12105,0.381644492086512,13201,0.402862548828125,11267,0.39439232707925,8265,0.384454367848172,5834,0.304552098559198,12442,0.428783127132371,12389,0.424833687675742,11720,0.465855791398362,14229,0.417138166573832,13209,0.401794676806084,13825,0.41242803019003,14619,0.438416554206028,15566,0.411853419764519,17260,0.416656608328304
    United States,,14536,0.451162357615072,8838,0.278643041805915,9609,0.293243408203125,9376,0.328199383926071,7815,0.363522188110522,7153,0.373407809563583,9732,0.335389599200469,10667,0.365784239764077,6328,0.251530328324986,12150,0.356190085309724,12016,0.365505703422053,12590,0.375585453894573,11908,0.357115009746589,13426,0.355232173567932,15390,0.371514785757393
  Upstream- Exploration and production,,5066,0.157236413296502,10372,0.327006746957564,9208,0.281005859375,7359,0.257595911509381,5066,0.235649827890967,5303,0.276832324076007,6219,0.21432263845332,5532,0.189698923256292,6917,0.27494236425789,7278,0.213362258508985,7199,0.218980988593156,6656,0.198562095402882,7019,0.2104963262858,8224,0.217594919962958,8159,0.196958358479179
    International,,2045,0.0634718644278221,3953,0.124629547890788,4879,0.148895263671875,4170,0.145967516101932,2045,0.0951251279188762,3217,0.167936938818125,3712,0.127925009477203,3349,0.114841231739936,4641,0.184474123539232,3568,0.104599689249802,3635,0.110570342205323,3704,0.110497896840786,4005,0.120107962213225,3922,0.103770339992062,4315,0.104164152082076
