Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
PetroChina Co Ltd (857 HK) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,600580,1.0,528414,1.0,410336,1.0,467288,1.0,427481,1.0,420323,1.0,352830,1.0,386237,1.0,411370,1.0,466466,1.0,493559,1.0,482350,1.0,481795,1.0,558186,1.0,542654,1.0,576983,1.0,607080,1.0,648217,1.0,594815,1.0,601444,1.0,618143,1.0,702408,1.0,509098,1.0,419947,1.0,497125,1.0,507666,1.0,551923,1.0,644658,1.0,683760,1.0,734008,1.0,779368,1.0,835253,1.0,840780,1.0,783766,1.0,732471,1.0,747400,1.0,802264,1.0,728877,1.0,812184,1.0,741685,1.0
  Marketing,,454530,0.757312708684612,382013,0.724502916878447,281863,0.68736678843687,355023,0.760214045275843,306298,0.717179403728046,293523,0.699725614625622,238601,0.676747879853646,288622,0.748070353686415,312998,0.761287435271913,335051,0.719217353039036,351814,0.713025678441864,367853,0.763057015669663,358782,0.745217532184295,402315,0.721568775154424,381489,0.703180902420007,424427,0.735825341017053,462280,0.761914179996209,454159,0.701830921054665,412925,0.694412912708383,454080,0.755411302222747,471352,0.763347800738485,511877,0.729655952971497,349402,0.686470864449304,263365,0.627534657192827,310512,0.62512607731937,297751,0.588179169341696,337530,0.611685692176375,452458,0.702358591613138,492323,0.720566883865793,490266,0.669386451050025,525220,0.674161918490099,594385,0.712326288187836,615139,0.732119202539344,516648,0.65967302869809,465446,0.635834344229151,523876,0.701539466918067,578935,0.722445108597313,424381,0.583450651943181,505692,0.623173242930501,490160,0.661581798132249
    Intersegment Sales,,—,,-54405,-0.103181256116341,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Marketing Gross,,—,,436418,0.827684172994788,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Natural Gas Marketing,,58078,0.0967663465447493,77667,0.147298568491644,70110,0.170974145373139,55947,0.119799830408305,59109,0.138400372757775,70353,0.167713590300441,64278,0.182312732223388,43742,0.113373524578692,45686,0.111119488839649,65987,0.141647079026736,73746,0.149461907946738,54107,0.112237023884102,56302,0.116943540916323,81155,0.145554885966611,90492,0.166799688121522,67038,0.116223188466099,67866,0.11185443397859,101331,0.156591037635256,105666,0.177697729210496,69794,0.11610988466203,69794,0.113030381550819,105117,0.149839209045346,96201,0.189006312588043,65855,0.156916427199642,70098,0.14112204284515,103180,0.203822410983258,110523,0.20029430793236,78335,0.121600812172655,82125,0.120198640602771,126513,0.172734980768994,137636,0.176666824974874,105046,0.125889831117844,111639,0.132869246873129,142734,0.1822474297359,153443,0.209614712085943,110222,0.147601881213576,110093,0.137383556601007,160184,0.220225361717104,170072,0.209582749522785,112524,0.151876591833347
    Intersegment Sales,,—,,-7156,-0.0135716399001661,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
