Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,103206,1.0,83868,1.0,64758,1.0,71360,1.0,65679,1.0,57691,1.0,47105,1.0,56360,1.0,56767,1.0,58376,1.0,56474,1.0,56026,1.0,59350,1.0,65312,1.0,65436,1.0,71456,1.0,74187,1.0,68253,1.0,61646,1.0,67491,1.0,63422,1.0,63024,1.0,55134,1.0,32277,1.0,45425,1.0,45738,1.0,57552,1.0,65943,1.0,71892,1.0,81305,1.0,87734,1.0,111265,1.0,106512,1.0,93164,1.0,83644,1.0,80795,1.0,88570,1.0,81688,1.0,80411,1.0,89986,1.0
  Energy Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,48695,0.738496769692742,55293,0.769186895736245,62494,0.769715855205626,—,,87277,0.784463000080894,81539,0.765566905772336,70593,0.757866597958066,64900,0.775990912895319,65073,0.805438657292801,72546,0.819367736251821,65864,0.80653417092196,64212,0.798785873337729,69429,0.771767766031947
    Non-U.S.,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,29925,0.453835421153205,34305,0.477220560617653,39286,0.483871365052777,—,,52804,0.474612833349812,50215,0.471466932061441,43419,0.466134175013688,39976,0.477981706223471,38945,0.482040301019903,45295,0.511582466483696,40299,0.493479299070571,39409,0.4902409593591,43014,0.478140527561943
    United States,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,18770,0.284661348539537,20988,0.291966335118592,23208,0.285844490152849,—,,34473,0.309850166731082,31324,0.294099973710895,27174,0.291732422944378,24924,0.298009206671848,26128,0.323398356272898,27251,0.307785269768125,25565,0.313054871851389,24803,0.308544913978628,26415,0.293627238470004
  Upstream,,9140,0.0885633169578404,8022,0.0956514481261998,6247,0.0964698251899438,6617,0.0927296168614591,5875,0.0894529287269516,5314,0.0921146145712354,4469,0.0948771840434792,4946,0.0877681756073324,5329,0.0939014290497084,5436,0.0931140801644399,5833,0.103312079348211,5793,0.103424266228665,5915,0.0996848509361781,6316,0.0966961633852843,5989,0.0915427296210813,6135,0.0858714517664185,6857,0.0924447919756249,6536,0.0957613584750854,6497,0.105409176455318,6303,0.0934040692935789,5010,0.0790071279883934,5333,0.0846333296303937,4344,0.0787984327383544,3103,0.096163381678443,3437,0.0756848410111865,3665,0.0801478306508048,4979,0.0863689980571746,5518,0.083684673481149,4367,0.0607498087222647,6933,0.0853912379450924,8999,0.10257959351169,11059,0.0994004871603584,12933,0.121427498403876,12173,0.130685905074774,8157,0.097530938004424,5412,0.0669868303792455,6011,0.0678909858932222,5994,0.0733992138422541,5716,0.0711060246059686,10046,0.111670612821111
    United States,,3773,0.0365590147573229,3293,0.0392645498229339,2125,0.0328154920007412,2231,0.0312648897110345,2115,0.0322030543417026,1770,0.030681759087521,1450,0.0307836018937223,1771,0.0314268983017763,2152,0.0379200366513365,2179,0.037324426173347,2324,0.0411618845200142,2349,0.0419374419767193,2282,0.0384582975209397,2394,0.0366514590158915,2361,0.0360882258532932,2548,0.0356642965119534,2728,0.0367783859573435,2722,0.0398810308704379,2693,0.0436919981828801,2594,0.0384404499044175,1941,0.0306093483883177,2136,0.0338977671274182,1777,0.0322340734291104,1081,0.0335006817900087,1422,0.031313309257465,1596,0.0349020293911826,1885,0.0326984457396614,1726,0.0261761048257454,2072,0.0288238158169298,3200,0.0394132354571319,2656,0.0302757417898708,3958,0.0355752896446965,4163,0.0390862658204079,3802,0.0408172029158212,2770,0.0331201052191068,1673,0.0207074957916625,2587,0.0292187623533132,2470,0.030246255954349,2190,0.0272432109669474,6729,0.0747990796011605
