LLY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,709.8,680.7,821.5,750.8,830.7,805.3,861.1,782.4,791.2,716.9,771.8,728.3,949.3,882,961.2,987.1,1099,1275.4,1461.5,746.7,1130.1,1198.3,1055,1084.1,993.4,1220.1,866.4,955.1,1117.5,1953.2,1540.9,2024.6,1327.7999,1382.8,1616.4,1597.1,2450.4999,2096.8,3358.2,3836,3834.8,3627.1,3854.7,4618.2,3745.6,3498.9,3591.6,3731,3858,4089.6,4335.5,3654.7,3546.3,2985,3867,3713.3,3475.7,3411.5,4174.3,7464.4,5620.3,5402.5,6232,5037.7,4503.7,4590.7,3618.5,3891,3363.9,3004.4,3565.8,4831.2,5434.5,5170,6118.8,5926.1,3508.3,3490.4,3929.1,4497.6,4758.4,5196.6,6140.1,6727,6713.1,6329.8,6784.3,6897.1,4924.6,5261.5,6899.9,5684.3,4732.4,4711,5379.3,5397.3,5212.4,5126.5,4809.9,4827,4139.8,4230.9,4319.2,4451.8,2995,3934.8,4226.8,6038.6,3505.6,5434.1,6943.1,8034.1,4789.5,6909.5,9036.1,7408.9,2137.1,2367.9,1653,2438.5,1777.4,2387.9,3630.3,3681.3,3051.4,3271.2,3825.3,3908.6,2568.3,2736.7,2742.1,2211.8,3669.3,2829.1,2493.9,2927.7,2586.3,3364,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,419.3,459.1,494,350.2,302.8,230.4,293.5,479.2,351.3,425.4,355.2,432.4,594.6,447.7,636.1,539.6,604.9,706.8,999.6,536.9,978.8,989.7,976.2,999.5,898.4,1125,738.1,813.7,1042.1,1853,1504.1,1947.5,1264.7,1315.2,1543.5,1495.7,2404.3999,2031.7,3291.9,3700.4,3797.8,3370.5,3116.2,4114.9,3231.3,2971.8,2646.3,2702.3,2880.9,3051.2,2786.2,1945.9,2204.1,2037.3,2916.1,2756.3,2410.4,2396.7,2577.4,5365.3,5607.7,4642.4,4969.7,3006.7,2458.3,2669.7,2169.9,3109.3,2491.4,2220.5,2495.5,3220.5,3145.4,2868.3,4353.6,5496.7,3313.1,3322.3,3848.2,4462.9,4725.2,5163.5,5908.8,5993.2,6506.4,6113.5,6597.7,5922.5,4122.2,4345.8,5319.2,4018.8,3936.6,3786.5,4368.9,3830.2,3888,3765.7,3165.8,3871.6,3064.8,3315.5,3238.8,3666.4,2307.6,3238,3489,4582.1,2616.9,3069.9,3724.3,6536.2,3084.3,6817.3,8960,7320.7,2036.4,2290.2,1563.8,2337.5,1699,2365.1,3595.3,3657.1,3002.4,3220,3788.2,3818.5,2459.2,2622.9,2617.4,2067,3545.9,2694.5,2380.8,2818.6,2460.2,3223.6,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,290.5,221.6,327.5,400.6,527.9,574.9,567.6,303.2,439.9,291.5,416.6,295.9,354.7,434.3,325.1,447.5,494.1,568.6,461.9,209.8,151.3,208.6,78.8,84.6,95,95.1,128.3,141.4,75.4,100.2,36.8,77.1,63.1,67.6,72.9,101.4,46.1,65.1,66.3,135.6,37,256.6,738.5,503.3,514.3,527.1,945.3,1028.7,977.1,1038.4,1549.3,1708.8,1342.2,947.7,950.9,957,1065.3,1014.8,1596.9,2099.1,12.6,760.1,1262.3,2031,2045.4,1921,1448.6,781.7,872.5,783.9,1070.3,1610.7,2289.1,2301.7,1765.2,429.4,195.2,168.1,80.9,34.7,33.2,33.1,231.3,733.8,206.7,216.3,186.6,974.6,802.4,915.7,1580.7,1665.5,795.8,924.5,1010.4,1567.1,1324.4,1360.8,1644.1,955.4,1075,915.4,1080.4,785.4,687.4,696.8,737.8,1456.5,888.7,2364.2,3218.8,1497.9,1705.2,92.2,76.1,88.2,100.7,77.7,89.2,101,78.4,22.8,35,24.2,49,51.2,37.1,90.1,109.1,113.8,124.7,144.8,123.4,134.6,113.1,109.1,126.1,140.4,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,725.9,736.2,745.3,770.7,815.9,801,804.9,834.7,837.8,866.3,878.1,898.6,909.5,928.8,918.2,950.1,1003,995.4,1090.1,1550.2,1638,1549.2,1537,1520.5,1494.7,1435.9,1616.4,1474.6,1554.1,1387.8,1579.7,1544.3,1670.4,1650,1796.7,1967.9,1465.6,1383.8,1395.8,1443.2,1388,1440,1394.7,1630.7,1471.3,1521.8,1402.6,1406.2,1499.3,1655.2,1525.4,1670.3,1655.7,1684.4,1666.2,1854.7,1911.5,1973.6,1913.1,2058.7,2112.4,2085.7,2058.9,2313.3,2113.6,2101.8,2077.9,2298.6,2253.8,2414.2,2516.3,2673.9,2661.1,2739,2702,2778.8,2676.4,2841.3,3016.8,3334.5,3194.3,2983.9,3292.8,3480.1,3654.3,3804.6,3503,3575.4,3390,3174.7,3261.2,3325.3,3416.2,3543.9,3430,3407.6,2996.5,3180.4,3031.5,3123,3108.4,3338,3278.3,3429.8,3571.1,3917.7,3834.3,3995.2,4012.9,4318.6,4378.3,4544.7,4489.6,4790,4822.8,4524.7,4200.5,4595.6,4385.4,4528.9,5073.6,4827.7,4876,5834.2,5565.3,5801.7,5881.6,6658.1,6280.4,6329.8,6444.5,6638.9,7406,7371.3,7865.7,8492.8,7885.6,10942.1,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.1,1387.8,1579.7,,,1650,1796.7,,1465.6,1383.8,1395.8,,1388,1440,1394.7,1630.7,1471.3,1521.8,1402.6,,1499.3,1655.2,1525.4,,1655.7,1684.4,1666.2,1854.7,1911.5,1973.6,1913.1,2058.7,2112.4,2085.7,2058.9,2313.3,2113.6,2101.8,2077.9,2298.6,2253.8,2414.2,2516.3,2673.9,2661.1,2739,2702,2778.8,2676.4,2841.3,3016.8,3334.5,3194.3,2983.9,3292.8,3480.1,3654.3,3804.6,3503,3575.4,3390,3174.7,3261.2,3325.3,3416.2,3543.9,3430,3407.6,2996.5,3180.4,3031.5,3123,3108.4,3338,3278.3,3429.8,3571.1,3917.7,3834.3,3995.2,4012.9,4318.6,4378.3,4544.7,4489.6,4790,4822.8,4524.7,4200.5,4595.6,4385.4,4528.9,5073.6,4827.7,4876,5834.2,5565.3,5801.7,5881.6,6658.1,6280.4,6329.8,6444.5,6638.9,7406,7371.3,7865.7,8492.8,7885.6,10942.1,
