Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
Eli Lilly & Co (LLY US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,
date,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,,12/31/2014,
Revenue,,3714.7,1.0,3866.9,1.0,3864.1,1.0,4245.3,1.0,4226.1,1.0,4631,1.0,4586.8,1.0,5189.6,1.0,4807.6,1.0,5150.3,1.0,5209.8,1.0,5204.3,1.0,5047,1.0,5292.8,1.0,5562,1.0,5934.2,1.0,5485.5,1.0,5748.5,1.0,5654.7,1.0,6187.2,1.0,5839.2,1.0,6252.9,1.0,6147.9,1.0,6046.5,1.0,5602,1.0,5600.7,1.0,5443.3,1.0,5957.3,1.0,5602,1.0,5929.7,1.0,5772.6,1.0,5808.8,1.0,4683.1,1.0,4935.6,1.0,4875.5,1.0,5121.3,1.0
  Human Pharmaceutical,,3516.4,0.94661749266428,3665.9,0.948020378080633,3647.9,0.94404906705313,3985.4,0.938779355993687,4011,0.949102008944417,4416.3,0.953638522997193,4350.2,0.948417197174501,4860.2,0.936526899953754,4474.1,0.930630668108828,4779.2,0.927945944896414,4815.6,0.924334907290107,4763.7,0.915339238706454,4627.7,0.916920943134535,4837.9,0.914053053204353,5070.9,0.911704422869471,5427.8,0.914664150180311,5042.9,0.919314556558199,5264.9,0.915873706184222,5133.5,0.907828885705696,5609.4,0.906613653995345,5320.1,0.911100835730922,5697.1,0.911113243455037,5520.6,0.897965158834724,5388.4,0.891160175308029,4922.8,0.878757586576223,4943.2,0.882603960219258,4821.3,0.885731082247901,5245.9,0.880583485807329,5102.9,0.910906818993217,5386.2,0.908342749211596,5242.3,0.908134982503551,5230.4,0.900426938438232,4155.7,0.887382289509086,4334.4,0.87819110138585,4290.8,0.880073838580658,4488,0.876339991798957
    Diabetes,,1254.7,0.337766172234635,1294.6,0.334790141974191,1278.2,0.330788540669237,1333.5,0.314112076885026,1076.6,0.254750242540404,1169.5,0.252537248974304,1155.1,0.251831342112148,1489.7,0.287054878988747,1316,0.273733255678509,1411.4,0.274042288798711,1371.5,0.263253867710853,1394.6,0.267970716522875,1326.2,0.262769962353874,1389.2,0.26246977025393,1448.7,0.260463861920173,1513.2,0.254996461191062,1405.3,0.256184486373166,1455.5,0.253196486039837,1446.8,0.255857958866076,1565.3,0.252990043961727,1528,0.261679682148239,1618.8,0.258887876025524,1629.8,0.265098651572082,1772,0.293062102042504,1626.8,0.290396287040343,1676.9,0.299409002446123,1618.6,0.297356383076443,1729.8,0.290366441173015,1725,0.307925740806855,1779.8,0.300150091910215,1764.7,0.305702802896442,2030.5,0.349555846302162,1639.2,0.350024556383592,1739.6,0.352459680687252,1708.2,0.35036406522408,1852,0.361626930662137
      Humalog,,304.5,0.0819716262416884,320.5,0.0828829294783935,322.2,0.0833829352242437,352.2,0.0829623348173274,339.5,0.0803341141951208,358.4,0.077391492118333,362.5,0.0790311328159065,414.2,0.0798134731000463,407.4,0.0847408270238788,437.9,0.0850241733491253,432.5,0.0830166225190986,457.9,0.0879849355340776,450.6,0.0892807608480285,477.5,0.0902168984280532,500.2,0.0899316792520676,530.8,0.0894476087762461,506.4,0.0923161060978945,504.6,0.0877794207184483,494,0.087360956372575,549.1,0.088747737264029,525.4,0.08997807918893,586.9,0.0938604487517792,593.2,0.0964882317539322,662,0.109484825932358,590.3,0.105373081042485,613.4,0.10952202403271,575.8,0.10578141935958,616,0.103402548134222,632.7,0.112941806497679,628.6,0.10600873568646,616,0.106711014101098,733.9,0.126342790249277,650,0.138796950737759,700.1,0.141846989221169,706.1,0.1448261716747,729.1,0.142366196083026
      Humulin,,218.5,0.0588203623442001,219.8,0.0568413975018749,230,0.0595222690924148,257,0.0605375356276353,225.8,0.0534298762452379,242.8,0.0524292809328439,243.3,0.0530435161768553,273.4,0.0526822876522275,257.7,0.0536026291704801,271.4,0.0526959594586723,271.6,0.0521325194825137,262.3,0.0504006302480641,240.6,0.0476718842876957,248.1,0.046875,260.4,0.0468176914778856,273,0.0460045161942638,257.8,0.0469966274724273,265.2,0.0461337740280073,278,0.0491626434647285,287.9,0.0465315490043962,289.8,0.0496300863131936,311.8,0.0498648627037055,301.5,0.0490411359976577,345.6,0.0571570329942942,307.7,0.0549268118529097,303,0.0541003803096042,285.4,0.0524314294637444,343,0.0575764188474645,311.9,0.0556765440913959,327.5,0.055230450107088,307,0.0531822748848006,369.5,0.0636103842445944,316.2,0.0675193781896607,352.4,0.0713996271983143,335.9,0.0688954978976515,395.6,0.0772460117548279
      Forteo,,127.1,0.0342154144345438,146.1,0.037782202798107,149.1,0.0385859579203437,172.1,0.0405389489553153,153.4,0.0362982418778543,177.2,0.0382638738933276,180.5,0.0393520537193686,198.2,0.038191768151688,185,0.0384807388301855,206.6,0.0401141681067122,192.7,0.0369879841836539,194.5,0.0373729416059797,187.5,0.0371507826431543,203.3,0.0384106711003628,213.1,0.0383135562747213,212.8,0.0358599305719389,194.5,0.0354571142101905,209.6,0.0364616856571279,199.7,0.0353157550356341,226.3,0.0365755107318335,216.1,0.0370084943142896,231,0.0369428585136497,240.3,0.0390865173473869,262.6,0.0434300835193914,271.4,0.0484469832202785,276.4,0.0493509739853947,288.7,0.0530376793489244,314.6,0.0528091585114062,281.5,0.0502499107461621,296.9,0.0500699866772349,306.7,0.053130305235076,359.8,0.0619405040628013,300.4,0.0641455446178813,308.6,0.062525326201475,332.2,0.068136601374218,380.8,0.0743561205162752
