Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Eli Lilly & Co (LLY US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024 Est,,Q4 2024 Est,
date,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,,12/31/2024,
Revenue,,4644.7,1.0,4978.7,1.0,4959.7,1.0,5375.6,1.0,4865.1,1.0,5404.8,1.0,5191.7,1.0,5760.6,1.0,5228.3,1.0,5824.3,1.0,5658,1.0,6160.7,1.0,4963.9,1.0,5584.9,1.0,5306.9,1.0,5637.6,1.0,5092.2,1.0,5636.8,1.0,5476.6,1.0,6114,1.0,5859.8,1.0,5499.4,1.0,5740.6,1.0,7439.9,1.0,6805.5,1.0,6740,1.0,6773,1.0,7999.9,1.0,7810.1,1.0,6488,1.0,6941.7,1.0,7301.8,1.0,6960,1.0,8312.1,1.0,9498.6,1.0,9353.4,1.0,8768,1.0,11302.7,1.0,12166.15,1.0,13909.9,1.0
  Diabetes,,1626.3,0.350141020948608,1637.9,0.328981461023962,1786.4,0.360183075589249,1986.2,0.36948433663219,1756.7,0.361081992148157,1958.4,0.36234458259325,1975.8,0.38056898511085,2391.8,0.415199805575808,2123.1,0.406078457624849,2491.4,0.427759559088646,2560.7,0.452580417108519,2910.2,0.472381385232198,2698.7,0.543665263200306,2954.9,0.529087360561514,2837.9,0.534756637585031,3210.5,0.56947992053356,2553,0.501355013550136,2762.3,0.490047544706216,2712.3,0.495252528941314,3104.5,0.507769054628721,2968.9,0.506655517253149,2779,0.505327853947703,2783,0.484792530397519,3303.5,0.444024785279372,3111.1,0.457144956285357,3175.5,0.471142433234421,3274.1,0.483404695112949,3627.5,0.4534431680396,3388.2,0.433822870385782,3438,0.529901356350185,3652.6,0.526182347263639,3975.9,0.544509572982004,4190.4,0.602068965517241,5010.9,0.602844046630815,4720.4,0.496957446360516,5745.9,0.614311373404324,5493,0.626482664233577,7514.7,0.66485883903846,,,,
    Mounjaro,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,16,0.00246609124537608,187.4,0.0269962689254793,279.2,0.0382371470048481,568.5,0.0816810344827586,979.7,0.117864318282985,1409.3,0.148369233360706,2205.6,0.235807300019244,1806.5,0.206033302919708,3090.8,0.273456784662072,,,,
    Trulicity,,18.3,0.00393997459469933,44.3,0.00889790507562215,73.7,0.0148597697441378,112.5,0.0209278964208647,143.6,0.0295163511541387,201.3,0.0372446714031972,243.6,0.0469210470558777,337,0.0585008506058397,372.9,0.071323374710709,480.2,0.0824476761155847,527.7,0.0932661717921527,649,0.105345171814891,678.3,0.136646588368017,779.8,0.139626492864689,816.2,0.153799770110611,924.7,0.164023698027529,879.7,0.172754408703507,1028.5,0.182461680386035,1011.5,0.184694883686959,1208.1,0.197595682041217,1229.4,0.209802382333868,1229.8,0.223624395388588,1106.6,0.192767306553322,1502.4,0.20193819809406,1452.4,0.213415619719345,1535.6,0.227833827893175,1600.1,0.236246862542448,1883.7,0.235465443318042,1741.3,0.222954891742743,1911.9,0.294682490752158,1850.4,0.266562945676131,1936.2,0.265167492946945,1977.1,0.284066091954023,1812.5,0.218055605683281,1673.6,0.176194386541174,1669.3,0.178469861226934,1456.3,0.166092609489051,1245.6,0.110203756624523,1224,0.100607012078595,1105,0.0794398234351074
    Zepbound (Tirzepatide - Obesity),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7.5,0.00102714399189241,—,,—,,—,,175.8,0.0187953043812945,517.4,0.0590100364963504,1243.2,0.109991417979775,,,,
    Jardiance,,19.3,0.00415527375287963,11.1,0.00222949766003173,15.4,0.00310502651370043,14.6,0.00271597589106332,38.2,0.00785184271649093,40.1,0.00741933096506809,47.5,0.00914921894562475,76.1,0.0132104294691525,74,0.0141537402214869,103.2,0.017718867503391,127.1,0.022463768115942,143.2,0.0232441118704043,151,0.0304196297266262,147.2,0.026356783469713,166.9,0.0314496221899791,193.2,0.034269902085994,203.6,0.0399827186677664,231.9,0.0411403633267102,240.7,0.0439506263009897,268,0.0438338240104678,267.5,0.0456500221850575,262,0.0476415608975525,310.8,0.0541406821586594,313.6,0.0421511041815078,312,0.0458452722063037,356.5,0.052893175074184,390.4,0.0576406319208623,431.9,0.0539881748521856,419.4,0.0536996965467792,461,0.0710542540073983,573.3,0.0825878387138597,612.3,0.0838560354980964,577.5,0.0829741379310345,668.3,0.080400861394834,700.8,0.0737792937906639,798.1,0.0853272606752625,686.5,0.0782960766423358,769.6,0.068089925416051,821,0.0674823177422603,871,0.0626172725900258
