Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
Eli Lilly & Co (LLY US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024 Est,,FY 2025 Est,
date,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,,12/31/2024,,12/31/2025,
Revenue,,13857.9,1.0,14645.3,1.0,15691.2,1.0,18633.3,1.0,20371.9,1.0,21836,1.0,23076.1,1.0,24286.5,1.0,22603.4,1.0,23113.1,1.0,19615.5,1.0,19958.7,1.0,21222.1,1.0,22871.3,1.0,21493.3,1.0,22319.5,1.0,24539.7,1.0,28318.3,1.0,28476.8,1.0,34124.1,1.0,46188.036,1.0,58517.321,1.0
  Diabetes,,4792.8,0.34585326781114,5028.2,0.343331990467932,5014.5,0.319574028754971,5479.6,0.294075660242684,5493.5,0.269660660026802,5677.4,0.260001831837333,5872.9,0.25450141055031,6548.5,0.269635394149013,6652.2,0.294300857393135,7304.4,0.316028572541113,6939,0.353750860289057,7036.8,0.352568053029506,8082.8,0.3808671149415,10085.3,0.440958756170397,11702.2,0.544458040412594,11132,0.498756692578239,11834.4,0.482255284294429,13188.1,0.465709452897949,14432.3,0.506809051578829,19667.5,0.576352196834495,,,,
    Trulicity,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10.2,0.000519996941194464,248.7,0.0124607314103624,925.5,0.0436101988021921,2029.8,0.0887487812236296,3199.1,0.148841732074646,4127.8,0.184941418938596,5068.1,0.206526567154448,6471.9,0.228541261304527,7439.7,0.261254775817508,7132.6,0.209019432014324,5141.5,0.111316705477583,3605,0.0616056910739301
    Mounjaro,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,482.5,0.0169436172603663,5163.1,0.151303624124885,,,,
    Jardiance,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10.1,0.000514898931967067,60.2,0.00301622851187703,201.9,0.00951366735619943,447.5,0.0195660063048449,658.3,0.0306281492372041,944.2,0.0423038150496203,1153.8,0.0470176897028081,1490.8,0.0526444030891685,2066,0.0725502865490504,2744.7,0.0804328905377724,3179,0.0688273474109183,3465,0.0592132370516415
    Humalog,,1101.6,0.0794925638083692,1197.7,0.081780502959994,1299.5,0.0828171204241868,1474.6,0.079137887545416,1735.8,0.0852056018338987,1959,0.0897142333760762,2054.2,0.089018508326797,2367.6,0.0974862577975419,2395.5,0.105979631382889,2611.2,0.112974893026033,2785.2,0.141989753001453,2841.9,0.142389033353876,2768,0.130430070539673,2865.2,0.125274907853948,2996.5,0.139415538795811,2820.7,0.126378279083313,2625.9,0.107006198119781,2453,0.0866224314312653,2060.6,0.0723606585009551,1663.3,0.0487426774625558,,,,
