UNH US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,113.021,251.39,289.934,400.87,1654.336,1803.925,1647.288,1256,1814,2151,1619,1810,1831,2748,4505,6011,10940,9619,8209,11039,11195,12006,11437,9213,9236,12911,13275,15490,14324,14245,19781,23907,27911,29628
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,53.94,138.047,168.704,228.26,1519.049,940.11,1036.7159,750,1644,1605,1419,1540,1130,2262,3991,5421,10320,8865,7426,9800,9123,9429,8406,7276,7495,10923,10430,11981,10866,10985,16921,21375,23365,25427
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,59.081,113.343,121.23,172.61,135.287,863.815,610.572,506,170,546,200,270,701,486,514,590,620,754,783,1239,2072,2577,3031,1937,1741,1988,2845,3509,3458,3260,2860,2532,4546,4201
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,26.228,45.187,93.055,169.075,167.369,550.313,605.801,768,991,912,867,856,835,745,906,1207,1323,1574,1929,1954,2061,2294,2709,3052,4252,6523,8152,9568,11388,11822,12870,14216,17681,21276
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,912,867,856,835,745,906,1207,1323,1574,1929,1954,2061,2294,2709,3052,4252,6523,8152,9568,11388,11822,12870,14216,17681,21276
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,2.353,4.471,6.866,44.023,86.51,512.883,486.575,169,1475,1505,1919,2280,2508,2627,2830,3329,3781,4351,4852,5207,5137,6050,6906,8115,10068,12205,12452,12026,12980,16567,21067,23635,23477,27533
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,4759,4688,5578,6443,7685,9512,12205,12452,12026,12980,16567,21067,23635,23477,27533
Total Current Assets,BS_CUR_ASSET_REPORT,141.602,301.048,389.855,613.968,1908.215,2867.1211,2739.6641,2193,4280,4568,4405,4946,5174,6120,8241,10547,16044,15544,14990,18200,18393,20350,21052,20380,23556,31639,33879,37084,38692,42634,53718,61758,69069,78437
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,22.865,32.494,50.846,126.742,162.597,267.652,312.984,364,294,278,303,847,955,1032,1139,1647,1894,2121,2181,2140,2200,2515,3939,4010,4418,4861,5901,7013,8458,8704,8626,8969,10128,11450
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,43.714,62.088,107.899,215.628,273.431,417.166,588.339,714,757,,,1517,1411,1570,1799,2613,3109,3699,4544,4878,4979,4955,6503,6685,7372,8034,9650,10707,12599,13699,13856,14961,17058,18489
    - Accumulated Depreciation,BS_ACCUM_DEPR,20.849,29.594,57.053,88.886,110.834,149.514,275.355,350,463,,,670,456,538,660,966,1215,1578,2363,2738,2779,2440,2564,2675,2954,3173,3749,3694,4141,4995,5230,5992,6930,7039
  + LT Investments & Receivables,BS_LT_INVEST,82.543,160.046,480.663,768.563,1115.054,1274.47,1804.973,2785,2610,2568,3434,3888,4498,6729,7748,8971,9642,12667,13366,13311,14707,16166,17711,19605,18827,18792,23868,28341,32510,37209,41242,43114,43728,47609
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,13311,14707,16166,17711,19605,18827,18792,23868,28341,32510,37209,41242,43114,43728,47609
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,46.265,80.368,181.404,278.081,303.613,1751.743,2139.009,2281,2517,2859,2911,2805,3537,3753,10751,20123,20740,20567,25278,25394,27763,28858,38183,37887,39581,55962,59162,66620,72561,85342,93703,98365,122780,136224
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,2281,2517,2100,2100,2200,3485,3736,10675,18258,18726,18591,22417,23108,25655,26770,35968,35448,36609,52844,56125,63045,68235,76008,82193,85839,107753,118926
    + Goodwill,BS_GOODWILL,,,,,,,,,,2100,2100,2200,3363,3509,9470,16238,16822,16854,20088,20727,22745,23975,31286,31604,32940,44453,47584,54556,58910,65659,71337,75795,93352,103732
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,0,0,0,122,227,1205,2020,1904,1737,2329,2381,2910,2795,4682,3844,3669,8391,8541,8489,9325,10349,10856,10044,14401,15194
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,14,0,62,93,55,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,46.265,80.368,181.404,278.081,303.613,1751.743,2139.009,0,0,759,811,605,52,17,76,1865,2014,1976,2861,2286,2108,2088,2201,2439,2910,3025,2982,3575,4326,9334,11510,12526,15027,17298
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,151.673,272.908,712.913,1173.386,1581.264,3293.865,4256.9661,5430,5421,5705,6648,7540,8990,11514,19638,30741,32276,35355,40825,40845,44670,47539,59833,61502,62826,79615,88931,101974,113529,131255,143571,150448,176636,195283
Total Assets,BS_TOT_ASSET,293.275,573.956,1102.7679,1787.354,3489.479,6160.9858,6996.6299,7623,9701,10273,11053,12486,14164,17634,27879,41288,48320,50899,55815,59045,63063,67889,80885,81882,86382,111254,122810,139058,152221,173889,197289,212206,245705,273720
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,33.929,74.849,130.591,212.078,1665.214,285.964,356,460,-166,568,736,913,1352,1825,2587,3083,4159,4654,2977,3822,4634,5142,5526,5625,5619,5813,7017,10558,11986,13839,15403,17285,20120,22381
Cash from Operating Activities,CF_CASH_FROM_OPER,57.462,126.89,229.639,350.018,326.257,434.275,562.259,683,1071,1189,1521,1844,2423,3003,4135,4083,6526,5877,4238,5625,6273,6968,7155,6991,8051,9740,9795,13596,15713,18463,22174,22343,26206,29068
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-2.656,-15.073,-24.371,-68.086,-79.609,-109.23,-165.223,-187,-151,-196,-245,-425,-419,-352,-350,-509,-676,-871,-606,-739,-878,-1018,-1070,-1307,-1525,-1556,-1705,-2023,-2063,-2071,-2051,-2454,-2802,-3386
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,0,0,0,0,0,0,0,0,59,,0,,0,0,0,0,52,0,185,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-2.656,-15.073,-24.371,-68.086,-79.609,-109.23,-165.223,-187,-210,-196,-245,-425,-419,-352,-350,-509,-728,-871,-791,-739,-878,-1067,-1070,-1307,-1525,-1556,-1705,-2023,-2063,-2071,-2051,-2454,-2802,-3386
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,0,-191.914,-412.687,-357.144,-390.046,31.9109,-253.9189,-817,636,,0,,0,,931,0,0,0,0,,0,-1695,-9903,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,0,42.798,557.441,607.17,964.813,3321.0969,4754.9292,5889,3435,,0,,0,,4121,0,0,0,0,,0,8200,,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,0,-234.712,-970.128,-964.314,-1354.859,-3289.186,-5008.8481,-6706,-2799,,0,,0,,-3190,0,0,0,0,,0,-9895,-9903,,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-486,-2304,-1459,-6280,-362,-1923,-16164,-1760,-2131,-5997,-8343,-7139,-4821,-21458,-10136
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,19,385,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-486,-2323,-1844,-6280,-362,-1923,-16164,-1760,-2131,-5997,-8343,-7139,-4821,-21458,-10136
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,2.323,65.685,29.503,13,1408.751,-968.4309,-53.3681,0,-464,-427,-723,-713,-972,-393,-2225,-2980,-1425,-3276,-4466,249,-2157,0,8604,-1420,914,-675,-5890,-4445,-4325,-2285,-3342,-3097,-4216,-2052
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-0.333,-141.302,-407.555,-412.23,939.096,-1045.75,-472.51,-1004,21,-623,-968,-1138,-1391,-745,-1644,-3489,-2101,-4147,-5072,-976,-5339,-4172,-8649,-3089,-2534,-18395,-9355,-8599,-12385,-12699,-12532,-10372,-28476,-15574
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-0.809,-0.931,-1.078,-2.118,-4.626,-5.192,-34.086,-35,-34,-6,-5,-9,-9,-9,-18,-19,-41,-40,-37,-36,-449,-651,-820,-1056,-1362,-1786,-2261,-2773,-3320,-3932,-4584,-5280,-5991,-6761
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,0,-5.27,-11.763,-10.464,-18.547,-3.646,-0.62,0,708,282,218,375,-223,218,2044,2656,577,3569,1135,-1449,94,346,4567,152,391,14607,990,-2615,4134,3994,2586,2481,12536,4280
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-21.136,105.683,205.871,22.024,48.609,41.374,41.563,69,-872,-881,-952,-951,-1210,-1339,-2863,-1891,-1707,-5584,-2323,-1519,-2245,-2613,-2006,-2572,-3546,-798,-851,-812,-3662,-4463,-2810,-3645,-5747,-6647
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,1.324,105.683,205.871,22.024,48.609,41.374,41.563,79,84,102,228,178,605,268,583,666,638,1015,361,282,272,381,1078,598,462,402,429,688,838,1037,1440,1355,1253,1353
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-22.46,0,0,0,0,0,0,-10,-956,-983,-1180,-1129,-1815,-1607,-3446,-2557,-2345,-6599,-2684,-1801,-2517,-2994,-3084,-3170,-4008,-1200,-1280,-1500,-4500,-5500,-4250,-5000,-7000,-8000
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,0.157,-0.963,0.471,0,0,0,0,0,0,,0,,0,4,75,90,1645,-1130,620,729,989,428,-1270,-1470,-776,216,1111,2759,-1517,-1224,1218,-1011,3428,-2401
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,-21.788,98.519,193.501,9.442,25.436,32.536,6.857,34,-198,-605,-739,-585,-1442,-1126,-762,836,474,-3185,-605,-2275,-1611,-2490,471,-4946,-5293,12239,-1011,-3441,-4365,-5625,-3590,-7455,4226,-11529
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,0,0,0,0,-86,-5,-156,78,-5,-78,-20,-116,-62,34,97
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,35.341,84.107,15.585,-52.77,1290.7889,-578.939,96.606,-287,894,-39,-186,121,-410,1132,1729,1430,4899,-1455,-1439,2374,-677,306,-1023,-1130,219,3428,-493,1551,-1115,119,5936,4454,1990,2062
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,96,124,245,214,352,384,458,783,898,1377,1729,2277,1882,2048,2725,2739,2666,2785,4024,4401,4726,4004,3257,3542,4935,3966,5222,6078
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,334,76,92,302,590,2225,2562,670,262,4012,486,2323,1844,6280,362,1923,16164,1760,2131,5997,8343,7139,4821,21458,10136
Free Cash Flow,CF_FREE_CASH_FLOW,54.806,111.817,205.268,281.932,246.648,325.045,397.036,496,861,993,1276,1419,2004,2651,3785,3574,5798,5006,3447,4886,5395,5901,6085,5684,6526,8184,8090,11573,13650,16392,20123,19889,23404,25682
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,57.0111,112.6387,207.1919,283.8874,247.989,325.5461,397.036,496,,1024.132,1321.8805,1477.303,2062.0534,2712.0475,3868.3466,3727.5447,6088.5184,5352.5812,3858.3977,5248.5899,5696.9036,6227.2608,6490.0605,6134.531,6885.6253,8637.1053,8726.1705,12488.3589,14737.2303,17741.383,21387.2873,21208.3689,25043.0232,28262.5655
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,54.806,106.547,193.505,271.468,228.101,814.211,367.416,467,1100,,,,,2869,5829,6230,6427,8575,4767,3437,5489,6296,10652,5836,6917,22791,9080,8958,17784,20386,22709,22370,35940,29962
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,0.0653,0.1121,0.1545,0.1026,0.176,0.229,0.2727,0.3316,0.5635,0.713,0.984,1.1356,1.6513,2.2504,3.0232,2.8253,4.314,3.8155,2.8394,4.1832,4.817,5.515,5.925,5.6501,6.714,8.5876,8.4979,12.0052,14.1745,17.2366,21.2044,21.0912,24.9776,27.6746
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,11.1333,20.7616,23.01,46.2193,32.055,35.6884,20.6279,18.733,9.5528,9.3143,15.5939,15.5804,12.6417,12.9265,14.5593,21.9942,12.4548,15.2534,9.3683,7.2863,7.4964,9.1896,9.1544,13.3272,15.0566,13.6988,18.8329,18.3637,17.5753,17.0556,16.5381,23.808,21.2262,19.0236
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.6936,1.6953,1.7585,1.6504,0.1959,1.5186,1.5794,1.4848,,2.0933,2.0666,2.0197,1.7922,1.6455,1.5984,1.3244,1.5691,1.2628,1.4236,1.4717,1.3537,1.3551,1.2948,1.2428,1.4328,1.6756,1.3959,1.2877,1.3109,1.3341,1.4396,1.2926,1.3025,1.2988
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,605.464,847.13,2200.636,3115.202,3768.882,5670.878,10074,11794,17355,19562,21122,23454,25020,28823,37218,46425,71542,75431,81186,87138,94155,101862,110618,122489,130474,157107,184840,201159,226247,242155,257141,287597,324162,371622
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,7231,8141,9225,10210,12187,14393,29234,39894,41683,46784,50570,54161,59040,64975,76706
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,383.673,533.66,1578.297,2236.588,2643.107,3930.9331,7180,8542,13523,15043,16155,17644,18192,20714,27000,33758,53907,56203,61839,67054,70957,76717,82749,92550,97459,120081,141454,154148,172401,184557,190141,217945,244545,280664
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,67054,70957,76717,82749,92550,97459,120081,141454,154148,172401,184557,190141,217945,244545,280664
Gross Profit,GROSS_PROFIT,221.791,313.47,622.339,878.614,1125.775,1739.9449,2894,3252,3832,4519,4967,5810,6828,8109,10218,12667,17635,19228,19347,20084,23198,25145,27869,29939,33015,37026,43386,47011,53846,57598,67000,69652,79617,90958
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,166.585,198.364,415.033,542.263,619.728,1125.364,2298,2510,3149,3576,3767,4244,4642,5174,6117,7587,10651,11379,14084,13725,15334,16681,18615,20316,22741,26005,30456,31802,36502,37913,44595,45682,51182,58600
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
