Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
UnitedHealth Group Inc (UNH US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
date,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Revenue,,33433,1.0,35756,1.0,36263,1.0,41489,1.0,43599,1.0,44527,1.0,46485,1.0,46293,1.0,47535,1.0,48723,1.0,50053,1.0,50322,1.0,52061,1.0,55188,1.0,56086,1.0,56556,1.0,58417,1.0,60308,1.0,60595,1.0,60351,1.0,60901,1.0,64421,1.0,62138,1.0,65115,1.0,65467,1.0,70196,1.0,71321,1.0,72337,1.0,73743,1.0,80149,1.0,80332,1.0,80894,1.0,82787,1.0,91931,1.0,92903,1.0,92361,1.0,94427,1.0,99796,1.0,98917,1.0,100820,1.0
  UnitedHealthcare,,30302,0.910872636546728,32508,0.912889637742207,32902,0.912702155399595,32688,0.791113047266391,32691,0.752919228909003,35759,0.806399963918456,37408,0.808087790546963,37044,0.803522623747343,37759,0.798726572746118,39975,0.824209810107008,40624,0.815792115990923,40581,0.810404393409885,41419,0.800166141838765,45276,0.824849699398798,45638,0.818897920367479,45695,0.813454623135258,46039,0.792737103106275,48642,0.812012753952223,48218,0.803459250495726,47831,0.798714202220923,48014,0.794039822716147,50871,0.794164481079056,48934,0.791850737090797,50196,0.775060218639985,50142,0.77115437851804,54908,0.787279192475338,55298,0.7814314986222,55752,0.776122727399282,56084,0.769011380776087,62452,0.782783083903637,61910,0.773517248272674,61810,0.768962814595489,62646,0.764609676316946,70013,0.768250798283827,69631,0.758606789558548,69259,0.75805568933059,70206,0.752895504461222,74822,0.757422685630409,73338,0.749432851683051,74853,0.535015867570118
    Premium,,28634,0.860732858388192,30905,0.867874192642516,31186,0.865100280174207,30978,0.749727728163799,30942,0.71263732467353,33963,0.765898430452823,35541,0.767756847835479,35137,0.762157823955577,35814,0.757583449676355,38053,0.7845817612008,38666,0.776472478261743,38576,0.77036445332002,39414,0.761431910824334,43237,0.78770267808344,43496,0.780463296908363,43628,0.77665824046712,43921,0.756267649287141,46501,0.776271639149959,46030,0.767000483228634,45557,0.760741421057026,45695,0.755688959449626,48593,0.758601848382665,47039,0.761185818081784,48121,0.743020814032487,47926,0.737073605856479,52558,0.753584537738013,52858,0.746951176429026,53345,0.742614917726982,53620,0.735225558754971,59937,0.751259682635181,59368,0.741756937416445,59375,0.738669586096217,60103,0.733571742420544,67458,0.740214850822424,67047,0.730454961432867,66709,0.730145352655313,67838,0.727500857927248,72293,0.731821632838994,70950,0.725030145721351,—,
    Services,,1667,0.0501097183394956,1603,0.0450154450996911,1715,0.04757413520486,0,,1748,0.0402588728436859,1796,0.0405015334656323,1866,0.0403093407068176,1907,0.0413647997917661,1945,0.0411431230697635,1922,0.0396280489062081,1958,0.0393196377291805,2005,0.0400399400898652,2005,0.0387342310144312,2039,0.037147021315358,2142,0.0384346234591161,2067,0.0367963826681383,2118,0.0364694538191336,2141,0.0357411148022637,2188,0.0364587672670921,2274,0.0379727811638975,2319,0.0383508632665211,2278,0.0355626326963907,1895,0.0306649190090134,2075,0.032039404607498,2216,0.0340807726615607,2350,0.0336946547373251,2440,0.0344803221931746,2407,0.0335078096723,2464,0.0337858220211161,2515,0.0315234012684565,2542,0.031760310856229,2435,0.0302932284992722,2543,0.0310379338964019,2555,0.0280359474614026,2584,0.0281518281256809,2550,0.0279103366752769,2368,0.0253946465339739,2529,0.0256010527914157,2388,0.0244027059616996,—,
    Products,,1,3.00598190398894e-05,0,,1,2.77400205276152e-05,1710,0.041385319102592,1,2.30313917870057e-05,0,,1,2.1602004666033e-05,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,
  Optum,,2965,0.089127363453272,3102,0.0871103622577928,3147,0.087297844600405,8631,0.208886952733609,10728,0.247080771090997,8585,0.193600036081544,8884,0.191912209453037,9058,0.196477376252657,9515,0.201273427253882,8526,0.175790189892992,9173,0.184207884009077,9494,0.189595606590115,10344,0.199833858161235,9614,0.175150300601202,10093,0.181102079632521,10479,0.186545376864742,12037,0.207262896893725,11261,0.187987246047777,11795,0.196540749504274,12054,0.201285797779077,12454,0.205960177283853,13185,0.205835518920944,12863,0.208149262909203,14568,0.224939781360015,14880,0.22884562148196,14836,0.212720807524662,15467,0.2185685013778,16082,0.223877272600718,16846,0.230988619223913,17330,0.217216916096363,18127,0.226482751727326,18571,0.231037185404511,19286,0.235390323683054,21120,0.231749201716173,22157,0.241393210441452,22105,0.24194431066941,23042,0.247104495538778,23963,0.242577314369591,24520,0.250567148316949,65055,0.464984132429883
