Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
General Electric Co (GE US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
date,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,39676,1.0,34033,1.0,35943,1.0,36021,1.0,40276,1.0,35119,1.0,37101,1.0,37307,1.0,42903,1.0,38689,1.0,40960,1.0,42128,1.0,47888,1.0,41653,1.0,46840,1.0,46690,1.0,46320,1.0,38010,1.0,39074,1.0,37361,1.0,36903,1.0,35854,1.0,36650,1.0,35186,1.0,41377,1.0,34704,1.0,34999,1.0,34808,1.0,37713,1.0,34523,1.0,36004,1.0,35467,1.0,38336,1.0,33328,1.0,35059,1.0,35661,1.0,26390,1.0,33352,1.0,31922,1.0,31849,1.0
  Industrial Segment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,23834,0.655572670260755,19259,0.617473549214492,20860,0.639053979535568,19933,0.642295546819617,—,,20799,0.61471848677405,23016,0.649142599277978,23403,0.660765712349653,27145,0.701022674448634,24055,0.679615764938551,25368,0.690812047274114,25172,0.690665642320145,28216,0.723617059472213,22674,0.662808032973779,25168,0.697483649262831,25813,0.708778384908976,22261,0.815391377605216,24549,0.731779294720839,26908,0.810897146129042,26625,0.806598200490775
    Power & Water,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7538,0.194669696813181,6551,0.18508263879079,6900,0.187898262621862,7196,0.197442792075948,7652,0.196240350832201,4825,0.141044754304423,5715,0.158380445626871,6498,0.178423350448942,—,,5509,0.164217366679584,6292,0.189615164391405,6375,0.193129146596383
    Aviation,,3178,0.0846856929677299,2590,0.0767976278724982,2971,0.0826264705064382,3007,0.0851166213768116,3336,0.0848250610252237,3041,0.0821736428243305,3291,0.0898836510624351,3133,0.0847650225913801,3587,0.0884761481919984,3451,0.0916381210334847,4079,0.100753365443992,4240,0.10135538928597,5049,0.105915670232851,4320,0.103848650207938,4923,0.105816352850142,4841,0.103944345436197,5155,0.112297135388302,4817,0.12733953685101,4619,0.11976870818856,4542,0.12178576216651,4750,0.130652437011772,4165,0.133536389868548,4259,0.13047607376999,4391,0.141489978733003,4804,0.117503179728011,4368,0.129097088813359,4732,0.13346119133574,4835,0.136512507764414,4924,0.127162853158411,4891,0.13818335923153,4855,0.132209574641904,4781,0.131180376447347,5467,0.140204652117047,5074,0.148323540588734,5303,0.146962642722536,5364,0.147285757434306,6170,0.225999047653932,5778,0.172235967448654,6090,0.183527709971974,5698,0.172619588597049
    Oil & Gas,,980,0.0261145308711061,641,0.019006671608599,763,0.0212197903050866,906,0.0256453804347826,1288,0.0327502034174125,772,0.020860918204664,1094,0.0298792811492872,1033,0.0279483780200752,1439,0.0354940555473336,1148,0.0304840808306115,1821,0.0449796220822527,1699,0.0406138694332226,2181,0.0457520453115167,1535,0.0368999254789779,1895,0.0407316653770097,1891,0.0406029244411998,2096,0.0456595142141379,1543,0.0407898910859681,1948,0.0505108126328891,1953,0.0523662689368548,2299,0.0632357795136979,1593,0.0510740621994229,1774,0.054347160100484,1778,0.0572920023200361,2416,0.0590940221113394,2558,0.0756021870843801,3480,0.0981498194945848,3520,0.0993844937602349,4083,0.105443933681112,3406,0.0962282808306258,3642,0.099177604705626,3645,0.100010975141305,4548,0.116636319339369,3399,0.0993598175918618,3955,0.10960536525884,4315,0.118482110986024,5306,0.194351855243398,4308,0.128416848004292,4761,0.143477081638188,4597,0.13926504892605
    Healthcare,,4259,0.113491619367389,3321,0.098472942920682,3768,0.104791834691437,3578,0.101279438405797,4486,0.114066314076485,3659,0.0988731861539709,4156,0.113508494018681,3891,0.105273125727118,4700,0.115929159883578,3895,0.103428131389575,4045,0.0999135482277387,4062,0.0971003753017952,4995,0.104782882315922,3887,0.0934397461477439,4491,0.0965308228011349,4191,0.0899877611491637,4823,0.105064807755146,3545,0.0937136512636143,3964,0.10278483638438,3801,0.101917147070653,4705,0.129414677082187,3733,0.119685796729721,4102,0.125666319465719,3958,0.127537539472836,5104,0.124841013599452,4090,0.120880744790897,4498,0.126861462093863,4332,0.122310689479925,5163,0.133335055007489,4300,0.121486085605311,4500,0.122542345188171,4307,0.118174834000988,5183,0.132921293565512,4289,0.125376362945424,4490,0.124431881166168,4304,0.118180070842143,5117,0.187429031903593,4198,0.125137866277163,4483,0.135099297833228,4485,0.135872034899573
