Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
DuPont de Nemours Inc (DD US) - By Measure,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
date,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,70894,1.0,11672,1.0,22594,1.0,15436,1.0,14338,1.0,12566,1.0,13017,1.0,12068,1.0
  Water & Protection,,4984,0.0705949008498584,2958,0.253427004797807,5294,0.234309993803665,5201,0.362767664085932,4993,0.365198946752487,5552,0.499909958580947,5957,0.501684352366515,5633,0.513491340018231
    Safety Solutions,,—,,—,,2483,0.109896432681243,2549,0.177791727697566,2291,0.167568753657109,2567,0.231136322708446,2649,0.223092470944922,2519,0.229626253418414
    Shelter Solutions,,—,,—,,1796,0.0794901301230415,1535,0.107065634372602,1426,0.10430076067876,1615,0.145416891770214,1815,0.152854977261243,1655,0.150865998176846
    Water Solutions,,—,,—,,1015,0.0449234309993804,1117,0.0779103020157634,1276,0.0933294324166179,1370,0.123356744102287,1493,0.12573690416035,1459,0.132999088422972
  Electronics & Industrial,,—,,—,,—,,4446,0.310106716886378,4674,0.341866588648332,5554,0.500090041419053,5917,0.498315647633485,5337,0.486508659981768
    Industrial Solutions,,—,,—,,—,,1646,0.114807839854921,1617,0.118270918665886,1890,0.170178282009724,1954,0.164561226208523,2061,0.187876025524157
    Semiconductor Technologies,,—,,—,,—,,1613,0.112506103089907,1777,0.129973668812171,2047,0.184314784801008,2221,0.187047330301499,1854,0.169006381039198
    Interconnect Solutions,,—,,—,,1174,0.0519606975303178,1187,0.0827927739415499,1280,0.093622001170275,1617,0.14559697460832,1742,0.146707091123463,1422,0.129626253418414
  Corporate and Other,,—,,—,,—,,—,,—,,1460,,1143,,1098,
  Corporate,,—,,—,,—,,1099,,666,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,4690,0.327125619027691,4005,0.292934464599181,—,,—,,—,
    Performance Resins,,—,,—,,—,,1138,0.0793750435934993,968,0.0708016383850205,—,,—,,—,
    Engineering Polymers,,—,,—,,—,,2320,0.16181906954035,1853,0.135532475131656,—,,—,,—,
    Advanced Solutions,,—,,—,,—,,1232,0.0859315058938411,1184,0.0866003510825044,—,,—,,—,
  Non-Core,,—,,958,0.0820767649074709,2027,0.0897140833849695,—,,—,,—,,—,,—,
    Sustainable Solutions,,—,,—,,159,0.00703726653093742,—,,—,,—,,—,,—,
    DuPont Teijin Films,,—,,—,,198,0.00876338851022395,—,,—,,—,,—,,—,
    Clean Technologies,,—,,—,,301,0.0133221209170576,—,,—,,—,,—,,—,
    Biomaterials,,—,,—,,284,0.0125697087722404,—,,—,,—,,—,,—,
    Photovoltaic & Advanced Materials,,—,,—,,1085,0.04802159865451,—,,—,,—,,—,,—,
  Transportation & Industrial,,4497,0.0636968838526912,2463,0.211017820424949,5422,0.239975214658759,—,,—,,—,,—,,—,
    Healthcare & Speciality,,—,,—,,1581,0.0699743294680003,—,,—,,—,,—,,—,
    Industrial & Consumer,,—,,—,,1309,0.057935735150925,—,,—,,—,,—,,—,
    Mobility Solutions,,—,,—,,2532,0.112065150039834,—,,—,,—,,—,,—,
  Corporate & Other,,294,,0,,—,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,5763,0.081628895184136,2580,0.221041809458533,6216,0.275117287775516,—,,—,,—,,—,,—,
    Pharma Solutions,,—,,—,,824,0.0364698592546694,—,,—,,—,,—,,—,
    Health & Biosciences,,—,,—,,2405,0.10644418872267,—,,—,,—,,—,,—,
    Food & Beverage,,—,,—,,2987,0.132203239798176,—,,—,,—,,—,,—,
  Electronics & Imaging,,4266,0.0604249291784703,2713,0.232436600411241,3635,0.160883420377091,—,,—,,—,,—,,—,
    Image Solution,,—,,—,,629,0.0278392493582367,—,,—,,—,,—,,—,
    Semiconductor Technologies,,—,,—,,1832,0.0810834734885368,—,,—,,—,,—,,—,
  Packaging & Specialty Plastics,,19848,0.281133144475921,—,,—,,—,,—,,—,,—,,—,
  Industrial Intermediates & Infrastructure,,10820,0.153257790368272,—,,—,,—,,—,,—,,—,,—,
  Performance Materials & Coatings,,6362,0.0901133144475921,—,,—,,—,,—,,—,,—,,—,
  Agriculture,,14060,0.19915014164306,—,,—,,—,,—,,—,,—,,—,
Net Sales % Increased at Constant Currency,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,-3,,0,
  Electronics & Industrial,,—,,—,,—,,-1,,0,,1,,-3,,-1,
  Water & Protection,,—,,—,,2,,-1,,0,,1,,-4,,-1,
  Corporate,,—,,—,,—,,—,,0,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,-2,,0,,—,,—,,—,
  Non-Core,,—,,—,,-4,,-2,,—,,—,,—,,—,
  Transportation & Industrial,,—,,—,,-2,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,—,,1,,-2,,—,,—,,—,,—,
  Electronics & Imaging,,—,,—,,4,,—,,—,,—,,—,,—,
EBITDA,,14114,1.0,5169,1.0,5905,1.0,4144,1.0,3439,1.0,3152,1.0,3261,1.0,2942,1.0
  Electronics & Industrial,,—,,—,,—,,1454,0.384859714134463,1468,0.435737607598694,1758,0.559338211899459,1836,0.56198347107438,1472,0.514685314685315
