MLM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,0,0,0,0,0,18.661,14.586,3.403,0,1.379,14.498,125.133,161.62,101.745,32.282,20.038,37.794,263.591,70.323,26.022,25.394,42.437,108.651,168.409,50.038,1446.364,44.892,21,207.3,258.4,1062.6,1271.8
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,0,0,0,0,0,18.661,14.586,3.403,0,1.379,14.498,125.133,161.62,76.745,32.282,20.038,37.794,263.591,70.323,26.022,25.394,42.437,108.651,168.409,50.038,1446.364,44.892,21,207.3,258.4,358,1271.8
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,0,0,0,0,0,0,0,0,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.6,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,59.487,68.654,65.962,94.759,134.207,147.432,171.511,197.554,180.915,215.184,232.884,234.578,219.589,230.093,244.92,247.916,213.07,162.815,183.361,203.748,224.05,245.421,421.001,410.921,457.91,487.24,523.276,573.7,575.1,774,785.9,753.3
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,197.554,180.915,215.184,232.884,234.578,219.589,225.012,242.399,245.838,211.596,162.815,183.361,203.748,224.05,245.421,421.001,410.921,457.91,487.24,523.276,573.7,575.1,774,785.9,753.3
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,60.89,61.191,69.019,113.402,113.774,132.583,157.104,172.865,207.534,231.003,239.726,213.843,209.309,222.728,256.287,286.885,318.018,332.569,331.894,322.607,332.311,347.307,484.919,469.141,521.624,600.591,663.035,690.8,709,752.6,873.7,988.6
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,19.807,23.161,25.307,25.862,26.692,23.668,23.724,23.819,,31.158,37.935,42.811,,0,0,0,0,0,0,0,0,0,0,32.4,35.3,69.6,71.7,59.9
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,14.682,7.886,12.342,9.972,9.548,5.659,8.967,12.535,17.412,17.99,19.271,18.642,17.206,16.296,13.842,11.116,16.442,16.077,65.25,55.194,61.171,62.761,66.92,41.9,37.1,30.1,24.8,25
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,85.363,101.536,127.904,143.776,177.066,207.696,212.694,183.479,173.013,185.681,213.302,244.568,268.763,351.393,358.138,350.685,355.881,368.334,413.766,433.649,479.291,552.999,615.719,643.6,667,713.3,932.4,1151.8
    + Other Inventory,BS_OTHER_INV,,,,,,,,,-8.449,0,-5.772,0,0,-5.99,18.884,-12.101,-14.221,-19.136,32.049,-35.12,-40.086,-39.194,-40.012,-37.104,5.903,-19.702,-18.838,-15.169,-19.604,-27.1,-30.4,-60.4,-155.2,-248.1
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,12.231,14.708,53.052,106.194,23.185,23.336,26.187,29.543,36.552,48.666,53.539,47.965,33.735,47.475,58.865,71.171,96.149,97.885,110.633,105.473,118.646,120.201,29.607,33.164,56.813,96.965,134.613,141.2,176.9,240.6,154.7,905.2
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,37.582,27.253,24.799,40.93,45.38,29.607,33.164,56.813,96.965,134.613,141.2,167.1,138.4,81.5,98.1
Total Current Assets,BS_CUR_ASSET_REPORT,,,132.608,144.553,188.033,314.355,271.166,322.012,369.388,403.365,425.001,496.232,540.647,621.519,624.253,602.041,592.354,626.01,665.031,856.86,696.211,657.85,700.401,755.366,1044.178,1081.635,1086.385,2631.16,1365.816,1426.7,1668.3,2025.6,2876.9,3918.9
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,261.666,278.31,291.622,392.223,408.82,591.42,777.528,846.993,914.072,1082.189,1067.576,1042.432,1065.215,1166.351,1295.491,1433.553,1690.529,1692.905,1687.83,1774.291,1753.241,1799.241,3402.77,3156,3423.395,3592.813,5157.229,5687.9,5695.3,6764.7,6700.2,6557.5
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,713.046,744.264,777.962,919.862,981.214,1242.677,1502.512,1653.208,1813.601,2074.422,2146.48,2205.465,2309.537,2501.774,2739.327,2978.361,3320.905,3465.978,3568.275,3688.692,3812.587,3976.884,5691.676,5613.198,6115.53,6498.067,8294.963,9115.4,9408,10796.7,11044.5,11079.5
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,451.38,465.954,486.34,527.639,572.394,651.257,724.984,806.215,899.529,992.233,1078.904,1163.033,1244.322,1335.423,1443.836,1544.808,1630.376,1773.073,1880.445,1914.401,2059.346,2177.643,2288.906,2457.198,2692.135,2905.254,3137.734,3427.5,3712.7,4032,4344.3,4522
  + LT Investments & Receivables,BS_LT_INVEST,,,0,0,0,0,0,0,0,0,0,0,0,0,26.501,27.883,10.355,8.457,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,53.032,61.542,114.236,82.793,88.932,192.281,441.673,492.216,502.366,646.159,664.805,666.142,639.883,637.041,608.221,615.785,669.332,689.518,690.702,715.681,707.284,705.219,2772.806,2719.976,2791.125,2768.538,3028.374,3017,3217.2,5602.7,5416.5,4648.5
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,148.481,375.978,406.824,409.456,606.968,609.421,602.728,586.137,588.007,581.486,584.093,636.187,636.693,644.075,670.804,666.637,665.212,2664.004,2578.787,2670.649,2666.639,2900.4,2883.6,2922,4559.4,4497.3,4087.2
    + Goodwill,BS_GOODWILL,,,,,,,,,,375.327,374.994,571.186,577.449,577.586,567.495,569.263,570.538,574.667,622.297,624.224,626.527,616.671,616.204,616.621,2068.799,2068.235,2159.337,2160.29,2399.118,2396.8,2414,3494.4,3649.5,3389.5
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,22967,6026,33274,14655,13593,8072,8442,5495,5814
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,53.032,61.542,114.236,82.793,88.932,43.8,65.695,85.392,92.91,39.191,55.384,63.414,53.746,49.034,26.735,31.692,33.145,52.825,46.627,44.877,40.647,40.007,108.802,141.189,120.476,101.899,127.974,133.4,295.2,1043.3,919.2,561.3
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,314.698,339.852,405.858,475.016,497.752,783.701,1219.201,1339.209,1416.438,1728.348,1732.381,1708.574,1731.599,1831.275,1914.067,2057.795,2367.471,2382.423,2378.532,2489.972,2460.525,2504.46,6175.576,5875.976,6214.52,6361.351,8185.603,8704.9,8912.5,12367.4,12116.7,11206
Total Assets,BS_TOT_ASSET,,,447.306,484.405,593.891,789.371,768.918,1105.713,1588.589,1742.574,1841.439,2224.58,2273.028,2330.093,2355.852,2433.316,2506.421,2683.805,3032.502,3239.283,3074.743,3147.822,3160.926,3259.826,7219.754,6957.611,7300.905,8992.511,9551.419,10131.6,10580.8,14393,14993.6,15124.9
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,38.986,30.489,53.704,67.551,78.628,98.529,115.613,125.781,112.027,105.362,86.305,93.623,129.163,192.666,245.422,262.749,176.256,85.459,97.012,82.379,84.474,121.337,155.601,288.792,425.386,713.342,469.998,611.9,721,702.5,866.8,1168.9
Cash from Operating Activities,CF_CASH_FROM_OPER,,,77.807,83.142,79.471,128.591,134.945,195.618,222.573,223.676,212.88,252.943,203.56,277.169,266.841,317.784,338.192,395.568,345.634,318.368,269.808,259.094,222.689,308.951,381.658,580.6,689.233,657.598,705.1,966.1,1050.1,1137.7,991.2,1528.4
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,-38.735,-45.912,-47.032,-71.637,-79.503,-86.44,-123.926,-137.82,-170.805,-194.386,-152.68,-120.638,-163.445,-221.401,-265.976,-264.923,-258.246,-139.23,-135.916,-155.363,-151.023,-155.233,-232.183,-318.232,-387.267,-410.325,-376,-393.5,-359.7,-423.1,-481.8,-650.3
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,-38.735,-45.912,-47.032,-71.637,-79.503,-86.44,-123.926,-137.82,-170.805,-194.386,-152.68,-120.638,-163.445,-221.401,-265.976,-264.923,-258.246,-139.23,-135.916,-155.363,-151.023,-155.233,-232.183,-318.232,-387.267,-410.325,-376,-393.5,-359.7,-423.1,-481.8,-650.3
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-41.801,-38.266,-83.561,9.813,-55.914,181.683,404.907,-172.292,23.846,-1573,8.4,77.2,-3066.4,698.1,426.5
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,7.792,5.033,8.008,9.973,8.564,181.872,448.122,6.476,35.941,69.1,8.4,142.3,42.8,687.1,426.5
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-49.593,-43.299,-91.569,-0.16,-64.478,-0.189,-43.215,-178.768,-12.095,-1642.1,0,-65.1,-3109.2,11,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,-23.945,-16.191,-77.702,-156.386,68.15,-246.929,-381.896,-76.741,-31.001,-175.799,49.761,20.86,40.12,7.532,52.553,8.896,-192.516,-4,0,0,-2,-3.402,1.175,1.871,4.246,0.28,0.8,-0.8,-127.2,14.9,-700.1,682.5
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,-62.68,-62.103,-124.734,-228.023,-11.353,-333.369,-505.822,-214.561,-201.806,-370.185,-102.919,-99.778,-123.325,-213.869,-213.423,-256.027,-450.762,-185.031,-174.182,-238.924,-143.21,-214.549,-49.325,88.546,-555.313,-386.199,-1948.2,-385.9,-409.7,-3474.6,-483.8,458.7
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,0,0,-10.15,-20.275,-21.196,-22.134,-23.233,-24.276,-25.248,-26.927,-28.278,-33.714,-36.507,-39.953,-46.421,-53.61,-62.511,-71.178,-73.55,-73.648,-73.767,-74.197,-91.304,-107.462,-105.036,-108.852,-116.4,-129.8,-140.3,-147.8,-159.1,-174
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,-2.385,-3.23,-132.846,118.998,-103.729,183.58,302.29,14.662,3.954,149.88,-82.102,-33.407,-2.802,-2.849,1.075,415.895,218.95,-109.083,-219.602,22.427,-12.655,-14.197,-193.975,-11.268,97.095,1340.239,86.4,-361.1,-152.5,2465.5,-69.5,-717.6
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,0,0,187.268,0,0,0.164,1.862,-10.684,2.039,2.621,0.64,-12.216,-67.72,-145.521,-123.886,-513.263,-17.376,294.732,4.338,1.473,7.736,14.059,42.222,-482.732,-231.971,-89.889,-93.1,-84.5,-47.7,1.3,-149.4,-148.8
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,0,0,188.565,0,0,0.164,1.862,2.022,2.039,2.621,0.64,1.037,3.787,33.266,49.002,37.901,6.641,294.732,4.338,1.473,7.736,14.059,42.222,37.23,27.257,10.11,7.3,13.7,2.3,1.3,0.6,1.2
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,0,0,-1.297,0,0,0,0,-12.706,0,0,0,-13.253,-71.507,-178.787,-172.888,-551.164,-24.017,0,0,0,0,0,0,-519.962,-259.228,-99.999,-100.4,-98.2,-50,0,-150,-150
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,-12.46,-14.917,0,0,0,-0.938,-1.745,0,0,-2.175,0,12.581,0,-0.467,0,-0.807,-16.179,-22.011,-0.08,-14.723,-1.421,-3.024,-23.062,-7.926,-12.379,-16.571,-35.3,-28.7,-16.5,-27.6,-29.5,-23.2
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,-14.845,-18.147,44.272,98.723,-124.925,160.672,279.174,-20.298,-19.255,123.399,-109.74,-66.756,-107.029,-188.79,-169.232,-151.785,122.884,92.46,-288.894,-64.471,-80.107,-77.359,-266.119,-609.388,-252.291,1124.927,-158.4,-604.1,-357,2291.4,-407.5,-1063.6
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,0.282,2.892,-0.991,-0.709,-1.333,22.921,-4.075,-11.183,-8.181,6.157,-9.099,110.635,36.487,-84.875,-44.463,-12.244,17.756,225.797,-193.268,-44.301,-0.628,17.043,66.214,59.758,-118.371,1396.326,-1401.5,-23.9,283.4,-45.5,99.9,923.5
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,29.229,54.181,59.466,71.644,59.915,42.126,25.355,14.832,13.433,66.106,77.777,69.737,54.827,17.087,19.661,13.889,12.826,23.491,15.955,46.774,124.342,155.771,28.9,101.7,114.9,102.9,200.6,291.5
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,77.08,39.327,221.772,47.97,8.618,5.567,4.65,3.036,12.211,218.544,49.593,43.299,91.569,0.16,64.478,0.189,43.215,178.768,12.095,1642.1,0,65.1,3109.2,-11,0
Free Cash Flow,CF_FREE_CASH_FLOW,,,39.072,37.23,32.439,56.954,55.442,109.178,98.647,85.856,42.075,58.557,50.88,156.531,103.396,96.383,72.216,130.645,87.388,179.138,133.892,103.731,71.666,153.718,149.475,262.368,301.966,247.273,329.1,572.6,690.4,714.6,509.4,878.1
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,39.7904,39.3261,36.8688,63.2886,62.132,120.1893,114.4206,111.3672,69.8759,89.6737,83.4872,186.8187,133.0063,127.4447,100.2696,172.8864,140.0138,235.3458,186.016,150.0842,116.0762,192.8453,190.3881,315.6357,359.2105,,441.0182,678.3485,786.1629,831.7458,642.0319,1011.011
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,34,-100.407,175.952,-48.287,292.758,400.937,100.518,46.029,208.437,-31.222,123.124,,,,546.54,306.338,70.055,-85.71,126.158,59.011,139.521,-44.5,251.1,399.061,1587.512,415.5,211.5,537.9,3180.1,439.9,160.5
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,0.7207,1.236,1.2032,2.3672,2.1235,1.8397,0.8999,1.2232,1.0442,3.2007,2.1477,2.071,1.5888,3.063,2.1124,4.0713,2.9437,2.2722,1.5638,3.3298,2.6291,3.9294,4.7471,3.9292,5.2325,9.1616,11.0819,11.4519,8.1766,14.1858
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,24.6275,16.6868,19.3236,15.4457,29.2848,22.286,47.003,38.0976,29.3626,14.6748,24.9845,37.0454,65.4013,43.2913,45.9583,21.9609,31.3352,33.1879,60.2889,30.0136,41.9611,34.7582,46.6659,56.2556,32.8464,30.5231,25.6248,38.4669,41.334,35.1697
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,1.9958,2.727,1.4798,1.9036,1.7162,1.9854,1.9252,1.7783,1.9003,2.4007,2.3586,2.9606,2.0659,1.6494,1.378,1.5055,1.961,3.7254,2.7812,3.1451,2.6362,2.5462,2.4528,2.0104,1.6203,0.9219,1.5002,1.5789,1.4564,1.6195,1.1435,1.3076
