VMC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,18.552,18.993,15.669,13.996,7.717,21.869,50.816,128.566,180.568,52.834,55.276,100.802,170.728,421.663,450.66,450.278,55.23,34.888,10.194,22.265,47.541,155.839,275.478,193.738,141.273,284.06,258.986,141.646,40.037,271.589,1197.1,235,161.4,931.1
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,18.552,18.993,15.669,13.996,7.717,21.869,50.816,128.566,180.568,52.834,55.276,100.802,170.728,416.689,271.45,275.138,55.23,34.888,10.194,22.265,47.541,155.839,275.478,193.738,141.273,284.06,258.986,141.646,40.037,271.589,1197.1,235,161.4,931.1
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,4.974,179.21,175.14,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,137.873,130.439,142.454,141.606,170.954,170.757,176.864,189.389,210.69,314.357,342.91,333.639,306.581,345.04,268.719,329.299,344.114,383.029,326.204,254.753,260.814,299.166,277.539,323.369,354.935,397.287,398.488,434.089,512.279,532.012,512.9,783.2,1045.3,889.7
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,345.04,268.719,329.299,344.114,383.029,326.204,254.753,260.814,299.166,277.539,,,,,,,,,,,
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,113.016,112.636,107.948,105.017,112.481,126.801,128.578,132.359,143.68,178.734,199.044,228.415,239.586,219.376,177.184,197.752,243.537,356.318,364.311,325.033,319.845,327.657,335.022,344.606,321.804,347.073,345.616,384.338,429.33,458.308,448.6,521.3,579.3,615.6
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,40.246,41.624,42.683,46.769,42.766,50.911,49.722,7.483,17.897,25.624,27.41,28.33,28.568,21.807,22.222,23.819,27.758,29.996,19.741,21.765,22.648,27.152,27.942,31.318,33.8,59.9,63.4,51.2
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,0.873,0.617,1.183,0.933,1.02,0.564,0.486,0.476,0.937,1.589,1.619,4.115,4.475,3.907,6.036,4.198,5.963,6.613,1.25,1.008,1.48,1.827,3.064,5.604,4.5,4.2,6,6.5
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,87.459,90.118,99.814,131.032,155.258,176.94,189.378,174.778,158.35,170.539,214.508,286.591,295.525,261.752,254.84,260.732,262.886,270.603,275.172,297.925,293.619,327.711,372.604,391.666,378.4,418,439.3,494.4
    + Other Inventory,BS_OTHER_INV,,,,,,,,,0,0,0,0,0,36.639,,0,0,37.282,35.743,37.567,36.747,38.908,38.415,37.394,25.641,26.375,27.869,27.648,25.72,29.72,31.9,39.2,70.6,63.5
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,25.871,23.079,38.758,41.994,45.646,42.694,37.787,36.818,41.443,78.799,97.274,67.096,72.793,64.163,521.396,187.393,88.313,382.994,193.181,130.838,145.551,80.438,96.933,89.783,102.457,56.171,134.092,220.028,97.499,117.417,118.6,157.1,116,88.5
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,42.367,20.109,21.598,21.713,22.549,28.64,34.284,31.726,60.78,64.633,76.396,74.3,95.1,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,3.9
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,17.382,57.531,15.808,19.441,16.252,18.907,21.887,102.366,159.248,32.866,41.021,44.3,62,116,84.6
Total Current Assets,BS_CUR_ASSET_REPORT,295.312,285.147,304.829,302.613,336.798,362.121,394.045,487.132,576.381,624.724,694.504,729.952,789.688,1050.242,1417.959,1164.722,731.194,1157.229,893.89,732.889,773.751,863.1,984.972,951.496,920.469,1084.591,1137.182,1180.101,1079.145,1379.326,2277.2,1696.6,1902,2524.9
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,720.691,675.44,663.721,657.785,701.757,698.033,764.49,808.419,895.785,1639.715,1848.634,2000.03,1976.053,1892.648,1536.493,1603.967,1869.114,3620.094,4155.812,3874.671,3632.914,3418.179,3159.185,3312.017,3071.63,3156.29,3261.438,3918.931,4237.307,4724.227,4849.1,6238.2,6623.9,6729.4
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,1524.793,1553.708,1624.433,1698.005,1808.8879,1859.436,2002.1639,2120.2,2280.7561,3149.897,3496.2041,3943.9541,4098.543,4115.646,3264.193,3481.708,3897.618,5805.789,6635.873,6653.261,6692.814,6705.546,6666.617,6933.602,6608.842,6891.287,7185.818,7969.312,8457.619,9190.874,9584.6,11215.5,11971.8,12471.6
    - Accumulated Depreciation,BS_ACCUM_DEPR,804.102,878.268,960.712,1040.22,1107.131,1161.403,1237.674,1311.781,1384.9709,1510.182,1647.5699,1943.924,2122.49,2222.998,1727.7,1877.741,2028.504,2185.695,2480.061,2778.59,3059.9,3287.367,3507.432,3621.585,3537.212,3734.997,3924.38,4050.381,4220.312,4466.647,4735.5,4977.3,5347.9,5742.2
  + LT Investments & Receivables,BS_LT_INVEST,,,,56.505,58.138,56.272,61.274,63.482,71.034,77.064,72.558,13.352,15.964,21.111,7.226,6.942,6.664,25.445,27.998,33.283,37.386,29.004,42.081,42.387,41.65,40.558,39.226,35.115,44.615,60.709,34.3,34.1,31.8,31.3
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,33.283,37.386,29.004,42.081,42.387,41.65,40.558,39.226,35.115,44.615,60.709,34.3,34.1,31.8,31.3
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,101.994,112.524,115.365,61.648,84.451,99.368,100.836,90.213,115.411,497.99,612.878,669.922,666.516,672.859,703.455,813.253,820.862,4133.602,3836.469,3884.028,3895.485,3919.031,3940.361,3953.243,4007.348,4020.193,4033.629,4370.744,4471.063,4484.531,4526.3,5713.7,5676.9,5260.1
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,59.345,94.008,454.783,562.044,588.562,575.791,579.817,600.181,617.083,620.189,3789.091,3756.805,3778.943,3788.709,3784.218,3779.248,3779.099,3853.067,3861.403,3863.876,4185.951,4260.774,4258.536,4295.6,5445.7,5391.7,4992.4
    + Goodwill,BS_GOODWILL,,,,,,,,,,,562.044,588.562,575.791,579.817,600.181,617.083,620.189,3789.091,3083.013,3096.3,3097.016,3086.716,3086.716,3081.521,3094.824,3094.824,3094.824,3122.321,3165.396,3167.061,3172.1,3696.7,3689.6,3531.7
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,0,0,0,0,0,0,0,0,673.792,682.643,691.693,697.502,692.532,697.578,758.243,766.579,769.052,1063.63,1095.378,1091.475,1123.5,1749,1702.1,1460.7
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,101.994,112.524,115.365,61.648,84.451,99.368,100.836,30.868,21.403,43.207,50.834,81.36,90.725,93.042,103.274,196.17,200.673,344.511,79.664,105.085,106.776,134.813,161.113,174.144,154.281,158.79,169.753,184.793,210.289,225.995,230.7,268,285.2,267.7
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,822.685,787.964,779.086,775.938,844.346,853.673,926.6,962.114,1082.23,2214.769,2534.07,2683.304,2658.533,2586.618,2247.174,2424.162,2696.64,7779.141,8020.279,7791.982,7565.785,7366.214,7141.627,7307.647,7120.628,7217.041,7334.293,8324.79,8752.985,9269.467,9409.7,11986,12332.6,12020.8
Total Assets,BS_TOT_ASSET,1117.9969,1073.111,1083.915,1078.551,1181.144,1215.7939,1320.645,1449.246,1658.611,2839.4929,3228.574,3413.2561,3448.2209,3636.86,3665.133,3588.884,3427.834,8936.37,8914.169,8524.871,8339.536,8229.314,8126.599,8259.143,8041.097,8301.632,8471.475,9504.891,9832.13,10648.793,11686.9,13682.6,14234.6,14545.7
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,120.278,52.58,93.985,88.229,97.976,166.24,188.595,209.145,255.908,239.693,219.893,222.68,169.876,194.952,287.385,388.757,470.214,450.91,-4.115,30.314,-96.49,-70.778,-52.593,24.382,204.923,221.177,419.491,601.185,515.805,617.7,584.5,670.8,575.6,933.2
Cash from Operating Activities,CF_CASH_FROM_OPER,198.53,182.306,200.383,193.018,208.259,266.456,345.532,345.814,355.745,402.969,418.157,519.582,458.043,519.046,580.615,473.184,551.928,708.144,435.185,453.035,202.706,169.043,238.475,356.499,261.007,519.538,644.588,644.678,832.777,984.1,1070.4,1011.9,1148.2,1536.8
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-115.544,-61.018,-66.267,-89.968,-84.732,-77.293,-139.815,-144.792,-176.204,-211.583,-278.06,-247.864,-222.89,-112.223,-155.423,-205.017,-427.289,-394.383,-327.654,-91.979,-72.722,-85.237,-12.528,-257.804,-198.824,-281.044,-326.83,-443.81,-446.878,-361.4,-350.7,-234.8,-573.9,-778
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,4.342,2.627,8.924,6.009,15.358,31.881,11.952,16.446,27.054,103.067,62.349,38.99,25.888,81.7,48.377,10.629,7.918,88.939,25.542,17.75,13.602,13.675,80.829,17.576,26.028,8.218,23.318,15.756,22.21,22.7,11.5,216.5,38.7,94.6
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-119.886,-63.645,-75.191,-95.977,-100.09,-109.174,-151.767,-161.238,-203.258,-314.65,-340.409,-286.854,-248.778,-193.923,-203.8,-215.646,-435.207,-483.322,-353.196,-109.729,-86.324,-98.912,-93.357,-275.38,-224.852,-289.262,-350.148,-459.566,-469.088,-384.1,-362.2,-451.3,-612.6,-872.6
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,0,0,0,0,0,0,0,0,0,0,-5.247,0,0.596,175.444,5.026,-1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.596,175.444,5.026,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,0,0,0,0,0,0,0,0,0,0,-5.247,0,,0,,-1.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-20.905,-19.58,64.208,21.166,-38.347,437.122,-27.198,-32.537,-822.433,-210.163,-42.5,-42.2,-1639.4,-479.2,614.5
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,16.075,50.954,74.739,21.166,51.604,721.359,0,0,287.292,11.256,1.7,1,0,50,613.6
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-36.98,-70.534,-10.531,0,-89.951,-284.237,-27.198,-32.537,-1109.725,-221.419,-44.2,-43.2,-1639.4,-529.2,0.9
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-134.079,-37.694,-44.425,-13.843,-89.652,-29.085,-65.998,-11.936,-24.566,-764.306,-251.854,-138.794,-45.966,-8.517,60.918,55.249,171.687,-3264.942,139.815,32.882,3.926,1.55,1.761,-0.039,0.033,-0.35,2.173,-3.248,-12.85,-11.9,11.4,0.1,0.1,0
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-249.623,-98.712,-110.692,-103.811,-174.384,-106.378,-205.813,-156.728,-200.77,-975.889,-529.914,-386.658,-268.856,-125.987,-94.505,-149.172,-80.158,-3654.299,-189.04,-80.002,-88.376,-19.479,10.399,-296.19,238.331,-308.592,-357.194,-1269.491,-669.891,-415.8,-381.5,-1874.1,-1053,-163.5
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-46.416,-45.664,-45.095,-46.296,-48.109,-51.848,-58.399,-63.622,-70.015,-78.73,-84.765,-91.08,-95.384,-99.58,-106.331,-118.229,-144.082,-181.315,-214.783,-171.468,-127.792,-98.172,-5.183,-5.191,-28.884,-53.214,-106.333,-132.335,-148.109,-164,-180.2,-196.4,-212.6,-228.4
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,89.456,-33.31,-16.213,-4.598,36.567,-43.93,-7.191,-4.654,-6.719,490.761,154.56,5.345,-31.273,-50.136,-278.989,-11.603,125.268,3114.104,-108.716,-812.027,-20.216,52.272,-134.78,-150.602,-579.829,-60.06,-0.13,736.692,90.945,-133,498.4,134.8,58.5,-131.3
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-57.66,-4.179,-31.707,-39.986,-28.612,-50.148,-45.182,-43.06,-65.003,-12.508,0,0,4.443,5.116,21.508,-190.539,-476.536,59.494,90.883,625.945,63.044,8.672,10.729,13.744,57.586,69.872,-161.463,-60.303,-133.983,-41.1,-48.2,-19.1,-18.5,-221.9
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,1.582,1.038,0.717,0,0,0,0,0,0,0,0,0,4.443,5.116,21.508,37.94,46.265,64.294,90.883,625.945,63.044,8.672,10.729,13.744,57.586,91.347,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-59.242,-5.217,-32.424,-39.986,-28.612,-50.148,-45.182,-43.06,-65.003,-12.508,0,0,0,0,0,-228.479,-522.801,-4.8,0,0,0,0,0,0,0,-21.475,-161.463,-60.303,-133.983,-41.1,-48.2,-19.1,-18.5,-221.9
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,0,0,0,0,0,0,0,0,38.756,45.671,44.404,-1.663,2.953,-2.498,1.383,0.047,0,-66.47,-38.223,-3.412,-4.09,-4.038,-0.001,0,-0.676,-23.607,-36.659,-40.614,-73.981,-0.1,-35.4,-13.6,-2.6,-4
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,-14.62,-83.153,-93.015,-90.88,-40.154,-145.926,-110.772,-111.336,-102.981,445.194,114.199,-87.398,-119.261,-147.098,-362.429,-320.324,-495.35,2925.813,-270.839,-360.962,-89.054,-41.266,-129.235,-142.049,-551.803,-67.009,-304.585,503.44,-265.128,-338.2,234.6,-94.3,-175.2,-585.6
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-65.713,0.441,-3.324,-1.673,-6.279,14.152,28.947,77.75,51.994,-127.726,2.442,45.526,69.926,245.961,123.681,3.688,-23.58,-20.342,-24.694,12.071,25.276,108.298,119.639,-81.74,-52.465,143.937,-17.191,-121.373,-102.242,230.1,923.5,-956.5,-80,787.7
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,85.492,92.315,112.995,85.756,70.615,57.408,39.177,47.89,90.129,211.985,219.218,132.697,91.544,-25.184,-15.745,-29.874,20.374,30.938,79.862,53.623,102.849,125.135,-65.968,56.8,95.9,127.9,143.5,291.7
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,265.081,138.794,43.445,3.543,34.555,159.137,20.531,3297.898,84.057,36.98,70.534,10.531,0,89.951,284.237,27.198,32.537,1109.725,221.419,44.2,43.2,1639.4,529.2,-0.9
Free Cash Flow,CF_FREE_CASH_FLOW,78.644,118.661,125.192,97.041,108.169,157.282,193.765,184.576,152.487,88.319,77.748,232.728,209.265,325.123,376.815,257.538,116.721,224.822,81.989,343.306,116.382,70.131,145.118,81.119,36.155,230.276,294.44,185.112,363.689,600,708.2,560.6,535.6,664.2
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,83.8503,126.6826,131.9901,103.5027,114.7638,164.4219,199.4682,189.388,157.1171,121.4379,111.2468,274.3225,249.3578,363.9222,404.8305,284.1334,134.6793,258.277,78.1532,,,,,,204.8501,386.9847,397.928,,478.3229,706.9678,815.7128,675.7103,663.3641,813.1453
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,172.442,87.978,117.903,98.452,160.094,145.233,198.526,196.368,172.822,682.147,294.657,277.063,203.88,,,,,,,-450.971,109.768,136.078,91.167,-51.907,-517.646,178.434,317.628,937.56,476.844,489.7,1218.1,911.9,632.8,627.5
