VMC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,21.775,11.82,10.912,18.552,0.699,0.831,6.06,18.993,26.981,23.716,27.828,15.669,0.678,3.602,10.091,13.996,0.002,19.932,8.502,7.717,1.502,0.002,9.319,21.869,19.98,0.106,23.057,50.816,16.379,34.696,61.78,128.566,95.966,65.104,110.441,180.568,44.559,77.455,84.615,52.834,21.231,31.503,68.546,55.276,28.946,37.628,65.683,100.802,81.015,56.652,82.752,170.728,166.301,183.631,335.177,421.663,436.987,230.924,346.683,450.66,397.967,535.114,446.314,450.278,149.308,71.191,68.651,55.23,69.96,34.593,31.079,34.888,51.023,151.21,90.969,10.194,58.976,43.711,46.547,22.265,40.049,42.173,86.406,47.541,63.164,106.744,152.379,155.839,191.172,158.301,243.126,275.478,188.081,86.979,245.813,193.738,268.773,227.684,91.868,141.273,392.657,74.736,168.681,284.06,191.886,91.902,135.365,258.986,286.957,1129.799,701.163,141.646,38.141,55.059,38.026,40.037,30.838,26.031,90.411,271.589,120.041,816.765,1084.1,1197.1,722.3,857.555,135.683,235,123.1,120.7,122.4,161.4,139.6,166,340,931.1,292.4,111,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,21.775,11.82,10.912,18.552,0.699,0.831,6.06,18.993,26.981,23.716,27.828,15.669,0.678,3.602,10.091,13.996,0.002,19.932,8.502,7.717,1.502,0.002,9.319,21.869,19.98,0.106,23.057,50.816,16.379,34.696,61.78,128.566,95.966,65.104,110.441,180.568,44.559,77.455,84.615,52.834,21.231,31.503,68.546,55.276,28.946,37.628,65.683,100.802,81.015,56.652,82.752,170.728,166.301,183.631,330.205,147.769,436.987,230.924,346.683,271.45,271.552,286.134,253.594,275.138,80.343,71.191,68.651,55.23,69.96,34.593,31.079,34.888,51.023,151.21,90.969,10.194,47.446,43.711,46.547,22.265,35.94,42.173,82.496,47.541,63.164,106.744,152.379,155.839,191.172,158.301,243.126,275.478,188.081,86.979,245.813,193.738,268.773,227.684,91.868,141.273,392.657,74.736,168.681,284.06,191.886,91.902,135.365,258.986,286.957,1129.799,701.163,141.646,38.141,55.059,38.026,40.037,30.838,26.031,90.411,271.589,120.041,816.765,1084.1,1197.1,722.3,857.555,135.683,235,123.1,120.7,122.4,161.4,139.6,166,340,931.1,292.4,111,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.972,273.894,0,0,0,179.21,126.415,248.98,192.72,175.14,68.965,,,0,,,,,0,0,0,0,11.53,0,0,0,4.109,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,145.189,177.357,188.09,137.873,131.154,173.792,178.433,130.439,134.828,173.55,192.89,142.454,143.263,192.09,202.798,141.606,149.028,198.409,211.618,170.954,186.724,219.711,235.808,170.757,175.668,233.175,229.595,176.864,197.83,233.141,255.508,189.389,205.491,270.459,279.933,210.69,320.764,358.833,391.514,314.357,323.247,411.869,417.141,342.91,360.581,443.218,436.165,333.639,319.618,398.9819,396.469,306.581,345.395,426.939,436.544,345.04,352.596,428.584,456.921,268.719,290.792,426.023,536.543,329.299,502.019,608.246,478.784,344.114,392.016,460.919,454.023,383.029,437.275,523.303,519.195,326.204,330.063,385.501,399.013,254.753,291.412,389.323,404.934,260.814,278.126,389.782,430.039,299.166,318.176,390.131,397.414,277.539,322.172,404.682,445.23,323.369,348.337,434.332,479.748,354.935,369.952,490.411,552.985,397.287,443.763,532.795,531.982,398.488,468.833,570.086,579.202,434.089,489.436,638.114,645.715,512.279,560.53,697.331,724.94,532.012,597.665,695.86,644.207,512.9,593.1,686.852,938.189,783.2,917.9,1111.6,1212.6,1045.3,975,1160.4,1184.5,889.7,900.4,1075.5,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.544,,352.596,428.584,456.921,268.719,,,536.543,329.299,,,478.784,344.114,,,454.023,383.029,,,,326.204,,,,254.753,,,,260.814,,,,299.166,,,,277.539,,,,,,,,,,,,,,,531.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.4,1075.5,
