Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
CSX Corp (CSX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/26/2003,,12/31/2004,,12/30/2005,,12/29/2006,,12/28/2007,,12/26/2008,,12/25/2009,,12/31/2010,,12/30/2011,,12/28/2012,,12/27/2013,,12/26/2014,,12/25/2015,,12/30/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,7566,1.0,8040,1.0,8618,1.0,9566,1.0,10030,1.0,11255,1.0,9041,1.0,10636,1.0,11795,1.0,11756,1.0,12026,1.0,12669,1.0,11811,1.0,11069,1.0,11408,1.0,12250,1.0,11937,1.0,10583,1.0,12522,1.0,14853,1.0,14657,1.0
  Merchandise,,3694,0.49657211990859,3995,0.496890547263682,4228,0.49060106753307,4748,0.496341208446582,4990,0.497507477567298,5465,0.485561972456686,4875,0.539210264351289,5786,0.544001504324934,6302,0.536660137954526,6656,0.565842047096829,7037,0.585148844170963,7608,0.600520956665877,7271,0.615612564558462,7142,0.64522540428223,7068,0.619565217391304,7491,0.611510204081633,7589,0.635754377146687,7076,0.668619484078239,7539,0.602060373742214,8239,0.554702753652461,8653,0.59036637783994
    Chemicals,,989,0.132947976878613,1069,0.132960199004975,1089,0.126363425388721,1210,0.126489650846749,1313,0.130907278165503,1454,0.129187027987561,1267,0.140139365114478,1485,0.139620157954118,1596,0.135910755343609,1682,0.14299073365638,1896,0.157658406785299,2178,0.171915699739522,2284,0.193379053424774,2191,0.197940193332731,2210,0.193723702664797,2339,0.190938775510204,2349,0.196783111334506,2309,0.218180100160635,2421,0.193339722089123,2584,0.173971588231334,2599,0.177321416388074
    Agriculture & Food Product,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1345,0.113876894420456,1286,0.116180323425784,1262,0.11062412342216,1306,0.106612244897959,1410,0.118120130686102,1386,0.130964754795427,1461,0.116674652611404,1664,0.11203123948024,1657,0.11305178413045
    Automotive,,853,0.114665949724425,835,0.103855721393035,844,0.0979345555813414,847,0.0885427555927242,839,0.0836490528414756,784,0.0696579298089738,511,0.0565202964273864,800,0.0752162467092892,936,0.0797070595248233,1154,0.0981042251126413,1217,0.101197405621154,1213,0.0957455205620017,1175,0.0994835323003979,1261,0.113921763483603,1195,0.104751051893408,1267,0.103428571428571,1236,0.103543603920583,920,0.0869318718699802,886,0.070755470372145,1054,0.070962095199623,1219,0.0831684519342294
    Forest Products,,622,0.083613388896357,681,0.0847014925373134,717,0.083197957762822,773,0.0808070248797826,722,0.0719840478564307,793,0.0704575744113727,547,0.0605021568410574,600,0.0564121850319669,684,0.0582474665758324,722,0.0613788999404914,775,0.0644437053051721,819,0.0646459862656879,796,0.0673948014562696,773,0.0698346734122324,755,0.0661816269284713,850,0.0693877551020408,870,0.0728826338275949,834,0.0788056316734385,918,0.073310972688069,996,0.0670571601696627,1012,0.0690455072661527
    Metal & Equipment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,723,0.0612141224282449,704,0.0636010479718132,703,0.0616234221598878,769,0.0627755102040816,742,0.0621596716092821,675,0.0637815364263441,796,0.0635681201086088,828,0.0557463138759847,917,0.0625639626117214
    Minerals,,—,,—,,—,,—,,—,,—,,—,,—,,672,0.057225581197309,409,0.0347700416560401,432,0.035922168634625,459,0.036230168126924,459,0.0388620777241554,464,0.0419188725268769,477,0.041812762973352,518,0.0422857142857143,559,0.046829186562788,538,0.0508362468109232,587,0.0468774956077304,658,0.044300814650239,733,0.0500102340178754
    Fertilizers,,329,0.0442263745127033,341,0.0424129353233831,351,0.0407287073566953,354,0.0370060631402885,421,0.0419740777666999,461,0.0409595735228787,373,0.0412564981749806,465,0.0437194433997743,490,0.0417269862897045,512,0.0435263113151407,527,0.043821719607517,534,0.0421501302391665,489,0.0414020828041656,463,0.0418285301291896,466,0.0408485273492286,442,0.0360816326530612,423,0.0354360392058306,414,0.0391193423414911,470,0.0375339402651334,455,0.030633542045378,516,0.0352050214914375
    Housing and Construction,,—,,—,,—,,—,,—,,—,,1132,0.125207388563212,1215,0.114234674689733,1356,0.115473047773141,1393,0.118422171214826,1471,0.122318310327623,1587,0.125266398295051,1255,0.106256879180425,—,,—,,—,,—,,—,,—,,—,,—,
      Waste & Equipment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,262,0.0222732296182947,264,0.0219524363878264,309,0.024390243902439,—,,—,,—,,—,,—,,—,,—,,—,,—,
