Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
Union Pacific Corp (UNP US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,11159,1.0,11551,1.0,12215,1.0,13578,1.0,15578,1.0,16283,1.0,17970,1.0,14143,1.0,16965,1.0,19557,1.0,20926,1.0,21963,1.0,23988,1.0,21813,1.0,19941,1.0,21240,1.0,22832,1.0,21708,1.0,19533,1.0,21804,1.0,24875,1.0,24119,1.0
  Freight,,10663,0.95555157272157,11041,0.955847978529997,11692,0.957183790421613,12957,0.954264250994255,14862,0.95403774553858,15486,0.951053245716391,17118,0.952587646076795,13373,0.945556105493884,16069,0.94718538166814,18508,0.946361916449353,19686,0.940743572589124,20684,0.941765696853799,22560,0.940470235117559,20397,0.935084582588365,18601,0.932801765207362,19837,0.93394538606403,21384,0.936580238262088,20243,0.932513359130275,18251,0.934367480673732,20244,0.928453494771602,23159,0.931015075376884,22571,0.93581823458684
    Industrial,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4964,0.248934356351236,7025,0.330743879472693,7689,0.336764190609671,7472,0.344204901418832,6622,0.339016024164235,7323,0.335855806274078,8205,0.329849246231156,8238,0.341556449272358
      Energy & Specialized Markets,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1857,0.0874293785310734,2131,0.0933339173090399,2385,0.109867330016584,2037,0.104285056058977,2212,0.101449275362319,2386,0.0959195979899497,2521,0.10452340478461
      Metals & Minerals,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2361,0.111158192090395,2521,0.1104152067274,2042,0.0940667035194398,1580,0.0808887523677879,1811,0.0830581544670703,2196,0.0882814070351759,2194,0.0909656287574112
      Industrial Chemicals & Plastics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1679,0.0790489642184557,1828,0.0800630693763139,1885,0.0868343467845955,1845,0.0944555367839042,1943,0.0891120895248578,2158,0.0867537688442211,2176,0.0902193291595837
      Forest Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1128,0.0531073446327684,1209,0.0529519971969166,1160,0.0534365210982126,1160,0.0593866789535658,1357,0.0622362869198312,1465,0.058894472361809,1347,0.0558480865707533
    Bulk,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6987,0.328954802259887,7069,0.309609320252277,6529,0.300764695043302,5960,0.30512466083039,6656,0.3052650889745,7537,0.302994974874372,7358,0.30507069115635
      Grain & Grain Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2688,0.126553672316384,2756,0.120707778556412,2776,0.127879122903999,2829,0.144831823068653,3181,0.145890662263805,3598,0.144643216080402,3644,0.151084207471288
      Coal & Renewables,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2693,0.126789077212806,2607,0.114181850035039,2092,0.0963700018426387,1534,0.0785337633748016,1780,0.0816363969913777,2134,0.0857889447236181,1916,0.0794394460798541
      Food & Refrigerated,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,997,0.046939736346516,1065,0.0466450595655221,1008,0.0464344941956882,937,0.0479701018788717,998,0.0457714180884241,1093,0.0439396984924623,1041,0.0431609934076869
