Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,A,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
American Tower Corp (AMT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,706.66,1.0,944.786,1.0,1317.385,1.0,1456.594,1.0,1593.504,1.0,1724.114,1.0,1985.335,1.0,2443.532,1.0,2875.96,1.0,3361.407,1.0,4100.048,1.0,4771.5,1.0,5785.7,1.0,6663.9,1.0,7440.1,1.0,7580.3,1.0,8041.5,1.0,9356.9,1.0,10711.1,1.0,11144.2,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3361.407,1.0,4100.048,1.0,4771.5,1.0,5785.7,1.0,6663.9,1.0,7440.1,1.0,7580.3,1.0,8041.5,1.0,9356.9,1.0,10711.1,1.0,11144.2,1.0
  Rental and Management,,684.422,0.968530835196558,929.762,0.984097986210634,1294.068,0.982300542362331,1425.975,0.978979042890469,1547.035,0.970838479225656,1668.42,0.967697031634799,1936.373,0.975338167110336,2386.185,0.9765311033373,2803.49,0.974801457600245,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,370.899,0.186819352905177,641.925,0.262703741960408,862.801,0.300004520229767,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,1565.474,0.788518814205159,1744.26,0.713827361376892,1940.689,0.674796937370478,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,22.238,0.0314691648034415,15.024,0.0159020137893661,23.317,0.0176994576376686,30.619,0.0210209571095309,46.469,0.0291615207743438,55.694,0.0323029683652009,48.962,0.0246618328896635,57.347,0.0234688966626997,72.47,0.0251985423997552,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,—,,2,,3,,2,,2,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,—,,—,,—,,—,,—,,—,,—,,98,,97,,98,,95,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Communication Tower,,—,,—,,—,,—,,—,,—,,—,,98,,96,,96,,95,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Gross Profit,,509.514,1.0,702.891,1.0,988.056,1.0,1111.179,1.0,1217.902,1.0,1321.949,1.0,1524.961,1.0,1839.119,1.0,2169.5,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
