AAPL US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,995.839,1043.777,997.091,983.714,1041.294,889.744,892.719,988.498,1335.855,1475.563,1435.5,1445.866,1079.377,856.811,892.303,1122.775,1105.9889,1228.2939,1257.856,1587,1986,1676,952,1100,592,1359,1745,1807,1459,1230,1459,1627,1823,1993,2300,2578,2922,3106,3226,3660,3609,3826,4027,4065,4144,4218,4336,4367,4309,4306,4337,4462,4526,4545,4566,4791,4594,4966,5464,6448,7057,7526,8261,8707,8226,9176,10110,11869,12577,13767,15386,18448,19448,20774,22111,25647,25013,24222,23464,24796,23155,24288,25620,26977,29234,28395,25952,30156,28538,27654,29129,39820,39137,42606,40546,40711,41350,37805,25077,32463,33096,34703,41601,38074,55283,61756,67155,60452,67101,76759,74181,77153,87940,70970,66301,86427,80092,94614,100557,107162,94051,93025,90943,76826,69834,61696,62639,63913,51511,48231,48304,51355,55872,62482,61555,73100,67150,61801,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,645.811,664.973,374.682,739.303,874.333,773.746,604.147,530.113,766.843,731.298,498.557,584.442,560.625,393.184,676.413,972.388,1086.6169,1141.6949,1203.488,1148,1375,1168,756,824,500,1359,1552,1174,1273,1018,1230,1193,1285,1203,1481,1221,1358,1773,1326,1586,1662,1344,1191,1737,2138,2121,2310,1946,1159,1246,2252,2612,3410,3507,3396,3724,3158,3120,2969,2475,2254,3094,3491,4150,6346,8013,6392,7159,7095,7118,9352,9162,9070,9373,11875,7236,4466,5605,5263,7609,10018,9705,11261,10734,15978,12091,9815,10310,10121,7945,10746,16154,12053,11248,14259,14077,18949,12977,13844,19478,14489,15319,21120,16689,21514,18237,20484,16371,15157,18571,20289,27491,45059,31971,25913,44771,37988,50530,48844,39771,40174,33383,38016,36010,38466,34050,34940,37119,28098,27502,23646,20535,24687,28408,29965,40760,32695,25565,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,350.028,378.804,622.409,244.411,166.961,115.998,288.572,458.385,569.012,744.265,936.943,861.424,518.752,463.627,215.89,150.387,19.372,86.599,54.368,439,611,508,196,276,92,0,193,633,186,212,229,434,538,790,819,1357,1564,1333,1900,2074,1947,2482,2836,2328,2006,2097,2026,2421,3150,3060,2085,1850,1116,1038,1170,1067,1436,1846,2495,3973,4803,4432,4770,4557,1880,1163,3718,4710,5482,6649,6034,9286,10378,11401,10236,18411,20547,18617,18201,17187,13137,14583,14359,16243,13256,16304,16137,19846,18417,19709,18383,23666,27084,31358,26287,26634,22401,24828,11233,12985,18607,19384,20481,21385,33769,43519,46671,44081,51944,58188,53892,49662,42881,38999,40388,41656,42104,44084,51713,67391,53877,59642,52927,40816,31368,27646,27699,26794,23413,20729,24658,30820,31185,34074,31590,32340,34455,36236,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,658.773,705.508,761.868,853.457,790.932,767.095,907.159,973.497,873.319,956.629,1087.1851,1198.738,1285.743,1265.359,1381.946,1247.954,1343.192,1277.083,1581.347,1599,1633,1553,1931,1944,1366,1292,1496,1492,1149,1207,1035,902,807,915,955,913,804,896,681,892,940,967,953,441,637,598,466,498,644,626,565,497,492,568,766,586,585,629,774,865,888,827,895,1331,861,1089,1252,1621,928,1410,1637,1939,1593,1603,2422,2196,1932,2686,3361,3090,2886,3447,5510,6027,5798,6102,5369,8930,7042,7657,10930,11598,7084,8839,13102,14200,9700,10788,17460,16709,10905,10370,16849,12953,12229,11714,15754,14057,11579,12399,17874,23440,14324,14104,23186,18077,15085,14148,22926,20970,15722,17882,16120,27101,18503,17475,26278,30213,20815,21803,28184,23752,17936,19549,29508,23194,21837,22795,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,892,940,967,953,441,,,,,,,,,,568,,,585,629,774,865,888,827,895,1331,861,1089,1252,1621,928,1410,1637,1939,1593,1603,2422,2196,1932,2686,3361,3090,2886,3447,5510,6027,5798,6102,5369,8930,7042,7657,10930,11598,7084,8839,13102,14200,9700,10788,17460,16709,10905,10370,16849,12953,12229,11714,15754,14057,11579,12399,17874,23440,14324,14104,23186,18077,15085,14148,22926,20970,15722,17882,16120,27101,18503,17475,26278,30213,20815,21803,28184,23752,17936,19549,29508,23194,21837,22795,
