MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,686.314,1344.901,2290,3614,4750,6940,8966,13927,17236,23798,31600,38652,49048,60592,37751,34161,23411,23662,31447,36788,52772,63040,77022,85709,96526,113240,132981,133768,133819,136527,130334,104757,111262,75543
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,417.171,791.438,1013,1477,1962,2601,3706,3839,4975,4846,3922,3016,6438,15982,4851,6714,6111,10339,6076,5505,9610,6938,3804,8669,5595,6510,7663,11946,11356,13576,14224,13931,34704,18315
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,269.143,553.463,1277,2137,2788,4339,5260,10088,12261,18952,27678,35636,42610,44610,32900,27447,17300,13323,25371,31283,43162,56102,73218,77040,90931,106730,125318,121822,122463,122951,116110,90826,76558,57228
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,243.304,270.215,338,475,581,639,980,1460,2245,3250,3671,5129,5196,5890,7180,9316,11338,13589,11192,13014,14987,15780,17486,19544,17908,20636,22431,26481,29524,32011,38043,44261,48688,56924
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,1460,2245,3250,3671,5129,5196,5890,7180,9316,11338,13589,11192,13014,14987,15780,17486,19544,17908,20636,22431,26481,29524,32011,38043,44261,48688,56924
