Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Microsoft Corp (MSFT US) - By Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024
date,,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024
Productivity & Business Processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,6490,6822,6457,6661,5998,6480,6207,7107,6436,7179,7707,8548,8238,8953,9006,9668,9771,10100,10242,11047,11077,11826,11743,11752,12319,13353,13552,14691,15039,15936,15789,16600,16465,17002,17516,18291,18592,19249,19570,20317
  Operating Income,,3338,3587,3204,3167,2844,3086,2672,3154,2905,3053,2540,2891,3006,3337,3115,3466,3881,4015,3979,4344,4782,5182,4788,3972,5706,6181,6029,6435,7581,7688,7184,7236,8323,8175,8639,9052,9970,10284,10143,10143
  Goodwill,,—,—,—,6309,6370,6504,6692,6678,6702,23456,23383,23739,23790,23770,23824,23823,23814,24081,24123,24277,24226,24266,24154,24190,24223,24302,24307,24317,24353,24681,24907,24811,24716,24807,24795,24775,24759,24817,24778,24777
  Number of Subscribers (end of period),,7000,9000,12000,15000,18200,20600,22200,27000,24000,24900,26200,27000,28000,29200,30600,31400,32500,33300,34200,34800,35600,37200,—,42700,45300,47500,50200,51900,45300,56400,58400,59700,61300,63200,—,—,76700,78400,80800,82500
  Revenue Growth %,,—,—,—,—,-3,-2,1,5,6,10,22,21,28,25,17,13,19,13,14,14,13,17,15,6,11,13,15,25,22,19,17,—,9,7,11,10,13,13,12,11
  Operating Income Growth %,,—,—,—,—,-7,-8,-7,5,46,-1,-5,-8,3,9,23,20,29,20,28,25,23,29,20,-9,19,19,26,62,33,24,19,—,10,6,20,25,20,26,17,12
  Net Sales % Increased at Constant Currency,,—,—,—,—,4,5,6,8,8,12,23,23,28,24,14,10,18,13,15,17,15,19,16,8,11,11,12,21,20,19,19,17,15,13,15,12,12,12,11,12
  Foreign Currency Impact on Revenue,,—,—,—,-249,-437,-439,-339,-249,-125,-108,-82,-98,24,34,193,228,38,0,-133,-249,-196,-183,-162,-209,32,173,366,523,253,14,-332,-584,856,-1002,-587,-322,79,230,85,-106
  Unearned Revenue Balance,,—,—,—,—,10719,10110,9635,12482,11486,11447,11159,14291,11808,11290,11185,14864,13753,12635,12679,16831,15560,14266,14077,18643,17675,16225,16169,22120,20565,—,18578,24558,22405,20120,20504,27572,25316,22591,22929,30879
  Changes in Deferred Revenue,,—,—,—,11643,10719,10110,9635,12482,11808,11447,11159,14291,11808,11290,11185,14864,13753,12635,12679,16831,15560,14266,14077,4566,17675,16225,16169,5951,20565,18494,18578,—,22405,20120,20504,7068,25316,22591,22929,7950
  Operating Income Growth % at CC,,—,—,—,—,—,—,—,—,—,—,—,—,4,10,19,13,27,19,30,31,27,33,23,-5,—,17,—,53,29,24,23,19,19,17,27,29,20,-2,-1,13
Intelligent Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,5475,6041,5903,6296,5583,6260,5923,7186,6097,6758,6730,7822,6922,7795,7896,9606,8567,9378,9649,11391,10845,11869,12281,13371,12986,14601,15118,17375,16912,18262,19051,20909,20325,21508,22081,23993,24259,25880,26708,28515
  Operating Income,,2106,2600,2533,2633,2079,2488,2005,2677,1777,2291,2148,2911,2137,2832,2654,3901,2931,3279,3208,4502,3889,4531,4560,5344,5422,6492,6425,7787,7681,8323,8281,8808,8978,8904,9476,10526,11751,12461,12513,12859
  Goodwill,,—,—,—,4917,5093,5158,5469,5467,5478,5468,5528,5555,5621,5629,5723,5703,5712,11167,11338,11351,11481,11488,11534,12697,13141,13198,13210,13256,13847,13937,30218,30182,30266,30452,30492,30469,30420,30463,30452,30441
  Revenue Growth %,,—,—,—,—,8,5,3,7,8,8,11,11,14,15,17,23,24,20,22,19,27,27,27,17,20,23,23,30,31,26,26,—,20,18,16,15,19,20,21,19
  Operating Income Growth %,,—,—,—,—,14,-1,-14,17,-14,-8,7,9,20,24,24,34,37,16,21,15,33,38,42,19,39,43,41,46,39,26,29,—,17,7,13,20,31,40,32,22
  Net Sales % Increased at Constant Currency,,—,—,—,—,8,11,8,10,10,10,12,12,13,15,15,20,24,21,24,21,29,28,29,19,19,22,20,26,29,26,29,25,26,24,19,17,19,19,21,20
  Foreign Currency Impact on Revenue,,—,—,—,-215,-351,-369,-282,-215,-119,-112,-74,-91,32,49,162,182,14,-20,-144,-229,-200,-165,-164,-238,42,168,367,594,216,-32,-418,-728,996,-1078,-591,-303,156,367,65,-174
  Unearned Revenue Balance,,—,—,—,—,9291,8811,8658,11472,10322,9749,9722,13464,10156,9759,9987,14706,13298,12551,12531,16988,15255,13766,12984,16620,15039,13786,13098,17710,16117,—,14524,19371,17294,15822,15552,21563,19471,17696,16696,23117
  Changes in Deferred Revenue,,—,—,—,10346,9291,8811,8658,11472,10156,9749,9722,13464,10156,9759,9987,14706,13298,12551,12531,16988,15255,13766,12984,3636,15039,13786,13098,4612,16117,14549,14524,—,17294,15822,15552,6011,19471,17696,16696,6421
  Operating Income Growth % at CC,,—,—,—,—,—,—,—,—,—,—,—,—,20,24,21,30,35,15,23,19,38,42,46,22,—,41,—,39,37,26,33,18,25,15,17,22,31,-3,0,23
More Personal Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,11236,13282,9369,9243,9329,12513,9387,9181,9395,11889,8775,9235,9378,12170,9917,10811,10746,12993,10680,11279,11133,13211,10997,12910,11849,15122,13036,14086,13366,17530,14520,14356,13332,14237,13260,13905,13666,16891,15580,15895
  Operating Income,,1619,1506,1049,605,1393,1915,1600,1275,2033,2561,2035,2186,2565,2510,2523,3012,3143,2964,3154,3559,4015,4178,3627,4091,4748,5224,4594,4873,4976,6236,4899,4490,4217,3320,4237,4676,5174,4287,4925,4923
  Goodwill,,—,—,—,5713,5679,5774,5787,5727,5727,5600,5757,5828,5978,5956,6035,6157,6329,6329,6400,6398,6406,6494,6376,6464,6526,6719,12181,12138,12255,12303,12246,12531,12477,12646,12653,12642,12611,63651,63933,64002
  Revenue Growth %,,—,—,—,—,-17,-5,1,-4,-2,-5,-7,-2,0,2,13,17,15,7,8,4,4,2,3,14,6,14,19,9,12,15,11,—,0,-19,-9,-4,3,19,17,14
  Operating Income Growth %,,—,—,—,—,-4,35,57,59,46,33,27,71,26,-2,24,38,23,18,25,18,28,41,15,15,18,25,27,19,7,22,7,—,-15,-47,-12,4,23,29,16,5
  Net Sales % Increased at Constant Currency,,—,—,—,—,-13,-2,3,-2,-1,-4,-7,-1,-1,2,11,16,15,7,9,6,5,3,4,16,6,13,16,6,11,15,13,5,3,-16,-7,-3,2,18,17,15
  Foreign Currency Impact on Revenue,,—,—,—,-133,-371,-404,-217,-133,-97,-119,-67,-67,39,41,151,139,-25,-63,-143,-161,-111,-117,-78,-151,34,153,239,348,136,14,-253,-373,444,-565,-304,-130,66,159,39,-65
  Unearned Revenue Balance,,—,—,—,—,3035,2900,2848,3246,3298,3034,2930,3420,2940,2760,2783,3150,3191,2898,2925,3387,3211,3189,3336,3917,3591,3376,3447,4311,4333,—,3694,4479,4190,3684,3545,4678,4401,5747,5208,6188
  Changes in Deferred Revenue,,—,—,—,3246,3035,2900,2848,3246,2940,3034,2930,3420,2940,2760,2783,3150,3191,2898,2925,3387,3211,3189,3336,581,3591,3376,3447,864,4333,3726,3694,—,4190,3684,3545,1133,4401,5747,5208,980
  Operating Income Growth % at CC,,—,—,—,—,—,—,—,—,—,—,—,—,26,-2,20,32,23,19,28,22,31,45,17,19,—,22,—,13,5,21,10,10,0,-40,7,6,23,-3,-1,6
  Monthly Active Users (MAUs),,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,65,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Office Products & Cloud Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue - Supplementary Breakdown,,—,—,—,—,—,—,—,—,—,6439,—,6918,6575,7075,7088,7577,7622,7747,7889,8511,8466,8983,8920,8947,9278,9881,10016,10697,10808,11251,11164,11639,11577,—,12468,12936,13140,13477,13911,14347
