Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Duke Energy Corp (DUK US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,20549,1.0,16297,1.0,10607,1.0,12720,1.0,13207,1.0,12731,1.0,14367,1.0,14621,1.0,19781,1.0,24598,1.0,22509,1.0,22371,1.0,22743,1.0,23565,1.0,24521,1.0,25079,1.0,23868,1.0,24621,1.0,28768,1.0,29060,1.0
  Electric Utilities & Infrastructure,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21691,0.958887759161841,21521,0.957212115820842,21366,0.934318698618156,21331,0.897580475489165,22273,0.901011326860841,22798,0.909047410183819,21687,0.908622423328306,22570,0.916697128467568,25990,0.903434371523915,26921,0.918147402885304
  Gas Utilities & Infrastructure,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,578,0.0255514787144689,541,0.0240626250945159,901,0.0394000349833829,1836,0.0772564695981485,1881,0.0760922330097087,1770,0.0705769767534591,1653,0.0692559074912016,2022,0.0821250152309005,2748,0.0955228031145717,2266,0.0772824937757921
  Other,,1144,0.0549023371886548,72,0.00436972749893791,140,0.0130438833504146,167,0.0129981320049813,134,0.0100721587492483,128,0.00997428504636484,118,0.00821326651353797,44,0.00300937008412557,74,0.00374096355088216,163,0.00658213535777742,116,0.00512797842712524,135,0.00600453676110839,117,0.00511631974811964,138,0.00580685882600463,89,0.00360032362459547,24,0.000956975955979106,26,0.00108932461873638,29,0.00117785630153121,30,0.00104282536151279,134,0.00457010333890386
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-166,,—,,—,,-125,,-200,,-199,,—,,—,,—,,—,,-261,
  Field Services,,10044,0.482027163219273,5530,0.335619348182315,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Commercial Renewables,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,236,0.0104327836965651,286,0.0127207223235333,484,0.0211649466503411,460,0.0193561960866821,477,0.0192961165048544,487,0.0194186371067427,502,0.0210323445617563,—,,—,,—,
  DENA,,173,0.00830253875317944,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Natural Gas Transmission,,3351,0.160819695733551,4055,0.246100625113795,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  International Energy,,619,0.029706771608197,745,0.0452145414820659,943,0.0878598714245784,1060,0.0825031133250311,1185,0.0890709561034275,1158,0.0902361100288319,1204,0.0838031600194891,1467,0.100335134395732,1549,0.0783074667610333,1546,0.0624293329026005,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
