Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,2269.518,1.0,2561.804,1.0,3164.461,1.0,2159.217,1.0,2213.588,1.0,2630.772,1.0,3248.008,1.0,2456.632,1.0,2552.902,1.0,2859.223,1.0,3319.096,1.0,2519.779,1.0,2754.05,1.0,3008.9,1.0
  Southern Company System,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2588,1.0,2916,1.0
    Total Retail,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2144,0.828438948995363,2478,0.849794238683128
    Wholesale,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,351,0.135625965996909,344,0.117969821673525
    Other Electric,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,93,0.035935085007728,94,0.032235939643347
  Reconciliation,,2267.248,,2559.231,,3161.291,,2099.217,,2211.371,,-6.228,,-5.992,,-6.368,,2550.344,,-5.777,,-5.904,,-5.221,,166.05,,92.9,
  All Other,,0.049,0.0215859030837004,0.07,0.0272055965798679,0.088,0.0277602523659306,60,1.0,0.077,0.0347316193053676,73,0.0276829730754645,77,0.0236631837738168,138,0.0560292326431181,0.153,0.0598123534010946,123,0.0429319371727749,100,0.0300751879699248,150,0.0594059405940594,—,,—,
  Integrated Southeast Utilities,,2.221,0.978414096916299,2.503,0.972794403420132,3.082,0.972239747634069,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Electric Utilities,,—,,—,,—,,—,,2.14,0.965268380694632,2564,0.972317026924535,3177,0.976336816226183,2325,0.943970767356882,2.405,0.940187646598905,2742,0.957068062827225,3225,0.969924812030075,2375,0.94059405940594,—,,—,
Revenue - Supplementary Breakdown,,2270,1.0,2561,1.0,3165,1.0,2159,1.0,2214,1.0,2630,1.0,3248,1.0,3322.682,1.0,2553,1.0,2859,1.0,3320,1.0,2519.78,1.0,3261.204,1.0,3505.487,1.0
  Total Retail,,1412.647,0.872026929093223,1672.663,0.891565308190355,2032.642,0.880576214016408,3119.645,1.13768254680255,1479.9,0.878965411561789,1749.709,0.880114061632315,2280.82,0.90482518952843,3004.155,1.13841097547389,1471.518,0.81702523169586,1703.613,0.798153429255314,2235.849,0.891047358220846,3856.221,1.20886338244164,2144,0.859221178519631,2478,0.898230290587286
    Georgia Power,,949.145,0.585907165494414,1093.733,0.582983182639277,1399.929,0.606473829976836,906.505,0.330587267810678,904.914,0.537460711154825,1062.07,0.534227543801759,1373.842,0.545017514767548,947.271,0.358964069146941,965.707,0.536185752009363,1041.604,0.487998039769626,1353.851,0.539546882179722,948.81,0.297436704456112,1037.795,0.415902725262024,1199.22,0.434695613025862
    Alabama Power,,634.772,0.391844726838597,712.507,0.379781535816112,814.392,0.352808917696894,586.002,0.213705164463068,631.897,0.375306173842598,736.174,0.37029991227576,924.944,0.36693497518576,658.202,0.249422676552596,670.829,0.372461783786065,748.906,0.350867181742497,951.612,0.379243570854407,680.116,0.213205448601799,744.633,0.298416251783866,847.148,0.307075865298805
    Gulf Power,,125.563,0.0775100342107635,141.098,0.0752082648178639,163.573,0.0708626964587497,154.357,0.0562914257477376,133.494,0.079286849551341,172.781,0.0869098734034591,198.503,0.0787482197617357,161.058,0.0610322020294804,159.793,0.0887212476153038,175.669,0.0823020338327142,205.327,0.0818284602052337,158.385,0.0496511550629538,165.084,0.0661584277214248,191.189,0.0693025629649284
    Mississippi Power,,114.579,0.0707296115084465,127.802,0.0681212112166908,145.067,0.0628455722349131,101.705,0.0370901187226601,118.467,0.0703617781008788,138.601,0.0697171295662881,159.097,0.0631154467158323,120.662,0.045724320190746,113.97,0.0632791210548408,134.058,0.0628070180370242,150.86,0.0601218617452237,117.413,0.0368070907561107,128.555,0.0515192064387086,151.861,0.0550468725419192
    Adjustment,,-411.412,,-402.477,,-490.319,,1371.076,,-308.872,,-359.917,,-375.566,,1116.962,,-438.781,,-396.624,,-425.801,,1885.717,,67.933,,88.582,
  Wholesale Service,,650.042,,684.903,,856.691,,-583.105,,530.316,,641.952,,727.27,,683.78,,751.932,,724.557,,810.763,,-670.176,,765.921,,746.729,
