Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
date,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,3440.8,1.0,5442,1.0,2787.03,1.0,3119.646,1.0,4357.883,1.0,3223,1.0,3063.26,1.0,3591.503,1.0,4549.378,1.0,3152,1.0,3408.669,1.0,3771.928,1.0,4832.043,1.0,3340.36,1.0,3682.91,1.0,4215.187,1.0,5426.499,1.0,3802,1.0,3666.307,1.0,3885.164,1.0,4681.482,1.0,3510,1.0,4157.317,1.0,4207.419,1.0,5319.912,1.0,3771,1.0,4012,1.0,4521,1.0,5428,1.0,3696,1.0,3604,1.0,4181,1.0,5049,1.0,3703,1.0,3897,1.0,4246,1.0,5017,1.0,3927,1.0,4644,1.0,4467,1.0
  Southern Company System,,3358,1.0,3323,1.0,2717,1.0,3049,1.0,4289,1.0,3223,1.0,2997,1.0,3527,1.0,4479,1.0,3040,1.0,3346,1.0,3721,1.0,4780,1.0,3293,1.0,3649,1.0,4183,1.0,4657,1.0,4511,1.0,3639,1.0,3859,1.0,4657,1.0,3293,1.0,4136,1.0,4187,1.0,5299,1.0,3752,1.0,3994,1.0,4503,1.0,5411,1.0,3679,1.0,3589,1.0,4166,1.0,5033,1.0,3690,1.0,3885,1.0,4230,1.0,5005,1.0,3911,1.0,4627,1.0,4454,1.0
    Total Retail,,2915,0.868076235854675,2915,0.877219380078243,2269,0.835112256164888,2555,0.837979665464087,3672,0.856143623222196,2669,0.828110456096804,2471,0.824491157824491,2971,0.842358945279274,3853,0.860236659968743,2506,0.824342105263158,2744,0.820083682008368,3105,0.8344531040043,4086,0.854811715481171,2704,0.821135742484057,3006,0.823787338996986,3449,0.824527850824767,3997,0.858277861284088,3603,0.798714254045666,3065,0.842264358340203,3293,0.853329878206789,3997,0.858277861284088,2465,0.748557546310355,3459,0.836315280464217,3571,0.852877955576785,4573,0.862993017550481,3188,0.849680170575693,3396,0.850275413119679,3842,0.85320897179658,4693,0.867307336906302,3140,0.853492796955694,3092,0.861521315129563,3597,0.863418146903505,4379,0.870057619709915,3119,0.845257452574526,3298,0.848906048906049,3620,0.855791962174941,4319,0.862937062937063,3300,0.843773970851445,3858,0.833801599308407,3770,0.846430175123485
    Wholesale,,343,0.102144133412746,303,0.0911826662654228,347,0.127714390872286,385,0.126270908494588,506,0.117976218232688,429,0.133105802047782,415,0.138471805138472,440,0.124751913807769,506,0.112971645456575,416,0.136842105263158,481,0.143753735803945,487,0.130878796022575,563,0.117782426778243,457,0.138779228666869,514,0.140860509728693,591,0.141286158259622,519,0.111445136353876,776,0.172023941476391,451,0.123935147018412,438,0.113500906970718,519,0.111445136353876,602,0.182812025508655,542,0.131044487427466,473,0.112968712682111,566,0.106812606152104,413,0.110074626865672,449,0.112418627941913,507,0.112591605596269,557,0.10293845869525,392,0.106550693123131,349,0.0972415714683756,415,0.099615938550168,497,0.0987482614742698,414,0.11219512195122,432,0.111196911196911,454,0.107328605200946,520,0.103896103896104,449,0.114804397852212,604,0.130538145666739,515,0.115626403233049
    Other Electric,,100,0.0297796307325789,105,0.0315979536563346,101,0.0371733529628266,109,0.035749426041325,111,0.0258801585451154,125,0.0387837418554142,111,0.037037037037037,116,0.0328891409129572,120,0.0267916945746818,118,0.0388157894736842,121,0.0361625821876868,129,0.0346680999731255,131,0.0274058577405858,132,0.0400850288490738,129,0.0353521512743217,143,0.0341859909156108,141,0.0302770023620356,132,0.0292618044779428,123,0.033800494641385,128,0.0331692148224929,141,0.0302770023620356,226,0.06863042818099,135,0.0326402321083172,143,0.0341533317411034,160,0.0301943762974146,151,0.0402452025586354,149,0.0373059589384076,154,0.0341994226071508,161,0.0297542043984476,147,0.0399565099211742,148,0.0412371134020618,154,0.0369659145463274,157,0.0311941188158156,157,0.0425474254742547,155,0.0398970398970399,156,0.0368794326241135,166,0.0331668331668332,162,0.0414216312963436,165,0.0356602550248541,169,0.0379434216434665
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16,0.00378250591016548,—,,—,,—,,—,
