Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,10155,1.0,10549,1.0,11186,1.0,11902,1.0,13554,1.0,14356,1.0,15353,1.0,17127,1.0,15743,1.0,17456,1.0,17657,1.0,16537,1.0,17087,1.0,18467,1.0,17489,1.0,19896,1.0,23031,1.0,23495,1.0,21419,1.0,20375,1.0,23113,1.0,29279,1.0,25253,1.0
  Electric Utilities,,9906,0.973754054851076,10206,0.965471573171885,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,17941,0.894545273234942,18540,0.799103486918667,18571,0.783818005318026,17095,0.792278815405293,16497,0.80367321089297,18300,0.78669074026309,22873,0.777252956368085,19998,0.768710359408034
    Traditional Operating Companies,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16803,0.837804148384523,16884,0.727727253135641,16843,0.710885071540117,15569,0.72155535987394,15135,0.737321576460272,16614,0.714212019602786,20408,0.693489193964931,18358,0.705669805881222
    Southern Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1577,0.0786298364579178,2075,0.0894358001810267,2205,0.0930654623728527,1938,0.0898178616119016,1733,0.0844253909485068,2216,0.0952626601324048,3369,0.114482805491369,2189,0.0841437632135307
    Eliminations,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-439,,-419,,-477,,-412,,-371,,-530,,-904,,-549,
  Southern Company Gas,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1652,0.0823693657758277,3920,0.168958234558855,3909,0.16498543873718,3792,0.175742688974371,3434,0.167291859502119,4380,0.188289914882641,5962,0.202596166915862,5299,0.203690178743033
    Gas Distribution Operations,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1342,0.0669126445951336,3207,0.138226800568941,3186,0.13447009665302,3028,0.140334615562868,2952,0.14381059092902,3679,0.15815493078841,5267,0.178979203479679,4702,0.180741879684797
    Gas Marketing Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,354,0.0176505783805345,860,0.0370673677858713,568,0.0239733254547757,456,0.021133614496918,408,0.0198762605349052,475,0.020419568394807,638,0.0216800326219927,548,0.0210647703248126
    All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,31,0.00154567211806941,64,0.002758501788716,55,0.00232136073945891,44,0.00203920841636928,36,0.00175378769425635,38,0.00163356547158456,55,0.00186896832948213,36,0.00138381702863732
    Gas Pipeline Investments,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,0.000149581172716394,17,0.000732727037627688,32,0.00135060988477609,32,0.00148306066645039,32,0.00155892239489453,32,0.00137563408133436,32,0.00108739975533506,32,0.00123005958101096
    Wholesale Gas Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,24,0.00119664938173115,6,0.000258609542692125,144,0.00607774448149242,294,0.0136256198730129,74,0.0036050080381936,188,0.00808185022783939,0,,0,
    Eliminations,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-102,,-234,,-76,,-62,,-68,,-32,,-30,,-19,
  All Other,,267,0.0262459451489236,365,0.0345284268281147,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,463,0.0230853609892302,741,0.0319382785224775,1213,0.0511965559447938,690,0.0319784956203365,596,0.0290349296049106,582,0.0250193448542688,593,0.0201508767160527,718,0.0275994618489333
