SO US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,186,106,97,178.346,139,772,444.832,601,872,466,199,354,273,311,373,202,167,201,417,690,447,1315,628,659,710,1404,1975,2130,1396,1975,1065,1798,1917,748
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,186,106,97,178.346,139,772,444.832,601,872,466,199,354,273,311,373,202,167,201,417,690,447,1315,628,659,710,1404,1975,2130,1396,1975,1065,1798,1917,748
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,944,889,924,1146.774,1022,1363,1117.3781,2100,1797,1652,1312,1132,1332,1467,1865,2314,2038,2336,2295,2030,2029,1849,1649,1819,1947,1903,2623,3441,3258,2981,2819,2962,3716,3963
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,1652,1312,1132,686,680,755,868,943,1000,1054,953,1140,1074,961,1027,1090,1045,1540,1762,1676,1565,1635,1728,2067,1962
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,915,896,925,788.748,907,879,779.349,707,767,767,703,944,859,886,927,1069,1323,1435,1775,2241,2135,2270,2819,2298,1969,1929,2782,2627,2394,2388,2488,2355,2677,3352
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,257,292,290,220.989,264,340,670.886,178,183,376,605,503,290,396,298,620,491,692,768,869,1204,830,1059,823,1238,1290,2342,1874,2535,2473,2245,1850,2106,2369
    + Prepaid Expenses,BS_PREPAY,193,222,220,147.915,194,266,252.977,99,102,0,0,0,,269,126,130,128,281,442,653,935,545,822,660,842,495,364,452,432,314,276,330,347,406
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,64,70,70,73.074,70,74,417.909,79,81,443,605,503,524,127,172,490,363,411,326,216,269,285,237,163,396,795,1978,1422,2103,2159,1969,1520,1759,1963
Total Current Assets,BS_CUR_ASSET_REPORT,2302,2183,2236,2334.8569,2368,3510,3056.8989,3603,3706,3529,2825,2956,2967,3060,3463,4205,4019,4732,5358,5873,5883,6272,6162,5599,5864,6526,9722,10072,9583,9817,8617,8965,10416,10432
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,19807,19940,19750,20102.7793,21170,23103,23570.5313,24394,24768,20539,21622,23084,26566,27525,28361,29480,31092,33327,35878,39230,42002,45010,48390,51208,54868,61114,78446,79872,80797,84880,89436,92809,96101,101276
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,26894,27624,28030,29036.4961,30747,33170,34491.7734,36328,38007,34194,35972,38104,40071,41837,43312,45207,47674,50740,54164,58351,62176,66164,70354,74267,78927,85367,108298,111329,,,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,7087,7684,8280,8933.7168,9577,10067,10921.2422,11934,13239,13655,14350,15020,13505,14312,14951,15727,16582,17413,18286,19121,20174,21154,,,24059,24253,29852,31457,31038,30765,32397,34079,35297,37725
  + LT Investments & Receivables,BS_LT_INVEST,0,0,0,0,0,112,,0,0,556,0,848,1034,1118,1368,1419,1435,1222,1124,893,901,911,886,883,946,915,1044,1024,1067,1179,954,653,602,665
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,757,760,1186,3385.533,3379,3628,3385.4331,6887,7202,7733,6225,2254,2517,2667,2865,3819,5254,5376,5123,4980,4876,5867,6408,5391,7009,8245,17330,16692,22166,19485,20263,21283,24184,23166
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,1887.574,3251.499,670,778,827,786,0,0,0,0,0,0,0,0,0,0,0,0,319,7221,7141,5928,5816,5767,5725,5567,5529
    + Goodwill,BS_GOODWILL,,,,,,,,,,2106,,,,,,,,,,0,0,0,0,0,0,2,6251,6268,5315,5280,5280,5280,5161,5161
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,317,970,873,613,536,487,445,406,368
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,898,,,,,,,,,,1385,1432,1510,1560,1629,825,794,798,796,824,866,886
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,1376,0,0,0,0,0,0,0,0,0,0,0,0,,,0,6,1549,1513,1580,1303,1362,1282,1443,1368
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,20564,20700,20988,23575.8004,24674,27044,27234.9039,31668,32486,34867,28537,26868,28832,32118,33499,35672,38839,41057,42989,46173,49149,52995,56987,58947,64369,71792,99975,100933,107331,108883,114318,118569,124475,128899
Total Assets,BS_TOT_ASSET,22866,22883,23224,25910.6563,27042,30554,30291.8027,35271,36192,38396,31362,29824,31799,35178,36962,39877,42858,45789,48347,52046,55032,59267,63149,64546,70233,78318,109697,111005,116914,118700,122935,127534,134891,139331
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,719,984,1057,1095.3149,1076,1191,1233.3521,1135,1151,1471,1501,1449,1335,1495,1532,1591,1607,1734,1807,1708,2040,2268,2415,1710,2031,2421,2493,880,2242,4754,3134,2408,3535,3976
Cash from Operating Activities,CF_CASH_FROM_OPER,1857,1957,2087,2327.1201,2180,2383,2488.5149,2774,2910.0859,1892,2888,2571,2848,3071,2662,2530,2854,3395,3464,3263,3991,5903,4898,6097,5815,6274,4894,6394,6945,5781,6696,6169,6302,7553
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,-1444,-152,-114,,,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,0,0,0,-464.69,-405,-1416,-275.928,-2938,-912,-400,-81,-119,-135,-101,-67,-121,108,-81,-68,136,-58,415,-207,-146,-990,-1433,-11042,704,-207,-560,-271,-583,-120,-124
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-1102,-859,-988,-1667.903,-1839,-2357,-1274.606,-4751,-2624.0859,-2281,-2306,-2736,-2961,-2195,-2252,-2629,-2834,-3709,-4127,-4319,-4256,-4183,-5168,-5742,-6408,-7280,-20047,-7190,-5760,-3392,-7030,-7353,-8430,-9668
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-791,-784,-799,-819.039,-853,-899,-953.045,-1052,-1107,-1146,-1031,-1109,-975,-1004,-1045,-1128,-1174,-1253,-1346,-1434,-1561,-1666,-1758,-1828,-1866,-1959,-2104,-2300,-2425,-2570,-2685,-2777,-2907,-3035
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,96,-381,-275,263.1579,130,1467,-792.859,2038,534,2227,53,1037,576,-361,435,1154,881,591,1590,1502,844,111,1205,770,1677,3998,13973,3127,-2579,13,2268,4765,4137,4371
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-96,-25,114,114.819,378,276,313.965,1021,505,-774,495,425,525,595,271,-88,272,1008,349,1286,772,723,-33,725,801,-271,3758,385,1057,844,74,73,1510,36
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,0,100,440,631.288,379,277,493.113,1681,869,274,910,425,1766,595,299,268,287,1008,474,1286,772,723,397,745,806,256,3758,1043,1090,844,74,73,1510,36
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-96,-125,-326,-516.469,-1,-1,-179.148,-660,-364,-1048,-415,0,-1241,0,-28,-356,-15,0,-125,0,0,0,-430,-20,-5,-527,0,-658,-33,0,0,0,0,0
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-44,-80,-9,81.033,-39,633,-327.508,156,271,-158,45,155,-81,38,32,-196,-35,-14,-99,273,-243,868,-687,31,51,694,572,155,-628,459,-910,761,208,-1116
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,706,823,839,656,581,558,374,189,78,100,649,732,537,975,276,-401,38,139,272,-9,-148,-410,172,276,64,93,146,132
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,1800,,0,0,0,0,0,0,,0,0,0,0,0,,731,1719,10680,1054,65,50,81,345,,
Free Cash Flow,CF_FREE_CASH_FLOW,706,852,994,899.7681,662,1002,1278.7599,929,916.9999,11,663,-46,22,977,477,22,-238,-266,-628,-1532,-225,1280,-63,501,397,427,-2667,-1348,-1450,-2173,-1112,-1518,-2283,-2155
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,1241.4286,1348.0455,1461.2384,1347.7058,1065.2709,1426.7258,1712.6564,1476.8016,1531.5326,372.1235,1103.078,344.2586,499.963,1458.0679,959.2294,565.6766,344.8916,332.0241,-53.1058,-938.3978,370.499,1837.4064,490.3436,1051.6213,960.7916,990.6263,-1709.9043,120.7678,91.1422,-914.1214,504.2938,128.5967,-641.6512,11.7788
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,583,746,1267.8129,886.785,2821,732.742,3497.9449,-310.0001,2043,527,804,511,720,1020,1181,907,646,933,245,572,1351,1077,1254,2006,3967,11261,1338,-1122,2947,2190,4149,1827,2380
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,1.1171,1.3481,1.5728,1.4103,1.0186,1.5068,1.9012,1.3562,1.3156,0.0161,1.0153,-0.0668,0.0311,1.3439,0.6455,0.0296,-0.3203,-0.3519,-0.8145,-1.927,-0.2704,1.4936,-0.0723,0.5713,0.4426,0.4692,-2.8044,-1.348,-1.4216,-2.0774,-1.051,-1.4307,-2.1237,-1.9734
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,7.5987,7.7648,7.4542,9.5277,11.9585,9.9534,7.2476,11.6197,13.4536,891.2659,19.9449,25.0169,913.6418,22.5095,51.9314,1167.7418,1247.8909,,,,,30.9926,28.3413,71.963,110.9614,99.7164,105.2148,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,2.5828,1.9888,1.9745,2.1246,2.026,2.0008,2.0177,2.4441,2.5283,1.2862,1.9241,1.7743,2.1333,2.0542,1.7376,1.5902,1.776,1.9579,1.917,1.9104,1.9564,2.6027,2.0282,3.5655,2.8631,2.5915,1.9631,7.2659,3.0977,1.216,2.1366,2.5619,1.7827,1.8996
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,7975,8050,8073,8489.1465,8297,9180,10357.8906,12611,11403,9317,10066,10155,10549,11186,11902,13554,14356,15353,17127,15743,17456,17657,16537,17087,18467,17489,19896,23031,23495,21419,20375,23113,29279,25253
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,2891,2705,2568,2600.6909,2335,2617,3347.5891,5314,3614,2737,3241,3295,3216,3594,4164,5226,5695,6371,7633,6426,7262,6870,5601,5971,6677,5395,5984,7377,7953,6192,5065,6964,11828,7452
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,5084,5345,5505,5888.4556,5962,6563,7010.3015,7297,7789,6580,6825,6860,7333,7592,7738,8328,8661,8982,9494,9317,10194,10787,10936,11116,11790,12094,13912,15654,15542,15227,15310,16149,17451,17801
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,2940,2988,3096,3389.4609,3536,3872,4408.7642,4632,5137,4330,4421,4469,4687,4787,4911,5366,5437,5656,5988,6049,6392,6556,6473,7861,8148,7812,9426,13321,11351,7491,10425,12451,12081,11975
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),IS_OPER_INC,2144,2357,2409,2498.9939,2426,2691,2601.5381,2665,2652,2250,2404,2391,2646,2805,2827,2962,3224,3326,3506,3268,3802,4231,4463,3255,3642,4282,4486,2333,4191,7736,4885,3698,5370,5826
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,664,736,744,714,696,634,653,1006,1265,1442,1194,1389,1122,1147,1481
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,682,677,704,676,615,571,591,1095,1508,1666,1548,1635,1625,1739,2093
    + Interest Expense,IS_INT_EXPENSE,812,797,736,724.707,660,696,697.61,873,953,556,659,557,667,678,667,747,866,886,866,905,895,857,859,824,835,840,1317,1694,1842,1736,1821,1837,2022,2446
    - Interest Income,IS_INT_INC,,,,,,,,,,164,51,27,22,36,27,36,41,45,33,23,24,,40,19,19,23,20,26,38,60,37,22,59,85
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,91,,,,,,,,,,,,0,,-59,-106,-148,-162,-153,-76,-151,-144
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-18,59,40,38,81,63,62,-89,-243,-224,-354,-246,-503,-592,-612
"Pretax Income (Loss), Adjusted",PRETAX_INC,1421,1581,1665,1772.0819,1761,1973,2004.1521,1855,1909,1709,1770,1864,1863,2107,2119,2186,2389,2569,2722,2604,3066,3487,3749,2559,3008,3629,3480,1068,2749,6542,3496,2576,4223,4345
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,111,221,390.45,398.33,,,-44,-24,,16,-61,0,197.884,0,0,-19,1190,868,413,553,3451,997,-2488,692,1681,433,-73.6329
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,4,57,-42,-215,-17,-18,,
