META US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-29,2001-12-31,2002-12-31,2003-12-31,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,,,305,297,633,1785,3908,9626,11449,11199,18434,29449,41711,41114,54855,61954,47998,40738,65403
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,,,305,297,633,1785,1512,2384,3323,4315,4907,8903,8079,10019,19079,17576,16601,14681,41862
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,,,,,0,0,2396,7242,8126,6884,13527,20546,33632,31095,35776,44378,31397,26057,23541
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,,,,,373,547,719,1109,1678,2559,3993,5832,7587,9518,11335,14039,13466,16169
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,373,547,719,1109,1678,2559,3993,5832,7587,9518,11335,14039,13466,16169
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,0,88,149,922,512,793,659,959,1020,1779,1852,2381,4629,5345,3793
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,0,451,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,0,88,149,471,512,793,659,959,1020,1779,1852,2381,4629,5345,3793
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,633,2246,4604,11267,13070,13670,21652,34401,48563,50480,66225,75670,66666,59549,85365
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,148,574,1475,2391,2882,3967,5687,8591,13721,24683,44783,54981,69964,92191,109881
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,820,1925,3273,4142,5784,7819,11803,18337,31573,55446,70399,90044,117166,143015
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,246,450,882,1260,1817,2132,3212,4616,6890,10663,15418,20080,24975,33134
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,86,6234,6775,6201,6141
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,6234,6775,6201,6141
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,328,170,252,1445,1943,22547,22068,21969,22240,22171,22282,22431,22582,27786,28236
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,11,96,162,1388,1722,21910,21272,20657,20105,19595,19609,19673,19831,21203,21442
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,11,37,82,587,839,17981,18026,18122,18221,18301,18715,19050,19197,20306,20654
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,0,59,80,801,883,3929,3246,2535,1884,1294,894,623,634,897,788
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,317,74,90,57,221,637,796,1312,2135,2576,2673,2758,2751,6583,6794
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,476,744,1727,3836,4825,26514,27755,30560,35961,46854,67151,83646,99321,126178,144258
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,1109,2990,6331,15103,17895,40184,49407,64961,84524,97334,133376,159316,165987,185727,229623
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,122,372,668,32,1491,2925,3669,10188,15920,22111,18485,29146,39370,23200,39098
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,155,698,1549,1612,4222,5457,8599,16108,24216,29274,36314,38747,57683,50475,71113
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,-33,-293,-606,-1235,-1362,-1831,-2523,-4491,-6733,-13915,-15102,-15115,-18567,-31186,-27045
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,48,123,245,221
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,-33,-293,-606,-1235,-1362,-1831,-2523,-4491,-6733,-13915,-15102,-15163,-18690,-31431,-27266
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,0,0,-3,0,-1,0,,,,-25,-61,-6361,-47,-5,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,0,0,-3,0,-1,0,,,,-25,-61,-6361,-47,-5,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,3,-22,-24,-911,-368,-4975,-313,-123,-122,-137,-508,-388,-851,-1312,-629
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,3,-22,-24,-911,-368,-4975,-313,-123,-122,-137,-508,-388,-851,-1312,-629
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,-32,-9,-2390,-4878,-893,893,-6598,-7178,-13263,2474,-4193,-8195,11895,3533,3179
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,-62,-324,-3023,-7024,-2624,-5913,-9434,-11792,-20118,-11603,-19864,-30059,-7570,-28970,-24495
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,0,250,-431,1130,-1891,-243,-119,-312,0,0,-552,-604,-677,9071,7397
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,260,621,1459,7810,2113,1887,1721,0,-5222,-16087,-6539,-9836,-50052,-31551,-26786
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,260,621,1459,7810,2113,1887,1721,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-5222,-16087,-6539,-9836,-50052,-31551,-26786
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,-17,-90,170,-2657,-889,-73,-20,2,-13,515,-208,148,1,344,-111
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,243,781,1198,6283,-667,1571,1582,-310,-5235,-15572,-7299,-10292,-50728,-22136,-19500
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,0,-3,3,1,8,-123,-155,-63,232,-179,4,279,-474,-638,113
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,336,1152,-273,872,939,992,592,3943,-905,1920,9155,-1325,-1089,-1269,27231
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,42,261,197,184,82,184,273,1210,2117,3762,5182,4229,8525,6407,6607
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,-3,22,24,911,368,4975,313,123,122,137,508,388,851,1312,629
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,122,405,943,377,2860,3626,6076,11617,17483,15359,21212,23584,38993,19044,43847
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,131.0157,418.2262,967.7788,382.4717,2890.5011,3639.7719,6089.6945,11625.1618,17487.6423,15366.847,21212,23584,38993,19044,44338.3218
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,512,892,969,3383,5957,11305,17483,15359,20660,23028,38439,28360,51465
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,0.1196,0.3659,0.7287,0.1879,1.1818,1.3871,2.1677,4.0576,6.0265,5.3145,7.4324,8.2722,13.8519,7.0875,17.0346
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,141.6422,46.2415,56.245,48.2821,28.354,29.2805,24.6663,27.6157,33.0215,24.2819,16.9793,20.7789
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,1.2705,1.8763,2.3189,50.375,2.8317,1.8656,2.3437,1.5811,1.5211,1.324,1.9645,1.3294,1.4652,2.1756,1.8188
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,153,272,777,1974,3711,5089,7872,12466,17928,27638,40653,55838,70697,85965,117929,116609,134902
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,764,1868,3154,4279,6986,11492,17079,26885,39942,55013,69655,84169,114934,113642,131948
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,41,124,223,493,860,1364,1875,2153,2867,3789,5454,9355,12770,16692,22649,25249,25959
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,223,493,860,1364,1875,2153,2867,3789,5454,9355,12770,16692,22649,25249,25959
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,112,148,554,1481,2851,3725,5997,10313,15061,23849,35199,46483,57927,69273,95280,91360,108943
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,236,203,292,449,1095,3187,3193,5319,8836,11422,14996,21570,33941,36602,48527,62416,62192
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,155,156,205,305,707,1788,1778,2653,4020,5503,7242,11297,20341,18155,23872,27078,23709
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,115,167,393,896,997,1680,2725,3772,4725,7846,9876,11591,14043,15262,12301
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,90,138,314,892,781,973,1295,1731,2517,3451,10465,6564,9829,11816,11408
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,87,144,388,1399,1415,2666,4816,5919,7754,10273,13600,18447,24655,33619,36489
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,-124,-55,262,1032,1756,538,2804,4994,6225,12427,20203,24913,23986,32671,46753,28944,46751
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,8,24,61,44,50,84,31,-91,-391,-448,-826,-509,-531,125,-677
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,10,21,38,37,37,-4,-29,-166,-392,-652,-904,-672,-461,-276,-1043
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,10,22,42,51,56,23,23,10,6,9,0,0,0,0,596
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,0,1,4,14,19,27,52,176,398,661,904,672,461,276,1639
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-2,2,-6,-2,-1,1,126,-11,0,417,183,292,70,482,0
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,-135,-56,254,1008,1695,494,2754,4910,6194,12518,20594,25361,24812,33180,47284,28819,47428
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,33,-232,5074,7530
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-224
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,-135,-56,254,1008,1695,494,2754,4910,6194,12518,20594,25361,24812,33180,47284,28819,47428
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,3,0,25,402,695,441,1254,1970,2506,2301,4660,3249,6327,4034,7914,5619,8330
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,-138,-56,229,606,1000,53,1500,2940,3688,10217,15934,22112,18485,29146,39370,23200,39098
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,-138,-56,229,606,1000,53,1500,2940,3688,10217,15934,22112,18485,29146,39370,23200,39098
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,0,0,107,234,332,21,9,15,19,29,14,1,0,0,0,0,0
