META US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31,1994-03-31,1994-06-30,1994-09-30,1994-12-30,1995-03-31,1995-06-30,1995-09-29,1995-12-29,1996-03-29,1996-06-28,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-29,2000-12-29,2001-03-30,2001-06-29,2001-09-28,2001-12-31,2002-03-28,2002-06-28,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-30,2006-03-31,2006-06-30,2006-09-29,2006-12-29,2007-03-30,2007-06-29,2007-09-28,2007-12-31 00:00:00,2008-03-31,2008-06-30,2008-09-30,2008-12-31 00:00:00,2009-03-31,2009-06-30,2009-09-30,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,297,,,,633,,,,1785,,,,3908,3910,10188,10452,9626,9472,10252,9328,11449,12629,13956,14250,11199,12413,14125,15834,18434,20621,23293,26140,29449,32306,35452,38289,41711,43956,42309,41206,41114,45243,48596,52269,54855,60289,58240,55620,61954,64219,64080,58075,47998,43890,40489,41776,40738,37439,53446,61123,65403,58120,58080,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,297,,,,633,,,,1785,,,,1512,1282,2098,2478,2384,2325,3001,3100,3323,2998,4384,8999,4315,3419,5123,4308,4907,6456,5108,6038,8903,7104,6252,7201,8079,12082,11552,9637,10019,11076,13877,15979,19079,23618,21045,11617,17576,19513,16186,14496,16601,14886,12681,14308,14681,11551,28785,36890,41862,32307,32045,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,2396,2628,8090,7974,7242,7147,7251,6228,8126,9631,9572,5251,6884,8994,9002,11526,13527,14165,18185,20102,20546,25202,29200,31088,33632,31874,30757,31569,31095,34167,34719,36290,35776,36671,37195,44003,44378,44706,47894,43579,31397,29004,27808,27468,26057,25888,24661,24233,23541,25813,26035,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,,,,547,482,578,635,719,659,775,872,1109,1006,1190,1363,1678,1508,1815,2010,2559,2348,2801,3070,3993,3415,3897,4424,5832,5115,5590,6058,7587,6475,7513,7673,9518,7289,7483,8024,11335,10276,11698,12088,14039,11390,11525,11227,13466,11044,12511,12944,16169,13430,14505,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,,,,547,482,578,635,719,659,775,872,1109,1006,1190,1363,1678,1508,1815,2010,2559,2348,2801,3070,3993,3415,3897,4424,5832,5115,5590,6058,7587,6475,7513,7673,9518,7289,7483,8024,11335,10276,11698,12088,14039,11390,11525,11227,13466,11044,12511,12944,16169,13430,14505,
