Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Meta Platforms Inc (META US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,345,1.0,432,1.0,467,1.0,731,1.0,731,1.0,895,1.0,954,1.0,1131,1.0,1058,1.0,1184,1.0,1262,1.0,1585,1.0,1458,1.0,1813,1.0,2016,1.0,2585,1.0,2502,1.0,2910,1.0
  Advertising,,340,0.985507246376812,424,0.981481481481482,450,0.963597430406852,655,0.896032831737346,637,0.87140902872777,776,0.867039106145251,798,0.836477987421384,943,0.833775419982317,872,0.824196597353497,992,0.837837837837838,1086,0.86053882725832,1329,0.838485804416404,1245,0.853909465020576,1599,0.881963596249311,1798,0.891865079365079,2344,0.906769825918762,2265,0.905275779376499,2676,0.919587628865979
    Mobile Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,373.5,0.256172839506173,655.59,0.361605074462217,881.02,0.437013888888889,1242.32,0.480588007736944,1336.35,0.534112709832134,1659.12,0.570144329896907
    Desktop Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,871.5,0.597736625514403,943.41,0.520358521787093,916.98,0.45485119047619,1101.68,0.426181818181818,928.65,0.371163069544365,1016.88,0.349443298969072
  Payments & Other,,5,0.0144927536231884,8,0.0185185185185185,17,0.0364025695931477,76,0.103967168262654,94,0.12859097127223,119,0.132960893854749,156,0.163522012578616,188,0.166224580017683,186,0.175803402646503,192,0.162162162162162,176,0.13946117274168,256,0.161514195583596,213,0.146090534979424,214,0.118036403750689,218,0.108134920634921,241,0.0932301740812379,237,0.0947242206235012,234,0.0804123711340206
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Advertising,,99,,98,,96,,90,,87,,87,,84,,83,,43,,84,,86,,84,,30,,41,,49,,53,,59,,62,
    Mobile Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,30,,41,,49,,53,,59,,62,
  Payments & Other,,1,,2,,4,,10,,13,,13,,16,,17,,57,,16,,14,,16,,70,,59,,51,,47,,41,,38,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Advertising,,—,,—,,—,,—,,—,,—,,—,,44,,37,,28,,36,,41,,43,,61,,66,,63,,82,,67,
  Payments & Other,,—,,—,,—,,—,,—,,—,,—,,36,,98,,61,,13,,45,,15,,11,,24,,9,,11,,9,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
