Date,Revenue,  Advertising,  Advertising,  Advertising,    Mobile Advertising,    Mobile Advertising,    Desktop Advertising,  Payments & Other,  Payments & Other,  Payments & Other,Percentage of Revenue,  Advertising,  Advertising,  Advertising,    Mobile Advertising,    Mobile Advertising,  Payments & Other,  Payments & Other,  Payments & Other,Revenue Growth %,  Advertising,  Advertising,  Advertising,  Payments & Other,  Payments & Other,  Payments & Other,Source: Bloomberg
03/31/2010,345,340,99,—,—,—,—,5,1,—,—,340,99,—,—,—,5,1,—,—,340,99,—,5,1,—,
06/30/2010,432,424,98,—,—,—,—,8,2,—,—,424,98,—,—,—,8,2,—,—,424,98,—,8,2,—,
09/30/2010,467,450,96,—,—,—,—,17,4,—,—,450,96,—,—,—,17,4,—,—,450,96,—,17,4,—,
12/31/2010,731,655,90,—,—,—,—,76,10,—,—,655,90,—,—,—,76,10,—,—,655,90,—,76,10,—,
03/31/2011,731,637,87,—,—,—,—,94,13,—,—,637,87,—,—,—,94,13,—,—,637,87,—,94,13,—,
06/30/2011,895,776,87,—,—,—,—,119,13,—,—,776,87,—,—,—,119,13,—,—,776,87,—,119,13,—,
09/30/2011,954,798,84,—,—,—,—,156,16,—,—,798,84,—,—,—,156,16,—,—,798,84,—,156,16,—,
12/31/2011,1131,943,83,44,—,—,—,188,17,36,—,943,83,44,—,—,188,17,36,—,943,83,44,188,17,36,
03/31/2012,1058,872,43,37,—,—,—,186,57,98,—,872,43,37,—,—,186,57,98,—,872,43,37,186,57,98,
06/30/2012,1184,992,84,28,—,—,—,192,16,61,—,992,84,28,—,—,192,16,61,—,992,84,28,192,16,61,
09/30/2012,1262,1086,86,36,—,—,—,176,14,13,—,1086,86,36,—,—,176,14,13,—,1086,86,36,176,14,13,
12/31/2012,1585,1329,84,41,—,—,—,256,16,45,—,1329,84,41,—,—,256,16,45,—,1329,84,41,256,16,45,
03/31/2013,1458,1245,30,43,373.5,30,871.5,213,70,15,—,1245,30,43,373.5,30,213,70,15,—,1245,30,43,213,70,15,
06/30/2013,1813,1599,41,61,655.59,41,943.41,214,59,11,—,1599,41,61,655.59,41,214,59,11,—,1599,41,61,214,59,11,
09/30/2013,2016,1798,49,66,881.02,49,916.98,218,51,24,—,1798,49,66,881.02,49,218,51,24,—,1798,49,66,218,51,24,
12/31/2013,2585,2344,53,63,1242.32,53,1101.68,241,47,9,—,2344,53,63,1242.32,53,241,47,9,—,2344,53,63,241,47,9,
03/31/2014,2502,2265,59,82,1336.35,59,928.65,237,41,11,—,2265,59,82,1336.35,59,237,41,11,—,2265,59,82,237,41,11,
06/30/2014,2910,2676,62,67,1659.12,62,1016.88,234,38,9,—,2676,62,67,1659.12,62,234,38,9,—,2676,62,67,234,38,9,
