Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Meta Platforms Inc (META US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,3203,1.0,3851,1.0,3543,1.0,4042,1.0,4501,1.0,5841,1.0,5382,1.0,6436,1.0,7011,1.0,8809,1.0,8032,1.0,9321,1.0,10328,1.0,12972,1.0,11966,1.0,13231,1.0,13727,1.0,16914,1.0,15077,1.0,16886,1.0,17652,1.0,21082,1.0,17737,1.0,18687,1.0,21470,1.0,28072,1.0,26171,1.0,29077,1.0,29010,1.0,33671,1.0,27908,1.0,28822,1.0,27714,1.0,32165,1.0,28645,1.0,31999,1.0,34146,1.0,40111,1.0,36455,1.0,39071,1.0
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21082,1.0,—,,—,,—,,27355,0.974458535195212,25637,0.979595735738031,28772,0.989510609760292,28452,0.98076525336091,32794,0.973953847524576,27213,0.97509674645263,28370,0.984317535216154,27429,0.989716388828751,31438,0.977397792631743,28306,0.988165473904695,31723,0.991374730460327,33936,0.993849938499385,39040,0.973299095011343,36015,0.987930325058291,38718,0.990965165979883
    Advertising,,2957,0.923197002809866,3594,0.933264087250065,3317,0.936212249506068,3827,0.946808510638298,4299,0.95512108420351,5637,0.96507447354905,5201,0.966369379412858,6239,0.969390926041019,6816,0.972186563970903,8629,0.979566352593938,7857,0.978212151394422,9164,0.983156313700247,10142,0.981990704879938,12779,0.985121800801727,11795,0.985709510279124,13038,0.985413045121306,13539,0.986304363662854,16640,0.983800402033818,14912,0.989056178284805,16624,0.984484188084804,17383,0.984760933605257,20736,0.983587894886633,17440,0.983255341940576,18321,0.980414191684058,21221,0.988402421984164,27187,0.968473924194927,25439,0.972030109663368,28580,0.982907452625787,28276,0.974698379869011,32639,0.969350479641234,26998,0.967392862261717,28152,0.976753868572618,27237,0.982788482355488,31254,0.971677288978703,28101,0.981008902077151,31498,0.984343260726898,33643,0.98526913840567,38706,0.964972202139064,35635,0.977506514881361,38329,0.981008932456297
      Desktop Advertising,,1005.38,0.313886980955354,1114.14,0.28931186704752,895.59,0.252777307366638,918.48,0.227234042553191,945.78,0.210126638524772,1127.4,0.19301489470981,936.18,0.173946488294314,998.24,0.155102548166563,1090.56,0.155549850235344,1380.64,0.15673061641503,1178.55,0.146731822709163,1191.32,0.127810320781032,1217.04,0.117838884585593,1405.69,0.10836339808819,1061.55,0.0887138559251212,1173.42,0.0886871740609175,1083.12,0.0789043490930283,—,,1043.84,0.0692339324799363,997.44,0.0590690512850882,1042.98,0.0590856560163154,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
      Mobile Advertising,,1951.62,0.609310021854511,2479.86,0.643952220202545,2421.41,0.68343494213943,2908.52,0.719574468085106,3353.22,0.744994445678738,4509.6,0.77205957883924,4264.82,0.792422891118543,5240.76,0.814288377874456,5725.44,0.816636713735558,7248.36,0.822835736178908,6678.45,0.831480328685259,7972.68,0.855345992919215,8924.96,0.864151820294345,11373.31,0.876758402713537,10733.45,0.896995654354003,11864,0.896682034615675,12455.88,0.907400014569826,—,,13868.16,0.919822245804868,15626.56,0.925415136799716,16340.02,0.925675277588942,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,346,0.0164121051133669,—,,—,,—,,168,0.00598461100028498,198,0.00756562607466279,192,0.00660315713450494,176,0.00606687349189934,155,0.00460336788334175,215,0.007703884190913,218,0.00756366664353619,192,0.00692790647326261,184,0.00572050365303902,205,0.00715657182754407,225,0.00703146973342917,293,0.00858080009371522,334,0.00832689287227942,380,0.0104238101769305,389,0.00995623352358527
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,717,0.0255414648047877,534,0.0204042642619694,305,0.0104893902397084,558,0.01923474663909,877,0.026046152475424,695,0.0249032535473699,452,0.0156824647838457,285,0.0102836111712492,727,0.0226022073682574,339,0.0118345260953046,276,0.00862526953967311,210,0.00615006150061501,1071,0.0267009049886565,440,0.012069674941709,353,0.00903483402011722
  Payments & Other,,246,0.0768029971901343,257,0.0667359127499351,226,0.0637877504939317,215,0.0531914893617021,202,0.0448789157964897,204,0.0349255264509502,181,0.0336306205871423,197,0.0306090739589807,195,0.0278134360290971,180,0.020433647406062,175,0.0217878486055777,157,0.0168436862997532,186,0.018009295120062,193,0.0148781991982732,171,0.0142904897208758,193,0.014586954878694,188,0.0136956363371458,274,0.0161995979661819,165,0.0109438217151953,262,0.015515811915196,269,0.0152390663947428,—,,297,0.0167446580594238,366,0.0195858083159416,249,0.0115975780158361,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Net Sales on a Constant Currency Basis,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21030,1.0,—,,—,,—,,84298,1.0,—,,29077,1.0,29010,1.0,32945,1.0,27908,1.0,28822,1.0,27714,1.0,33231,1.0,28645,1.0,31999,1.0,34146,1.0,40111,1.0,36455,1.0,39071,1.0
