Date,Revenue,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Advertising,    Advertising,    Advertising,    Advertising,    Advertising,      Desktop Advertising,      Mobile Advertising,      Mobile Advertising,    Other,    Other,    Other,    Other,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Payments & Other,  Payments & Other,  Payments & Other,  Payments & Other,Net Sales on a Constant Currency Basis,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Advertising,    Advertising,    Advertising,    Advertising,    Advertising,    Other,    Other,    Other,    Other,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Percentage of Revenue,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Advertising,    Advertising,    Advertising,    Advertising,    Advertising,      Mobile Advertising,      Mobile Advertising,  Payments & Other,  Payments & Other,  Payments & Other,  Payments & Other,Net Sales % Increased at Constant Currency,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Other,    Other,    Other,    Other,    Advertising,    Advertising,    Advertising,    Advertising,    Advertising,Cost of Revenue,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Operating Income,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Operating Margin,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Revenue Growth %,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Other,    Other,    Other,    Other,    Advertising,    Advertising,    Advertising,    Advertising,    Advertising,  Payments & Other,  Payments & Other,  Payments & Other,  Payments & Other,Average Revenue per User (ARPU),  Payments & Other,  Payments & Other,  Payments & Other,  Payments & Other,  Advertising,Source: Bloomberg
09/30/2014,3203,—,—,—,—,—,—,—,—,2957,—,66,—,64,1005.38,1951.62,66,—,—,—,—,—,—,—,—,—,—,—,246,34,13,—,—,—,—,—,—,—,—,—,—,2957,—,66,—,64,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2957,—,66,—,64,1951.62,66,246,34,13,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2957,—,66,—,64,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2957,—,66,—,64,246,34,13,—,—,246,34,13,—,—,
12/31/2014,3851,—,—,—,—,—,—,—,—,3594,—,93,—,65,1114.14,2479.86,69,—,—,—,—,—,—,—,—,—,—,—,257,7,10,—,—,—,—,—,—,—,—,—,—,3594,—,93,—,65,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3594,—,93,—,65,2479.86,69,257,7,10,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3594,—,93,—,65,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3594,—,93,—,65,257,7,10,—,—,257,7,10,—,—,
03/31/2015,3543,—,—,—,—,—,—,—,—,3317,—,73,—,46,895.59,2421.41,73,—,—,—,—,—,—,—,—,—,—,—,226,27,-5,—,—,—,—,—,—,—,—,—,—,3317,—,73,—,46,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3317,—,73,—,46,2421.41,73,226,27,-5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3317,—,73,—,46,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3317,—,73,—,46,226,27,-5,—,—,226,27,-5,—,—,
06/30/2015,4042,—,—,—,—,—,—,—,—,3827,—,76,—,43,918.48,2908.52,76,—,—,—,—,—,—,—,—,—,—,—,215,24,-8,—,—,—,—,—,—,—,—,—,—,3827,—,76,—,43,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3827,—,76,—,43,2908.52,76,215,24,-8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3827,—,76,—,43,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3827,—,76,—,43,215,24,-8,—,—,215,24,-8,—,—,
09/30/2015,4501,—,—,—,—,—,—,—,—,4299,—,78,—,45,945.78,3353.22,78,—,—,—,—,—,—,—,—,—,—,—,202,22,-18,—,—,—,—,—,—,—,—,—,—,4299,—,78,—,45,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4299,—,78,—,45,3353.22,78,202,22,-18,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4299,—,78,—,45,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4299,—,78,—,45,202,22,-18,—,—,202,22,-18,—,—,
12/31/2015,5841,—,—,—,—,—,—,—,—,5637,—,80,—,49,1127.4,4509.6,80,—,—,—,—,—,—,—,—,—,—,—,204,20,-13,—,—,—,—,—,—,—,—,—,—,5637,—,80,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5637,—,80,—,49,4509.6,80,204,20,-13,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5637,—,80,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5637,—,80,—,49,204,20,-13,—,—,204,20,-13,—,—,
03/31/2016,5382,—,—,—,—,—,—,—,—,5201,—,97,—,57,936.18,4264.82,82,—,—,—,—,—,—,—,—,—,—,—,181,3,-20,—,—,—,—,—,—,—,—,—,—,5201,—,97,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5201,—,97,—,57,4264.82,82,181,3,-20,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5201,—,97,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5201,—,97,—,57,181,3,-20,—,—,181,3,-20,—,—,
06/30/2016,6436,—,—,—,—,—,—,—,—,6239,—,84,—,63,998.24,5240.76,84,—,—,—,—,—,—,—,—,—,—,—,197,16,-8,—,—,—,—,—,—,—,—,—,—,6239,—,84,—,63,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6239,—,84,—,63,5240.76,84,197,16,-8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6239,—,84,—,63,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6239,—,84,—,63,197,16,-8,—,—,197,16,-8,—,—,
09/30/2016,7011,—,—,—,—,—,—,—,—,6816,—,84,—,59,1090.56,5725.44,84,—,—,—,—,—,—,—,—,—,—,—,195,16,-3,—,—,—,—,—,—,—,—,—,—,6816,—,84,—,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6816,—,84,—,59,5725.44,84,195,16,-3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6816,—,84,—,59,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6816,—,84,—,59,195,16,-3,—,—,195,16,-3,—,—,
12/31/2016,8809,—,—,—,—,—,—,—,—,8629,—,84,—,57,1380.64,7248.36,84,—,—,—,—,—,—,—,—,—,—,—,180,16,-11,—,—,—,—,—,—,—,—,—,—,8629,—,84,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8629,—,84,—,57,7248.36,84,180,16,-11,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8629,—,84,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8629,—,84,—,57,180,16,-11,—,—,180,16,-11,—,—,
