Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Meta Platforms Inc (META US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,777,1.0,1974,1.0,3711,1.0,5089,1.0,7872,1.0,12466,1.0,17929,1.0,27638,1.0,40653,1.0,55838,1.0,70697,1.0,85965,1.0,117929,1.0,116609,1.0,134902,1.0
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,70196,0.992913419239855,84826,0.986750421683243,115655,0.980717211203351,114450,0.98148513408056,133006,0.985945352922863
    Advertising,,764,0.983268983268983,1868,0.946301925025329,3154,0.849905685798976,4279,0.84083316958145,6986,0.88744918699187,11492,0.921867479544361,17080,0.952646550281667,26885,0.972754902670237,39942,0.98251051582909,55013,0.985225115512733,69655,0.98526104360864,84169,0.979107776420636,114934,0.974603363040473,113642,0.974555994820297,131948,0.978102622644586
      Desktop Advertising,,—,,—,,—,,—,,3833.6,0.486991869918699,4065,0.326086956521739,3887.25,0.216813542305762,4405.62,0.159404443157971,4793.04,0.117901261899491,3850.91,0.0689657580858913,—,,—,,—,,—,,—,
      Mobile Advertising,,—,,—,,—,,—,,3152.4,0.400457317073171,7427,0.595780523022622,13192.75,0.735833007975905,22479.38,0.813350459512266,35148.96,0.864609253929599,51162.09,0.916259357426842,—,,—,,—,,—,,—,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,541,0.0076523756312149,657,0.00764264526260687,721,0.00611384816287766,808,0.00692913926026293,1058,0.00784273027827608
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,501,0.00708658076014541,1139,0.0132495783167568,2274,0.0192827887966488,2159,0.0185148659194402,1896,0.0140546470771375
  Payments & Other,,13,0.0167310167310167,106,0.0536980749746707,557,0.150094314201024,810,0.15916683041855,886,0.11255081300813,974,0.0781325204556393,849,0.0473534497183334,753,0.0272450973297634,711,0.0174894841709099,825,0.0147748844872667,—,,—,,—,,—,,—,
Net Sales on a Constant Currency Basis,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,70697,1.0,84298,1.0,113314,1.0,119538,1.0,134902,1.0
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,70196,0.992913419239855,84298,1.0,113314,1.0,119538,1.0,133006,0.985945352922863
    Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,69655,0.98526104360864,84298,1.0,113314,1.0,119538,1.0,131948,0.978102622644586
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,541,0.0076523756312149,—,,—,,—,,1058,0.00784273027827608
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,501,0.00708658076014541,—,,—,,—,,1896,0.0140546470771375
Net Sales % Increased at Constant Currency,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,31,
    Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,30,,21,,35,,4,,16,
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-12,
Cost of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,88151,1.0
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,70135,0.795623418906195
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,18016,0.204376581093805
Operating Income,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,46751,1.0
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,62871,1.34480545870677
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-16120,-0.344805458706766
Operating Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,46,,49,,37,,47,
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-581,,-448,,-635,,-850,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Family of Apps,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21,,36,,-1,,16,
    Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,21,,10,,12,,31,
    Advertising,,—,,145,,69,,36,,63,,65,,49,,57,,49,,38,,27,,21,,37,,-1,,16,
  Reality Labs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,127,,100,,-5,,-12,
  Payments & Other,,—,,—,,425,,45,,9,,10,,-13,,-11,,6,,16,,—,,—,,—,,—,,—,
Average Revenue per User (ARPU),,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Payments & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3.49,,0.67,,—,,—,,—,
  Advertising,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,201.37,,31.37,,—,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
