Date,Revenue,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Advertising,    Advertising,    Advertising,    Advertising,      Desktop Advertising,      Mobile Advertising,    Other,    Other,    Other,    Other,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Payments & Other,  Payments & Other,  Payments & Other,Net Sales on a Constant Currency Basis,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Advertising,    Advertising,    Advertising,    Advertising,    Other,    Other,    Other,    Other,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Net Sales % Increased at Constant Currency,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Other,    Other,    Other,    Other,    Advertising,    Advertising,    Advertising,    Advertising,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Cost of Revenue,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Operating Income,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Operating Margin,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,Revenue Growth %,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,  Family of Apps,    Other,    Other,    Other,    Other,    Advertising,    Advertising,    Advertising,    Advertising,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Reality Labs,  Payments & Other,  Payments & Other,  Payments & Other,Average Revenue per User (ARPU),  Payments & Other,  Payments & Other,  Payments & Other,  Advertising,Source: Bloomberg
12/31/2009,777,—,—,—,—,—,—,—,764,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,13,—,—,—,—,—,—,—,—,—,—,764,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,764,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,764,—,—,—,—,—,—,—,—,—,—,13,—,—,—,13,—,—,—,
12/31/2010,1974,—,—,—,—,—,—,—,1868,—,—,145,—,—,—,—,—,—,—,—,—,—,—,—,—,106,—,—,—,—,—,—,—,—,—,—,1868,—,—,145,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1868,—,—,145,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1868,—,—,145,—,—,—,—,—,—,—,106,—,—,—,106,—,—,—,
12/31/2011,3711,—,—,—,—,—,—,—,3154,—,—,69,—,—,—,—,—,—,—,—,—,—,—,—,—,557,425,—,—,—,—,—,—,—,—,—,3154,—,—,69,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3154,—,—,69,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3154,—,—,69,—,—,—,—,—,—,—,557,425,—,—,557,425,—,—,
12/31/2012,5089,—,—,—,—,—,—,—,4279,—,—,36,—,—,—,—,—,—,—,—,—,—,—,—,—,810,45,—,—,—,—,—,—,—,—,—,4279,—,—,36,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4279,—,—,36,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4279,—,—,36,—,—,—,—,—,—,—,810,45,—,—,810,45,—,—,
12/31/2013,7872,—,—,—,—,—,—,—,6986,—,—,63,3833.6,3152.4,—,—,—,—,—,—,—,—,—,—,—,886,9,—,—,—,—,—,—,—,—,—,6986,—,—,63,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6986,—,—,63,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6986,—,—,63,—,—,—,—,—,—,—,886,9,—,—,886,9,—,—,
12/31/2014,12466,—,—,—,—,—,—,—,11492,—,—,65,4065,7427,—,—,—,—,—,—,—,—,—,—,—,974,10,—,—,—,—,—,—,—,—,—,11492,—,—,65,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11492,—,—,65,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11492,—,—,65,—,—,—,—,—,—,—,974,10,—,—,974,10,—,—,
12/31/2015,17929,—,—,—,—,—,—,—,17080,—,—,49,3887.25,13192.75,—,—,—,—,—,—,—,—,—,—,—,849,-13,—,—,—,—,—,—,—,—,—,17080,—,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17080,—,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,17080,—,—,49,—,—,—,—,—,—,—,849,-13,—,—,849,-13,—,—,
12/31/2016,27638,—,—,—,—,—,—,—,26885,—,—,57,4405.62,22479.38,—,—,—,—,—,—,—,—,—,—,—,753,-11,—,—,—,—,—,—,—,—,—,26885,—,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26885,—,—,57,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26885,—,—,57,—,—,—,—,—,—,—,753,-11,—,—,753,-11,—,—,
12/31/2017,40653,—,—,—,—,—,—,—,39942,—,—,49,4793.04,35148.96,—,—,—,—,—,—,—,—,—,—,—,711,6,—,—,—,—,—,—,—,—,—,39942,—,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39942,—,—,49,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,39942,—,—,49,—,—,—,—,—,—,—,711,6,—,—,711,6,—,—,
12/31/2018,55838,—,—,—,—,—,—,—,55013,—,—,38,3850.91,51162.09,—,—,—,—,—,—,—,—,—,—,—,825,16,—,—,—,—,—,—,—,—,—,55013,—,—,38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55013,—,—,38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,55013,—,—,38,—,—,—,—,—,—,—,825,16,—,—,825,16,—,—,
12/31/2019,70697,70196,70196,—,—,—,—,—,69655,69655,30,27,—,—,541,541,—,—,501,501,—,—,—,—,—,—,—,3.49,70697,70196,70196,—,—,—,—,—,69655,69655,30,27,541,541,—,—,501,501,—,—,—,—,—,—,70196,70196,—,—,—,—,—,541,541,—,—,69655,69655,30,27,501,501,—,—,—,—,—,—,70196,70196,—,—,—,—,—,501,501,—,—,—,—,—,—,70196,70196,—,—,—,—,—,501,501,—,—,—,—,—,—,70196,70196,—,—,—,—,—,501,501,—,—,—,—,—,—,70196,70196,—,—,—,—,—,541,541,—,—,69655,69655,30,27,501,501,—,—,—,—,—,—,—,3.49,—,—,—,3.49,201.37,
12/31/2020,85965,84826,84298,—,—,—,46,21,84169,84298,21,21,—,—,657,—,—,21,1139,—,—,—,—,-581,127,—,—,0.67,84298,84826,84298,—,—,—,46,21,84169,84298,21,21,657,—,—,21,1139,—,—,—,—,-581,127,—,84826,84298,—,—,—,46,21,657,—,—,21,84169,84298,21,21,1139,—,—,—,—,-581,127,—,84826,84298,—,—,—,46,21,1139,—,—,—,—,-581,127,—,84826,84298,—,—,—,46,21,1139,—,—,—,—,-581,127,—,84826,84298,—,—,—,46,21,1139,—,—,—,—,-581,127,—,84826,84298,—,—,—,46,21,657,—,—,21,84169,84298,21,21,1139,—,—,—,—,-581,127,—,—,0.67,—,—,—,0.67,31.37,
