Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Netflix Inc (NFLX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
3 Months Ending,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,—,,—,,—,,174.317,1.0,—,,—,,—,,255.95,1.0,—,,—,,—,,—,,302.355,1.0,326.183,1.0,337.614,1.0,341.269,1.0,359.595,1.0,394.098,1.0,408.509,1.0,423.12,1.0,444.542,1.0,493.665,1.0,519.819,1.0,553.219,1.0,595.922,1.0,718.553,1.0,788.61,1.0,821.839,1.0,875.575,1.0,869.791,1.0,889.163,1.0,905.089,1.0,945.3,1.0,1023.961,1.0,1069.372,1.0,1105.999,1.0,1175.23,1.0,1270.089,1.0,1340.407,1.0,1409.432,1.0
  Streaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,444.542,1.0,493.665,1.0,519.819,1.0,553.219,1.0,595.922,1.0,718.553,1.0,788.61,1.0,821.839,1.0,505.322,0.577131599234789,550.09,0.632439287139094,597.678,0.67218046634869,633.771,0.700230585058486,690.9,0.730879086004443,780.668,0.762400130473719,836.991,0.782693954956741,884.134,0.799398552801585,961.972,0.818539349744305,1065.735,0.839102614068778,1145.686,0.854729943964781,1222.835,0.867608369896526
    Domestic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,519.819,1.0,553.219,1.0,—,,706.274,0.982911490175394,—,,799.152,0.972394836458236,476.334,0.544024212660252,506.665,0.582513500369629,532.705,0.599108374954873,556.027,0.614334059965374,589.5,0.623611551888289,638.649,0.623704418429999,671.089,0.627554302899272,701.083,0.633891169883517,740.554,0.630135377755843,798.617,0.628788218778369,838.225,0.625351106044657,877.15,0.622342901253838
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,—,,12.279,0.0170885098246058,—,,22.687,0.0276051635417643,28.988,0.0331073865745367,43.425,0.0499257867694653,64.973,0.0730720913938164,77.744,0.0858965250931124,101.4,0.107267534116154,142.019,0.13869571204372,165.902,0.155139652057469,183.051,0.165507382918068,221.418,0.188403971988462,267.118,0.210314395290409,307.461,0.229378837920124,345.685,0.245265468642687
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,18.896,0.0239611468279631,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,493.665,1.0,—,,—,,—,,—,,769.714,0.976038853172037,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  DVD,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,370.253,0.422868400765211,319.701,0.367560712860906,291.485,0.32781953365131,271.318,0.299769414941514,254.4,0.269120913995557,243.293,0.237599869526281,232.381,0.217306045043259,221.865,0.200601447198415,213.258,0.181460650255695,204.354,0.160897385931222,194.721,0.145270056035219,186.597,0.132391630103474
  In-Home Video Subscription,,—,,—,,—,,174.317,1.0,—,,—,,—,,255.95,1.0,—,,—,,—,,—,,302.355,1.0,326.183,1.0,337.614,1.0,341.269,1.0,359.595,1.0,394.098,1.0,408.509,1.0,423.12,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,138.276,1.0,154.14,1.0,164.497,1.0,—,,193,1.0,224.126,1.0,239.351,1.0,—,,277.233,1.0,305.32,1.0,303.693,1.0,293.972,1.0,—,,326.183,1.0,337.614,1.0,341.269,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,138.276,1.0,154.14,1.0,164.497,1.0,—,,193,1.0,224.126,1.0,239.351,1.0,—,,277.233,1.0,305.32,1.0,303.693,1.0,293.972,1.0,—,,326.183,1.0,337.614,1.0,341.269,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,435.32,1.0,389.467,1.0,425.707,1.0,390.79,1.0,542.41,1.0,584.961,1.0,625.725,1.0,575.155,1.0,623.933,1.0,643.428,1.0,662.638,1.0,695.867,1.0,736.952,1.0,760.674,1.0,798.9,1.0,820.677,1.0,869.186,1.0,914.848,1.0,954.394,1.0
  Streaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,435.32,1.0,389.467,1.0,425.707,1.0,390.79,1.0,542.41,1.0,28.242,0.0482801417530399,625.725,1.0,400.935,0.697090349557945,452.187,0.724736470101758,487.116,0.75706372741006,523.503,0.790028643090194,571.628,0.821461572398174,607.226,0.823969539400124,636.998,0.837412610395518,683.776,0.855896858179997,717.68,0.874497518512155,762.361,0.877097652286162,812.92,0.888584770366225,857.193,0.89815422142218
    Domestic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,389.467,1.0,423.013,0.993671703777481,386.671,0.989459812175337,519.389,0.957557935878763,—,,579.72,0.926477286347837,345.026,0.599883509662613,360.776,0.578228752125629,378.574,0.588370415959517,399.124,0.602325855142627,420.39,0.604124063937505,440.334,0.597507028951682,452.598,0.594996016690461,473.965,0.593271998998623,496.479,0.604962731988346,517.094,0.594917543540738,546.223,0.597064211759768,565.251,0.592261686473301
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,2.694,0.00632829622251924,4.119,0.0105401878246629,23.021,0.0424420641212367,—,,46.005,0.0735227136521635,55.909,0.0972068398953326,91.411,0.146507717976129,108.542,0.168693311450543,124.379,0.187702787947567,151.238,0.217337508460668,166.892,0.226462510448442,184.4,0.242416593705056,209.811,0.262624859181374,221.201,0.269534786523809,245.267,0.282180108745424,266.697,0.291520558606457,291.942,0.305892534948879
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,28.242,0.0482801417530399,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,435.32,1.0,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  DVD,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,556.719,0.95171985824696,0,,174.22,0.302909650442055,171.746,0.275263529898242,156.312,0.24293627258994,139.135,0.209971356909806,124.239,0.178538427601826,129.726,0.176030460599876,123.676,0.162587389604482,115.124,0.144103141820003,102.997,0.125502481487845,106.825,0.122902347713838,101.928,0.111415229633775,97.201,0.10184577857782
