BYDDY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31,1999-12-30 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,27.861,,63.989,86.039,1240.1541,498.813,682.54,682.129,1617.312,5539.501,1704.077,2345.542,1978.735,3737.386,3486.561,4710.942,4089.466,6279.531,7358.594,7968.858,11151.057,10698.511,13031.966,55394.312,71919.478,118513.073
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,27.861,63.989,86.039,1240.1541,498.813,682.54,682.129,1617.312,5539.501,1704.077,2344.542,1978.735,3737.386,3486.561,4510.942,3950.415,6010.931,7111.234,7968.858,11151.057,10698.511,13031.966,49819.86,51304.092,108970.284,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200,139.051,268.6,247.36,0,0,0,0,5574.452,20615.386,9542.789,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,101.192,227.348,351.707,599.468,1493.3621,1910.638,2123.532,2994.399,5432.577,5557.773,9782.92,8152.8,9782.082,9937.481,13135.007,22434.973,26678.639,45732.885,53276.716,49283.534,47143.924,48170.236,44994.406,51722.778,67430.943,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,599.468,1493.3621,1797.253,,,4031.652,2662.844,4066.723,5396.59,5462.768,6206.019,7547.253,13082.618,19879.829,39370.507,46797.971,49283.534,40134.545,39307.896,36251.28,38828.494,61866.019,
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,2894.929,5716.197,2756.21,4319.314,3731.462,5587.754,9352.355,6798.81,6362.378,6478.745,0,7009.379,8862.34,8743.126,12894.284,5564.924,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300.286,6986.619,5346.105,8493.382,13552.998,2660.319,
  + Inventories,BS_INVENTORIES,,,,,,,,,,100.397,187.532,239.995,439.059,870.379,1494.243,2231.556,3156.918,4548.545,6912.844,4405.206,6537.852,6595.797,7344.833,8220.552,9978.317,15750.55,17378.439,19872.804,26330.345,25571.564,31396.358,43354.782,79107.199,87676.748,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,31.055,69.677,108.256,154.934,390.99,676.173,955.556,1138.813,1747.683,,1909.62,2172.018,1754.086,2185.733,2172.721,2490.569,3694.244,3429.247,4372.41,6119.794,3650.668,4346.508,11208.507,20501.246,18728.287,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,50.372,95.483,152.668,247.042,384.067,627.018,994.567,1141.233,836.495,,1083.05,1588.463,1932.692,2245.421,3345.397,4147.742,5935.112,6350.115,8995.702,11747.481,10982.781,9912.37,14360.249,26812.272,30236.001,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,23.002,50.487,20.149,37.083,95.322,191.052,281.433,876.872,1714.066,,1412.536,2315.228,2386.645,2491.389,2280.419,2789.72,5264.831,7063.692,5790.946,8463.07,10124.766,16639.924,17786.026,31793.681,38712.46,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,-4.032,-28.115,-41.078,0,0,0,0,0,250.301,,0,462.143,522.374,422.29,422.015,550.286,856.363,535.385,713.746,0,813.349,497.556,0,0,0,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,35.159,,83.891,87.109,219.846,237.927,376.682,354.174,345.836,779.362,316.924,318.822,1883.154,2664.596,2555.387,3899.152,4331.486,5810.422,7883.885,21702.652,22145.353,16565.987,13660.445,13873.307,24501.054,25840.363
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,227.77,211.206,698.873,697.49,622.801,427.331,439.757,,,,358.822,,,2036.577,8223.567,2215.413,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,18.207,0,1.095,0.451,34.345,0.024,31.6,11.544,19.761,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4407.296,,,4633.926,11258.125,12034.922,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,89.154,107.616,1184.281,1967.106,1932.586,2916.281,3824,5736.177,7850.045,15011.787,17378.784,13165.726,10759.569,7171.204,5007.818,11570.267,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,264.609,562.76,764.85,2498.5271,3100.481,4464.103,5391.391,8114.465,16299.985,14491.618,16852.49,18552.541,22779.861,23324.262,29965.653,40834.242,54519.142,78353.803,102821.03,115210.575,106966.605,111605.11,166110.189,240803.507,302121.446,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,57.285,246.025,489.501,696.031,2381.7151,4100.043,5462.352,7790.852,11789.871,15512.643,20198.581,29430.749,36101.823,39745.172,39562.82,41661.331,43694.578,48152.617,53675.575,59788.797,62537.022,65729.734,92731.977,197629.483,303957.871,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,71.436,274.188,546.632,798.972,2738.7949,4658.445,6347.505,9134.756,13949.187,,24839.223,36059.285,45149.663,51443.752,54123.231,59138.943,63841.139,71501.639,81925.377,94069.225,102763.833,111911.7,145786.419,262414.43,402552.645,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,14.151,28.163,57.131,102.941,357.08,558.402,885.153,1343.904,2159.316,,4640.642,6628.536,9047.84,11698.58,14560.411,17477.612,20146.561,23349.022,28249.802,34280.428,40226.811,46181.966,53054.442,64784.947,98594.774,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,0,0,0,0,0,0,0,0,2.043,1.985,1.927,0,32.692,25.485,44.166,350.311,3137.13,3225.238,4252.167,1794.544,96.902,94.217,3235.308,6650.729,8106.167,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,1.985,1.927,0,15.192,2.985,9.487,35,3071.357,3225.238,4252.167,1794.544,96.902,94.217,3235.308,6650.729,8106.167,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,17.5,22.5,34.679,315.311,65.773,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,4.615,6.261,8.236,7.159,95.698,239.712,359.611,481.464,1196.592,2525.514,3393.083,5891.373,7966.66,6912.888,8442.195,11162.971,14134.905,15339.12,17350.658,17777.161,26041.064,23588.26,33702.673,48776.927,65362.186,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,4.615,6.261,5.882,7.159,84.18,225.338,328.635,471.05,644.784,2333.535,2523.661,1288.686,2481.005,3669.368,4995.181,6372.879,7168.73,6825.025,8283.537,10337.981,11953.549,10173.69,10115.816,6982.559,13555.933,
    + Goodwill,BS_GOODWILL,,,,,,,,,,0,0,0,0,47.599,45.696,58.603,58.603,58.603,58.603,58.603,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,4427.571,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,4.615,,6.261,5.882,7.159,36.581,179.642,270.032,412.447,586.181,2274.932,2465.058,1222.772,2415.091,3603.454,4929.267,6306.965,7102.816,6759.111,8217.623,10272.067,11887.635,10107.776,10049.902,6916.645,9128.362
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,4172.19,4327.2,1508.332,1463.81,2411.053,3997.044,4567.407,3372.24,57.509,5303.154,2670.118,11791.225,20322.076,1895.741,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,14.374,30.976,20.828,165.221,165.302,185.927,371.337,586.479,786.123,899.699,965.486,1080.416,1448.262,1580.032,1388.314,1514.934,1768.975,1913.316,3686.905,6584.422,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,0,0,0,0,0,0,0,,0,26.677,29.86,59.16,571.976,949.065,1083.505,1413.553,1888.715,2244.758,3064.911,3560.88,4060.175,5465.588,7905.001,15485.402,17647.212,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,0,,0,2.354,0,11.518,0,0,-10.414,386.587,0,653.635,0,0,0,0,0,0,253.668,1049.938,2432.477,3209.252,3509.889,1977.315,2299.985,25678.878
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,61.9,252.286,497.737,703.19,2477.4131,4339.755,5821.963,8272.316,12988.506,18040.142,23593.591,35322.122,44101.175,46683.545,48049.181,53174.613,60966.613,66716.975,75278.4,79360.502,88674.988,89412.211,129669.958,253057.139,377426.224,
Total Assets,BS_TOT_ASSET,,,,,,,,,,326.509,815.046,1262.587,3201.717,5577.894,8803.858,11213.354,16386.781,29288.491,32531.76,40446.081,53874.663,66881.036,70007.807,78014.834,94008.855,115485.755,145070.778,178099.43,194571.077,195641.593,201017.321,295780.147,493860.646,679547.67,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,44.452,137.318,210.484,763.373,953.968,1037.001,503.013,1117.334,1611.711,1021.249,3793.576,2523.414,1384.625,81.377,553.059,433.525,2823.441,5052.154,4066.478,2780.194,1614.45,4234.267,3045.188,16622.448,30040.811,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,42.537,28.002,132.937,320.363,457.736,668.562,1356.965,2252.557,1522.389,571.58,11679.496,2733.446,4941.884,4390.591,1194.149,-1605.578,2116.098,-3810.877,3952.415,9302.4731,11109.748,41960.92,63732.245,139560.344,169267.639,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,-39.913,,-205.87,-281.067,-269.865,-1079.197,-1941.187,-1713.538,-2802.063,-5079.383,-6308.466,-7271.431,-10930.252,-8856.988,-7016.324,-5536.264,-3444.619,-4263.944,-6663.019,-10661.904,-13906.316,-12818.055,-7267.517,-36517.22,-97188.625,-121622.716
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,1.211,,14.714,9.316,23.335,4.838,6.809,3.062,13.166,246.363,110.495,35.747,80.138,85.272,133.815,272.213,796.862,1808.561,196.641,213.815,3936.074,413.119,258.977,826.389,268.237,470.793
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,-41.124,,-220.584,-290.383,-293.2,-1084.035,-1947.996,-1716.6,-2815.229,-5325.746,-6418.961,-7307.178,-11010.39,-8942.26,-7150.139,-5808.477,-4241.481,-6072.505,-6859.66,-10875.719,-17842.39,-13231.174,-7526.494,-37343.609,-97456.862,-122093.509
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,0,,0,0,0,0,,0,0,0,,0,0,495.619,102.414,,,,,,-805.391,-9.497,-162.134,0,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,0,0,0,0,0,,0,0,0,,0,0,495.619,102.414,,,,,,23.922,6.303,77.666,0,,,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,,,-829.313,-15.8,-239.8,,,,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,-121.278,-57,-45.039,-390.538,-450,-192,-316.857,-543.911,-911.234,-1009.22,443.51,-720.006,-1499.138,222.329,95.8,-13881.312,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,185.593,526.182,9.971,0,470.382,0,0,222.329,95.8,196.457,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,-121.278,0,-36.039,0,0,0,0,-284.6,0,0,-26.872,-5.552,97.828,0,0,-14077.769,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,-57,-9,-390.538,-450,-192,-502.45,-785.493,-921.205,-1009.22,0,-714.454,-1596.966,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,-0.016,,-2.365,-0.821,-2.772,-308.65,-243.334,-218.23,-227.298,-97.933,560.752,185.368,-1707.474,-183.941,2746.413,-123.128,-4139.277,-5928.134,-5852.403,-4049.566,-36.747,-7384.348,-5551.275,-9312.987,-23632.505,9647.975
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,-39.929,-208.235,-281.888,-272.637,-1387.847,-2184.521,-1931.768,-3029.361,-5177.316,-5868.992,-7143.063,-12682.765,-8935.848,-4617.497,-5851.392,-7900.753,-10735.989,-13426.656,-15720.69,-14304.944,-20931.906,-14480.064,-45607.878,-120725.33,-125856.053,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,0,0,0,-147.064,-153.218,-276.224,-311.292,0,-215.8,,0,-750.783,0,0,0,-123.8,-36.671,-1001.228,-485.609,-623.0681,-556.541,-163.689,-495.049,-305.67,-3324.525,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,18,,200,171,-418,343.814,1972.429,885.94,1712.166,2386.827,996.41,-5519.498,10391.256,4733.416,-84.996,6232.027,5314.389,10473.547,4532.157,14274.852,9507.781,9848.659,-24648.068,-17006.426,-16412.946,18073.144
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,0,,0,0,1671.712,0,,0,0,0,700.756,1581.11,0,1368.199,0,0,3342.038,0,14964.87,100,10.835,331.092,0,37313.719,507.625,98
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,0,0,0,1671.712,0,,0,0,0,700.756,1581.11,0,1368.199,0,0,3342.038,0,14964.87,3300,10.835,498.792,0,37313.719,507.625,98,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-3200,0,-167.7,0,0,0,0,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,-0.016,16.361,0.001,-0.259,-1.826,3.481,-0.256,-0.179,5406.089,-126.582,-4.912,-51.705,-309.817,40.577,-482.249,381.969,38.905,-255.022,-301.981,-1684.417,668.854,-628.097,-1811.404,-1871.046,-1379.697,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,17.984,,216.361,171.001,1106.389,188.77,1699.686,574.392,1711.987,7577.116,1570.584,-3943.3,9588.768,5791.798,-44.419,5749.778,8914.596,10475.781,18240.777,13587.262,7211.1309,10292.064,-25439.854,18000.84,-18082.037,13466.922
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,-43.47,18.333,22.46,-39.183,20.5,-68.154,31.208,204.626,97.059,5.733,6.443,53.334,23.199,-43.845,609.62,450.78,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,20.592,36.128,22.05,1154.115,-741.341,183.727,-0.411,935.183,3922.189,-3770.298,611.466,-338.091,1758.651,-250.825,1024.381,-560.527,2060.516,1100.303,1824.72,2215.103,523.24,2064.201,36081.362,1362.597,57329.288,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,0.921,3.283,18.976,37.362,109.91,64.163,72.802,73.173,49.462,203.507,950.01,441.03,343.969,298.632,245.838,192.417,399.438,1151.981,1207.805,1329.63,445.183,449.32,2949.731,10909.026,14362.912,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,121.278,57,45.039,390.538,450,192,502.45,1070.593,926.905,1010.02,26.872,1078.691,1499.186,,,14077.769,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,1.413,-192.582,-157.446,27.163,-626.299,-1279.434,-359.635,-562.672,-3803.357,-5847.381,4372.318,-7656.25,-2572.893,-1382.242,-3045.164,-3931.955,-2296.756,-9293.259,-4298.27,-8539.9169,784.423,35757.097,26388.636,42103.482,47174.13,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,4.8448,-190.8441,-134.667,43.8508,-607.6263,-1221.983,-256.1201,-345.9477,-3433.1282,-5391.3337,4603.45,-7394.8968,-1887.5238,-750.7014,-2096.5755,-2749.4288,-1081.3642,-7878.1326,-2388.2206,-6011.0088,3290.7912,38028.9036,28063.7396,43209.5989,48711.202,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,22.132,22.87,-367.502,-277.647,699.804,529.367,1162.66,-1170.167,-4740.476,-1111.433,2815.144,2245.795,-1333.423,3459.076,2179.296,13185.352,-3968.661,10290.397,4903.9381,11544.993,8068.006,9114.007,25958.773,65718.067,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,1.046,0.2257,0.6316,0.4866,0.5299,0.6447,2.6977,2.016,0.9446,0.5597,3.0788,1.0832,3.5691,53.9537,2.1592,-3.7035,0.7495,-0.7543,0.972,3.346,6.8814,9.9098,20.9288,8.3959,5.6346,
