Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
BYD Co Ltd (1211 HK) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of CNY except Per Share,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Vehicles Sold - Worldwide,,111777,1.0,112720,1.0,127074,1.0,169116,1.0,117578,1.0,110494,1.0,107723,1.0,125604,1.0,60603,1.0,98025,1.0,110347,1.0,157997,1.0,104145,1.0,142544,1.0,206055,1.0,287387,1.0,291378,1.0,355021,1.0,538740,1.0,683440,1.0,552076,1.0,703561,1.0,824001,1.0,944779,1.0,626263,1.0,986720,1.0
  Vehicles,,111777,1.0,112720,1.0,127074,1.0,169116,1.0,117578,1.0,110494,1.0,107723,1.0,125604,1.0,60603,1.0,98025,1.0,110347,1.0,157997,1.0,104145,1.0,142544,1.0,206055,1.0,287387,1.0,291378,1.0,355021,1.0,538740,1.0,683440,1.0,552076,1.0,703561,1.0,824001,1.0,944779,1.0,626263,1.0,986720,1.0
    New Energy Vehicle,,29637,0.265143992055611,45247,0.401410574875798,68534,0.539323543761903,104393,0.617286359658459,73172,0.622327306128698,72481,0.655972269987511,46967,0.435997883460357,36886,0.293668991433394,21522,0.355130934112173,39155,0.399438918643203,50264,0.455508532175773,78748,0.498414526858105,54751,0.525718949541505,99828,0.700331125827815,183000,0.888112397175511,266204,0.926291029169726,286329,0.982671993081152,355021,1.0,538740,1.0,683440,1.0,552076,1.0,703561,1.0,824001,1.0,944779,1.0,626263,1.0,986720,1.0
      Passenger Vehicles,,28499,0.254963006700842,42771,0.37944464158978,64067,0.504170798117632,91815,0.542911374441212,71232,0.605827620813417,69529,0.629255887197495,45158,0.419204812342768,33434,0.266185790261457,21522,0.355130934112173,35927,0.366508543738842,46413,0.420609531749844,75192,0.475907770400704,53380,0.512554611359163,96831,0.679306038837131,180587,0.876401931523137,262947,0.914957879096828,284737,0.977208299871644,353420,0.995490407609691,537164,0.997074655678064,682058,0.997977876624137,547917,0.992466616915062,700244,0.995285412352305,822094,0.997685682420288,942651,0.997747621401407,624398,0.997022017906215,982747,0.995973528457921
        Plug - In Hybrid Electric Vehicle,,23184,0.207412974046539,24246,0.215099361249113,33976,0.267371767631459,42483,0.251206272617612,25745,0.218961030124683,19237,0.174099951128568,17279,0.160402142532235,9907,0.0788748765962867,3412,0.0563008431925812,7776,0.0793267023718439,14325,0.129817756712915,22571,0.142857142857143,14781,0.141927120841135,41990,0.294575709956224,88903,0.431452767464997,127261,0.442821004429567,141514,0.485671533197427,173124,0.487644392866901,278554,0.517047184170472,353047,0.516573510476413,283270,0.513099645700954,348081,0.494741749471616,390491,0.473896269543362,416242,0.440570757817437,324284,0.517808013566185,556708,0.56420058375223
        Battery Electric Vehicles,,5315,0.0475500326543028,18525,0.164345280340667,30091,0.236799030486173,49332,0.2917051018236,45487,0.386866590688734,50292,0.455155936068927,27879,0.258802669810533,23527,0.18731091366517,18110,0.298830090919591,28151,0.287181841366998,32088,0.290791775036929,52621,0.333050627543561,38599,0.370627490518028,54841,0.384730328880907,91684,0.44494916405814,135686,0.472136874667261,143223,0.491536766674217,180296,0.50784601474279,258610,0.480027471507592,329011,0.481404366147723,264647,0.479366971214108,352163,0.500543662880688,431603,0.523789412876926,526409,0.55717686358397,300114,0.47921400434003,426039,0.431772944705692
