Date,Vehicles Sold - Worldwide,  Vehicles,  Vehicles,  Vehicles,    New Energy Vehicle,    New Energy Vehicle,    New Energy Vehicle,      Passenger Vehicles,      Passenger Vehicles,      Passenger Vehicles,        Plug - In Hybrid Electric Vehicle,        Plug - In Hybrid Electric Vehicle,        Plug - In Hybrid Electric Vehicle,        Battery Electric Vehicles,        Battery Electric Vehicles,        Battery Electric Vehicles,      Commercial Vehicles,      Commercial Vehicles,      Commercial Vehicles,        Others,        Others,        Others,        Bus,        Bus,        Bus,    Oil-Fueled Vehicle,    Oil-Fueled Vehicle,    Oil-Fueled Vehicle,      MPV,      MPV,      MPV,      SUV,      SUV,      SUV,      Sedan,      Sedan,      Sedan,Vehicles Sold - Worldwide YTD,  Vehicles,  Vehicles,  Vehicles,    New Energy Vehicle,    New Energy Vehicle,    New Energy Vehicle,      Passenger Vehicles,      Passenger Vehicles,      Passenger Vehicles,        Plug - In Hybrid Electric Vehicle,        Plug - In Hybrid Electric Vehicle,        Plug - In Hybrid Electric Vehicle,        Battery Electric Vehicles,        Battery Electric Vehicles,        Battery Electric Vehicles,      Commercial Vehicles,      Commercial Vehicles,      Commercial Vehicles,        Others,        Others,        Others,        Bus,        Bus,        Bus,    Oil-Fueled Vehicle,    Oil-Fueled Vehicle,    Oil-Fueled Vehicle,      MPV,      MPV,      MPV,      SUV,      SUV,      SUV,      Sedan,      Sedan,      Sedan,Vehicles Produced - Worldwide,  Vehicles,  Vehicles,  Vehicles,    New Energy Vehicle,    New Energy Vehicle,    New Energy Vehicle,      Passenger Vehicles,      Passenger Vehicles,      Passenger Vehicles,        Plug - In Hybrid Electric Vehicle,        Plug - In Hybrid Electric Vehicle,        Plug - In Hybrid Electric Vehicle,        Battery Electric Vehicles,        Battery Electric Vehicles,        Battery Electric Vehicles,      Commercial Vehicles,      Commercial Vehicles,      Commercial Vehicles,        Others,        Others,        Others,        Bus,        Bus,        Bus,    Oil-Fueled Vehicle,    Oil-Fueled Vehicle,    Oil-Fueled Vehicle,      MPV,      MPV,      MPV,      SUV,      SUV,      SUV,      Sedan,      Sedan,      Sedan,Source: Bloomberg
03/31/2018,111777,111777,—,—,29637,—,—,28499,—,—,23184,—,—,5315,—,—,1138,—,—,0,—,—,1138,—,—,82140,—,—,40510,—,—,18944,—,—,22686,—,—,—,111777,—,—,29637,—,—,28499,—,—,23184,—,—,5315,—,—,1138,—,—,0,—,—,1138,—,—,82140,—,—,40510,—,—,18944,—,—,22686,—,—,—,111777,—,—,29637,—,—,28499,—,—,23184,—,—,5315,—,—,1138,—,—,0,—,—,1138,—,—,82140,—,—,40510,—,—,18944,—,—,22686,—,—,
06/30/2018,112720,112720,—,—,45247,—,—,42771,—,—,24246,—,—,18525,—,—,2476,—,—,7,—,—,2469,—,—,67473,—,—,40578,—,—,13060,—,—,13835,—,—,—,112720,—,—,45247,—,—,42771,—,—,24246,—,—,18525,—,—,2476,—,—,7,—,—,2469,—,—,67473,—,—,40578,—,—,13060,—,—,13835,—,—,—,112720,—,—,45247,—,—,42771,—,—,24246,—,—,18525,—,—,2476,—,—,7,—,—,2469,—,—,67473,—,—,40578,—,—,13060,—,—,13835,—,—,
09/30/2018,127074,127074,—,—,68534,—,—,64067,—,—,33976,—,—,30091,—,—,4467,—,—,226,—,—,4241,—,—,58540,—,—,30876,—,—,18841,—,—,8823,—,—,—,127074,—,—,68534,—,—,64067,—,—,33976,—,—,30091,—,—,4467,—,—,226,—,—,4241,—,—,58540,—,—,30876,—,—,18841,—,—,8823,—,—,—,127074,—,—,68534,—,—,64067,—,—,33976,—,—,30091,—,—,4467,—,—,226,—,—,4241,—,—,58540,—,—,30876,—,—,18841,—,—,8823,—,—,
12/31/2018,169116,169116,—,—,104393,—,—,91815,—,—,42483,—,—,49332,—,—,12578,—,—,7736,—,—,4842,—,—,64723,—,—,29104,—,—,21802,—,—,13817,—,—,—,169116,—,—,104393,—,—,91815,—,—,42483,—,—,49332,—,—,12578,—,—,7736,—,—,4842,—,—,64723,—,—,29104,—,—,21802,—,—,13817,—,—,—,169116,—,—,104393,—,—,91815,—,—,42483,—,—,49332,—,—,12578,—,—,7736,—,—,4842,—,—,64723,—,—,29104,—,—,21802,—,—,13817,—,—,
03/31/2019,117578,117578,—,—,73172,—,—,71232,—,—,25745,—,—,45487,—,—,1940,—,—,876,—,—,1064,—,—,44406,—,—,17659,—,—,15900,—,—,10847,—,—,—,117578,—,—,73172,—,—,71232,—,—,25745,—,—,45487,—,—,1940,—,—,876,—,—,1064,—,—,44406,—,—,17659,—,—,15900,—,—,10847,—,—,—,117578,—,—,73172,—,—,71232,—,—,25745,—,—,45487,—,—,1940,—,—,876,—,—,1064,—,—,44406,—,—,17659,—,—,15900,—,—,10847,—,—,
06/30/2019,110494,110494,—,—,72481,—,—,69529,—,—,19237,—,—,50292,—,—,2952,—,—,2174,—,—,778,—,—,38013,—,—,19149,—,—,10226,—,—,8638,—,—,—,110494,—,—,72481,—,—,69529,—,—,19237,—,—,50292,—,—,2952,—,—,2174,—,—,778,—,—,38013,—,—,19149,—,—,10226,—,—,8638,—,—,—,110494,—,—,72481,—,—,69529,—,—,19237,—,—,50292,—,—,2952,—,—,2174,—,—,778,—,—,38013,—,—,19149,—,—,10226,—,—,8638,—,—,
09/30/2019,107723,107723,—,—,46967,—,—,45158,—,—,17279,—,—,27879,—,—,1809,—,—,277,—,—,1532,—,—,60756,—,—,14610,—,—,36079,—,—,10067,—,—,—,107723,—,—,46967,—,—,45158,—,—,17279,—,—,27879,—,—,1809,—,—,277,—,—,1532,—,—,60756,—,—,14610,—,—,36079,—,—,10067,—,—,—,107723,—,—,46967,—,—,45158,—,—,17279,—,—,27879,—,—,1809,—,—,277,—,—,1532,—,—,60756,—,—,14610,—,—,36079,—,—,10067,—,—,
12/31/2019,125604,125604,—,—,36886,—,—,33434,—,—,9907,—,—,23527,—,—,3452,—,—,509,—,—,2943,—,—,88718,—,—,11600,—,—,59061,—,—,18057,—,—,—,125604,—,—,36886,—,—,33434,—,—,9907,—,—,23527,—,—,3452,—,—,509,—,—,2943,—,—,88718,—,—,11600,—,—,59061,—,—,18057,—,—,—,125604,—,—,36886,—,—,33434,—,—,9907,—,—,23527,—,—,3452,—,—,509,—,—,2943,—,—,88718,—,—,11600,—,—,59061,—,—,18057,—,—,
03/31/2020,60603,60603,61273,61570,21522,22317,22317,21522,21647,21647,3412,3429,3429,18110,18218,18218,670,670,670,43,43,43,627,627,627,39081,39253,39253,3192,3190,3190,28136,28266,28266,7753,7797,7797,61273,60603,61273,61570,21522,22317,22317,21522,21647,21647,3412,3429,3429,18110,18218,18218,670,670,670,43,43,43,627,627,627,39081,39253,39253,3192,3190,3190,28136,28266,28266,7753,7797,7797,61570,60603,61273,61570,21522,22317,22317,21522,21647,21647,3412,3429,3429,18110,18218,18218,670,670,670,43,43,43,627,627,627,39081,39253,39253,3192,3190,3190,28136,28266,28266,7753,7797,7797,
06/30/2020,98025,98025,97355,96981,39155,38360,38359,35927,35802,35801,7776,7759,7778,28151,28043,28023,2558,2558,2558,304,304,304,2254,2254,2254,58870,58698,58622,3730,3732,3728,46938,46808,46846,8202,8158,8048,97355,98025,97355,96981,39155,38360,38359,35927,35802,35801,7776,7759,7778,28151,28043,28023,2558,2558,2558,304,304,304,2254,2254,2254,58870,58698,58622,3730,3732,3728,46938,46808,46846,8202,8158,8048,96981,98025,97355,96981,39155,38360,38359,35927,35802,35801,7776,7759,7778,28151,28043,28023,2558,2558,2558,304,304,304,2254,2254,2254,58870,58698,58622,3730,3732,3728,46938,46808,46846,8202,8158,8048,
