Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,,,,,,,,,,,,,,,,,,4849394,1985354,,,,,,2153400,,,,,,,,2153400,4138754,8988148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9855132,,8226965,,1628167,,1128308,,,,,,499859,,,51154,,,,,735261,,,,,,,,,,301000,434261,,,,434261,2811,431450,,,431450,,,,,,,,,,JP GAAP,,,499859,16.521,5.0721,4.3779,,9.7903,4.9537,,,,7.4607,4.4064,4.3779,40.9378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-30 00:00:00,1944163,1745508,198655,1097492,,,,421867,,,,,1716868,,,,,5180390,2476104,5351231,2875127,942752,,,983461,,,,,,,721528,,4402317,9582707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10163376,,8771520,,1391856,,1173345,,,,,,218511,,,49348,,,-24314,,452022,,,,,,,,,,212542,239480,0,,,,1640,237840,,,237840,,,,,,,,,,,,,218511,13.6948,2.15,2.3402,,5.1166,2.5614,,,,4.4476,2.3563,,47.0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,,1317215,121293,1050176,,,,391185,,,,,,,,,,4529754,2563747,5745093,3181346,380068,,,1940848,,,,,,,750278,261933,4884663,9414417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10210749,,8946262,,1264487,,1082590,,,,,,181897,,,53389,,,,,340638,,,,,,,,,,161437,179201,0,,,239480,2737,176464,,,176464,,,,,,,,,,JP GAAP,,,181897,12.3839,1.7814,1.7282,,3.7223,1.8578,2.9642,1.3684,,3.3361,1.755,2.3402,47.3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-30 00:00:00,1438508,1573697,133361,998578,,,,399242,,,,,1649885,,,,,4697878,2632988,6110335,3477347,1212977,,,1113795,0,,,,,,828720,,4959760,9657638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9362732,,8151904,,1210828,,1074602,,,,,,136226,,,46355,,,-18341,,251740,,,,,,,,,,123833,127907,0,,,,2100,125807,,,125807,,,,,,,,,,,,,136226,12.9324,1.455,1.3437,,2.6231,1.3193,2.1559,0.9852,-5.3856,2.6887,1.3661,,49.1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,,1492625,218994,1215303,,,,471174,,,,,,,,,,5019960,2990658,6977154,3986496,1344611,,,1040587,0,,,,,,759799,1190570,5375856,10395820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8120975,,6876796,,1244179,,988460,,,,,,255719,,,39310,,,,,294951,,,,,,,,,,158788,136163,0,,,179201,4210,131953,,,131953,,,,,,,,,,JP GAAP,,,255719,15.3206,3.1489,1.6248,,2.6791,1.316,2.1185,1.6207,,3.632,1.6767,1.7282,53.8354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-30 00:00:00,1707058,1179499,203051,1241162,,,,525353,,,,,1593000,,,,,4998830,3477288,7849387,4372099,1754014,,,1112316,0,,,,,,844745,,6343618,11342450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10718739,,9015040,,1703699,,1355630,,,,,,348069,,,44253,,,-15104,,445746,,,,,,,,,,183531,262215,0,,,,5239,256976,,,256976,,,,,,,,,,,,,348069,15.8946,3.2473,2.3974,,4.9716,2.3643,3.628,2.5771,,4.1586,2.4463,,41.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,,1633337,221190,1407782,,,,561621,,,,,,,,,,5839920,4094024,8864272,4770248,1786702,,,984187,0,,,,,,922678,285075,6864913,12704833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12243830,,9925774,,2318056,,1652946,,,,,,665110,,,45487,,,,,745917,,,,,,,,,,354113,391804,0,,,127907,5893,385911,,,385911,,,,,,,,,,JP GAAP,1274419,10.4087,665110,18.9324,5.4322,3.1519,,7.0205,3.2096,4.8166,4.048,3.555,6.0922,3.2,1.3437,47.4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,1711619,1310527,457770,1169982,,,,735428,,,,,1621864,,,,,6373186,4610763,9793963,5183200,1689657,,,1180749,0,,,,,,1041846,,7481169,13854355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11678400,,9137061,,2541339,,1761539,,,,,,779800,,,36288,,,-20117,,810056,,,,,,,,,,354461,455595,0,,,,1243,454352,,,454352,,,,,,,,,,,1426180,12.2121,779800,21.761,6.6773,3.8905,,7.7676,3.4214,5.0094,4.6155,20.7883,6.9364,3.9012,,43.7576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,1382550,1165383,1502085,1143234,,,,773438,,,,,1849765,,,,,6739386,4793118,10489640,5696522,2000197,,,1220610,0,,,,,,1024164,280788,8013925,14753310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12749010,,9832153,,2916857,,2141910,,,,,,774947,,,44733,,,-24886,,771887,,,,,,,,,,412624,359263,0,,,136163,3081,356182,,,356182,,,,,,,,,,JP GAAP,1481017,11.6167,774947,22.8791,6.0785,2.7938,,5.8401,2.4901,3.669,3.4817,,6.0545,2.818,1.6248,53.4565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-30 00:00:00,1854527,1016260,1925395,1220851,,,,823756,,,,,2015990,,,,,7801037,4867824,11375266,6507442,1919880,,,1880313,42657,,,,437295,,1067334,267571,8668017,16469054,406798,547533,-837854,462427,-1300281,96521,1296046,-1199525,,,,,-73544,,-814877,-87958,631450,0,0,0,-83424,,460068,,192724,381469,,-752748,-726248.8723,,,,1.346,12879560,,9912417,,2967143,0,2191161,2169047,,,,,775982,,-11392,46948,58340,,-37854,,750500,-20269,,,,,,,,,326891,423609,0,,,262215,16812,406798,,0,406798,,,,,,,,,,JP GAAP,1530916,11.8864,775982,23.0376,6.0249,3.1585,61124868.895,6.2716,2.6058,4.0632,4.2072,,5.8271,3.289,2.3974,43.5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,,1019217,1033782,1294875,,,,918806,,,,,,,,,,8679097,4745555,11544247,6798692,3758632,,,336143,9705,,,,257788,,,61509,8840330,17519427,471295,1108831,,,,,893767,-1019352,,,,,,,-1051316,-88625,,,0,0,-191138,,,,-52452,346326,,-108450,-85748.3469,,,,2.3527,13424423,,10407420,,3017003,0,2146873,2124695,,,,,870131,,-18811,40357,59168,,,,864128,-43253,,,,,,,,,378038,486090,0,,,391804,14795,471295,0,0,471295,,,,,,,,,,JP GAAP,1619883,12.0667,870131,22.474,6.4817,3.5107,62251553.4575,6.7757,2.7733,4.3458,7.8503,,6.437,3.6209,3.1519,43.7479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
