Date,Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,      Parts For Production,      Others,      Others,      Parts,      Vehicles,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,      Information & Communication Business,      Housing Business,      Others,      Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Revenue - Supplementary Breakdown,  Others,  Others,    Information & Communication Business,    Housing Business,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,  Automotive,    Parts For Production,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Parts,    Vehicles,Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Revenue Including Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Operating Income,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Adjustments,  Adjustments,  Adjustments,Revenue Growth %,  Other,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,  Automotive,Revenue Including Intersegment Growth%,  Others,  Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,  Automotive,Assets,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Adjustments,  Adjustments,  Adjustments,Number of Employees,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Adjustments,  Adjustments,  Adjustments,Source: Bloomberg
06/30/2008,6215.13,—,—,—,—,—,—,5715.741,5.206,5720.947,332.345,—,—,—,—,—,—,—,143.102,101.008,318.928,145.064,288.166,2.962,—,—,—,—,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,6215.13,143.102,—,14.797,27.297,143.102,101.008,318.928,145.064,288.166,2.962,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,5715.741,—,—,90.78,143.102,101.008,318.928,145.064,288.166,2.962,—,—,438.979,4867.054,157.156,—,—,—,—,—,—,143.102,101.008,318.928,145.064,288.166,2.962,—,—,5715.741,5.206,5720.947,332.345,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,6372.286,—,—,—,—,—,—,5715.741,5.206,5720.947,332.345,—,—,143.102,101.008,318.928,145.064,288.166,2.962,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,412.591,—,—,—,—,—,—,5715.741,5.206,5720.947,332.345,—,—,143.102,101.008,318.928,145.064,288.166,2.962,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,-1.85,—,—,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,5715.741,—,—,—,143.102,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,5715.741,—,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,—,—,—,—,—,—,5715.741,5.206,5720.947,332.345,—,—,143.102,101.008,318.928,145.064,288.166,2.962,—,—,-1.85,—,—,—,—,—,—,—,—,—,5715.741,5.206,5720.947,332.345,—,—,143.102,101.008,318.928,145.064,288.166,2.962,—,—,356.287,356.287,6.886,363.173,79.134,—,—,—,—,-1.85,—,—,
09/30/2008,5975.275,—,—,—,—,—,—,5436.077,3.726,5439.803,133.593,—,—,—,—,—,—,—,168.79,—,—,145.442,314.232,8.837,—,—,—,—,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,—,—,—,—,—,168.79,—,—,145.442,314.232,8.837,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,—,—,—,—,168.79,—,—,145.442,314.232,8.837,—,—,—,—,153.325,—,—,—,—,—,—,168.79,—,—,145.442,314.232,8.837,—,—,5436.077,3.726,5439.803,133.593,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,6128.6,—,—,—,—,—,—,5436.077,3.726,5439.803,133.593,—,—,168.79,—,—,145.442,314.232,8.837,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,169.477,—,—,—,—,—,—,5436.077,3.726,5439.803,133.593,—,—,168.79,—,—,145.442,314.232,8.837,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,-1.077,—,—,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,—,—,—,—,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,—,—,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,—,—,—,—,—,—,5436.077,3.726,5439.803,133.593,—,—,168.79,—,—,145.442,314.232,8.837,—,—,-1.077,—,—,—,—,—,—,—,—,—,5436.077,3.726,5439.803,133.593,—,—,168.79,—,—,145.442,314.232,8.837,—,—,370.408,—,4.157,374.565,28.124,—,—,—,—,-1.077,—,—,
12/31/2008,4802.843,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,—,—,—,—,—,156.837,—,—,137.474,294.311,0.016,—,—,—,—,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,—,156.837,—,—,137.474,294.311,0.016,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,156.837,—,—,137.474,294.311,0.016,—,—,—,—,149.126,—,—,—,—,—,—,156.837,—,—,137.474,294.311,0.016,—,—,4308.267,2.819,4311.086,-232.646,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,4951.969,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,156.837,—,—,137.474,294.311,0.016,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,-360.551,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,156.837,—,—,137.474,294.311,0.016,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,-4.033,—,—,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,156.837,—,—,137.474,294.311,0.016,—,—,-4.033,—,—,—,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,156.837,—,—,137.474,294.311,0.016,—,—,337.739,—,8.833,346.572,-123.888,—,—,—,—,-4.033,—,—,
03/31/2009,3536.322,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,—,—,—,—,—,154.49,—,—,—,288.238,-1.902,1131.4,26714,—,—,—,—,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,—,—,—,—,—,154.49,—,—,—,288.238,-1.902,1131.4,26714,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,—,—,—,—,154.49,—,—,—,288.238,-1.902,1131.4,26714,—,—,—,3244.906,—,3381.125,-630.07,12847.716,307299,154.49,—,—,—,288.238,-1.902,1131.4,26714,3090.416,—,3092.887,-628.168,11716.316,280585,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,3674.363,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,154.49,—,—,—,288.238,-1.902,1131.4,26714,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,-682.528,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,154.49,—,—,—,288.238,-1.902,1131.4,26714,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,2.859,2582.659,5089,—,—,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,—,—,—,—,—,—,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,—,—,—,29062.037,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,154.49,—,—,—,288.238,-1.902,1131.4,26714,2.859,2582.659,5089,320808,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,154.49,—,—,—,288.238,-1.902,1131.4,26714,291.416,—,—,293.238,-55.317,—,—,13631.662,8420,2.859,2582.659,5089,
06/30/2009,3836.077,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,77.088,208.914,78.142,376.851,2747.218,111.01,—,—,93.139,204.149,-4.546,—,—,10.824,22.044,208.914,78.142,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,—,—,-29.2,—,—,111.01,—,—,93.139,204.149,-4.546,—,—,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,—,-40.3,-40.3,—,111.01,—,—,93.139,204.149,-4.546,—,—,—,—,101.188,—,—,—,—,—,—,111.01,—,—,93.139,204.149,-4.546,—,—,3410.071,2.896,3412.967,-239.137,—,—,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,3937.265,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,111.01,—,—,93.139,204.149,-4.546,—,—,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,-194.863,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,111.01,—,—,93.139,204.149,-4.546,—,—,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,-0.797,—,—,—,-22.4,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,—,-40.3,-40.3,—,—,-29.2,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,—,-40.3,-40.3,—,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,111.01,—,—,93.139,204.149,-4.546,—,—,-0.797,—,—,—,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,111.01,—,—,93.139,204.149,-4.546,—,—,314.996,—,5.153,320.149,49.617,-11.6,-11.8,—,—,-0.797,—,—,
09/30/2009,4541.566,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,—,—,—,—,—,128.952,—,—,96.114,225.066,4.949,—,—,—,—,—,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,—,—,-28.4,—,—,128.952,—,—,96.114,225.066,4.949,—,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,—,-24.5,-24.5,—,128.952,—,—,96.114,225.066,4.949,—,—,—,—,103.805,—,—,—,—,—,—,128.952,—,—,96.114,225.066,4.949,—,—,4105.872,2.466,4108.338,-21.304,—,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,4645.371,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,128.952,—,—,96.114,225.066,4.949,—,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,58.004,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,128.952,—,—,96.114,225.066,4.949,—,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,-0.453,—,—,—,-23.6,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,—,-24.5,-24.5,—,—,-28.4,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,—,-24.5,-24.5,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,128.952,—,—,96.114,225.066,4.949,—,—,-0.453,—,—,—,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,128.952,—,—,96.114,225.066,4.949,—,—,306.742,—,5.225,311.967,74.812,-17.2,-16.7,—,—,-0.453,—,—,
12/31/2009,5292.89,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,110.126,262.084,85.714,393.884,4092.802,132.036,—,—,94.174,226.21,-14.399,—,—,10.917,35.405,262.084,85.714,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,—,—,-23.1,—,—,132.036,—,—,94.174,226.21,-14.399,—,—,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,—,12.8,12.8,—,132.036,—,—,94.174,226.21,-14.399,—,—,—,—,101.535,—,—,—,—,—,—,132.036,—,—,94.174,226.21,-14.399,—,—,4858.896,2.181,4861.077,124.479,—,—,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,5394.425,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,132.036,—,—,94.174,226.21,-14.399,—,—,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,189.109,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,132.036,—,—,94.174,226.21,-14.399,—,—,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,-1.608,—,—,—,-15.8,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,—,12.8,12.8,—,—,-23.1,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,—,12.8,12.8,—,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,132.036,—,—,94.174,226.21,-14.399,—,—,-1.608,—,—,—,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,132.036,—,—,94.174,226.21,-14.399,—,—,301.958,—,5.18,307.138,80.637,-10.6,-11.4,—,—,-1.608,—,—,
03/31/2010,5280.44,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,—,—,—,—,—,165.423,—,—,—,292.19,5.136,1119.635,27404,—,—,—,—,302.548,—,—,306.153,41.861,—,—,13274.953,8107,—,—,—,—,—,165.423,—,—,—,292.19,5.136,1119.635,27404,302.548,—,—,306.153,41.861,—,—,13274.953,8107,—,—,—,—,165.423,—,—,—,292.19,5.136,1119.635,27404,—,—,—,4977.892,—,5107.236,54.728,13479.039,307461,165.423,—,—,—,292.19,5.136,1119.635,27404,4812.469,—,4815.046,49.592,12359.404,280057,302.548,—,—,306.153,41.861,—,—,13274.953,8107,5413.389,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,165.423,—,—,—,292.19,5.136,1119.635,27404,302.548,—,—,306.153,41.861,—,—,13274.953,8107,95.266,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,165.423,—,—,—,292.19,5.136,1119.635,27404,302.548,—,—,306.153,41.861,—,—,13274.953,8107,-1.323,3595.295,5022,—,—,302.548,—,—,306.153,41.861,—,—,13274.953,8107,—,—,—,—,—,—,302.548,—,—,306.153,41.861,—,—,13274.953,8107,—,—,—,30349.287,302.548,—,—,306.153,41.861,—,—,13274.953,8107,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,165.423,—,—,—,292.19,5.136,1119.635,27404,-1.323,3595.295,5022,320590,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,165.423,—,—,—,292.19,5.136,1119.635,27404,302.548,—,—,306.153,41.861,—,—,13274.953,8107,-1.323,3595.295,5022,
06/30/2010,4871.825,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,87.97,223.483,68.712,401.617,3752.103,102.349,—,—,110.526,212.875,4.006,—,—,11.415,22.222,223.483,68.712,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,—,—,4.3,—,—,102.349,—,—,110.526,212.875,4.006,—,—,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,—,30.9,30.9,—,102.349,—,—,110.526,212.875,4.006,—,—,—,—,116.517,4567.522,113.155,4680.677,100.705,—,—,102.349,—,—,110.526,212.875,4.006,—,—,4465.173,2.629,4467.802,96.699,—,—,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,4988.342,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,102.349,—,—,110.526,212.875,4.006,—,—,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,211.663,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,102.349,—,—,110.526,212.875,4.006,—,—,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,-4.152,—,—,—,-7.8,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,—,30.9,30.9,—,—,4.3,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,—,30.9,30.9,—,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,102.349,—,—,110.526,212.875,4.006,—,—,-4.152,—,—,—,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,102.349,—,—,110.526,212.875,4.006,—,—,304.303,—,3.362,307.665,115.11,-3.4,-3.9,—,—,-4.152,—,—,
09/30/2010,4806.667,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,81.508,237.251,75.823,389.93,3684.607,122.841,—,—,110.653,233.494,10.725,—,—,11.883,35.135,237.251,75.823,290.53,—,5.78,296.31,68.6,—,-5,—,—,—,—,3.7,—,—,122.841,—,—,110.653,233.494,10.725,—,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,—,—,7,—,122.841,—,—,110.653,233.494,10.725,—,—,—,—,118.925,4516.137,113.145,4629.282,43.694,—,—,122.841,—,—,110.653,233.494,10.725,—,—,4393.296,2.492,4395.788,32.969,—,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,4925.592,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,122.841,—,—,110.653,233.494,10.725,—,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,111.457,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,122.841,—,—,110.653,233.494,10.725,—,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,-0.837,—,—,—,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,—,—,7,—,—,3.7,290.53,—,5.78,296.31,68.6,—,-5,—,—,—,—,7,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,122.841,—,—,110.653,233.494,10.725,—,—,-0.837,—,—,—,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,122.841,—,—,110.653,233.494,10.725,—,—,290.53,—,5.78,296.31,68.6,—,-5,—,—,-0.837,—,—,
