Date,Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,      Vehicles,      Parts,      Others,      Others,      Parts For Production,    Others,    Others,    Others,    Others,    Others,    Others,      Information & Communication Business,      Housing Business,      Others,      Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Revenue Including Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Operating Income,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Adjustments,  Adjustments,  Adjustments,Revenue Growth %,  Others,  Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,Revenue Including Intersegment Growth%,  Others,  Others,  Automotive,  Automotive,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Assets,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Adjustments,  Adjustments,  Adjustments,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Number of Employees,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Adjustments,  Adjustments,  Adjustments,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Vehicles Sold - Retail Basis,  Total Retail Unit Sales,Source: Bloomberg
12/31/2008,4802.843,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,—,—,—,—,—,156.837,137.474,294.311,0.016,—,—,—,—,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,149.126,—,—,—,—,—,—,156.837,137.474,294.311,0.016,—,—,4308.267,2.819,4311.086,-232.646,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,4951.969,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,156.837,137.474,294.311,0.016,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,-360.551,—,—,—,—,—,—,4308.267,2.819,4311.086,-232.646,—,—,156.837,137.474,294.311,0.016,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,-4.033,—,—,—,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,—,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,—,—,—,156.837,137.474,294.311,0.016,—,—,4308.267,2.819,4311.086,-232.646,—,—,-4.033,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,—,—,—,—,—,—,—,156.837,137.474,294.311,0.016,—,—,4308.267,2.819,4311.086,-232.646,—,—,-4.033,—,—,337.739,8.833,346.572,-123.888,—,—,—,—,—,—,
03/31/2009,3536.322,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,—,—,—,—,—,154.49,—,288.238,-1.902,1131.4,26714,—,—,—,—,291.416,—,293.238,-55.317,—,—,13631.662,8420,—,3244.906,—,3381.125,-630.07,12847.716,307299,154.49,—,288.238,-1.902,1131.4,26714,3090.416,—,3092.887,-628.168,11716.316,280585,291.416,—,293.238,-55.317,—,—,13631.662,8420,3674.363,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,154.49,—,288.238,-1.902,1131.4,26714,291.416,—,293.238,-55.317,—,—,13631.662,8420,-682.528,3244.906,—,3381.125,-630.07,12847.716,307299,3090.416,—,3092.887,-628.168,11716.316,280585,154.49,—,288.238,-1.902,1131.4,26714,291.416,—,293.238,-55.317,—,—,13631.662,8420,2.859,2582.659,5089,—,—,—,291.416,—,293.238,-55.317,—,—,13631.662,8420,—,—,—,—,—,—,—,291.416,—,293.238,-55.317,—,—,13631.662,8420,29062.037,3244.906,—,3381.125,-630.07,12847.716,307299,154.49,—,288.238,-1.902,1131.4,26714,3090.416,—,3092.887,-628.168,11716.316,280585,2.859,2582.659,5089,291.416,—,293.238,-55.317,—,—,13631.662,8420,320808,3244.906,—,3381.125,-630.07,12847.716,307299,154.49,—,288.238,-1.902,1131.4,26714,3090.416,—,3092.887,-628.168,11716.316,280585,2.859,2582.659,5089,291.416,—,293.238,-55.317,—,—,13631.662,8420,—,—,
06/30/2009,3836.077,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,2747.218,376.851,208.914,78.142,77.088,111.01,93.139,204.149,-4.546,—,—,10.824,22.044,208.914,78.142,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,101.188,—,—,—,—,—,—,111.01,93.139,204.149,-4.546,—,—,3410.071,2.896,3412.967,-239.137,—,—,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,3937.265,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,111.01,93.139,204.149,-4.546,—,—,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,-194.863,—,—,—,—,—,—,3410.071,2.896,3412.967,-239.137,—,—,111.01,93.139,204.149,-4.546,—,—,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,-0.797,—,—,—,-22.4,-29.2,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,-40.3,-40.3,—,-22.4,-29.2,-40.3,-40.3,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,—,—,—,—,—,—,—,111.01,93.139,204.149,-4.546,—,—,3410.071,2.896,3412.967,-239.137,—,—,-0.797,—,—,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,—,—,—,—,—,—,—,111.01,93.139,204.149,-4.546,—,—,3410.071,2.896,3412.967,-239.137,—,—,-0.797,—,—,314.996,5.153,320.149,49.617,-11.6,-11.8,—,—,—,—,
09/30/2009,4541.566,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,—,—,—,—,—,128.952,96.114,225.066,4.949,—,—,—,—,—,—,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,103.805,—,—,—,—,—,—,128.952,96.114,225.066,4.949,—,—,4105.872,2.466,4108.338,-21.304,—,—,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,4645.371,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,128.952,96.114,225.066,4.949,—,—,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,58.004,—,—,—,—,—,—,4105.872,2.466,4108.338,-21.304,—,—,128.952,96.114,225.066,4.949,—,—,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,-0.453,—,—,—,-23.6,-28.4,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,-24.5,-24.5,—,-23.6,-28.4,-24.5,-24.5,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,—,—,—,—,—,—,—,128.952,96.114,225.066,4.949,—,—,4105.872,2.466,4108.338,-21.304,—,—,-0.453,—,—,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,—,—,—,—,—,—,—,128.952,96.114,225.066,4.949,—,—,4105.872,2.466,4108.338,-21.304,—,—,-0.453,—,—,306.742,5.225,311.967,74.812,-17.2,-16.7,—,—,—,—,
12/31/2009,5292.89,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,4092.802,393.884,262.084,85.714,110.126,132.036,94.174,226.21,-14.399,—,—,10.917,35.405,262.084,85.714,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,101.535,—,—,—,—,—,—,132.036,94.174,226.21,-14.399,—,—,4858.896,2.181,4861.077,124.479,—,—,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,5394.425,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,132.036,94.174,226.21,-14.399,—,—,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,189.109,—,—,—,—,—,—,4858.896,2.181,4861.077,124.479,—,—,132.036,94.174,226.21,-14.399,—,—,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,-1.608,—,—,—,-15.8,-23.1,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,12.8,12.8,—,-15.8,-23.1,12.8,12.8,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,—,—,—,—,—,—,—,132.036,94.174,226.21,-14.399,—,—,4858.896,2.181,4861.077,124.479,—,—,-1.608,—,—,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,—,—,—,—,—,—,—,132.036,94.174,226.21,-14.399,—,—,4858.896,2.181,4861.077,124.479,—,—,-1.608,—,—,301.958,5.18,307.138,80.637,-10.6,-11.4,—,—,—,—,
03/31/2010,5280.44,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,—,—,—,—,—,165.423,—,292.19,5.136,1119.635,27404,—,—,—,—,302.548,—,306.153,41.861,—,—,13274.953,8107,—,4977.892,—,5107.236,54.728,13479.039,307461,165.423,—,292.19,5.136,1119.635,27404,4812.469,—,4815.046,49.592,12359.404,280057,302.548,—,306.153,41.861,—,—,13274.953,8107,5413.389,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,165.423,—,292.19,5.136,1119.635,27404,302.548,—,306.153,41.861,—,—,13274.953,8107,95.266,4977.892,—,5107.236,54.728,13479.039,307461,4812.469,—,4815.046,49.592,12359.404,280057,165.423,—,292.19,5.136,1119.635,27404,302.548,—,306.153,41.861,—,—,13274.953,8107,-1.323,3595.295,5022,—,—,—,302.548,—,306.153,41.861,—,—,13274.953,8107,—,—,—,—,—,—,—,302.548,—,306.153,41.861,—,—,13274.953,8107,30349.287,4977.892,—,5107.236,54.728,13479.039,307461,165.423,—,292.19,5.136,1119.635,27404,4812.469,—,4815.046,49.592,12359.404,280057,-1.323,3595.295,5022,302.548,—,306.153,41.861,—,—,13274.953,8107,320590,4977.892,—,5107.236,54.728,13479.039,307461,165.423,—,292.19,5.136,1119.635,27404,4812.469,—,4815.046,49.592,12359.404,280057,-1.323,3595.295,5022,302.548,—,306.153,41.861,—,—,13274.953,8107,—,—,
06/30/2010,4871.825,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,3752.103,401.617,223.483,68.712,87.97,102.349,110.526,212.875,4.006,—,—,11.415,22.222,223.483,68.712,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,116.517,4567.522,113.155,4680.677,100.705,—,—,102.349,110.526,212.875,4.006,—,—,4465.173,2.629,4467.802,96.699,—,—,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,4988.342,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,102.349,110.526,212.875,4.006,—,—,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,211.663,4567.522,113.155,4680.677,100.705,—,—,4465.173,2.629,4467.802,96.699,—,—,102.349,110.526,212.875,4.006,—,—,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,-4.152,—,—,—,-7.8,4.3,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,30.9,30.9,—,-7.8,4.3,30.9,30.9,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,—,4567.522,113.155,4680.677,100.705,—,—,102.349,110.526,212.875,4.006,—,—,4465.173,2.629,4467.802,96.699,—,—,-4.152,—,—,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,—,4567.522,113.155,4680.677,100.705,—,—,102.349,110.526,212.875,4.006,—,—,4465.173,2.629,4467.802,96.699,—,—,-4.152,—,—,304.303,3.362,307.665,115.11,-3.4,-3.9,—,—,—,—,
09/30/2010,4806.667,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,3684.607,389.93,237.251,75.823,81.508,122.841,110.653,233.494,10.725,—,—,11.883,35.135,237.251,75.823,290.53,5.78,296.31,68.6,—,-5,—,—,118.925,4516.137,113.145,4629.282,43.694,—,—,122.841,110.653,233.494,10.725,—,—,4393.296,2.492,4395.788,32.969,—,—,290.53,5.78,296.31,68.6,—,-5,—,—,4925.592,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,122.841,110.653,233.494,10.725,—,—,290.53,5.78,296.31,68.6,—,-5,—,—,111.457,4516.137,113.145,4629.282,43.694,—,—,4393.296,2.492,4395.788,32.969,—,—,122.841,110.653,233.494,10.725,—,—,290.53,5.78,296.31,68.6,—,-5,—,—,-0.837,—,—,—,—,3.7,290.53,5.78,296.31,68.6,—,-5,—,—,—,7,—,—,3.7,—,7,290.53,5.78,296.31,68.6,—,-5,—,—,—,4516.137,113.145,4629.282,43.694,—,—,122.841,110.653,233.494,10.725,—,—,4393.296,2.492,4395.788,32.969,—,—,-0.837,—,—,290.53,5.78,296.31,68.6,—,-5,—,—,—,4516.137,113.145,4629.282,43.694,—,—,122.841,110.653,233.494,10.725,—,—,4393.296,2.492,4395.788,32.969,—,—,-0.837,—,—,290.53,5.78,296.31,68.6,—,-5,—,—,—,—,
12/31/2010,4673.113,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,3546.911,403.383,206.771,83.888,95.146,127.584,110.459,238.043,13.391,—,—,10.107,33.589,206.771,83.888,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,117.552,4379.795,113.367,4493.162,-14.137,—,—,127.584,110.459,238.043,13.391,—,—,4252.211,2.908,4255.119,-27.528,—,—,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,4790.665,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,127.584,110.459,238.043,13.391,—,—,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,99.07,4379.795,113.367,4493.162,-14.137,—,—,4252.211,2.908,4255.119,-27.528,—,—,127.584,110.459,238.043,13.391,—,—,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,-3.233,—,—,—,-3.4,5.2,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,-12.5,-12.5,—,-3.4,5.2,-12.5,-12.5,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,—,4379.795,113.367,4493.162,-14.137,—,—,127.584,110.459,238.043,13.391,—,—,4252.211,2.908,4255.119,-27.528,—,—,-3.233,—,—,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,—,4379.795,113.367,4493.162,-14.137,—,—,127.584,110.459,238.043,13.391,—,—,4252.211,2.908,4255.119,-27.528,—,—,-3.233,—,—,293.318,4.185,297.503,116.44,-2.9,-3.1,—,—,—,—,
03/31/2011,4642.083,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,3523.858,358.567,258.906,91.864,70.742,144.993,142.847,287.84,7.12,1146.72,26848,12.072,41.057,258.906,91.864,285.017,5.71,290.727,58.13,—,—,13365.394,8259,155.095,4357.066,149.385,4506.451,-9.047,12488.278,304889,144.993,142.847,287.84,7.12,1146.72,26848,4212.073,6.538,4218.611,-16.167,11341.558,278041,285.017,5.71,290.727,58.13,—,—,13365.394,8259,4797.178,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,144.993,142.847,287.84,7.12,1146.72,26848,285.017,5.71,290.727,58.13,—,—,13365.394,8259,46.089,4357.066,149.385,4506.451,-9.047,12488.278,304889,4212.073,6.538,4218.611,-16.167,11341.558,278041,144.993,142.847,287.84,7.12,1146.72,26848,285.017,5.71,290.727,58.13,—,—,13365.394,8259,-2.994,3964.494,4568,—,—,—,285.017,5.71,290.727,58.13,—,—,13365.394,8259,—,—,—,—,—,—,—,285.017,5.71,290.727,58.13,—,—,13365.394,8259,29818.166,4357.066,149.385,4506.451,-9.047,12488.278,304889,144.993,142.847,287.84,7.12,1146.72,26848,4212.073,6.538,4218.611,-16.167,11341.558,278041,-2.994,3964.494,4568,285.017,5.71,290.727,58.13,—,—,13365.394,8259,317716,4357.066,149.385,4506.451,-9.047,12488.278,304889,144.993,142.847,287.84,7.12,1146.72,26848,4212.073,6.538,4218.611,-16.167,11341.558,278041,-2.994,3964.494,4568,285.017,5.71,290.727,58.13,—,—,13365.394,8259,—,—,
