Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Toyota Motor Corp (7203 JP) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Billions of JPY except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,
Revenue,,6585.044,1.0,6569.382,1.0,6390.688,1.0,6554.909,1.0,7170.017,1.0,7118.907,1.0,6987.648,1.0,7103.84,1.0,7339.882,1.0,6971.748,1.0,6589.113,1.0,6481.42,1.0,7084.187,1.0,7442.473,1.0,7047.606,1.0,7143.601,1.0,7605.767,1.0,7582.536,1.0,7362.733,1.0,7311.273,1.0,7801.542,1.0,7750.133,1.0,7721.273,1.0,7639.504,1.0,7608.931,1.0,6899.339,1.0,4600.796,1.0,6774.427,1.0,8150.033,1.0,7689.337,1.0,7935.557,1.0,7545.741,1.0,7785.742,1.0,8112.466,1.0,8491.116,1.0,9218.232,1.0,9754.685,1.0,9690.265,1.0,10546.831,1.0,11434.786,1.0
  Goods & Products,,6229.811,0.946054574578393,6210.83,0.945420741250851,6023.59,0.942557358456554,6163.804,0.940334030571591,6742.115,0.940320643591222,6683.327,0.938813640914258,6527.733,0.934181716079574,6634.883,0.933985421968963,6865.988,0.93543574678721,6520.507,0.935275773019908,6159.004,0.934724294453593,6057.702,0.934625745592787,6617,0.934052136116678,6979.79,0.93783208887691,6578.122,0.933383903697227,6655.852,0.931722250444839,7101.556,0.933706751731942,7084.746,0.934350460057163,6853.963,0.930899300572219,6784.867,0.928000773599891,7257.438,0.930256864604459,7209.07,0.930186617442565,7177.564,0.929582984567441,7102.868,0.929755125463643,7061.014,0.927990278792119,6355.523,0.921178536088747,4069.855,0.884598013039483,6247.3,0.922188695811469,7605.418,0.933176344193944,7154.825,0.930486594617976,7362.417,0.927775706229569,6982.507,0.925357363842729,7204.419,0.925334926330721,7524.084,0.927471868603209,7844.455,0.923842637410677,8519.475,0.924198371227802,9019.92,0.924675681480232,8983.769,0.92709218994527,9785.454,0.927809879574253,10597.988,0.926819968471644
    Automotive,,6082.074,0.92361934104009,6039.402,0.919325744796086,5900.07,0.923229236038436,6018.997,0.918242648372388,6595.19,0.919829060377402,6491.967,0.911933109956346,6398.388,0.915671195801506,6458.452,0.90914941777968,6698.705,0.912644780937895,6368.268,0.913439212088561,6017.861,0.913303657108324,5897.299,0.909877619410561,6456.333,0.911372469416745,6660.736,0.894962736176537,6356.753,0.901973379329094,6356.581,0.889828673241969,6852.678,0.900984476647786,6781.217,0.894320448989626,6624.656,0.899755023032887,6505.842,0.889837104974742,7008.478,0.89834522457227,6895.516,0.889728731106937,6947.998,0.899851358707301,6800.413,0.890164204377666,6817.039,0.895925984872251,6208.276,0.899836346641323,3969.038,0.862685065801657,6139.467,0.906271039602316,7479.834,0.917767326831683,7009.507,0.911587956152787,7233.324,0.911508039070225,6848.524,0.907601254800556,7066.24,0.907587228038124,7383.905,0.910192412516736,7717.491,0.908890068160652,8392.069,0.910377282758776,8857.703,0.908046031214744,8809.607,0.909119306850741,9669.784,0.916842604190775,10462.045,0.914931420666727
      Vehicles,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5681.666,0.771678940415196,5537.552,0.757399156070359,5982.004,0.766772004816484,5864.968,0.756757077588217,5894.191,0.763370366518578,5801.318,0.759384117084041,5715.529,0.75116057695884,5264.338,0.763020631396718,3165.032,0.687931392741604,5076.144,0.749309720216928,6339.359,0.777832310617638,5929.071,0.771077012231354,6053.67,0.762853823619438,5662.611,0.75043802855147,5736.667,0.736816991880799,6286.494,0.774917762367201,6454.128,0.760103618888259,7048.599,0.764636754640152,7434.573,0.762154082884276,7456.957,0.769530761026659,8209.461,0.77838177173788,9029.212,0.789626670757109
      Parts,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,500.983,0.0680430758524043,513.08,0.0701765615919417,531.999,0.0681915190612317,547.375,0.0706278201935373,532.972,0.069026441624328,547.419,0.0716563536062027,546.674,0.0718463605465735,562.646,0.0815507108724473,402.607,0.0875081181604227,527.328,0.0778409745946041,564.709,0.0692891672953962,554.542,0.0721183113706683,571.203,0.071980202523906,573.005,0.0759375388050027,637.934,0.0819361854014685,625.001,0.077042048619988,656.271,0.0772891337251782,722.627,0.0783910624076287,734.766,0.0753244210346106,752.532,0.0776585573253157,734.442,0.0696362727344356,804.923,0.0703924848265634
      Parts For Production,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,138.74,0.0188435462755474,160.278,0.0219220373798106,181.256,0.0232333556622524,145.209,0.0187363236218011,333.196,0.043152987855759,147.255,0.0192754660511991,352.151,0.0462812713113051,189.154,0.0274162495856487,263.909,0.0573615956890938,327.584,0.0483559716563482,355.588,0.0436302527854795,339.972,0.0442134347863802,355.717,0.0448257129272715,358.139,0.047462402963473,393.805,0.0505802786683658,396.554,0.048882053866235,409.497,0.048226522874025,439.996,0.0477310616612817,450.954,0.0462294784506112,409.975,0.0423079244994848,435.281,0.0412712595849881,410.499,0.0358991414443611
