Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,376.265,253.992,122.273,87.272,,,,867.415,,,,,57.072,,,,,1388.024,1704.052,1950.799,246.747,0,,,484.467,,,,,,,,484.467,2188.519,3576.543,242.407,266.99,-635.817,0,-635.817,0,0,0,,,,,227.817,,-408,0,310.827,-67.768,25.85,-93.618,-1.277,,241.782,,100.772,,,-368.827,-347.3474,,-1.6911,,1.1014,14129.4385,,12553.4473,,1575.9912,,1168.509,,,,,,407.482,,,35.525,,,,,400.915,,,,,,,,,,158.508,242.407,0,,,242.407,0,242.407,0,,242.407,,218.1,1.1395,1.1395,,230.132,1.129,1.129,1.129,US GAAP,496.782,3.5159,407.482,11.154,2.8839,1.7156,,,,,,,2.8374,1.7156,1.7156,39.5366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,210.343,120.227,90.116,114.828,,,,993.729,,,,,70.134,,,,,1389.0341,2031.682,2361.832,330.15,0,,,519.359,,,,,,,,519.359,2551.041,3940.075,223.247,295.808,-533.025,0,-533.025,0,0,0,,,,,82.936,,-450.089,0,21.395,6.917,13.451,-6.534,-5.039,,23.273,,-131.008,,,-237.217,-209.4151,-215.822,-1.1113,,1.325,15497.6592,,13731.749,,1765.9102,,1367.236,,,,,,398.674,,,46.116,,,,,370.308,,,,,,,,,,147.061,223.247,0,,,223.247,0,223.247,0,,223.247,,213.456,1.075,1.075,,225.5,1.065,1.065,1.065,US GAAP,510.808,3.296,398.674,11.3947,2.5725,1.4405,360410.6786,13.1683,5.9401,9.8842,9.2499,,2.3894,1.4405,1.4405,39.7132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,62.906,53.638,9.268,130.278,,,,1260.476,,,,,80.638,,,,,1534.298,2146.396,2571.5049,425.1089,0,,,554.965,,,,,,,,554.965,2701.361,4235.6592,-112.368,247.805,-474.553,0,-474.553,0,0,0,,,,,14.876,,-459.677,0,98.735,10.887,11.383,-0.496,36.557,,146.179,,-65.693,,,-226.748,-199.2506,-128.013,-0.5169,,,16480.6426,,14662.8906,,1817.752,,1450.113,,,,,,367.639,,,50.472,,,,,203.555,,,,,,,,,,92.657,110.898,223.266,,,-112.368,0,-112.368,0,,-112.368,,438.668,-0.255,0.255,0.255,438.668,-0.255,0.255,0.255,US GAAP,511.302,3.1024,367.639,11.0296,2.2307,-0.6818,350651.9697,-6.4548,-2.7488,-3.1893,7.3474,,1.2351,0.6729,-0.6818,45.5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,45.688,45.688,0,146.665,,,,1422.272,,,,,87.694,,,,,1702.319,2535.593,3062.0349,526.4419,0,,,199.507,,,,,,,,199.507,2735.1,4437.4189,133.878,278.382,-523.301,7.337,-530.638,0,0,0,,,,,-13.151,,-536.452,0,228.306,4.077,4.077,0,17.737,,250.12,,-7.95,,,-252.256,-212.1884,-16.613,-0.5629,,2.0794,18247.2852,,16225.8477,,2021.4375,,1588.106,,,,,,433.332,,,67.911,,,,,368.204,,,,,,,,,,150.963,217.241,83.363,,,133.878,0,133.878,0,,133.878,,448.158,0.3,0.485,0.485,448.158,0.3,0.485,0.485,US GAAP,575.354,3.1531,433.332,11.078,2.3748,0.7337,350909.3299,8.3265,3.0872,6.3997,9.1867,3.7185,2.0179,1.1905,0.7337,40.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,101.955,101.955,0,137.467,,,,1500.842,,,,,88.04,,,,,1828.304,2888.3101,3543.5359,655.2258,0,,,195.247,,,,,,,,195.247,3083.5571,4911.8608,248.798,426.359,-502.117,4.665,-506.782,0,0,0,,,,,-41.132,,-543.249,0,134.062,17.855,17.855,0,21.24,,173.157,,56.267,163.004,,-80.423,-34.5521,58.304,-0.1959,,1.7137,19566.4551,,17345.3145,,2221.1406,,1720.418,,,,,,500.723,,,78.078,,,,,423.477,,,,,,,,,,174.684,248.793,0,,,248.793,0,248.793,0,,248.793,,410.484,0.62,0.62,0.62,436.726,0.61,0.61,0.61,US GAAP,662.355,3.3852,500.723,11.3518,2.5591,1.2715,738356.7954,15.0394,5.3222,9.9443,9.7291,5.1086,2.1643,1.2715,1.2715,41.2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,175.508,175.508,,147.133,147.133,,,1686.525,,,1686.525,,100.784,,,,,2109.95,3154.634,3950.342,795.708,,,,211.73,,,,,,,,211.73,3366.364,5476.314,312.197,590.249,-512.428,40.946,-553.374,,,,,,,,-30.745,,-543.173,0,-44.746,62.015,62.015,,9.208,,26.477,,73.553,195.241,,36.875,82.6435,,0.086,259.3986,1.8906,21874.404,,19314.485,,2559.919,,1904.207,,,,,,655.712,,76.281,76.281,,,,,520.329,75,,,75,,,,,,208.132,312.197,,,,312.197,,312.197,,,312.197,75,428.698,0.755,0.755,0.755,452.39,0.735,0.735,0.735,US GAAP,838.038,3.8311,655.712,11.7028,2.9976,1.4272,383761.4737,14.7058,6.0106,10.7251,11.7331,6.7154,2.3787,1.4272,1.4272,40.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,437.523,361.974,75.549,171.613,171.613,,,1910.751,0,0,1910.751,0,108.343,,,,,2628.23,3395.372,4330.975,935.603,0,,,236.218,,,,,,,,236.218,3631.59,6259.82,459.842,737.61,-491.206,80.698,-571.904,0,0,0,,,,,-118.24,,-609.446,0,-23.783,74.115,74.115,0,7.97,,58.302,,186.466,257.352,,165.706,194.227,,0.3845,93.8822,1.6041,24269.877,,21379.691,,2890.186,0,2096.91,2069.9,,,,,793.276,,20.873,47.535,26.662,,,,766.403,6,,,6,,,,,,306.561,459.842,,,,459.842,,459.842,0,0,459.842,,431.012,1.0669,1.0669,1.0808,463.37,0.9924,0.9924,1.0053,US GAAP,989.591,4.0774,793.276,11.9085,3.2686,1.8947,385236.1429,16.9246,7.8363,12.9783,12.6923,5.7427,3.1578,1.8947,1.8947,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,697.274,440.586,256.688,168.648,168.648,,,2210.475,0,0,1799.101,411.374,239.516,,,,,3315.913,3906.888,5024.157,1117.269,,,,282.2,42.568,42.568,0,,,,,239.632,4189.088,7505.001,397.298,940.863,-729.2519,58.67,-787.9219,0,0,0,,,,,-224.6711,,-953.923,0,8.864,61.923,61.923,0,20.885,,91.672,,78.612,294.86,,152.9411,180.2574,,0.3482,131.0365,2.3682,27456.031,,24170.199,,3285.832,0,2369.205,2338.198,,,,,916.627,,1.261,45.527,44.266,,,,858.866,56.5,,,56.5,,,,,,343.545,515.321,118.023,,,397.298,,397.298,0,0,397.298,,439.252,0.9045,1.1732,1.3018,471.12,0.8433,1.0938,1.2137,US GAAP,1141.438,4.1573,916.627,11.9676,3.3385,1.447,392229.0143,12.2283,5.7727,9.8796,12.7897,3.8715,3.1282,1.8769,1.447,39.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
