Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Costco Wholesale Corp (COST US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,
3 Months Ending,,11/21/1999,,02/13/2000,,05/07/2000,,09/03/2000,,11/26/2000,,02/18/2001,,05/13/2001,,09/02/2001,,11/25/2001,,02/17/2002,,05/12/2002,,09/01/2002,,11/24/2002,,02/16/2003,,05/11/2003,,08/31/2003,,11/23/2003,,02/15/2004,,05/09/2004,,08/29/2004,
Revenue,,6943.512,1.0,7736.987,1.0,6894.608,1.0,10589.189,1.0,7637.278,1.0,8306.309,1.0,7718.895,1.0,11134.555,1.0,8466.553,1.0,9382.852,1.0,8616.747,1.0,12296.347,1.0,9198.585,1.0,10114.167,1.0,9543.071,1.0,13689.729,1.0,10521.478,1.0,11548.974,1.0,10897.239,1.0,15139.301,1.0
  Warehouse Clubs,,6824.197,0.982816332714626,7613.601,0.984052448323876,6768.608,0.981724849331536,10414.317,0.983485798581931,7498.979,0.981891584933794,8159.98,0.982383390745517,7563.494,0.979867455121491,10914.568,0.980242856584749,8297.076,0.979982762760713,9208.413,0.981408744377509,8436.807,0.979117409388949,12050.797,0.980030654632632,9010.571,0.979560551976201,9920.324,0.980834506687501,9344.959,0.979240225709313,13416.845,0.980066515560681,10309.822,0.97988343462772,11330.214,0.981058057624859,10672.737,0.979398267763054,14832.939,0.979763794907044
  Membership Fees,,119.315,0.0171836672853737,123.386,0.015947551676124,126,0.0182751506684644,174.872,0.0165142014180689,138.299,0.0181084150662055,146.329,0.0176166092544835,155.401,0.0201325448785092,219.987,0.019757143415251,169.477,0.0200172372392873,174.439,0.0185912556224909,179.94,0.0208825906110508,245.55,0.019969345367368,188.014,0.0204394480237993,193.843,0.0191654933124992,198.112,0.0207597742906869,272.884,0.0199334844393194,211.656,0.0201165653722794,218.76,0.0189419423751409,224.502,0.0206017322369455,306.362,0.0202362050929564
Same Store Sales % with fuel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,13,,14,,10,,9,,5,,2,,5,,5,,5,,7,,6,,6,,4,,4,,6,,7,,11,,11,,11,,8,
Total Square Feet/Meter,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,55658.496,1.0,56069.325,1.0,56069.325,1.0
