Date,Revenue,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Membership Fees,Same Store Sales % with fuel,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Total Square Feet/Meter,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Opened,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Closed,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Stores by Ownership,  Owned,    United States,    United States,    Canada,    Canada,    Mexico,    United Kingdom,    United Kingdom,    Korea,    Korea,    Japan,    Japan,    Taiwan,    Taiwan,  Leased,    United States,    United States,    Canada,    Canada,    Japan,    Japan,    Korea,    Korea,    Taiwan,    Taiwan,    United Kingdom,    United Kingdom,Source: Bloomberg
11/21/1999,6943.512,6824.197,13,—,—,—,119.315,—,6824.197,13,—,—,—,—,6824.197,13,—,—,—,—,6824.197,13,—,—,—,—,6824.197,13,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
02/13/2000,7736.987,7613.601,14,—,—,—,123.386,—,7613.601,14,—,—,—,—,7613.601,14,—,—,—,—,7613.601,14,—,—,—,—,7613.601,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
05/07/2000,6894.608,6768.608,10,—,—,—,126,—,6768.608,10,—,—,—,—,6768.608,10,—,—,—,—,6768.608,10,—,—,—,—,6768.608,10,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
09/03/2000,10589.189,10414.317,9,—,—,—,174.872,—,10414.317,9,—,—,—,—,10414.317,9,—,—,—,—,10414.317,9,—,—,—,—,10414.317,9,—,—,—,331,263,184,53,51,8,18,10,0,0,3,0,1,0,3,68,184,53,51,8,0,1,0,3,0,3,10,0,
11/26/2000,7637.278,7498.979,5,—,—,—,138.299,—,7498.979,5,—,—,—,—,7498.979,5,—,—,—,—,7498.979,5,—,—,—,—,7498.979,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
02/18/2001,8306.309,8159.98,2,—,—,—,146.329,—,8159.98,2,—,—,—,—,8159.98,2,—,—,—,—,8159.98,2,—,—,—,—,8159.98,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
05/13/2001,7718.895,7563.494,5,—,—,—,155.401,—,7563.494,5,—,—,—,—,7563.494,5,—,—,—,—,7563.494,5,—,—,—,—,7563.494,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
09/02/2001,11134.555,10914.568,5,—,—,—,219.987,—,10914.568,5,—,—,—,—,10914.568,5,—,—,—,—,10914.568,5,—,—,—,—,10914.568,5,—,—,—,365,294,209,55,52,8,20,11,0,2,3,0,2,0,3,71,209,55,52,8,0,2,2,3,0,3,11,0,
11/25/2001,8466.553,8297.076,5,—,—,—,169.477,—,8297.076,5,—,—,—,—,8297.076,5,—,—,—,—,8297.076,5,—,—,—,—,8297.076,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
02/17/2002,9382.852,9208.413,7,—,—,—,174.439,—,9208.413,7,—,—,—,—,9208.413,7,—,—,—,—,9208.413,7,—,—,—,—,9208.413,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
05/12/2002,8616.747,8436.807,6,—,—,—,179.94,—,8436.807,6,—,—,—,—,8436.807,6,—,—,—,—,8436.807,6,—,—,—,—,8436.807,6,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
09/01/2002,12296.347,12050.797,6,—,—,—,245.55,—,12050.797,6,—,—,—,—,12050.797,6,—,—,—,—,12050.797,6,—,—,—,—,12050.797,6,—,—,—,394,314,229,61,52,8,20,11,3,2,3,0,2,0,3,80,229,61,52,8,0,2,2,3,0,3,11,3,
11/24/2002,9198.585,9010.571,4,—,—,—,188.014,—,9010.571,4,—,—,—,—,9010.571,4,—,—,—,—,9010.571,4,—,—,—,—,9010.571,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
02/16/2003,10114.167,9920.324,4,—,—,—,193.843,—,9920.324,4,—,—,—,—,9920.324,4,—,—,—,—,9920.324,4,—,—,—,—,9920.324,4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
