Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Costco Wholesale Corp (COST US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,
3 Months Ending,,11/21/2004,,02/13/2005,,05/08/2005,,08/28/2005,,11/20/2005,,02/12/2006,,05/07/2006,,09/03/2006,,11/26/2006,,02/18/2007,,05/13/2007,,09/02/2007,,11/25/2007,,02/17/2008,,05/11/2008,,08/31/2008,,11/23/2008,,02/15/2009,,05/10/2009,,08/30/2009,,11/22/2009,,02/14/2010,,05/09/2010,,08/29/2010,,11/21/2010,,02/13/2011,,05/08/2011,,08/28/2011,,11/20/2011,,02/12/2012,,05/06/2012,,09/02/2012,,11/25/2012,,02/17/2013,,05/12/2013,,09/01/2013,,11/24/2013,,02/16/2014,,05/11/2014,,08/31/2014,
Revenue,,11578.003,1.0,12658.077,1.0,11996.9,1.0,16719.246,1.0,12933.346,1.0,14059.012,1.0,13273.175,1.0,19875.221,1.0,14151.624,1.0,15112.016,1.0,14659.255,1.0,20477.26,1.0,15809.53,1.0,16959.886,1.0,16613.717,1.0,23099.887,1.0,16395,1.0,16843,1.0,15806,1.0,22378,1.0,17299,1.0,18742,1.0,17780,1.0,24125,1.0,19239,1.0,20875,1.0,20623,1.0,28178,1.0,21628,1.0,22967,1.0,22324,1.0,32218,1.0,23715,1.0,24871,1.0,24083,1.0,32487,1.0,25017,1.0,26306,1.0,25794,1.0,35523,1.0
  Warehouse Clubs,,11339.944,0.979438682128516,12412.578,0.980605347873931,11747.113,0.979179037918129,16379.435,0.979675459048811,12670.792,0.97969945287167,13789.246,0.98081188066416,12996.942,0.979188626685024,19495.727,0.980906174577883,13852.321,0.97885027188399,14804.696,0.979663864834447,14341.52,0.978325296885824,20089.064,0.98104258089217,15471.5,0.978618592709587,16616.962,0.979780288617506,16262.793,0.978877454094108,22626.229,0.979495224370578,16036,0.97810308020738,16488,0.978922994715906,15477,0.979185119574845,21888,0.97810349450353,16922,0.9782068327649,18356,0.979404545939601,17385,0.977784026996625,23592,0.977906735751295,18823,0.978377254535059,20449,0.979592814371257,20188,0.978907045531688,27588,0.979061679324296,21181,0.979332346957647,22508,0.980014803849001,21849,0.978722451173625,31524,0.978459246384009,23204,0.978452456251318,24343,0.978770455550641,23552,0.977951251920442,31771,0.977960414935205,24468,0.978054922652596,25756,0.979092222306698,25233,0.978250755989765,34755,0.97838020437463
  Membership Fees,,238.059,0.0205613178714844,245.499,0.0193946521260694,249.787,0.0208209620818712,339.811,0.0203245409511888,262.554,0.0203005471283301,269.766,0.0191881193358395,276.233,0.0208113733149755,379.494,0.0190938254221173,299.303,0.0211497281160099,307.32,0.020336135165553,317.735,0.021674703114176,388.196,0.0189574191078299,338.03,0.0213814072904128,342.924,0.020219711382494,350.924,0.0211225459058921,473.658,0.0205047756294219,359,0.0218969197926197,355,0.0210770052840943,329,0.020814880425155,490,0.0218965054964698,377,0.0217931672351003,386,0.0205954540603991,395,0.0222159730033746,533,0.0220932642487047,416,0.021622745464941,426,0.0204071856287425,435,0.0210929544683121,590,0.0209383206757045,447,0.0206676530423525,459,0.0199851961509993,475,0.0212775488263752,694,0.0215407536159911,511,0.0215475437486823,528,0.0212295444493587,531,0.0220487480795582,716,0.0220395850647951,549,0.0219450773474038,550,0.0209077776933019,561,0.0217492440102349,768,0.0216197956253695
Same Store Sales %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Warehouse Clubs,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9,,1,,5,,2,,-5,,3,,3,,4,,4,,5,,4,,7,,7,,7,,7,,5,,6,,6,,5,,7,,5,,5,,5,,6,,7,
Same Store Sales % with fuel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
