Date,Revenue,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,    Foods & Sundries,    Non - Foods,    Warehouse Ancillary and Other Business,    Fresh Foods,    Softlines,    Hardlines,  Membership Fees,  Membership Fees,Percentage of Revenue,  Membership Fees,  Membership Fees,Same Store Sales %,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales % with fuel,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Total Square Feet/Meter,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Foreign Exchange Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Cannibalization Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Gas Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Internet Sales Growth,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Locations,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Retail - Number of Locations Opened,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Closed,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Stores by Ownership,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Ticket or Ticket per Transaction,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Warehouse Club Membership Base,  Paid Members,"    Business, Including Affiliates",    Gold Star,  Household Card,    Executive,Source: Bloomberg
11/23/2014,26866,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,—,—,—,—,—,582,—,—,582,—,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,96437,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,1,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26284,7,5,96437,-0.168,—,-0.083,—,9,1,2.5,77500,42500,—,—,35000,15200,
02/15/2015,27454,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,—,—,—,—,—,582,2.17,—,582,2.17,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,96400,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,0,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26872,7,2,96400,-2.57,—,-3.31,—,0,0,-3.5,78700,43200,—,—,35500,15400,
05/10/2015,26101,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,—,—,—,—,—,584,—,—,584,—,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,96700,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,25517,6,-1,96700,-3,—,-4,—,4,2,-4,2,25517,6,-1,96700,-3,—,-4,—,4,2,-4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,25517,6,-1,96700,-3,—,-4,—,4,2,-4,79600,43700,—,—,35900,15700,
08/30/2015,35778,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,—,—,—,—,—,—,785,—,—,785,—,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,98784,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,686,144,144,15,8,15,8,7,5,7,5,—,—,—,—,2,5,2,5,0,36,0,36,0,1,0,1,11,0,11,0,—,—,—,—,92,388,92,388,6,21,6,21,11,78,11,78,542,542,15,8,15,8,6,21,6,21,92,388,92,388,—,—,—,—,11,78,11,78,7,5,7,5,0,36,0,36,11,0,11,0,2,5,2,5,0,1,0,1,—,—,—,—,13,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,0,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,686,144,144,15,8,15,8,7,5,7,5,—,—,—,—,2,5,2,5,0,36,0,36,0,1,0,1,11,0,11,0,—,—,—,—,92,388,92,388,6,21,6,21,11,78,11,78,542,542,15,8,15,8,6,21,6,21,92,388,92,388,—,—,—,—,11,78,11,78,7,5,7,5,0,36,0,36,11,0,11,0,2,5,2,5,0,1,0,1,—,—,—,—,—,34993,6,-1,98784,-4,—,-2.5,—,13,0,-1,81300,44600,10600,34000,36700,16100,
11/22/2015,27220,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,—,—,—,—,—,593,2.23,—,593,2.23,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,100547.7,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,13,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,2,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26627,6,-1,100547.7,-4.23,—,-2.95,—,13,2,-4,82700,45400,—,—,37300,16400,
02/14/2016,28170,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,—,—,—,—,—,603,2.19,—,603,2.19,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,100700,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,0,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27567,5,1,100700,-3.52,—,-0.79,—,1,0,-2.5,84000,46100,—,—,37900,16600,
05/08/2016,26769,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,—,—,—,—,—,618,2.36,—,618,2.36,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,101700,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,1,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26151,3,0,101700,-1.46,—,-1.89,—,8,1,-2.7,85500,46900,—,—,38600,17000,
08/28/2016,36560,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,—,—,—,—,—,832,—,—,832,—,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,103200,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,—,—,147,—,—,14,11,—,—,7,5,—,—,—,—,—,—,3,5,—,—,0,36,—,—,0,2,—,—,12,0,—,—,—,—,—,—,94,407,—,—,6,22,—,—,11,80,—,568,—,—,14,11,—,—,6,22,—,—,94,407,—,—,—,—,—,—,11,80,—,—,7,5,—,—,0,36,—,—,12,0,—,—,3,5,—,—,0,2,—,—,—,—,11,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,1,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,715,—,147,—,—,14,11,—,—,7,5,—,—,—,—,—,—,3,5,—,—,0,36,—,—,0,2,—,—,12,0,—,—,—,—,—,—,94,407,—,—,6,22,—,—,11,80,—,568,—,—,14,11,—,—,6,22,—,—,94,407,—,—,—,—,—,—,11,80,—,—,7,5,—,—,0,36,—,—,12,0,—,—,3,5,—,—,0,2,—,—,—,—,—,35728,3,0,103200,-1,—,-2,—,11,1,-2.8,86700,47600,10800,36800,39100,17400,
11/20/2016,28099,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,—,—,—,—,—,630,2.29,—,630,2.29,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,104500,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,0,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,27469,2,1,104500,-0.37,—,-0.29,—,8,0,—,65600,47900,—,—,17700,17700,
02/12/2017,29766,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,—,—,—,—,—,636,2.18,—,636,2.18,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,105100,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,1,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,29130,3,3,105100,-0.7,—,0.89,—,5,1,—,88100,48300,—,—,39800,17900,
