Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
Costco Wholesale Corp (COST US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 1997,,FY 1998,,FY 1999,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024,
12 Months Ending,,08/31/1997,,08/30/1998,,08/29/1999,,09/03/2000,,09/02/2001,,09/01/2002,,08/31/2003,,08/29/2004,,08/28/2005,,09/03/2006,,09/02/2007,,08/31/2008,,08/30/2009,,08/29/2010,,08/28/2011,,09/02/2012,,09/01/2013,,08/31/2014,,08/30/2015,,08/28/2016,,09/03/2017,,09/02/2018,,09/01/2019,,08/30/2020,,08/29/2021,,08/28/2022,,09/03/2023,,09/01/2024,
Revenue,,21874.404,1.0,24269.877,1.0,27456.031,1.0,32164.296,1.0,34797.037,1.0,38762.499,1.0,42545.552,1.0,48106.992,1.0,52952.226,1.0,60151.227,1.0,64400.155,1.0,72483,1.0,71422,1.0,77946,1.0,88915,1.0,99137,1.0,105156,1.0,112640,1.0,116199,1.0,118719,1.0,129025,1.0,141576,1.0,152703,1.0,166761,1.0,195929,1.0,226954,1.0,242290,1.0,254453,1.0
  Warehouse Clubs,,21484.118,0.982157868164088,23830.38,0.98189125556755,26976.453,0.982532872285874,31620.723,0.983100111999964,34137.021,0.981032408017958,37993.093,0.980150763757517,41692.699,0.979954355745578,47145.712,0.980017873493317,51879.07,0.979733505443189,58963.18,0.980248998079457,63087.601,0.979618775762263,70977,0.979222714291627,69889,0.978536025314329,76255,0.978305493546815,87048,0.979002418039701,97062,0.979069368651462,102870,0.978260869565217,110212,0.978444602272727,113666,0.978201189338979,116073,0.977712076415738,126172,0.977888006200349,138434,0.977806972933266,149351,0.978048892294192,163220,0.978766018433566,192052,0.980212219732658,222730,0.981388298950448,237710,0.981097032481737,249625,0.98102596550247
    Foods & Sundries,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,49911.39,0.420416192858767,52362,0.405828327843441,56073,0.396062892015596,59672,0.39077162858621,68659,0.411720965933282,77277,0.394413282362488,85629,0.37729672092142,96175,0.396941681456106,101463,0.398749474362652
    Non - Foods,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,41160,0.269542838058191,44807,0.268689921504428,55966,0.285644289513038,61100,0.269217550693092,60865,0.251207231004169,63973,0.251413817089993
    Warehouse Ancillary and Other Business,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,18186.56,0.156512190294237,17410.95,0.146656811462361,20841,0.161526835884518,25475,0.179938690173476,28571,0.187101759624893,26550,0.159209887203843,31626,0.16141561484007,46474,0.204772773337328,48693,0.200969912088819,49969,0.196378113050347
    Fresh Foods,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,15913.24,0.136948166507457,16250.22,0.136879690698203,17849,0.138337531486146,18879,0.133348872690287,19948,0.130632666024898,23204,0.139145243792014,27183,0.138739033017062,29527,0.130101253998608,31977,0.131978207932643,34220,0.134484560999477
