Date,Revenue,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,    Foods & Sundries,    Non - Foods,    Warehouse Ancillary and Other Business,    Fresh Foods,    Fresh Foods,    Softlines,    Softlines,    Hardlines,    Hardlines,    Food,    Food,    Sundries,    Sundries,  Membership Fees,  Membership Fees,Percentage of Revenue,  Membership Fees,  Membership Fees,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,    Softlines,    Softlines,    Fresh Foods,    Fresh Foods,    Hardlines,    Hardlines,    Other,    Food,    Food,    Sundries,    Sundries,Same Store Sales %,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales % with fuel,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Total Square Feet/Meter,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Internet Sales Growth,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Locations,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Retail - Number of Locations Opened,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Closed,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Stores by Ownership,  Leased,  Leased,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    France,    France,    France,    France,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Iceland,    Iceland,    Iceland,    Iceland,    United States,    United States,    United States,    United States,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Canada,    Canada,    Canada,    Canada,  Owned,  Owned,    Japan,    Japan,    Japan,    Japan,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    United States,    United States,    United States,    United States,    France,    France,    France,    France,    Canada,    Canada,    Canada,    Canada,    Korea,    Korea,    Korea,    Korea,    Mexico,    Mexico,    Mexico,    Mexico,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Iceland,    Iceland,    Iceland,    Iceland,Warehouse Club Membership Base,  Paid Members,    Gold Star,"    Business, Including Affiliates","    Business, Add-on",    Business,  Household Card,    Executive,Source: Bloomberg
08/31/1997,21874.404,21484.118,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,390.286,—,—,390.286,—,21484.118,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21484.118,—,—,—,—,—,—,—,—,21484.118,—,—,—,—,—,—,—,—,21484.118,—,—,—,—,—,—,—,—,21484.118,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,21484.118,—,—,—,—,—,—,—,—,21484.118,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
08/30/1998,24269.877,23830.38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,439.497,—,—,439.497,—,23830.38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,23830.38,—,—,—,—,—,—,—,—,23830.38,—,—,—,—,—,—,—,—,23830.38,—,—,—,—,—,—,—,—,23830.38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,23830.38,—,—,—,—,—,—,—,—,23830.38,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
08/29/1999,27456.031,26976.453,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,479.578,—,—,479.578,—,26976.453,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26976.453,—,—,—,—,—,—,—,—,26976.453,—,—,—,—,—,—,—,—,26976.453,—,—,—,—,—,—,—,—,26976.453,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,26976.453,—,—,—,—,—,—,—,—,26976.453,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
09/03/2000,32164.296,31620.723,100,—,11,—,—,43,4,—,—,—,—,—,—,12,—,20,—,30,—,30,543.573,—,—,543.573,—,31620.723,100,—,11,—,—,43,4,—,12,—,—,—,20,8,—,30,—,30,—,31620.723,100,—,11,—,—,43,4,—,31620.723,100,—,11,—,—,43,4,—,31620.723,100,—,11,—,—,43,4,—,31620.723,100,—,11,—,—,43,4,—,—,68,—,—,1,0,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,18,—,—,—,—,—,—,3,0,—,—,—,—,—,—,53,184,—,—,0,10,—,—,8,51,—,263,—,—,1,0,—,—,0,10,—,—,53,184,—,—,—,—,—,—,8,51,—,—,3,0,—,—,—,18,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,43,31620.723,100,—,11,—,—,43,4,4,31620.723,100,—,11,—,—,43,4,331,—,68,—,—,1,0,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,18,—,—,—,—,—,—,3,0,—,—,—,—,—,—,53,184,—,—,0,10,—,—,8,51,—,263,—,—,1,0,—,—,0,10,—,—,53,184,—,—,—,—,—,—,8,51,—,—,3,0,—,—,—,18,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
09/02/2001,34797.037,34137.021,100,—,4,—,—,39,7,—,—,—,—,—,—,11,—,19,—,30,—,31,660.016,—,—,660.016,—,34137.021,100,—,4,—,—,39,7,—,11,—,—,—,19,9,—,30,—,31,—,34137.021,100,—,4,—,—,39,7,—,34137.021,100,—,4,—,—,39,7,—,34137.021,100,—,4,—,—,39,7,—,34137.021,100,—,4,—,—,39,7,—,—,71,—,—,2,0,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,20,—,—,—,—,—,—,3,0,—,—,—,—,—,—,55,209,—,—,0,11,—,—,8,52,—,294,—,—,2,0,—,—,0,11,—,—,55,209,—,—,—,—,—,—,8,52,—,—,3,2,—,—,—,20,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,39,34137.021,100,—,4,—,—,39,7,7,34137.021,100,—,4,—,—,39,7,365,—,71,—,—,2,0,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,20,—,—,—,—,—,—,3,0,—,—,—,—,—,—,55,209,—,—,0,11,—,—,8,52,—,294,—,—,2,0,—,—,0,11,—,—,55,209,—,—,—,—,—,—,8,52,—,—,3,2,—,—,—,20,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
09/01/2002,38762.499,37993.093,100,—,6,—,—,35,6,—,—,—,—,—,—,11,—,19,—,30,—,31,769.406,—,—,769.406,—,37993.093,100,—,6,—,—,35,6,—,11,—,—,—,19,9,—,30,—,31,—,37993.093,100,—,6,—,—,35,6,—,37993.093,100,—,6,—,—,35,6,—,37993.093,100,—,6,—,—,35,6,—,37993.093,100,—,6,—,—,35,6,—,—,80,—,—,2,0,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,20,—,—,—,—,—,—,3,0,—,—,—,—,—,—,61,229,—,—,3,11,—,—,8,52,—,314,—,—,2,0,—,—,3,11,—,—,61,229,—,—,—,—,—,—,8,52,—,—,3,2,—,—,—,20,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,35,37993.093,100,—,6,—,—,35,6,6,37993.093,100,—,6,—,—,35,6,394,—,80,—,—,2,0,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,20,—,—,—,—,—,—,3,0,—,—,—,—,—,—,61,229,—,—,3,11,—,—,8,52,—,314,—,—,2,0,—,—,3,11,—,—,61,229,—,—,—,—,—,—,8,52,—,—,3,2,—,—,—,20,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
08/31/2003,42545.552,41692.699,100,—,5,—,—,29,6,—,—,—,—,—,—,14,—,16,—,30,—,30,852.853,—,—,852.853,—,41692.699,100,—,5,—,—,29,6,—,14,—,—,—,16,10,—,30,—,30,—,41692.699,100,—,5,—,—,29,6,—,41692.699,100,—,5,—,—,29,6,—,41692.699,100,—,5,—,—,29,6,—,41692.699,100,—,5,—,—,29,6,—,—,85,—,—,4,0,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,21,—,—,—,—,—,—,3,0,—,—,—,—,—,—,66,243,—,—,2,13,—,—,7,54,—,333,—,—,4,0,—,—,2,13,—,—,66,243,—,—,—,—,—,—,7,54,—,—,3,2,—,—,—,21,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,29,41692.699,100,—,5,—,—,29,6,6,41692.699,100,—,5,—,—,29,6,418,—,85,—,—,4,0,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,21,—,—,—,—,—,—,3,0,—,—,—,—,—,—,66,243,—,—,2,13,—,—,7,54,—,333,—,—,4,0,—,—,2,13,—,—,66,243,—,—,—,—,—,—,7,54,—,—,3,2,—,—,—,21,—,—,3,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
08/29/2004,48106.992,47145.712,100,—,10,56069.325,—,23,0,—,—,—,—,—,—,13,—,16,—,31,—,29,961.28,—,—,961.28,—,47145.712,100,—,10,56069.325,—,23,0,—,13,—,—,—,16,11,—,31,—,29,—,47145.712,100,—,10,56069.325,—,23,0,—,47145.712,100,—,10,56069.325,—,23,0,56069.325,47145.712,100,—,10,56069.325,—,23,0,—,47145.712,100,—,10,56069.325,—,23,0,441,91,91,4,0,4,0,3,2,3,2,—,—,—,—,—,—,—,—,—,24,—,24,—,—,—,—,3,0,3,0,—,—,—,—,71,256,71,256,2,13,2,13,8,55,8,55,350,350,4,0,4,0,2,13,2,13,71,256,71,256,—,—,—,—,8,55,8,55,3,2,3,2,—,24,—,24,3,0,3,0,—,—,—,—,—,—,—,—,—,—,—,—,23,47145.712,100,—,10,56069.325,—,23,0,0,47145.712,100,—,10,56069.325,—,23,0,441,91,91,4,0,4,0,3,2,3,2,—,—,—,—,—,—,—,—,—,24,—,24,—,—,—,—,3,0,3,0,—,—,—,—,71,256,71,256,2,13,2,13,8,55,8,55,350,350,4,0,4,0,2,13,2,13,71,256,71,256,—,—,—,—,8,55,8,55,3,2,3,2,—,24,—,24,3,0,3,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,
08/28/2005,52952.226,51879.07,100,—,7,59352.41,—,24,5,—,—,—,—,11,—,12,—,20,—,19,—,25,1073.156,—,—,1073.156,—,51879.07,100,—,7,59352.41,—,24,5,—,12,—,11,—,20,13,—,19,—,25,—,51879.07,100,—,7,59352.41,—,24,5,—,51879.07,100,—,7,59352.41,—,24,5,59352.41,51879.07,100,—,7,59352.41,—,24,5,—,51879.07,100,—,7,59352.41,—,24,5,—,—,102,—,—,4,1,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,27,—,—,—,—,—,—,4,0,—,—,—,—,—,—,81,257,—,—,2,14,—,—,8,57,—,358,—,—,4,1,—,—,2,14,—,—,81,257,—,—,—,—,—,—,8,57,—,—,3,2,—,—,—,27,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,24,51879.07,100,—,7,59352.41,—,24,5,5,51879.07,100,—,7,59352.41,—,24,5,460,—,102,—,—,4,1,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,27,—,—,—,—,—,—,4,0,—,—,—,—,—,—,81,257,—,—,2,14,—,—,8,57,—,358,—,—,4,1,—,—,2,14,—,—,81,257,—,—,—,—,—,—,8,57,—,—,3,2,—,—,—,27,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,21200,21200,16200,—,—,5000,—,—,
09/03/2006,60151.227,58963.18,100,—,8,64214.081,—,30,3,—,—,—,—,11,—,12,—,20,—,19,—,24,1188.047,—,—,1188.047,—,58963.18,100,—,8,64214.081,—,30,3,—,12,—,11,—,20,14,—,19,—,24,—,58963.18,100,—,8,64214.081,—,30,3,—,58963.18,100,—,8,64214.081,—,30,3,64214.081,58963.18,100,—,8,64214.081,—,30,3,—,58963.18,100,—,8,64214.081,—,30,3,—,—,99,—,—,4,1,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,29,—,—,—,—,—,—,4,0,—,—,—,—,—,—,77,281,—,—,2,16,—,—,9,59,—,388,—,—,4,1,—,—,2,16,—,—,77,281,—,—,—,—,—,—,9,59,—,—,3,2,—,—,—,29,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,30,58963.18,100,—,8,64214.081,—,30,3,3,58963.18,100,—,8,64214.081,—,30,3,487,—,99,—,—,4,1,—,—,3,2,—,—,—,—,—,—,—,—,—,—,—,29,—,—,—,—,—,—,4,0,—,—,—,—,—,—,77,281,—,—,2,16,—,—,9,59,—,388,—,—,4,1,—,—,2,16,—,—,77,281,—,—,—,—,—,—,9,59,—,—,3,2,—,—,—,29,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,47700,22500,17300,—,—,5200,25200,—,
