Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,1384,1384,0,3024,,,,3190,,,,,837,,,,,8435,8273,13034,4761,0,,,3760,,,,,,,,3760,12033,20468,1773,2069,-1797,182,-1979,0,0,0,,,,,-386,,-2183,-753,681,163,1000,-837,0,,91,,-23,,,90,350.6383,1870,0.0326,331.87,1.1669,27026,,16081,,10945,,8243,,,,,,2702,,,395,,,,,2687,,,,,,,,,,914,1773,0,,,1773,0,1773,78,,1695,,2758.3999,0.615,0.615,0.615,2758.3999,0.615,0.615,0.615,US GAAP,3658,13.5351,2702,40.498,9.9978,6.5603,287510.6383,27.6532,9.1028,15.753,12.5614,13.5823,9.9423,6.5603,6.2717,34.0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,1776,1776,0,3341,,,,3311,,,,,938,,,,,9366,9696,15184,5488,0,,,4963,,,,,,,,4963,14659,24025,1872,3070,-1620,291,-1911,0,0,0,,,,,-1240,,-2860,-788,1019,-49,0,-49,0,,182,,392,,,1159,1489.9255,2366,0.4277,27.4335,1.64,29362,,17324,,12038,,9171,,,,,,2867,,,510,,,,,2885,,,,,,,,,,1013,1872,0,,,1872,0,1872,94,,1778,,2709.6001,0.655,0.655,0.655,2709.6001,0.655,0.655,0.655,US GAAP,3918,13.3438,2867,40.9986,9.7643,6.3756,277000,27.7249,8.4148,14.6315,11.3072,7.0634,9.8256,6.3756,6.0554,35.1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,2322,2322,0,3111,,,,2903,,,,,1639,,,,,9975,9485,14877,5392,0,,,5475,,,,,,,,5475,14960,24935,-656,3338,-1186,725,-1911,0,0,0,,,,,-444,,-1630,-850,-215,22,77,-55,-119,,-1162,,546,,,1427,1852.467,1818,0.5243,25.5686,,30433,,17683,,12750,,9589,,,,,,3161,,,552,,,,,349,,,,,,,,,,80,269,925,,,-656,0,-656,102,,-758,,2721.6001,-0.2775,0.0625,0.0625,2721.6001,-0.2775,0.0625,0.0625,US GAAP,4301,14.1327,3161,41.8953,10.3868,-2.1556,281787.037,-12.0729,-2.6797,-1.5007,15.0447,27.451,1.1468,0.8839,-2.4907,22.9226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,2656,2373,283,3115,,,,2877,,,,,1340,,,,,9988,10024,15896,5872,0,,,5523,,,,,,,,5523,15547,25535,2211,3649,-1736,105,-1841,0,0,0,,,,,-272,,-2008,-949,-664,22,36,-14,1,,-1590,,51,,,1808,2126.5003,1120,0.6617,21.5358,1.6504,30296,,17355,,12941,,9361,,,,,,3580,,,482,,,,,3346,,,,,,,,,,1135,2211,0,,,2211,0,2211,102,,2109,,2732.3999,0.7725,0.7725,0.7725,2732.3999,0.7725,0.7725,0.7725,US GAAP,4714,15.5598,3580,42.7152,11.8167,7.298,,34.1207,8.7616,17.0831,15.6955,,11.0444,7.298,6.9613,33.9211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,2178,2028,150,3562,,,,3453,,,,,1649,,,,,10842,11026,17739,6713,0,,,6257,,4474,,,,,,6257,17283,28125,2645,3568,-1836,310,-2146,0,0,0,,,,,-527,,-2363,-1062,-490,-48,66,-114,50,,-1550,,-345,,,1422,1744.69,1111,0.5182,29.91,1.349,33482,,19561,,13921,,9677,,,,,,4244,,,488,,,,,4000,,,,,,,,,,1355,2645,0,,,2645,0,2645,102,,2543,,2744,0.9275,0.9275,0.9275,2744,0.9275,0.9275,0.9275,US GAAP,5497,16.4178,4244,41.5776,12.6755,7.8998,,32.6738,9.8584,18.6021,17.1197,20.8412,11.9467,7.8998,7.5951,33.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,2520,2074,446,2841,2841,,,3130,1254,210,1666,0,2316,,,,,10807,11118,18112,6994,0,,,5805,4281,4175,106,,,,,1524,16923,27730,3046,4158,-1777,402,-2179,0,0,0,,,,,-689,,-2466,-1202,-38,-343,89,-432,-63,,-1646,,46,1339,358,1979,2294.7558,2213,0.7209,28.7837,1.3651,35284,,20762,,14522,,9707,9707,,,,,4815,,484,484,,,,,4669,0,,,,,,,,,1623,3046,0,,,3046,0,3046,103,,2943,,2745.2,1.07,1.07,1.07,2992.4,1.005,1.005,1.005,US GAAP,6173,17.4952,4815,41.1575,13.6464,8.6328,342563.1068,31.7956,10.9068,19.6433,18.3691,31.687,13.2326,8.6328,8.3409,34.7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,3110,2350,760,2738,2738,,,3087,1131,228,1728,0,1851,,,,,10786,11376,18625,7249,0,,,5382,3949,3915,34,,,,,1433,16758,27544,3415,5882,-1609,520,-2129,0,0,0,,,,,-459,,-2068,-1329,-660,-1518,134,-1652,-31,,-3538,,276,1380,150,3753,4050.3243,3482,1.3795,19.5047,1.7224,35764,,20316,,15448,,9960,9960,,,,,5488,,457,457,,,,,5249,0,,,,,,,,,1834,3415,0,,,3415,0,3415,104,,3311,,2720.6,1.215,1.215,1.215,2974,1.14,1.14,1.14,US GAAP,6975,19.5029,5488,43.1943,15.345,9.5487,337396.2264,33.072,12.3566,21.4921,19.9709,140.2083,14.6768,9.5487,9.2579,34.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,2406,1549,857,2781,2781,0,,3284,1225,343,1716,0,2106,,,,,10577,12180,20152,7972,0,,,8209,7011,7023,-12,0,0,0,0,0,20389,30966,3780,4885,-2004,555,-2559,0,0,0,,,,,-3206,,-5210,-1462,2853,-1771,158,-1929,-96,,-476,,-801,2056,3269,2326,2688.9012,5592,0.8657,46.0964,1.2923,37154,,21064,,16090,0,10035,10035,,,,,6055,,548,548,0,,,,5708,0,,,,,,,,,1928,3780,0,,,3780,0,3780,104,0,3676,,2686.8,1.37,1.37,1.37,2871.8,1.28,1.28,1.28,US GAAP,7653,20.5981,6055,43.3062,16.297,10.1739,337763.6364,35.6859,12.9209,22.202,20.2689,40.7914,15.3631,10.1739,9.894,33.7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,2800,2294,506,2940,2940,0,,3338,0,375,1787,1176,2280,,,,,11358,12626,21400,8774,0,,,8129,6822,7062,-240,,,,,1307,20755,32113,3763,5544,-2394,434,-2828,0,0,0,,,,,219,,-2175,-1626,1341,-2321,212,-2533,-18,,-2624,,745,1957,137,2716,3134.9705,4342,1.0225,44.651,1.4733,38125,,21206,,16919,0,10666,10666,,,,,6253,,,650,,,,,5838,481,,,,,,,,,2075,3763,,,,3763,,3763,109,0,3654,,2656.2,1.375,1.375,1.52,2893.6,1.295,1.295,1.425,US GAAP,8401,22.0354,6253,44.3777,16.4013,9.8702,346590.9091,35.318,11.9311,20.0473,18.2511,20.3913,15.3128,9.8702,9.5843,35.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,1600,1415,185,2910,2910,0,,3490,1254,394,1842,0,2069,,,,,10069,13692,23221,9529,0,,,10433,8786,9080,-294,,,,,1647,24125,34194,3542,4675,-2599,419,-3018,0,0,0,,,,,-2746,,-5345,-1796,3030,-1430,336,-1766,-13,,-209,,-879,1712,2967,1657,2118.9444,4947,0.6309,86.8301,1.3199,39951,,21514,,18437,0,12483,12483,,,,,5954,,,722,,,,,5536,814,,,,,,,,,1994,3542,0,,,3542,0,3542,115,0,3427,,2626.4,1.305,1.305,1.565,2854.4,1.235,1.235,1.475,US GAAP,8145,20.3875,5954,46.149,14.9033,8.8659,363190.9091,32.9092,10.6836,17.4646,15.6942,,13.857,8.8659,8.578,36.0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
