Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,1372,1372,0,2609,,,,2800,,,,,791,,,,,7572,7330,11704,4374,0,,,3331,,,,,,,,3331,10661,18233,404,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6287,6123,,3666,,2457,,1859,,,,,,598,,,88,,,,,595,,,,,,,,,,191,404,0,,,404,0,404,12,,392,,2768,0.1425,0.1425,,2768,0.1425,0.1425,0.1425,US GAAP,808,,598,40.1274,9.7665,6.5981,,,,,,,9.7175,6.5981,6.4021,32.1008
1990-06-29 00:00:00,1407,1407,0,2647,,,,2865,,,,,725,,,,,7644,7436,11789,4353,0,,,3407,,,,,,,,3407,10843,18487,284,597,,,,,,,,,,,,,,,,,,,,,,,597,,,,,,,,2.1021,6216,,3824,,2392,,1926,,,,,,466,,,137,,,,,409,,,,,,,,,,125,284,0,,,284,0,284,12,,272,,2768.928,0.0975,0.0975,0.0975,2768.928,0.0975,0.0975,0.0975,US GAAP,695,13.1265,466,38.4813,7.4968,4.5689,69842.6966,,,,,,6.5798,4.5689,4.3758,30.5623
1990-09-28 00:00:00,1352,1352,0,3107,,,,3158,,,,,813,,,,,8430,7760,12410,4650,0,,,3777,,,,,,,,3777,11537,19967,555,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3622,6652,,3791,,2861,,1963,,,,,,898,,,105,,,,,863,,,,,,,,,,308,555,0,,,555,0,555,12,,543,,2772,0.1961,0.1961,,2772,0.1961,0.1961,0.1961,US GAAP,1134,13.2115,898,43.0096,13.4997,8.3434,,24.3254,8.6323,15.4491,13.0507,12.1925,12.9735,8.3434,8.163,35.6895
1990-12-31 00:00:00,1531,1531,0,3021,,,,3363,,,,,895,,,,,8810,8043,12921,4878,0,,,3754,,,,,,,,3754,11797,20607,490,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8102,6857,,4027,,2830,,2031,,,,,,799,,,112,,,,,759,,,,,,,,,,269,490,0,,,490,0,490,16,,474,,2772.8,0.17,0.17,,2772.8,0.17,0.17,0.17,US GAAP,1046,14.2487,799,41.2717,11.6523,7.146,,26.853,8.9786,15.6395,14.0812,41.4663,11.069,7.146,6.9126,35.4414
1991-03-28 00:00:00,1285,1285,0,2828,,,,3399,,,,,869,,,,,8381,8062,12908,4846,0,,,3707,,,,,,,,3707,11769,20150,424,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.816,6795,,4041,,2754,,2160,,,,,,594,,,83,,,,,624,,,,,,,,,,200,424,0,,,424,0,424,25,,399,,2768,0.145,0.145,,2768,0.145,0.145,0.145,US GAAP,835,13.9894,594,40.5298,8.7417,6.2399,,26.7194,9.1343,15.9964,14.2647,,9.1832,6.2399,5.872,32.0513
1991-06-28 00:00:00,1384,1384,0,3024,,,,3190,,,,,837,,,,,8435,8273,13034,4761,0,,,3760,,,,,,,,3760,12033,20468,304,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3059,6722,,4222,,2500,,2089,,,,,,411,,,95,,,,,441,,,,,,,,,,137,304,0,,,304,0,304,25,,279,,2731.064,0.1036,0.1036,0.1036,2731.064,0.1036,0.1036,0.1036,US GAAP,643,13.5351,411,37.1913,6.1143,4.5225,71510.6383,27.6532,9.1028,15.753,12.5428,,6.5605,4.5225,4.1506,31.0658
1991-09-30 00:00:00,1339,1339,0,3499,,,,3315,,,,,1078,,,,,9231,8694,13826,5132,0,,,4860,,,,,,,,4860,13554,22785,536,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7201,7205,,4159,,3046,,2148,,,,,,898,,,120,,,,,842,,,,,,,,,,306,536,0,,,536,0,536,23,,513,,2705.6001,0.19,0.19,0.19,2705.6001,0.19,0.19,0.19,US GAAP,1147,13.3109,898,42.2762,12.4636,7.4393,,25.1815,8.2055,13.9795,12.2572,0,11.6863,7.4393,7.1201,36.342
1991-12-31 00:00:00,1410,1410,0,3462,,,,3606,,,,,1170,,,,,9648,9085,14466,5381,0,,,5000,,,,,,,,5000,14085,23733,523,360,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,0.6883,7507,,4368,,3139,,2271,,,,,,868,,,137,,,,,821,,,,,,,,,,298,523,0,,,523,0,523,25,,498,,2706.3999,0.1836,0.1836,0.1836,2706.3999,0.1836,0.1836,0.1836,US GAAP,1129,13.2984,868,41.8143,11.5625,6.9668,,25.9866,8.0604,13.4994,11.8026,10.6154,10.9365,6.9668,6.6338,36.2972
1992-03-31 00:00:00,1720,1720,0,3183,,,,3656,,,,,1117,,,,,9676,9087,14502,5415,0,,,5078,,,,,,,,5078,14165,23841,474,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6561,7483,,4382,,3101,,2414,,,,,,687,,,134,,,,,725,,,,,,,,,,251,474,0,,,474,0,474,24,,450,,2708,0.1661,0.1661,0.1661,2708,0.1661,0.1661,0.1661,US GAAP,955,13.397,687,41.4406,9.1808,6.3344,,26.476,8.3517,14.3067,12.3426,13.5174,9.6886,6.3344,6.0136,34.6207
1992-06-30 00:00:00,1776,1776,0,3341,,,,3311,,,,,938,,,,,9366,9696,15184,5488,0,,,4963,,,,,,,,4963,14659,24025,339,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1416,7167,,4415,,2752,,2338,,,,,,414,,,119,,,,,497,,,,,,,,,,158,339,0,,,339,0,339,22,,317,,2709.6001,0.115,0.115,0.115,2709.6001,0.115,0.115,0.115,US GAAP,687,13.3438,414,38.3982,5.7765,4.73,67613.2075,27.7249,8.4148,14.6315,11.2818,0.6742,6.9346,4.73,4.4231,31.7907
