Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Procter & Gamble Co/The (PG US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,,Q1 2015,
3 Months Ending,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,14452,1.0,14287,1.0,14258,1.0,14793,1.0,18337,1.0,17250,1.0,17842,1.0,18785,1.0,19725,1.0,18694,1.0,19272,1.0,20199,1.0,21038,1.0,20026,1.0,20885,1.0,20983,1.0,19763,1.0,17864,1.0,18662,1.0,19807,1.0,21027,1.0,19178,1.0,18926,1.0,20122,1.0,21347,1.0,19893,1.0,20860,1.0,21530,1.0,21744,1.0,20194,1.0,20212,1.0,20739,1.0,22175,1.0,20598,1.0,20655,1.0,20830,1.0,21099,1.0,19641,1.0,19596,1.0,20792,1.0
  Fabric & Home Care,,3784,0.257888638996797,3819,0.263197794624397,3849,0.265833275778714,4350,0.290154749199573,4225,0.228563700297539,4221,0.242043695166007,4353,0.241981210739897,4752,0.249855407750145,4682,0.235016564601948,4738,0.249657498155759,4799,0.245850409836066,5904,0.286323957322987,6040,0.283807912790151,5730,0.280483626217632,6094,0.281868640148011,6483,0.302463375944761,5797,0.2910140562249,5381,0.295091856320263,5725,0.302717851099831,6130,0.302985369711348,6311,0.295652581279865,5812,0.297837450035872,5552,0.289181728215011,6297,0.307635937270995,6308,0.291658960606621,5751,0.283901861085057,6144,0.290867774463855,7071,0.322523262178435,7037,0.320782240051055,6595,0.320581372739646,6551,0.321253432718713,6503,0.309372026641294,7223,0.323408256469956,6587,0.31619623655914,6737,0.322715079517149,6666,0.322558792219104,6022,0.288133971291866,6340,0.30616186980877,5702,0.293629950048921,6538,0.316319125260051
"  Baby , Feminine & Family Care",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4099,0.201010200078462,5248,0.249666983824929,4322,0.193516611444435,4277,0.205309139784946,4192,0.200804751868174,5247,0.25389528694474,5323,0.254688995215311,5453,0.263328182344987,5203,0.267933467222823,5322,0.257487057912816
  Beauty,,—,,—,,4930,0.340493127978452,5042,0.336312700106724,5427,0.293589396808223,5214,0.298985033545501,5443,0.302573795097004,5603,0.2946001367054,5884,0.295351872301978,5620,0.296132363789651,5874,0.300922131147541,4599,0.223035887487876,5137,0.241377690066723,4743,0.23216995447648,5036,0.232932469935245,5181,0.24171876457964,4898,0.245883534136546,4371,0.23970386619139,4552,0.240693739424704,4921,0.243228548833531,5217,0.244401761454137,4623,0.236906836117659,4730,0.246366998281161,4929,0.240803165762861,5290,0.244590345847975,4870,0.24041072221948,5068,0.239928040524547,5315,0.242428388980113,5353,0.244016957651456,4844,0.235465681508847,4731,0.232002746174971,4940,0.235014272121789,5403,0.241918151696964,4763,0.228638632872504,4850,0.232324200038322,4903,0.23724958869641,5284,0.252822966507177,4691,0.226530809349044,4629,0.238374787579175,4857,0.234989597948619
  Health Care,,2043,0.139235330198323,2000,0.137835975189524,1899,0.131155466537744,1686,0.112459978655283,2204,0.119231809575331,1995,0.114398761396869,1967,0.109344599477458,2227,0.117093432882907,2355,0.11821102298966,2189,0.115344082621983,2193,0.11234631147541,3559,0.172599418040737,3772,0.17723898129875,3651,0.178716530422439,—,,3101,0.14467668190725,2930,0.147088353413655,2672,0.146531395667672,2785,0.147260998307953,2979,0.147241992882562,3071,0.143867703551017,2805,0.143742953776776,2638,0.137402989739049,2984,0.145781425570375,3138,0.145089698538931,2962,0.146221059386879,2949,0.13961085073143,3291,0.150109469074986,3183,0.145097324155536,3018,0.14670425821505,2929,0.143634758728913,2322,0.1104662226451,3267,0.146279215545805,3274,0.157162058371736,3116,0.149262310787507,1894,0.0916481176812155,2153,0.103014354066986,2361,0.114013907668534,1813,0.093362171069571,2011,0.0972954666408631
  Grooming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2015,0.0977206595538312,2161,0.101541208533033,1977,0.0967741935483871,2101,0.0971785383903793,2090,0.0975086311467761,2038,0.102309236947791,1591,0.0872497943515218,1689,0.0893083756345178,1858,0.0918347172795571,2095,0.0981448514944252,1759,0.0901404120118889,1919,0.0999531225584666,1898,0.0927255850310225,2164,0.100055483632328,1907,0.0941402971812213,2056,0.097334658902618,2168,0.0988870644043058,2202,0.100378356201851,1962,0.0953723507680342,2082,0.102098862298941,2007,0.0954804947668887,2119,0.0948777648428405,1931,0.0926939324116744,1981,0.0948936577888484,1956,0.0946482144585309,2118,0.10133971291866,1863,0.0899652308286653,2072,0.10669962407951,1941,0.0939087522376506
  Corporate,,-221,,-223,,-221,,-199,,-148,,-189,,-147,,-234,,-197,,-284,,-248,,-421,,-244,,-403,,-354,,-451,,-157,,-371,,-250,,-425,,-319,,-336,,-273,,-347,,-281,,-364,,-263,,-394,,-193,,-378,,-180,,-281,,-159,,-234,,-221,,164,,199,,-149,,177,,123,
  Gillette,,0,,0,,0,,0,,2432,0.131566134703814,1950,0.111818338207466,2041,0.11345822447051,2275,0.119617224880383,2629,0.131964662182512,2073,0.109231742017072,2283,0.116956967213115,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Blades & Razors,,0,,0,,0,,0,,1153,0.0623748985664052,1187,0.0680658294626986,1159,0.0644282617154928,1299,0.0683001209316999,1282,0.0643509687782351,1284,0.0676572873853936,1364,0.0698770491803279,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Duracell & Braun,,0,,0,,0,,0,,1279,0.0691912361374087,763,0.0437525087447675,882,0.0490299627550169,976,0.0513171039486829,1347,0.0676136934042767,789,0.0415744546316788,919,0.0470799180327869,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty and Health,,—,,—,,6829,0.471648594516196,6728,0.448772678762006,7631,0.412821206383554,7209,0.413383794942371,7410,0.411918394574462,7830,0.411693569588306,8239,0.413562895291637,7809,0.411476446411634,8067,0.413268442622951,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Family Health,,5021,0.342193143869693,5048,0.34789800137836,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Household Care,,4630,0.315545559871873,4586,0.31605789110958,7650,0.528351405483804,8264,0.551227321237994,8422,0.455612658912632,8280,0.474797866850163,8538,0.474623380955028,8914,0.468689205531311,9054,0.454472442525851,9096,0.479291811571293,9170,0.469774590163934,9324,0.452182347235694,9414,0.442345644206372,9261,0.453326153996769,9667,0.447132284921369,10255,0.478445460483344,9263,0.465010040160643,8837,0.484617493830546,—,,9719,0.480377619612495,10128,0.474468284456104,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Snacks & Coffee,,846,0.0576569208750767,767,0.0528600964851826,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Pet Health, Snacks & Coffee",,—,,—,,787,0.0543545824987914,968,0.0645677694770544,1218,0.0658912631863673,1087,0.0623315557084695,1110,0.0617043748957696,1063,0.0558914769441085,1253,0.0628952916373858,1090,0.0574349246495943,1131,0.0579405737704918,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Snacks, Coffee and Pet Care",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1123,0.0544616876818623,798,0.0374964758951226,797,0.0390131675559254,1220,0.0564292321924144,807,0.0376504618829896,791,0.0397088353413655,764,0.0418974499588703,752,0.0397631133671743,755,0.0373171213918545,835,0.0391173990443174,747,0.03828020908066,798,0.041564664826293,709,0.0346377448825053,798,0.036896615498428,799,0.0394431554524362,850,0.0402404961416465,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Beauty,,5022,0.342261296258434,4876,0.336044107512061,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-381,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-918,,—,,—,
  Health and Well-Being,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4682,0.227061105722599,4570,0.214735457193873,4448,0.217729697978364,4816,0.222756706753006,3908,0.18232714379024,3721,0.18679718875502,3436,0.188428845626542,—,,3734,0.184559114274417,3906,0.182985102595334,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3596,0.166327474560592,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
