Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,CARBON_MONOXIDE_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,ODS_EMISSIONS,CO2_SCOPE_1,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,GHG_SCOPE_2_MARKET_BASED,GHG_SCOPE_3,SCOPE_OF_DISCLOSURE,CARBON_PER_UNIT_OF_PROD,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,RENEW_ENERGY_USE,ELECTRICITY_USED,COAL_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,WASTE_RECYCLED,WASTE_SENT_TO_LANDFILLS,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_MGT,PCT_MINORITY_EMPLOYEES,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,POLITICAL_DONATIONS,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,FATALITIES_TOTAL,TOTAL_RECORDABLE_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,PCT_EMPLOYEES_UNIONIZED,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AGE_LIMIT,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,13.014,13.014,0,305.07,,,,5808.416,,,,,288.275,,,,,6414.7749,4712.0391,5996.6641,1284.625,0,,,262.101,,,,,,,,262.101,4974.1401,11388.915,1291.024,1295.885,-1388.298,0,-1388.298,0,0,0,,,,,-137.8361,,-1526.134,-158.889,410.23,-20.868,4.958,-25.826,0,,230.473,,0.224,,,-92.413,14.165,317.8171,-0.0068,,1.0038,32601.5938,,25499.834,,7101.7598,,5152.1782,,,,,,1949.582,,,168.636,,,,,2042.76,,,,,,,,,,751.736,1291.024,0,,,1291.024,0,1291.024,0,,1291.024,,13644.9477,0.095,0.095,0.095,13645.188,0.095,0.095,0.095,US GAAP,2296.196,7.0432,1949.582,21.7835,5.98,3.96,99395.1029,27.6715,13.1822,21.277,18.4088,4.1033,6.2658,3.96,3.96,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,30.649,30.649,0,418.867,,,,7384.2988,,,,,741.608,,,,,8575.4229,6433.8008,8140.8478,1707.047,0,,,434.165,,,,,,,,434.165,6867.9658,15443.3887,1608.476,1356.713,-1805.303,0,-1805.303,0,0,0,,,,,-344.5781,,-2149.8811,-195.048,993.295,12.556,12.556,0,0,,810.803,,17.635,,,-448.59,-281.0963,544.7051,-0.0324,,0.8435,43886.9023,,34786.1172,,9100.7852,,6684.3042,,,,,,2416.479,,,265.863,,,,,2553.137,,,,,,,,,,944.661,1608.476,0,,,1608.476,0,1608.476,0,,1608.476,,13830.7559,0.1167,0.1167,0.1167,13835.4727,0.1167,0.1167,0.1167,US GAAP,2891.831,6.5893,2416.479,20.7369,5.5062,3.665,118293.5373,26.0372,11.9891,19.2495,16.2317,4.1372,5.8175,3.665,3.665,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,12.363,12.363,0,524.555,,,,9268.3086,,,,,392.363,,,,,10197.5898,9792.8809,11848.0039,2055.123,0,,,574.616,,,,,,,,574.616,10367.4969,20565.0879,1994.7939,1278.277,-3756.364,0,-3756.364,0,0,0,,,,,250.04,,-3506.324,-241.363,2435.085,16.039,16.039,0,0,,2209.761,,-18.286,,,-2478.087,-2274.7873,-43.0021,-0.1801,,0.6408,55483.7695,,44174.6797,,11309.0898,,8320.8418,,,,,,2988.2439,,,322.698,,,,,3166.3389,,,,,,,,,,1171.545,1994.7939,0,,,1994.7939,0,1994.7939,0,,1994.7939,,13757.1724,0.145,0.145,0.145,13757.1724,0.145,0.145,0.145,US GAAP,3637.3809,6.5558,2988.2439,20.3827,5.3858,3.5953,127842.7869,25.3325,11.0796,16.8993,14.266,4.9303,5.7068,3.5953,3.5953,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,20.115,20.115,0,689.987,,,,11013.7061,,,,,390.794,,,,,12114.6016,13175.3662,15858.1611,2682.7949,0,,,1150.796,,,,,,,,1150.796,14326.1622,26440.7637,2333.2771,2195.4509,-3643.7329,0,-3643.7329,0,0,0,,,,,-842.2749,,-4486.0078,-298.829,2638.3279,9.688,9.688,0,-50.878,,2298.3089,,7.752,,,-1448.282,-1121.5069,1190.046,-0.105,,0.9409,67344.5703,,53443.7422,,13900.8281,,10333.2178,,,,,,3567.613,,,517.005,,,,,3691.578,,,,,,,,,,1358.301,2333.2771,0,,,2333.277,0,2333.2771,0,,2333.2771,,13792.2905,0.17,0.17,0.17,13792.2905,0.17,0.17,0.17,US GAAP,4416.355,6.5578,3567.613,20.6413,5.2976,3.4647,127546.5347,23.9168,9.9276,14.9394,12.4789,4.8847,5.4816,3.4647,3.4647,36.7946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,45,45,0,700,,,,14064,,,,,529,,,,,15338,15874,19237,3363,0,,,1607,,,,,,,,1607,17481,32819,2681,2906,-3734,0,-3734,0,0,0,,,,,-58,,-3792,-391,1363,0,0,0,-61,,911,,25,,,-828,-383.8925,535,-0.06,,1.0839,82494,,65586,,16908,,12858,,,,,,4050,,,706,,,,,4262,,,,,,,,,,1581,2681,0,,,2681,0,2681,0,,2681,,13791.624,0.195,0.195,0.195,13791.624,0.195,0.195,0.195,US GAAP,5120,6.2065,4050,20.496,4.9094,3.2499,132627.0096,22.838,9.0483,13.9902,11.221,3.1842,5.1664,3.2499,3.2499,37.0953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,83,83,0,853,,,,15989,,,,,406,,,,,17331,17098,20850,3752,0,,,3112,,,,,,,,3112,20210,37541,2740,2383,-3566,0,-3566,0,0,0,,,,,234,,-3332,-458,1457,0,0,0,-12,,987,,38,,,-1183,-623.1473,274,-0.0859,,0.8697,93627,,74564,,19063,,14951,,,,,,4112,,,888,,,,,4346,,,,,,,,,,1606,2740,0,,,2740,0,2740,0,,2740,,13776,0.1983,0.1983,0.1983,13776,0.1983,0.1983,0.1983,US GAAP,5416,5.7847,4112,20.3606,4.3919,2.9265,138706.6667,19.9403,7.7885,12.5778,9.6711,0.5569,4.6418,2.9265,2.9265,36.9535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,883,883,0,845,,,,15897,0,0,15897,,368,,,,,17993,20324,25964,5640,0,,,1287,,,,,,,,1287,21611,39604,3056,5930,-2179,464,-2643,0,0,0,,,,,111,,-2068,-481,-3073,-208,0,-208,700,,-3062,,800,1791,,3287,3819.4371,678,0.239,15.8634,1.9404,104859,,83663,,21196,,16788,,,,,,4408,,,845,,,,,4850,,,,,,,,,,1794,3056,0,,,3056,0,3056,0,,3056,,13752,0.2217,0.2217,0.2217,13776,0.2217,0.2217,0.2217,US GAAP,5871,5.5989,4408,20.2138,4.2037,2.9144,144037.0879,19.1605,7.9227,12.6007,9.5529,2.6353,4.6253,2.9144,2.9144,36.9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,1447,1447,0,976,,,,16497,0,0,16497,,432,,,,,19352,23606,30416,6810,0,,,2426,1887,,,,,,,539,26032,45384,3526,7123,-2636,0,-2636,0,0,0,,,,,-1785,,-4421,-611,-101,-1569,0,-1569,143,,-2138,,564,1971,,4487,4977.0521,4386,0.3312,19.8462,2.0201,117958,,93438,,24520,,19358,,,,,,5162,,,784,,,,,5641,,,,,,,,,,2115,3526,0,,,3526,0,3526,0,,3526,,13548,0.26,0.26,0.26,13599,0.26,0.26,0.26,US GAAP,6796,5.7614,5162,20.7871,4.3761,2.9892,142979.3939,19.7834,8.2976,13.3739,10.5917,5.7562,4.7822,2.9892,2.9892,37.4934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,1879,1879,0,1118,,,,17076,0,0,17076,0,1059,,,,,21132,25973,34464,8491,0,,,2891,2538,,,,,,,353,28864,49996,4430,7580,-3734,0,-3734,0,0,0,,,,,-684,,-4418,-693,-640,-1202,0,-1202,-195,,-2730,,432,3458,,3846,4338.4282,3206,0.2872,47.2617,1.7111,137634,,108725,,28909,,22363,,,,,,6546,,,797,,,,,7170,,,,,,,,,,2740,4430,0,,,4430,0,4430,0,,4430,,13392,0.33,0.33,0.33,13455,0.33,0.33,0.33,US GAAP,8418,6.1162,6546,21.0043,4.7561,3.2187,151246.1538,22.3653,9.2892,15.1974,12.4619,7.0339,5.2095,3.2187,3.2187,38.2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,1856,1856,0,1341,,,,19793,0,0,20171,-378,1366,,,,,24356,35969,45348,9379,0,,,10024,9392,9392,0,,,,,632,45993,70349,5377,8194,-6183,0,-6183,0,0,0,,,,,-10663,,-16846,-890,9320,-101,0,-101,300,,8629,,-23,849,,2011,2657.4153,11331,0.1506,152.9962,1.5239,165013,,129664,,35349,,27040,,,,,,8309,,,1022,,,,,9083,,,,,,,,,,3338,5745,198,,,5547,170,5377,0,,5377,,13353,0.4033,0.4167,0.4167,13422,0.4,0.4167,0.4167,US GAAP,10684,6.4746,8309,21.4219,5.0354,3.2585,144748.2456,22.9072,8.936,14.9746,12.7835,6.4392,5.5044,3.4815,3.2585,36.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
